uid,model,dev,gen,fam_class,year,Cmp,M,Mstar_ref,M_over_Mstar,w_ref,w_sig060,sigma_meta_line,w_meta_line,sigma_pi_lower,w_pi_upper,s_ref,s_sig060,s_meta_line,s_pi_upper
B:Qwen/Qwen3-14B-Base,Qwen3-14B-Base,Alibaba,Qwen3,common-D,2025,3.18995e+24,2437.65,21.3869,113.979,7.57138,23.508,0.536554,59.7826,0.392297,1535.32,0.867924,0.957461,0.983273,0.999349
B:allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,AI2,OLMo-2,size-specific-D,2025,3.60835e+22,2727.43,22.0897,123.47,7.83472,24.7956,0.599778,24.8693,0.505302,111.601,0.872363,0.95967,0.95979,0.99104
B:allenai/OLMo-2-1124-7B,OLMo-2-1124-7B,AI2,OLMo-2,size-specific-D,2024,1.77356e+23,554.9,21.8374,25.4105,3.98623,8.64322,0.577316,10.6828,0.465154,41.259,0.749137,0.884302,0.906392,0.975763
B:allenai/OLMo-2-1124-13B,OLMo-2-1124-13B,AI2,OLMo-2,size-specific-D,2024,4.23831e+23,375.468,21.7006,17.3022,3.38234,6.68962,0.565027,8.97687,0.443189,35.9351,0.704347,0.850515,0.888603,0.972172
B:allenai/OLMo-2-0325-32B,OLMo-2-0325-32B,AI2,OLMo-2,size-specific-D,2025,1.18944e+24,190.791,21.5396,8.85765,2.54053,4.28101,0.55047,5.93756,0.417171,21.0619,0.606382,0.76641,0.831581,0.952521
B:allenai/Olmo-3-1025-7B,Olmo-3-1025-7B,AI2,Olmo-3,common-D,2025,2.64042e+23,826.253,21.7748,37.9453,4.73151,11.292,0.571702,15.2421,0.455121,77.732,0.788651,0.911442,0.934392,0.987135
B:allenai/Olmo-3-1125-32B,Olmo-3-1125-32B,AI2,Olmo-3,common-D,2025,1.08305e+24,173.732,21.5542,8.06024,2.44013,4.02006,0.551792,5.44761,0.419534,17.9482,0.590185,0.751247,0.816433,0.944284
B:HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,Hugging Face,SmolLM2,size-specific-D,2024,1.61418e+21,14868.2,22.5905,658.163,16.0205,75.664,0.643607,36.3605,0.583641,102.46,0.93758,0.986784,0.972498,0.99024
B:HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,Hugging Face,SmolLM2,size-specific-D,2024,8.68371e+21,11055.2,22.3179,495.35,14.188,62.6049,0.619871,44.9389,0.541216,192.511,0.929518,0.984027,0.977748,0.994805
B:HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,Hugging Face,SmolLM2,size-specific-D,2024,1.12951e+23,6427.57,21.9086,293.381,11.3419,44.1524,0.583681,57.535,0.476531,513.423,0.911831,0.977351,0.982619,0.998052
B:HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,Hugging Face,SmolLM3,singleton,2025,2.06647e+23,3642.16,21.8134,166.969,8.91354,30.322,0.57516,43.8272,0.4613,394.059,0.887811,0.967021,0.977183,0.997462
B:tiiuae/Falcon3-7B-Base,Falcon3-7B-Base,TII,Falcon3,singleton,2024,6.26266e+23,1877.8,21.6396,86.7761,6.73838,19.6005,0.559519,33.5741,0.433345,342.542,0.851596,0.948981,0.970215,0.997081
B:tiiuae/falcon-11B,falcon-11B,TII,Falcon2,singleton,2024,3.66393e+23,495.37,21.7234,22.8035,3.80599,8.04145,0.567081,10.8823,0.446861,47.9711,0.737256,0.875644,0.908108,0.979154
B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,IBM,Granite-3.0,common-D,2024,1.82414e+23,4736.48,21.833,216.942,9.96903,36.1045,0.576919,51.6826,0.464445,494.369,0.899689,0.972303,0.980651,0.997977
B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,IBM,Granite-3.0,common-D,2024,5.883e+23,1468.64,21.6493,67.8376,6.06525,16.6334,0.560401,27.332,0.434921,239.644,0.835126,0.93988,0.963413,0.995827
B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,Swiss AI,Apertus,common-D,2025,7.248e+23,1862.58,21.6168,86.1638,6.71801,19.5082,0.557458,34.3853,0.42966,370.67,0.851146,0.948739,0.970918,0.997302
B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,Swiss AI,Apertus,common-D,2025,6.35399e+24,212.465,21.2808,9.98387,2.67389,4.6366,0.526833,7.89777,0.374924,46.3492,0.626013,0.784325,0.873382,0.978425
B:marin-community/marin-8b-base,marin-8b-base,Marin,Marin,singleton,2025,6.11906e+23,1581.52,21.6432,73.0723,6.26106,17.4784,0.559846,29.1939,0.433929,269.965,0.840283,0.942787,0.965746,0.996296
B:m-a-p/neo_7b,neo_7b,M-A-P,MAP-Neo,singleton,2024,2.06689e+23,567.124,21.8133,25.999,4.02544,8.77615,0.575157,11.096,0.461295,44.9158,0.75158,0.886055,0.909877,0.977736
B:stabilityai/stablelm-3b-4e1t,stablelm-3b-4e1t,Stability AI,StableLM-3B-4E1T,singleton,2023,6.70906e+22,1430.9,21.9911,65.0672,5.95811,16.1774,0.591029,17.9796,0.489665,77.6089,0.832162,0.938185,0.944381,0.987115
