mx,mc,hx,hc,loocv_rmse,design,hc_min
3,2,7.07009,2.79038,0.00504028,"Marin, DCLM",0.549306
3,3,7.07009,4.18557,0.00503195,"Marin, DCLM",0.549306
0.15,0.45,0.358314,0.674723,0.00515817,"Marin, Nemotron-CC",0.549306
0.15,0.6,0.358314,0.899631,0.00463283,"Marin, Nemotron-CC",0.549306
0.15,0.8,0.358314,1.19951,0.00430044,"Marin, Nemotron-CC",0.549306
0.15,1,0.358314,1.49938,0.00415658,"Marin, Nemotron-CC",0.549306
0.15,1.3,0.358314,1.9492,0.00405756,"Marin, Nemotron-CC",0.549306
0.15,1.6,0.358314,2.39901,0.00401195,"Marin, Nemotron-CC",0.549306
0.15,2,0.358314,2.99877,0.00398198,"Marin, Nemotron-CC",0.549306
0.15,3,0.358314,4.49815,0.00395425,"Marin, Nemotron-CC",0.549306
0.2,0.45,0.477752,0.674723,0.00450852,"Marin, Nemotron-CC",0.549306
0.2,0.6,0.477752,0.899631,0.00409422,"Marin, Nemotron-CC",0.549306
0.2,0.8,0.477752,1.19951,0.00384755,"Marin, Nemotron-CC",0.549306
0.2,1,0.477752,1.49938,0.00374949,"Marin, Nemotron-CC",0.549306
0.2,1.3,0.477752,1.9492,0.00368412,"Marin, Nemotron-CC",0.549306
0.2,1.6,0.477752,2.39901,0.00365346,"Marin, Nemotron-CC",0.549306
0.2,2,0.477752,2.99877,0.0036329,"Marin, Nemotron-CC",0.549306
0.2,3,0.477752,4.49815,0.00361364,"Marin, Nemotron-CC",0.549306
0.3,0.45,0.716627,0.674723,0.00399043,"Marin, Nemotron-CC",0.549306
0.3,0.6,0.716627,0.899631,0.00367042,"Marin, Nemotron-CC",0.549306
0.3,0.8,0.716627,1.19951,0.00348413,"Marin, Nemotron-CC",0.549306
0.3,1,0.716627,1.49938,0.00341684,"Marin, Nemotron-CC",0.549306
0.3,1.3,0.716627,1.9492,0.00338241,"Marin, Nemotron-CC",0.549306
0.3,1.6,0.716627,2.39901,0.00336959,"Marin, Nemotron-CC",0.549306
0.3,2,0.716627,2.99877,0.00336173,"Marin, Nemotron-CC",0.549306
0.3,3,0.716627,4.49815,0.00335458,"Marin, Nemotron-CC",0.549306
0.45,0.45,1.07494,0.674723,0.00365356,"Marin, Nemotron-CC",0.549306
0.45,0.6,1.07494,0.899631,0.00345244,"Marin, Nemotron-CC",0.549306
0.45,0.8,1.07494,1.19951,0.00333094,"Marin, Nemotron-CC",0.549306
0.45,1,1.07494,1.49938,0.00329428,"Marin, Nemotron-CC",0.549306
0.45,1.3,1.07494,1.9492,0.00328891,"Marin, Nemotron-CC",0.549306
0.45,1.6,1.07494,2.39901,0.00329229,"Marin, Nemotron-CC",0.549306
0.45,2,1.07494,2.99877,0.00329576,"Marin, Nemotron-CC",0.549306
0.45,3,1.07494,4.49815,0.00329946,"Marin, Nemotron-CC",0.549306
0.6,0.45,1.43325,0.674723,0.00357662,"Marin, Nemotron-CC",0.549306
0.6,0.6,1.43325,0.899631,0.00342944,"Marin, Nemotron-CC",0.549306
0.6,0.8,1.43325,1.19951,0.00334652,"Marin, Nemotron-CC",0.549306
0.6,1,1.43325,1.49938,0.00333188,"Marin, Nemotron-CC",0.549306
0.6,1.3,1.43325,1.9492,0.00334694,"Marin, Nemotron-CC",0.549306
0.6,1.6,1.43325,2.39901,0.00336234,"Marin, Nemotron-CC",0.549306
0.6,2,1.43325,2.99877,0.00337574,"Marin, Nemotron-CC",0.549306
0.6,3,1.43325,4.49815,0.00339114,"Marin, Nemotron-CC",0.549306
0.8,0.45,1.91101,0.674723,0.00368787,"Marin, Nemotron-CC",0.549306
0.8,0.6,1.91101,0.899631,0.00356232,"Marin, Nemotron-CC",0.549306
0.8,0.8,1.91101,1.19951,0.00350647,"Marin, Nemotron-CC",0.549306
0.8,1,1.91101,1.49938,0.00351012,"Marin, Nemotron-CC",0.549306
0.8,1.3,1.91101,1.9492,0.00353872,"Marin, Nemotron-CC",0.549306
0.8,1.6,1.91101,2.39901,0.00356124,"Marin, Nemotron-CC",0.549306
0.8,2,1.91101,2.99877,0.00358072,"Marin, Nemotron-CC",0.549306
0.8,3,1.91101,4.49815,0.00360349,"Marin, Nemotron-CC",0.549306
1,0.45,2.38876,0.674723,0.00392822,"Marin, Nemotron-CC",0.549306
1,0.6,2.38876,0.899631,0.00379612,"Marin, Nemotron-CC",0.549306
1,0.8,2.38876,1.19951,0.00374692,"Marin, Nemotron-CC",0.549306
1,1,2.38876,1.49938,0.00375606,"Marin, Nemotron-CC",0.549306
1,1.3,2.38876,1.9492,0.00378469,"Marin, Nemotron-CC",0.549306
1,1.6,2.38876,2.39901,0.00380535,"Marin, Nemotron-CC",0.549306
1,2,2.38876,2.99877,0.0038229,"Marin, Nemotron-CC",0.549306
1,3,2.38876,4.49815,0.00384329,"Marin, Nemotron-CC",0.549306
1.3,0.45,3.10539,0.674723,0.00432356,"Marin, Nemotron-CC",0.549306
1.3,0.6,3.10539,0.899631,0.0041705,"Marin, Nemotron-CC",0.549306
1.3,0.8,3.10539,1.19951,0.00411583,"Marin, Nemotron-CC",0.549306
1.3,1,3.10539,1.49938,0.0041215,"Marin, Nemotron-CC",0.549306
1.3,1.3,3.10539,1.9492,0.00414051,"Marin, Nemotron-CC",0.549306
1.3,1.6,3.10539,2.39901,0.00415343,"Marin, Nemotron-CC",0.549306
1.3,2,3.10539,2.99877,0.00416426,"Marin, Nemotron-CC",0.549306
1.3,3,3.10539,4.49815,0.00417676,"Marin, Nemotron-CC",0.549306
1.6,0.45,3.82201,0.674723,0.0046417,"Marin, Nemotron-CC",0.549306
1.6,0.6,3.82201,0.899631,0.00447443,"Marin, Nemotron-CC",0.549306
1.6,0.8,3.82201,1.19951,0.00441331,"Marin, Nemotron-CC",0.549306
1.6,1,3.82201,1.49938,0.00441359,"Marin, Nemotron-CC",0.549306
1.6,1.3,3.82201,1.9492,0.0044234,"Marin, Nemotron-CC",0.549306
1.6,1.6,3.82201,2.39901,0.00442976,"Marin, Nemotron-CC",0.549306
1.6,2,3.82201,2.99877,0.00443506,"Marin, Nemotron-CC",0.549306
1.6,3,3.82201,4.49815,0.0044411,"Marin, Nemotron-CC",0.549306
2,0.45,4.77752,0.674723,0.00493467,"Marin, Nemotron-CC",0.549306
2,0.6,4.77752,0.899631,0.00475796,"Marin, Nemotron-CC",0.549306
2,0.8,4.77752,1.19951,0.00469164,"Marin, Nemotron-CC",0.549306
2,1,4.77752,1.49938,0.00468667,"Marin, Nemotron-CC",0.549306
2,1.3,4.77752,1.9492,0.00468826,"Marin, Nemotron-CC",0.549306
2,1.6,4.77752,2.39901,0.00468889,"Marin, Nemotron-CC",0.549306
2,2,4.77752,2.99877,0.00468936,"Marin, Nemotron-CC",0.549306
2,3,4.77752,4.49815,0.00468977,"Marin, Nemotron-CC",0.549306
3,0.45,7.16627,0.674723,0.0052991,"Marin, Nemotron-CC",0.549306
3,0.6,7.16627,0.899631,0.00511554,"Marin, Nemotron-CC",0.549306
3,0.8,7.16627,1.19951,0.00504452,"Marin, Nemotron-CC",0.549306
3,1,7.16627,1.49938,0.00503341,"Marin, Nemotron-CC",0.549306
3,1.3,7.16627,1.9492,0.00502567,"Marin, Nemotron-CC",0.549306
3,1.6,7.16627,2.39901,0.00501973,"Marin, Nemotron-CC",0.549306
3,2,7.16627,2.99877,0.0050146,"Marin, Nemotron-CC",0.549306
3,3,7.16627,4.49815,0.00500848,"Marin, Nemotron-CC",0.549306
0.15,0.3,0.211054,0.615497,0.00422655,Llama 3,0.601986
0.15,0.45,0.211054,0.923246,0.00483164,Llama 3,0.601986
0.15,0.6,0.211054,1.23099,0.0114791,Llama 3,0.601986
0.15,0.8,0.211054,1.64133,0.0112091,Llama 3,0.601986
0.15,1,0.211054,2.05166,0.0104016,Llama 3,0.601986
0.15,1.3,0.211054,2.66716,0.00873164,Llama 3,0.601986
0.15,1.6,0.211054,3.28265,0.00739706,Llama 3,0.601986
0.15,2,0.211054,4.10332,0.00640695,Llama 3,0.601986
0.15,3,0.211054,6.15497,0.00555651,Llama 3,0.601986
