C_b,cc,u,M,N,D,lnw_local,neff,lnw_chin_full,lnw_chin_M100,lnw_kappa_full,lnw_kappa_M100,design
3e+20,47.1503,3.96979,52.9733,9.71531e+08,5.14652e+10,0.730608,32.3956,0.380424,0.302338,0.593129,0.596178,Llama 3
3e+20,47.1503,4.24227,69.5658,8.47788e+08,5.8977e+10,0.876976,31.5106,0.462057,0.382021,0.714033,0.724257,Llama 3
6e+20,47.8435,0.618421,1.856,7.34026e+09,1.36235e+10,-2.24435,26.672,-0.612463,-0.678373,-0.886204,-0.988354,Llama 3
6e+20,47.8435,0.894002,2.4449,6.39543e+09,1.56362e+10,-1.69302,28.7817,-0.529902,-0.597785,-0.763927,-0.85882,Llama 3
6e+20,47.8435,1.16958,3.22065,5.57222e+09,1.79462e+10,-1.30866,30.6753,-0.447342,-0.517196,-0.64165,-0.729287,Llama 3
6e+20,47.8435,1.44516,4.24255,4.85497e+09,2.05975e+10,-1.00604,32.2581,-0.364781,-0.436608,-0.519373,-0.599753,Llama 3
6e+20,47.8435,1.72075,5.5887,4.23004e+09,2.36404e+10,-0.751633,33.4693,-0.282221,-0.35602,-0.397096,-0.47022,Llama 3
6e+20,47.8435,1.99633,7.36197,3.68556e+09,2.71329e+10,-0.528714,34.2894,-0.19966,-0.275431,-0.274819,-0.340686,Llama 3
6e+20,47.8435,2.27191,9.69789,3.21116e+09,3.11414e+10,-0.327656,34.7367,-0.1171,-0.194843,-0.152542,-0.211153,Llama 3
6e+20,47.8435,2.54749,12.775,2.79782e+09,3.57421e+10,-0.14236,34.8565,-0.0345393,-0.114255,-0.030265,-0.0816195,Llama 3
6e+20,47.8435,2.82307,16.8284,2.43769e+09,4.10225e+10,0.03134,34.7063,0.0480212,-0.0336663,0.0920121,0.0479139,Llama 3
6e+20,47.8435,3.09865,22.168,2.12391e+09,4.7083e+10,0.196479,34.3447,0.130582,0.0469221,0.214289,0.177447,Llama 3
6e+20,47.8435,3.37423,29.2019,1.85052e+09,5.40388e+10,0.355412,33.8227,0.213142,0.12751,0.336566,0.306981,Llama 3
6e+20,47.8435,3.64981,38.4675,1.61233e+09,6.20222e+10,0.510085,33.1805,0.295703,0.208099,0.458843,0.436514,Llama 3
6e+20,47.8435,3.9254,50.6731,1.40479e+09,7.1185e+10,0.662224,32.4466,0.378263,0.288687,0.58112,0.566048,Llama 3
6e+20,47.8435,4.20098,66.7515,1.22397e+09,8.17016e+10,0.813473,31.6389,0.460824,0.369275,0.703397,0.695581,Llama 3
1e+21,48.3543,0.537951,1.71249,9.86529e+09,1.68942e+10,-2.23691,19.9713,-0.628362,-0.702398,-0.916244,-1.03301,Llama 3
1e+21,48.3543,0.906371,2.47532,8.20556e+09,2.03114e+10,-1.62842,22.5738,-0.517988,-0.59466,-0.752773,-0.859834,Llama 3
1e+21,48.3543,1.27479,3.57796,6.82506e+09,2.44198e+10,-1.20331,25.0264,-0.407614,-0.486923,-0.589303,-0.686662,Llama 3
1e+21,48.3543,1.64321,5.17176,5.67682e+09,2.93592e+10,-0.865137,27.1205,-0.29724,-0.379185,-0.425832,-0.513491,Llama 3
1e+21,48.3543,2.01163,7.47552,4.72176e+09,3.52976e+10,-0.577044,28.6959,-0.186866,-0.271448,-0.262362,-0.340319,Llama 3
1e+21,48.3543,2.38006,10.8055,3.92737e+09,4.24372e+10,-0.320749,29.6756,-0.0764917,-0.163711,-0.098891,-0.167148,Llama 3
1e+21,48.3543,2.74848,15.6188,3.26663e+09,5.10209e+10,-0.0856291,30.0647,0.0338823,-0.055973,0.0645796,0.006024,Llama 3
1e+21,48.3543,3.1169,22.5762,2.71706e+09,6.13409e+10,0.135238,29.9223,0.144256,0.0517645,0.22805,0.179196,Llama 3
1e+21,48.3543,3.48532,32.6328,2.25994e+09,7.37482e+10,0.346843,29.3286,0.25463,0.159502,0.391521,0.352367,Llama 3
1e+21,48.3543,3.85374,47.1691,1.87973e+09,8.86652e+10,0.553169,28.3609,0.365004,0.267239,0.554991,0.525539,Llama 3
1e+21,48.3543,4.22216,68.1806,1.56349e+09,1.06599e+11,0.757782,27.0852,0.475378,0.374977,0.718462,0.69871,Llama 3
1e+21,48.3543,4.59058,98.5516,1.30045e+09,1.28161e+11,0.964309,25.5572,0.585752,0.482714,0.881933,0.871882,Llama 3
1e+21,48.3543,4.959,142.451,1.08166e+09,1.54084e+11,1.17696,23.8292,0.696126,0.590452,1.0454,1.04505,Llama 3
1e+21,48.3543,5.32742,205.906,8.99683e+08,1.85251e+11,1.40123,21.9558,0.8065,0.698189,1.20887,1.21823,Llama 3
3e+21,49.4529,2.22789,9.28028,7.34014e+09,6.81186e+10,-0.705098,12.6823,-0.104424,-0.209268,-0.154222,-0.253354,Llama 3
3e+21,49.4529,2.34688,10.4529,6.91618e+09,7.22943e+10,-0.595509,12.664,-0.0687758,-0.174472,-0.101425,-0.197424,Llama 3
