uid,unit,unit_type,reading,bound,unit_kind,id_class,own_cap,syn_protocol,syn_fixlist,R_CO,R_INF,R_DEV,deployment_rationale,model,gen,dev,date,year,N,D,M,Cmp,tier,serve_model,emb_share,w_ref,s_ref,W_unit,s_unit,unit_year,C_unit,codes_file
B:tiiuae/falcon-40b,B:tiiuae/falcon-40b,model,,lower bound,size-specific member,lower bound,1,0,0,1,0,0,0,falcon-40b,Falcon,TII,2023-03-15 00:00:00,2023,41835970560.0,1000000000000.0,23.902875602367764,2.5101582336e+23,0,0,0.0127325026973151,1.040499424050642,0.0389230624395529,1.040499424050642,0.03892306243955293,2023,2.5101582336e+23,readings_final.csv
B:tiiuae/falcon-7b,B:tiiuae/falcon-7b,model,,point (member),size-specific member,point,0,0,0,0,1,1,1,falcon-7b,Falcon,TII,2023-04-24 00:00:00,2023,7217189760.0,1500000000000.0,207.83712911547445,6.495470784e+22,1,0,0.0409396268943329,2.611661532872441,0.6171019914283655,2.611661532872441,0.6171019914283655,2023,6.495470784e+22,readings_final.csv
B:microsoft/phi-2,B:microsoft/phi-2,model,,lower bound,singleton,lower bound,1,1,1,0,0,0,0,phi-2,Phi-2,Microsoft,2023-12-12 00:00:00,2023,2779683840.0,1400000000000.0,503.65440121420426,2.3349344256e+22,1,0,0.0943071281084974,3.800666184272631,0.7368882318215538,3.800666184272631,0.7368882318215538,2023,2.3349344256e+22,readings_final.csv
B:microsoft/phi-1_5,B:microsoft/phi-1_5,model,,lower bound,singleton,lower bound,1,1,1,0,0,0,0,phi-1_5,Phi-1.5,Microsoft,2023-09-11 00:00:00,2023,1418270720.0,150000000000.0,105.76260081009076,1.276443648e+21,0,0,0.1478668332093889,1.93306315963458,0.4826863286820712,1.93306315963458,0.48268632868207123,2023,1.276443648e+21,readings_final.csv
B:mosaicml/mpt-30b,MPT,family,menu,point (family share),common-budget,point,0,0,0,0,1,1,1,mpt-30b,MPT,MosaicML,2023-06-22 00:00:00,2023,30000000000.0,1050000000000.0,35.0,1.89e+23,1,1,0.0120498858666666,1.2236408900427946,0.1827667674908879,1.3324925818915907,0.24952677891803957,2023,2.31e+23,readings_final.csv
B:mosaicml/mpt-7b,MPT,family,menu,point (family share),common-budget,point,0,0,0,0,1,1,1,mpt-7b,MPT,MosaicML,2023-05-05 00:00:00,2023,7000000000.0,1000000000000.0,142.85714285714286,4.2e+22,1,1,0.0295099245714285,2.2219596870208873,0.5499468303402214,1.3324925818915907,0.24952677891803957,2023,2.31e+23,readings_final.csv
B:deepseek-ai/deepseek-llm-67b-base,DeepSeek-LLM,family,cap+menu,lower bound,common-budget,lower bound,0,0,0,0,0,0,0,deepseek-llm-67b-base,DeepSeek-LLM,DeepSeek,2024-01-05 00:00:00,2024,67000000000.0,2000000000000.0,29.850746268656717,8.04e+23,1,1,0.0250406208955223,1.148289251101515,0.1291392834682256,1.2194073906863316,0.17992952344075946,2024,8.880000000000001e+23,readings_final.csv
B:deepseek-ai/deepseek-llm-7b-base,DeepSeek-LLM,family,cap+menu,lower bound,common-budget,lower bound,0,0,0,0,0,0,0,deepseek-llm-7b-base,DeepSeek-LLM,DeepSeek,2024-01-05 00:00:00,2024,7000000000.0,2000000000000.0,285.7142857142857,8.4e+22,1,0,0.119837257142857,2.994591864090517,0.666064677463582,1.2194073906863316,0.17992952344075946,2024,8.880000000000001e+23,readings_final.csv
B:stabilityai/stablelm-base-alpha-3b,StableLM-alpha,family,choice,point (family share),common-budget,point,0,0,0,0,0,0,0,stablelm-base-alpha-3b,StableLM-alpha,Stability AI,2023-04-17 22:14:52,2023,3638525952.0,800000000000.0,219.8692576482137,1.74649245696e+22,0,0,0.1141220652203279,2.6644342879675063,0.6246858087227125,2.1065461753521495,0.5252893045020336,2023,5.52378433536e+22,readings_final.csv
B:stabilityai/stablelm-base-alpha-7b-v2,B:stabilityai/stablelm-base-alpha-7b-v2,model,,point (member),singleton,point,0,0,0,0,0,0,0,stablelm-base-alpha-7b-v2,StableLM-alpha-v2,Stability AI,2023-08-05 00:00:00,2023,6889414656.0,1100000000000.0,159.66523353939925,4.54701367296e+22,1,0,0.0599672054345279,2.330727925333961,0.5709494921606031,2.330727925333961,0.5709494921606031,2023,4.54701367296e+22,readings_final.csv
