uid,tech,N_used,M_tech,w,w_lo,w_hi,sd_lnw,TD,TD_lo,TD_hi,T,CE,CE_lo,CE_hi,M_extrap,C_extrap,N_extrap
A:XVERSE-13B-2,chin,13000000000.0,246.15384615384616,2.528589830889197,1.984531229886288,3.5475975581294343,0.14667506680435663,4.585769492667591,2.953593689658864,7.6427926743883035,14674462376536.293,0.561541814832918,0.38342315429042095,0.7161764397094388,False,True,False
A:DeepSeek Coder 33B,chin,33000000000.0,60.60606060606061,1.5396412700136697,1.2134857412821975,2.1510620916798917,0.14644132407172636,1.618923810041009,0.6404572238465926,3.453186275039675,3237847620082.018,0.8791320679716638,0.6999105150177413,0.9734100674938362,False,True,True
A:BlueLM 70B,chin,70000000000.0,14.285714285714286,0.919313295596131,0.7312812676117894,1.2418089466676925,0.14208721195274987,-0.24206011321160714,-0.8061561971646319,0.7254268400030774,-242060113211.60715,0.9950569228487959,0.9300596361565376,0.9999739984466313,False,True,True
A:BlueLM 130B,chin,130000000000.0,7.6923076923076925,0.7414651472245578,0.5851801133882024,1.00882119003432,0.14921105761150485,-0.7756045583263266,-1.2444596598353928,0.026463570102960077,-775604558326.3265,0.9393593970331825,0.8173553733959511,0.9999107028470304,False,True,True
A:BlueLM 175B,chin,175000000000.0,5.714285714285714,0.6687361465733181,0.524342061705947,0.9152453676273306,0.15273113753989648,-0.9937915602800456,-1.426973814882159,-0.25426389711800834,-993791560280.0455,0.8931875242818549,0.7487684895735561,0.9941561595714435,False,True,True
A:DeepSeek Coder 1.3B,chin,1300000000.0,1538.4615384615386,4.734146081867171,3.864860706191646,6.430536170993981,0.12058513728593347,11.202438245601513,8.594582118574937,16.29160851298194,22404876491203.023,0.21757833872847632,0.152520165198415,0.28568801688806045,True,True,False
A:DeepSeek Coder 6.7B,chin,6700000000.0,298.5074626865672,2.6786188811267166,2.15876377792732,3.675012371122099,0.13192391489900798,5.03585664338015,3.4762913337819596,8.025037113366297,10071713286760.3,0.5231115886688985,0.3710650347278629,0.6612744900539843,False,True,False
A:Nanbeige-16B,chin,16000000000.0,156.25,2.1487928544954356,1.695401779847926,2.969141334029416,0.14374552028817056,3.4463785634863067,2.0862053395437776,5.9074240020882485,8615946408715.767,0.6722571437564034,0.48370635576863563,0.8193507104668606,False,True,False
A:Calm2-7B,chin,7000000000.0,185.71428571428572,2.2522204506942005,1.8346723812736845,3.0044188160426812,0.12386226240941085,3.7566613520826015,2.5040171438210534,6.013256448128043,4883659757707.382,0.6402171083736249,0.48361247630835147,0.7712674987450491,False,True,False
A:BlueLM 7B,chin,7000000000.0,370.2857142857143,2.9016792772492157,2.3147709936646654,4.036728278658955,0.13739249384929922,5.705037831747648,3.9443129809939963,9.110184835976863,14787458059889.9,0.47129775965571025,0.32286710993577983,0.6108544737838532,True,True,False
A:Mi:dm 200B,chin,200000000000.0,5.0,0.6384304408569773,0.4998188023633906,0.8768373918825279,0.15433173077151713,-1.084708677429068,-1.5005435929098283,-0.36948782435241645,-1084708677429.0681,0.869071101316872,0.717151997459074,0.9881513855399734,False,True,True
A:Skywork-13B,chin,13000000000.0,246.15384615384616,2.528589830889197,1.984531229886288,3.5475975581294343,0.14667506680435663,4.585769492667591,2.953593689658864,7.6427926743883035,14674462376536.293,0.561541814832918,0.38342315429042095,0.7161764397094388,False,True,False
A:Stockmark-13B,chin,13200000000.0,16.666666666666668,0.9411397273002757,0.8031024105852815,1.1536751079848815,0.09748281392642862,-0.1765808180991728,-0.5906927682441554,0.46102532395464446,-38847779981.818016,0.9974269179169577,0.9658420577992086,0.9999879661334155,False,True,False
A:Aquila2 34B,chin,34000000000.0,58.8235294117647,1.5237603591162967,1.200582855888887,2.129067430478728,0.14673972856713643,1.57128107734889,0.6017485676666607,3.3872022914361835,3142562154697.7803,0.8844755786719325,0.7061213445043307,0.9762299578277442,False,True,True
A:Jiutian,chin,13900000000.0,143.88489208633092,2.078903532551466,1.6538442322019917,2.8366717436689037,0.13820194232269542,3.236710597654398,1.9615326966059752,5.510015231006712,6473421195308.796,0.6946566023088693,0.5128764012732886,0.8343557126987499,False,True,False
A:CodeFuse-13B,chin,13000000000.0,76.92307692307692,1.6496858156881675,1.3410877481354924,2.1923217206791055,0.12445978854344489,1.9490574470645026,1.023263244406477,3.5769651620373164,1949057447064.5027,0.8413304396770168,0.6877440083236295,0.9399380198067875,False,True,False
A:Phi-1,chin,1300000000.0,32.77534023668639,1.1521219563369183,1.0602529807825463,1.2579595666247771,0.04481949816123867,0.4563658690107548,0.18075894234763878,0.7738786998743314,19444810618.010105,0.9860950449917363,0.9653453349665431,0.9974738346628813,False,False,False
A:TinyLlama-1.1B (3T token checkpoint),chin,1100000000.0,2994.209851239669,6.025392011065023,4.8488891502214315,8.372246665925617,0.1300385716438564,15.076176033195068,11.546667450664295,22.116739997776854,49655358277377.68,0.13828324394411523,0.09297377409204723,0.18949861802838563,True,True,False
A:PLaMo-13B,chin,13000000000.0,115.38461538461539,1.9145076072795433,1.5374468902114018,2.5775623685091333,0.13210598224198306,2.7435228218386296,1.6123406706342054,4.7326871055274005,4115284232757.945,0.7494333052452562,0.5760256417108126,0.8757788735787443,False,True,False
A:Baichuan 2-7B,chin,7000000000.0,371.42857142857144,2.904964394269773,2.317035546550078,4.041917090972741,0.13745341813181533,5.714893182809319,3.9511066396502335,9.125751272918222,14858722275304.229,0.47058014920143465,0.3222359374336762,0.6101241921827419,True,True,False
A:DeciLM 6B,chin,5700000000.0,52.63157894736841,1.4118076378747049,1.2019952582125046,1.7293488994759727,0.0941552048735672,1.2354229136241146,0.6059857746375139,2.188046698427918,370626874087.23425,0.9207552519039442,0.825188885929302,0.9756911761668158,False,False,False
A:Persimmon-8B,chin,9300000000.0,79.24731182795699,1.6567572533914434,1.3642078105567117,2.15466439828694,0.11556066491251574,1.9702717601743303,1.092623431670135,3.4639931948608194,1452090287248.4814,0.8388708132007366,0.6962293476284056,0.9329928671280002,False,True,False
A:FLM-101B,chin,101000000000.0,3.0845544554455446,0.5274676642752241,0.42864413124524076,0.683405878331276,0.12755320895313202,-1.4175970071743278,-1.714067606264278,-0.9497823650061721,-441638171615.0901,0.7533451095287955,0.6171369565026464,0.9030824176953621,False,True,True
A:XGen-7B,chin,6700000000.0,213.36119402985074,2.3678957949318185,1.9224664458935992,3.1768653262607778,0.1253411613365,4.103687384795455,2.7673993376807973,6.530595978782333,5866303190312.8,0.6060385111998128,0.4507166282103271,0.7394891364544448,False,True,False
A:Baichuan2-13B,chin,13000000000.0,200.0,2.3429769400676603,1.8518094649867602,3.247452958470916,0.1426507700920135,4.028930820202981,2.5554283949602805,6.742358875412748,10475220132527.75,0.6132503119296165,0.43254998137564443,0.7634127193031864,False,True,False
A:Jais,chin,13000000000.0,30.384615384615383,1.1729589523036166,0.9808723269103349,1.4676427269121173,0.10748300921957184,0.5188768569108497,-0.05738301926899536,1.4029281807363518,204956358479.78564,0.9823920721099624,0.9057153460491507,0.9999318158189378,False,True,False
A:Refact-1.6B,chin,1600000000.0,750.0,3.6514521947065908,3.017943458522803,4.856946987285036,0.11130325907348512,7.954356584119772,6.05383037556841,11.570840961855108,9545227900943.727,0.336887745530929,0.24681569831936148,0.4256098202720536,True,False,False
A:PULI GPTrio,chin,6700000000.0,34.41648898358209,1.2118083026873316,1.0399881647528249,1.4716629764850162,0.09098967292336678,0.6354249080619949,0.11996449425847455,1.4149889294550486,146522932133.00238,0.974585621241246,0.9076262168530175,0.9988827590532829,False,False,False
A:VARCO LLM 2.0 base,chin,13000000000.0,123.07692307692308,1.960417050129652,1.5712519504157187,2.6448419448283365,0.1333336600463673,2.881251150388956,1.7137558512471562,4.93452583448501,4610001840622.33,0.7338732777751464,0.558450298060987,0.8638888083735352,False,True,False
A:VARCO LLM 2.0 small Finetuning,chin,7000000000.0,228.57142857142858,2.430643524977058,1.9663731191650613,3.282101077888971,0.12790821087237975,4.2919305749311745,2.899119357495184,6.846303233666914,6867088919889.879,0.5882491402125353,0.43146493815642134,0.724344840444841,False,True,False
A:VARCO LLM KO/EN-13B-IST ver.1,chin,13000000000.0,26.923076923076923,1.122007072994034,0.9417328809911207,1.3982073105009993,0.10534168010751542,0.3660212189821017,-0.1748013570266378,1.194621931502998,128107426643.7356,0.9907835922819397,0.9269560815485984,0.9999765969616293,False,True,False
A:DeciCoder-1B,chin,1100000000.0,405.45454545454544,2.891710247249379,2.472654478733103,3.59154149767533,0.08880691063455072,5.675130741748137,4.417963436199308,7.774624493025991,2531108310819.669,0.4734832684366294,0.3813362733996608,0.5582806704880248,True,False,False
A:Japanese-LM-3.6B,chin,3600000000.0,20.041666666666668,0.9814125773155644,0.880914799897685,1.1163136502214115,0.06426138795693948,-0.05576226805330675,-0.35725560030694514,0.3489409506642345,-4023247640.046082,0.9997536413718122,0.9862248870349869,0.9999918272043639,False,False,False
A:Japanese StableLM Base Alpha 7B,chin,7000000000.0,107.14285714285714,1.8403481111513125,1.5194285661361138,2.3768090294226556,0.11327192289089812,2.521044333453937,1.5582856984083413,4.130427088267966,1890783250090.4531,0.7749081935938951,0.6297731530004274,0.8820987810015446,False,True,False
A:Baichuan2-53B,chin,53000000000.0,49.056603773584904,1.438113368222425,1.1188034931347863,2.0482779790390975,0.1560378304099051,1.314340104667275,0.356410479404359,3.1448339371172924,3417284272134.9146,0.9124955206720489,0.7295408412625876,0.9909645847034982,False,True,True
A:Weblab-10B,chin,10000000000.0,59.934654,1.4974228430302414,1.239790016386154,1.9207160805330767,0.11239988865857005,1.4922685290907243,0.7193700491584618,2.7621482415992302,894385979661.4149,0.8932479116030466,0.7648938255452744,0.9672769250932802,False,True,False
A:bilingual-gpt-neox-4b,chin,3800000000.0,138.50415512465375,1.9978822725722232,1.6851014994576312,2.5323790183999244,0.10113664487300401,2.9936468177166695,2.0553044983728936,4.597137055199774,1575603588271.9314,0.7213171025296392,0.5905459188086488,0.8255129862888833,False,False,False
A:RetNet,chin,6700000000.0,14.925373134328359,0.8916790774704308,0.7860668578451697,1.04259103638829,0.07664125820104309,-0.32496276758870746,-0.6417994264644908,0.12777310916486995,-32496276758.870747,0.9908389489613467,0.9603865962445431,0.9999379044593297,False,False,False
