uid,w_eq3,Mstar_eq3_ownC
B:EleutherAI/gpt-neox-20b,0.5487801471143593,68.55800700743484
B:EleutherAI/gpt-neo-2.7B,1.9550509277005688,38.56612030847801
B:EleutherAI/gpt-neo-1.3B,2.7120752404894684,32.824429592346924
B:EleutherAI/gpt-neo-125m,7.8501109706516115,25.126436582516792
B:EleutherAI/gpt-j-6b,1.2368838740933938,46.00029515595711
B:facebook/opt-6.7b,1.020528956744347,44.32172686537067
B:facebook/opt-1.3b,2.4955548902958435,31.490914990163354
B:facebook/opt-350m,4.666604328240349,26.57741084510599
B:facebook/opt-13b,0.6528533252379276,52.72654750039479
B:facebook/opt-2.7b,1.7105155192603116,36.12149130076653
B:facebook/opt-30b,0.313115776887655,67.37050448943744
B:facebook/opt-125m,7.857920442554689,25.126050927591052
B:facebook/opt-66b,0.09110803332368114,87.09147651950514
B:mosaicml/mpt-30b,,
B:mosaicml/mpt-7b,,
B:facebook/xglm-564M,5.731059704282301,27.97277388571255
B:facebook/xglm-1.7B,3.0503670821331967,34.28634690748951
B:facebook/xglm-4.5B,1.5137088039031277,46.05151567155951
B:facebook/xglm-7.5B,1.2355122390433788,50.373960546994056
B:codellama/CodeLlama-7b-hf,2.1517564480355396,81.8173723957005
B:codellama/CodeLlama-13b-hf,1.4095062041889534,103.15797761127071
B:codellama/CodeLlama-34b-hf,0.6666915691036985,147.91290639776818
B:codellama/CodeLlama-70b-hf,0.31198386292144153,213.55436388541068
B:bigcode/starcoderbase-1b,,
B:bigcode/starcoderbase-3b,,
B:bigcode/starcoderbase-7b,,
B:bigcode/starcoderbase,,
B:bigcode/starcoder2-15b,1.4771128479828353,134.92340928516026
B:bigcode/starcoder2-7b,2.3379270259844795,95.50643355477632
B:bigcode/starcoder2-3b,3.7208094507044907,68.76686130127484
B:deepseek-ai/deepseek-coder-1.3b-base,5.0540484311265725,46.349727501415984
B:deepseek-ai/deepseek-coder-6.7b-base,1.993424569804131,75.85569152698
B:deepseek-ai/deepseek-coder-33b-base,0.616415969143626,134.71913681387167
B:openlm-research/open_llama_3b_v2,2.5239231014036925,48.51911329778983
B:openlm-research/open_llama_7b_v2,1.5383039674278414,61.95382267774703
B:openlm-research/open_llama_7b,1.5383039674278414,61.95382267774703
B:openlm-research/open_llama_3b,2.5239231014036925,48.51911329778983
B:openlm-research/open_llama_13b,1.0248056790180484,75.32265746636818
B:deepseek-ai/deepseek-llm-67b-base,0.2736932521451547,176.63493701282502
