uid,band_lo,band_hi,pt_min,pt_max,band_lo_nohoff,band_hi_nohoff,band_lo_core,band_hi_core,n_tech,techs_used
A:NVIDIA-Nemotron-Nano-9B-v2,3.01853430790455,13.155211287088097,3.096003215584252,6.783825513569674,3.01853430790455,13.155211287088097,3.1591846828300185,9.022256404106754,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:NVIDIA-Nemotron-Nano-12B-v2,2.7521876147121107,12.345907754463662,2.8081621644728787,6.363043783731356,2.7521876147121107,12.345907754463662,2.7521876147121107,8.154586246422372,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Tri-21B,1.0618949540064047,5.0966762777979255,1.2406753909073676,2.9641246488420334,1.0618949540064047,5.0966762777979255,1.0618949540064047,2.6419248561230217,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Qwen3-Coder-480B-A35B,1.171621871518725,6.767723400720273,1.4546196970297003,3.715480257518354,1.171621871518725,6.767723400720273,1.171621871518725,3.6129012860349667,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:EXAONE 4.0 (32B),1.4831606747650257,8.648834114339559,1.791337408986725,4.541772989773893,1.4831606747650257,8.648834114339559,1.4831606747650257,4.872653568986376,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:EXAONE 4.0 (1.2B),4.507146680394419,16.879654956434056,5.221470745448615,9.397894977750077,4.507146680394419,16.879654956434056,6.626792464204087,14.064514502535008,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:dots.llm1,1.8715514870537502,9.127347894079866,2.0538562653026573,4.861193745532424,1.8715514870537502,9.127347894079866,1.8715514870537502,5.505959440733035,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:MiMo-7B-Base,3.3660278516427296,14.730637999266145,3.538410735963735,7.5355123845633125,3.3660278516427296,14.730637999266145,3.759463153815947,10.592015468989084,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Seed-Coder,2.2331712252962213,8.51140775920981,2.2331712252962213,4.810824868150235,2.2705410206679,8.51140775920981,2.2705410206679,5.454268388619615,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Pangu Pro MoE,2.030472804682375,9.761316124558673,2.195757111329224,5.15145531496686,2.030472804682375,9.761316124558673,2.030472804682375,5.9869792063823715,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Falcon-H1,1.5566675014902727,9.294858140853297,1.8851324913650904,4.819389740848555,1.5566675014902727,9.294858140853297,1.5566675014902727,5.3308475204693035,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:MamayLM,2.3548228354449225,9.324411458930653,2.3548228354449225,5.135690280552221,2.3727778491773925,9.324411458930653,2.3727778491773925,5.991159387755859,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Trillion-7B,1.723052782135343,5.834824476955215,1.723052782135343,3.624582556510314,1.7515067028886553,5.834824476955215,1.7515067028886553,3.6231871546813488,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Demist-2,4.072573483195894,11.913414601104208,5.334990839341323,9.797817445239625,4.072573483195894,11.913414601104208,6.663882264484657,11.913414601104208,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Nemotron-H 8B,2.8819373166765736,12.023200886075054,2.9236990517361043,6.308393432313843,2.8819373166765736,12.023200886075054,3.0176677144622985,8.131148219781577,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Nemotron-H 56B,1.2498289003305936,8.629105101342535,1.6401004877702516,4.446462830130956,1.2498289003305936,8.629105101342535,1.2498289003305936,4.659936736233732,5,"chin,besi,hoff,farseer_emb,gadre_rw"
