model,hf,family,lab,org,country,date,date_src,open_weights,arch,moe,N_total,N_active,N,N_src,N_rep,N_gap,N_emb,tied,N_nonemb,D,D_src,D_card_verified,D_obs,epoch_model,epoch_D,epoch_DC,D_vs_epoch,confidence,M,C6,code,distilled,synthetic,continued,mm,base_released,dl30,dl_all,dl30_instruct,dlall_instruct,n_instruct_found,dl30_total,dlall_total,likes,hf_found,in_A,sample,note
Llama-3.1-70B,meta-llama/Llama-3.1-70B,Llama-3.1,Meta,Meta AI,United States of America,2024-07-23 00:00:00,Epoch publication date,True,dense,False,70553706496.0,70553706496.0,70553706496.0,HF safetensors (float tensors),70000000000.0,0.00791009279999999,2101346304.0,False,68452360192.0,15000000000000.0,ObsScaling,,15000000000000.0,Llama 3.1-70B,15000000000000.0,18730412130437.42,0.0,Confident,212.60399694026586,6.34983358464e+24,False,False,False,False,False,True,36707.0,2332376.0,1053884.0,39066789.0,2,1090591.0,41399165.0,440.0,True,True,B,
Llama-3.1-8B,meta-llama/Llama-3.1-8B,Llama-3.1,Meta,Meta AI,United States of America,2024-07-23 00:00:00,Epoch publication date,True,dense,False,8030261248.0,8030261248.0,8030261248.0,HF safetensors (float tensors),8000000000.0,0.003782656000000051,1050673152.0,False,6979588096.0,15000000000000.0,ObsScaling,,15000000000000.0,Llama 3.1-8B,,25403905763440.49,,Likely,1867.9342473118006,7.2272351232e+23,False,False,False,False,False,True,555281.0,28056284.0,6225344.0,185863394.0,1,6780625.0,213919678.0,2533.0,True,True,B,
Qwen1.5-72B,Qwen/Qwen1.5-72B,Qwen1.5,Alibaba,Alibaba,China,2024-02-04 00:00:00,Epoch publication date,True,dense,False,72287920128.0,72287920128.0,72287920128.0,HF safetensors (float tensors),72000000000.0,0.003998890666666588,2491416576.0,False,69796503552.0,3000000000000.0,ObsScaling,,3000000000000.0,Qwen1.5-72B,3000000000000.0,2997273490273.5566,0.0,Confident,41.50070986532617,1.301182562304e+24,False,False,False,False,False,True,10825.0,272679.0,10733.0,447111.0,1,21558.0,719790.0,60.0,True,True,B,
Qwen1.5-32B,Qwen/Qwen1.5-32B,Qwen1.5,Alibaba,,,2024-04-01 06:19:21,HF upload date,True,dense,False,32512218112.0,32512218112.0,32512218112.0,HF safetensors (float tensors),32000000000.0,0.01600681599999998,1557135360.0,False,30955082752.0,4000000000000.0,ObsScaling,,4000000000000.0,,,,,,123.03067069187851,7.80293234688e+23,False,False,False,False,False,True,10336.0,528473.0,44378.0,636590.0,1,54714.0,1165063.0,85.0,True,False,B,
Qwen1.5-14B,Qwen/Qwen1.5-14B,Qwen1.5,Alibaba,Alibaba,China,2024-02-04 00:00:00,Epoch publication date,True,dense,False,14167290880.0,14167290880.0,14167290880.0,HF safetensors (float tensors),14000000000.0,0.011949348571428597,1557135360.0,False,12610155520.0,4000000000000.0,ObsScaling,,4000000000000.0,Qwen1.5-14B,,3952767009185.5977,,Confident,282.34050065611416,3.4001498112e+23,False,False,False,False,False,True,10611.0,856700.0,13001.0,837119.0,1,23612.0,1693819.0,41.0,True,True,B,
Qwen1.5-7B,Qwen/Qwen1.5-7B,Qwen1.5,Alibaba,Alibaba,China,2024-02-04 00:00:00,Epoch publication date,True,dense,False,7721324544.0,7721324544.0,7721324544.0,HF safetensors (float tensors),7000000000.0,0.10304636342857143,1244659712.0,False,6476664832.0,4000000000000.0,ObsScaling,,4000000000000.0,Qwen1.5-7B,,3626320826231.5464,,Confident,518.0458323187923,1.85311789056e+23,False,False,False,False,False,True,86715.0,3577233.0,14052.0,969534.0,1,100767.0,4546767.0,56.0,True,True,B,
Qwen1.5-4B,Qwen/Qwen1.5-4B,Qwen1.5,Alibaba,,,2024-01-22 17:01:16,HF upload date,True,dense,False,3950369280.0,3950369280.0,3950369280.0,HF safetensors (float tensors),4000000000.0,-0.012407680000000032,777912320.0,False,3172456960.0,2400000000000.0,ObsScaling,,2400000000000.0,,,,,,607.5381388142022,5.6885317632e+22,False,False,False,False,False,True,12173.0,467736.0,17700.0,991598.0,1,29873.0,1459334.0,37.0,True,False,B,
Qwen1.5-1.8B,Qwen/Qwen1.5-1.8B,Qwen1.5,Alibaba,,,2024-01-22 16:53:32,HF upload date,True,dense,False,1836828672.0,1836828672.0,1836828672.0,HF safetensors (float tensors),1800000000.0,0.02046037333333328,622329856.0,False,1214498816.0,2400000000000.0,ObsScaling,,2400000000000.0,,,,,,1306.5998133548298,2.64503328768e+22,False,False,False,False,False,True,14390.0,3359853.0,57025.0,1326344.0,1,71415.0,4686197.0,61.0,True,False,B,
Qwen1.5-0.5B,Qwen/Qwen1.5-0.5B,Qwen1.5,Alibaba,,,2024-01-22 16:30:10,HF upload date,True,dense,False,619570176.0,619570176.0,619570176.0,HF safetensors (float tensors),500000000.0,0.23914035199999994,155582464.0,True,463987712.0,2400000000000.0,ObsScaling,,2400000000000.0,,,,,,3873.6532082525546,8.9218105344e+21,False,False,False,False,False,True,41590.0,4084126.0,68120.0,8051684.0,1,109710.0,12135810.0,176.0,True,False,B,
Qwen-72B,Qwen/Qwen-72B,Qwen,Alibaba,Alibaba,China,2023-11-30 00:00:00,Epoch publication date,True,dense,False,72287920128.0,72287920128.0,72287920128.0,HF safetensors (float tensors),72000000000.0,0.003998890666666588,2491416576.0,False,69796503552.0,3000000000000.0,ObsScaling,,3000000000000.0,Qwen-72B,3000000000000.0,2997273490273.5566,0.0,Confident,41.50070986532617,1.301182562304e+24,False,False,False,False,False,True,4097120.0,7516602.0,2810.0,153720.0,1,4099930.0,7670322.0,362.0,True,True,B,
Qwen-14B,Qwen/Qwen-14B,Qwen,Alibaba,Alibaba,China,2023-09-28 00:00:00,Epoch publication date,True,dense,False,14167290880.0,14167290880.0,14167290880.0,HF safetensors (float tensors),14000000000.0,0.011949348571428597,1557135360.0,False,12610155520.0,3000000000000.0,ObsScaling,,3000000000000.0,Qwen-14B,3000000000000.0,2941046881834.5225,0.0,Confident,211.75537549208562,2.5501123584e+23,False,False,False,False,False,True,5070.0,323146.0,3848.0,515844.0,1,8918.0,838990.0,214.0,True,True,B,
Qwen-7B,Qwen/Qwen-7B,Qwen,Alibaba,Alibaba,China,2023-09-28 00:00:00,Epoch publication date,True,dense,False,7721324544.0,7721324544.0,7721324544.0,HF safetensors (float tensors),7000000000.0,0.10304636342857143,1244659712.0,False,6476664832.0,2400000000000.0,ObsScaling,,2400000000000.0,Qwen-7B,2400000000000.0,2180109544341.5845,0.0,Confident,310.8274993912754,1.111870734336e+23,False,False,False,False,False,True,35500.0,2173112.0,41546.0,2630865.0,1,77046.0,4803977.0,399.0,True,True,B,
Qwen2-72B,Qwen/Qwen2-72B,Qwen2,Alibaba,Alibaba,China,2024-06-07 00:00:00,Epoch publication date,True,dense,False,72706203648.0,72706203648.0,72706203648.0,HF safetensors (float tensors),72000000000.0,0.009808384000000059,2491416576.0,False,70214787072.0,7000000000000.0,ObsScaling; fix: missing in ObsScaling; Qwen2 report and Epoch: 7T,,,Qwen2-72B,7000000000000.0,6922838878648.823,0.0,Confident,96.27789168981808,3.053660553216e+24,False,False,False,False,False,True,15110.0,525680.0,22593.0,1441613.0,1,37703.0,1967293.0,199.0,True,True,B,
Qwen2-7B,Qwen/Qwen2-7B,Qwen2,Alibaba,Alibaba,China,2024-06-07 00:00:00,Epoch publication date,True,dense,False,7615616512.0,7615616512.0,7615616512.0,HF safetensors (float tensors),7000000000.0,0.08794521600000005,1089994752.0,False,6525621760.0,7000000000000.0,ObsScaling; fix: missing in ObsScaling; Qwen2 report and Epoch: 7T,,,Qwen2-7B,7000000000000.0,6434147507662.958,0.0,Confident,919.1639296661056,3.19855893504e+23,False,False,False,False,False,True,162209.0,2156883.0,331881.0,26198933.0,1,494090.0,28355816.0,175.0,True,True,B,
Qwen2-1.5B,Qwen/Qwen2-1.5B,Qwen2,Alibaba,Alibaba,China,2024-06-07 00:00:00,Epoch publication date,True,dense,False,1543714304.0,1543714304.0,1543714304.0,HF safetensors (float tensors),1500000000.0,0.02914286933333332,233373696.0,True,1310340608.0,7000000000000.0,ObsScaling; fix: missing in ObsScaling; Qwen2 report and Epoch: 7T,,,Qwen2-1.5B,7000000000000.0,6801776710102.96,0.0,Confident,4534.517806735306,6.4836000768e+22,False,False,False,False,False,True,120192.0,2945875.0,619742.0,31667389.0,1,739934.0,34613264.0,103.0,True,True,B,
Qwen2-0.5B,Qwen/Qwen2-0.5B,Qwen2,Alibaba,Alibaba,China,2024-06-07 00:00:00,Epoch publication date,True,dense,False,494032768.0,494032768.0,494032768.0,HF safetensors (float tensors),500000000.0,-0.011934463999999978,136134656.0,True,357898112.0,12000000000000.0,ObsScaling; fix: missing in ObsScaling; Qwen2 report and Epoch: 12T,,,Qwen2-0.5B,12000000000000.0,12144943389666.008,0.0,Confident,24289.886779332013,3.5570359296e+22,False,False,False,False,False,True,687439.0,15821650.0,310206.0,8677345.0,1,997645.0,24498995.0,172.0,True,True,B,
DeepSeek-V2,deepseek-ai/DeepSeek-V2,DeepSeek-V2,DeepSeek,DeepSeek,China,2024-05-07 00:00:00,Epoch publication date,True,moe,True,235741434880.0,21000000000.0,21000000000.0,HF safetensors (float tensors),236000000000.0,-0.0010956149152542283,1048576000.0,False,,8100000000000.0,ObsScaling,,8100000000000.0,DeepSeek-V2 (MoE-236B),8100000000000.0,8095238095238.096,0.0,Confident,385.7142857142857,1.0206e+24,False,False,False,False,False,True,39677.0,920616.0,16954.0,396562.0,1,56631.0,1317178.0,336.0,True,True,B,
DeepSeek-Coder-V2-Base,deepseek-ai/DeepSeek-Coder-V2-Base,DeepSeek-Coder-V2,DeepSeek,,,2024-06-14 03:45:54,HF upload date,True,moe,True,235741434880.0,21000000000.0,21000000000.0,HF safetensors (float tensors),236000000000.0,-0.0010956149152542283,1048576000.0,False,,10200000000000.0,ObsScaling,,10200000000000.0,,,,,,485.7142857142857,1.2852e+24,True,False,False,True,False,True,2265.0,290430.0,0.0,0.0,0,2265.0,290430.0,83.0,True,False,B,
Yi-6B,01-ai/Yi-6B,Yi,01.AI,01.AI,China,2023-11-02 00:00:00,Epoch publication date,True,dense,False,6061035520.0,6061035520.0,6061035520.0,HF safetensors (float tensors),6000000000.0,0.01017258666666665,524288000.0,False,5536747520.0,3000000000000.0,ObsScaling,,3000000000000.0,Yi 6B,,3464754484725.4087,,Confident,494.9649263893441,1.0909863936e+23,False,False,False,False,False,True,14299.0,478727.0,30087.0,591109.0,1,44386.0,1069836.0,376.0,True,True,B,
Yi-34B,01-ai/Yi-34B,Yi,01.AI,01.AI,China,2023-11-02 00:00:00,Epoch publication date,True,dense,False,34388917248.0,34388917248.0,34388917248.0,HF safetensors (float tensors),34000000000.0,0.011438742588235185,917504000.0,False,33471413248.0,3000000000000.0,ObsScaling,,3000000000000.0,Yi-34B,3100000000000.0,2956378822092.15,-0.01424043911461023,Confident,87.23740786501426,6.19000510464e+23,False,False,False,False,False,True,11082.0,526245.0,32186.0,743225.0,1,43268.0,1269470.0,1302.0,True,True,B,
Yi-1.5-34B,01-ai/Yi-1.5-34B,Yi-1.5,01.AI,01.AI,China,2024-05-13 00:00:00,Epoch publication date,True,dense,False,34388917248.0,34388917248.0,34388917248.0,HF safetensors (float tensors),34000000000.0,0.011438742588235185,917504000.0,False,33471413248.0,3600000000000.0,ObsScaling,,3600000000000.0,Yi-1.5-34B,,3559286240892.582,,Confident,104.68488943801712,7.428006125568e+23,False,False,False,True,False,True,9353.0,205523.0,17103.0,480949.0,1,26456.0,686472.0,50.0,True,True,B,
Yi-1.5-9B,01-ai/Yi-1.5-9B,Yi-1.5,01.AI,01.AI,China,2024-05-13 00:00:00,Epoch publication date,True,dense,False,8829407232.0,8829407232.0,8829407232.0,HF safetensors (float tensors),9000000000.0,-0.018954751999999964,524288000.0,False,8305119232.0,3600000000000.0,ObsScaling,,3600000000000.0,Yi-1.5-9B,,3600241688342.5957,,Confident,407.72839052577524,1.907151962112e+23,False,False,False,True,False,True,14395.0,481081.0,20015.0,613056.0,1,34410.0,1094137.0,53.0,True,True,B,
Yi-1.5-6B,01-ai/Yi-1.5-6B,Yi-1.5,01.AI,,,2024-05-11 08:25:23,HF upload date,True,dense,False,6061035520.0,6061035520.0,6061035520.0,HF safetensors (float tensors),6000000000.0,0.01017258666666665,524288000.0,False,5536747520.0,3600000000000.0,ObsScaling,,3600000000000.0,,,,,,593.9579116672129,1.30918367232e+23,False,False,False,True,False,True,13448.0,246968.0,8813.0,298469.0,1,22261.0,545437.0,32.0,True,False,B,
gemma-7b,google/gemma-7b,Gemma,Google,Google DeepMind,United States of America,2024-02-21 00:00:00,Epoch publication date,True,dense,False,8537680896.0,8537680896.0,8537680896.0,HF safetensors (float tensors),7000000000.0,0.21966869942857148,786432000.0,True,7751248896.0,6000000000000.0,ObsScaling,,6000000000000.0,Gemma 7B,6000000000000.0,5993040415768.974,0.0,Confident,702.7669542921273,3.07356512256e+23,False,False,False,False,False,True,25111.0,3204233.0,47928.0,6625568.0,2,73039.0,9829801.0,3442.0,True,True,B,
gemma-2b,google/gemma-2b,Gemma,Google,Google DeepMind,United States of America,2024-02-21 00:00:00,Epoch publication date,True,dense,False,2506172416.0,2506172416.0,2506172416.0,HF safetensors (float tensors),2000000000.0,0.25308620800000003,524288000.0,True,1981884416.0,3000000000000.0,ObsScaling; fix: ObsScaling/card: 6T total dataset; Gemma report and Epoch: 2B trained on 3T,,6000000000000.0,Gemma 2B,3000000000000.0,3000313792722.977,0.0,Confident,1197.044537258206,4.5111103488e+22,False,False,False,False,False,True,129692.0,10177389.0,105397.0,8371846.0,2,235089.0,18549235.0,1247.0,True,True,B,
gemma-2-27b,google/gemma-2-27b,Gemma-2,Google,Google DeepMind,United States of America,2024-06-24 00:00:00,Epoch publication date,True,dense,False,27227128320.0,27227128320.0,27227128320.0,HF safetensors (float tensors),27000000000.0,0.008412160000000002,1179648000.0,True,26047480320.0,13000000000000.0,ObsScaling,,13000000000000.0,Gemma 2 27B,13000000000000.0,12891554183559.23,0.0,Confident,477.464969761453,2.12371600896e+24,False,False,False,False,False,True,4051.0,1016867.0,28555.0,5331261.0,1,32606.0,6348128.0,211.0,True,True,B,
gemma-2-9b,google/gemma-2-9b,Gemma-2,Google,Google DeepMind,United States of America,2024-06-24 00:00:00,Epoch publication date,True,dense,False,9241705984.0,9241705984.0,9241705984.0,HF safetensors (float tensors),9000000000.0,0.026856220444444467,917504000.0,True,8324201984.0,8000000000000.0,ObsScaling,,8000000000000.0,Gemma 2 9B,8000000000000.0,7790769380096.307,0.0,Confident,865.6410422329228,4.43601887232e+23,False,True,False,False,False,True,33080.0,2128358.0,864175.0,11665863.0,1,897255.0,13794221.0,738.0,True,True,B,
gemma-2-2b,google/gemma-2-2b,Gemma-2,Google,Google DeepMind,United States of America,2024-06-24 00:00:00,Epoch publication date,True,dense,False,2614341888.0,2614341888.0,2614341888.0,HF safetensors (float tensors),2000000000.0,0.3071709439999999,589824000.0,True,2024517888.0,2000000000000.0,ObsScaling,,2000000000000.0,Gemma 2 2B,2000000000000.0,1989028299576.4019,0.0,Confident,765.0108844524623,3.1372102656e+22,False,True,False,False,False,True,173760.0,26213188.0,679797.0,11862182.0,1,853557.0,38075370.0,708.0,True,True,B,
falcon-180B,tiiuae/falcon-180B,Falcon,TII,Technology Innovation Institute,United Arab Emirates,2023-09-06 00:00:00,Epoch publication date,True,dense,False,179522565120.0,179522565120.0,179522565120.0,HF safetensors (float tensors),180000000000.0,-0.0026524159999999908,,,,3500000000000.0,ObsScaling,,3500000000000.0,Falcon-180B,3500000000000.0,3490740377109.5728,0.0,Confident,19.49615636151623,3.76997386752e+24,False,False,False,False,False,True,58.0,282309.0,43.0,226629.0,1,101.0,508938.0,1152.0,True,True,B,
falcon-40b,tiiuae/falcon-40b,Falcon,TII,Technology Innovation Institute,United Arab Emirates,2023-03-15 00:00:00,Epoch publication date,True,dense,False,41835970560.0,41835970560.0,41835970560.0,HF safetensors (float tensors),40000000000.0,0.045899263999999995,532676608.0,True,41303293952.0,1000000000000.0,ObsScaling,,1000000000000.0,Falcon-40B,1000000000000.0,956115024094.7106,0.0,Confident,23.902875602367764,2.5101582336e+23,False,False,False,False,False,True,6466.0,2727683.0,5146.0,10522264.0,1,11612.0,13249947.0,2439.0,True,True,B,
falcon-7b,tiiuae/falcon-7b,Falcon,TII,Technology Innovation Institute,United Arab Emirates,2023-04-24 00:00:00,Epoch publication date,True,dense,False,7217189760.0,7217189760.0,7217189760.0,HF safetensors (float tensors),7000000000.0,0.031027108571428652,295469056.0,True,6921720704.0,1500000000000.0,ObsScaling,,1500000000000.0,Falcon-7B,1500000000000.0,1454859903808.321,0.0,Confident,207.83712911547445,6.495470784e+22,False,False,False,False,False,True,386982.0,16451518.0,32332.0,27169452.0,1,419314.0,43620970.0,1105.0,True,True,B,
falcon-rw-1b,tiiuae/falcon-rw-1b,Falcon-RW,TII,,,2023-04-26 00:00:00,release date (paper/Epoch sibling),True,dense,False,1000000000.0,1000000000.0,1000000000.0,reported,1000000000.0,,103022592.0,True,896977408.0,350000000000.0,ObsScaling,,350000000000.0,,,,,,350.0,2.1e+21,False,False,False,False,False,True,8839.0,2281362.0,0.0,0.0,0,8839.0,2281362.0,119.0,True,False,B,
phi-2,microsoft/phi-2,Phi-2,Microsoft,Microsoft,United States of America,2023-12-12 00:00:00,Epoch publication date,True,dense,False,2779683840.0,2779683840.0,2779683840.0,HF safetensors (float tensors),2700000000.0,0.029512533333333257,262144000.0,False,2517539840.0,1400000000000.0,ObsScaling,,1400000000000.0,Phi-2,250000000000.0,1361066060424.0996,0.7481880270062004,Confident,503.65440121420426,2.3349344256e+22,False,False,True,False,False,True,586842.0,23376475.0,0.0,0.0,0,586842.0,23376475.0,3523.0,True,True,B,
phi-1_5,microsoft/phi-1_5,Phi-1.5,Microsoft,Microsoft,United States of America,2023-09-11 00:00:00,Epoch publication date,True,dense,False,1418270720.0,1418270720.0,1418270720.0,HF safetensors (float tensors),1300000000.0,0.0909774769230769,209715200.0,False,1208555520.0,150000000000.0,ObsScaling,,150000000000.0,Phi-1.5,150000000000.0,137491381053.11798,0.0,Confident,105.76260081009076,1.276443648e+21,False,False,True,False,False,True,62883.0,3763353.0,0.0,0.0,0,62883.0,3763353.0,1363.0,True,True,B,
bloom-560m,bigscience/bloom-560m,BLOOM,BigScience,"Hugging Face,BigScience","United States of America,France",2022-07-05 00:00:00,Epoch publication date,True,dense,False,559214592.0,559214592.0,559214592.0,HF safetensors (float tensors),560000000.0,-0.0014025142857142514,,,,341000000000.0,ObsScaling,,341000000000.0,BLOOM-560M,354000000000.0,,-0.016248883033290126,Confident,609.7838019219641,1.144153055232e+21,False,False,False,False,False,True,512921.0,26408275.0,0.0,0.0,0,512921.0,26408275.0,375.0,True,True,B,
bloom-1b1,bigscience/bloom-1b1,BLOOM,BigScience,"Hugging Face,BigScience","United States of America,France",2022-07-05 00:00:00,Epoch publication date,True,dense,False,1065314304.0,1065314304.0,1065314304.0,HF safetensors (float tensors),1100000000.0,-0.03153245090909096,,,,341000000000.0,ObsScaling,,341000000000.0,BLOOM-1B,354000000000.0,,-0.016248883033290126,Confident,320.0933271238607,2.179633065984e+21,False,False,False,False,False,True,12620.0,990358.0,0.0,0.0,0,12620.0,990358.0,67.0,True,True,B,
bloom-3b,bigscience/bloom-3b,BLOOM,BigScience,"Hugging Face,BigScience","United States of America,France",2022-07-05 00:00:00,Epoch publication date,True,dense,False,3002557440.0,3002557440.0,3002557440.0,HF safetensors (float tensors),3000000000.0,0.0008524800000000443,,,,341000000000.0,ObsScaling,,341000000000.0,BLOOM-3B,354000000000.0,,-0.016248883033290126,Confident,113.56985064039274,6.14323252224e+21,False,False,False,False,False,True,11777.0,889915.0,0.0,0.0,0,11777.0,889915.0,94.0,True,True,B,
bloom-7b1,bigscience/bloom-7b1,BLOOM,BigScience,"Hugging Face,BigScience","United States of America,France",2022-07-05 00:00:00,Epoch publication date,True,dense,False,7069016064.0,7069016064.0,7069016064.0,HF safetensors (float tensors),7100000000.0,-0.004363934647887313,1027604480.0,True,6041411584.0,341000000000.0,ObsScaling,,341000000000.0,BLOOM-7.1B,354000000000.0,353999195551.9766,-0.016248883033290126,Confident,48.238679458742844,1.4463206866944e+22,False,False,False,False,False,True,5269.0,3684291.0,0.0,0.0,0,5269.0,3684291.0,203.0,True,True,B,
bloom,bigscience/bloom,BLOOM,BigScience,"Hugging Face,BigScience","United States of America,France",2022-07-11 00:00:00,Epoch publication date,True,dense,False,176247271424.0,176247271424.0,176247271424.0,HF safetensors (float tensors),176000000000.0,0.0014049512727272173,,,,366000000000.0,ObsScaling,,366000000000.0,BLOOM-176B,379000000000.0,345786913508.50104,-0.015158124573661693,Confident,2.07662789354344,3.87039008047104e+23,False,False,False,False,False,True,15187.0,4890452.0,0.0,0.0,0,15187.0,4890452.0,5070.0,True,True,B,
gpt-neox-20b,EleutherAI/gpt-neox-20b,GPT-Neo/J,EleutherAI,EleutherAI,United States of America,2022-02-09 00:00:00,Epoch publication date,True,dense,False,20554568208.0,20554568208.0,20554568208.0,HF safetensors (float tensors),20000000000.0,0.02772841039999996,619708416.0,False,19934859792.0,472000000000.0,ObsScaling,,472000000000.0,GPT-NeoX-20B,477642715151.0,755409534409.8118,-0.0051611597821386405,Confident,22.96326515953246,5.8210537165056e+22,False,False,False,False,False,True,611602.0,6264290.0,0.0,0.0,0,611602.0,6264290.0,586.0,True,True,B,
