model,epoch_model,org,org_cat,country,date,open_weights,accessibility,arch,moe,N_total,N_active,N,D,D_src,D_flag,D_epoch,epochs,C_epoch,C_method,confidence,C_D_ratio,D_C_mismatch,code,distilled,notable,frontier,hf_dev,core,in_B,M,C6,sample
EXAONE 3.5 2.4B,EXAONE 3.5 2.4B,LG AI Research,Industry,South Korea,2024-12-09,True,Open weights (non-commercial),dense,False,2400000000.0,2400000000.0,2400000000.0,6500000000000.0,Epoch dataset size x epochs,,6500000000000.0,,9.36e+22,Reported,Confident,1.0,False,False,False,False,False,LGAI-EXAONE,True,False,2708.3333333333335,9.36e+22,A
EXAONE 3.5 7.8B,EXAONE 3.5 7.8B,LG AI Research,Industry,South Korea,2024-12-09,True,Open weights (non-commercial),dense,False,7800000000.0,7800000000.0,7800000000.0,9000000000000.0,Epoch dataset size x epochs,,9000000000000.0,,4.21e+23,Reported,Confident,0.9995251661918327,False,False,False,False,False,LGAI-EXAONE,True,False,1153.8461538461538,4.212e+23,A
EXAONE 3.5 32B,EXAONE 3.5 32B,LG AI Research,Industry,South Korea,2024-12-09,True,Open weights (non-commercial),dense,False,32000000000.0,32000000000.0,32000000000.0,6500000000000.0,Epoch dataset size x epochs,,6500000000000.0,,1.25e+24,Reported,Confident,1.001602564102564,False,False,False,True,False,LGAI-EXAONE,True,False,203.125,1.248e+24,A
Pleias 1.0 350m,Pleias 1.0 350m,PleIAs,Industry,France,2024-12-05,True,Open weights (unrestricted),dense,False,350000000.0,350000000.0,350000000.0,1275665809523.8096,Epoch C/(6N) (operation counting),D from compute,,1.0,2.6788982e+21,"Hardware,Operation counting",Confident,1.0,False,False,False,False,False,PleIAs,True,False,3644.759455782313,2.6788982e+21,A
Pleias 1.0 1.2B,Pleias 1.0 1.2B,PleIAs,Industry,France,2024-12-05,True,Open weights (unrestricted),dense,False,1200000000.0,1200000000.0,1200000000.0,4134831527777.778,Epoch C/(6N) (operation counting),D from compute,,3.0,2.9770787e+22,"Hardware,Operation counting",Confident,1.0,False,False,False,False,False,PleIAs,True,False,3445.692939814815,2.9770787e+22,A
INTELLECT-1,INTELLECT-1,"Prime Intellect,Hugging Face,Arcee AI","Industry,Industry,Industry","United States of America,United States of America,United States of America",2024-11-29,False,nan,dense,False,10000000000.0,10000000000.0,10000000000.0,1000000000000.0,Epoch dataset size x epochs,,1000000000000.0,,6.000001e+22,Operation counting,Confident,1.0000001666666667,False,False,False,False,False,,True,False,100.0,6e+22,A
Hymba,Hymba,Nvidia,Industry,United States of America,2024-11-22,True,Open weights (unrestricted),ssm/hybrid,False,1500000000.0,1500000000.0,1500000000.0,1500000000000.0,Epoch dataset size x epochs,,1500000000000.0,,1.35e+22,Operation counting,Confident,1.0,False,False,False,False,False,nvidia,True,False,1000.0,1.35e+22,A
Qwen2.5-Coder (32B),Qwen2.5-Coder (32B),Alibaba,Industry,China,2024-11-12,True,Open weights (unrestricted),dense,False,32500000000.0,32500000000.0,32500000000.0,5500000000000.0,Epoch C/(6N) (operation counting),D from compute,,1.0,1.0725e+24,Operation counting,Confident,1.0,False,True,False,False,False,Qwen,False,False,169.23076923076923,1.0725e+24,A
Hunyuan-Large,Hunyuan-Large,Tencent,Industry,China,2024-11-06,True,Open weights (restricted use),moe,True,389000000000.0,52000000000.0,52000000000.0,7000000000000.0,Epoch dataset size x epochs,,7000000000000.0,,3.49237e+24,Operation counting,Confident,1.5990705128205127,True,False,False,True,False,,True,False,134.6153846153846,2.184e+24,A
Granite 3.0 8B,Granite 3.0 8B,IBM,Industry,United States of America,2024-10-21,True,Open weights (unrestricted),dense,False,8100000000.0,8100000000.0,8100000000.0,12000000000000.0,Epoch dataset size x epochs,,12000000000000.0,,5.832e+23,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,ibm-granite,True,True,1481.4814814814815,5.832e+23,A
Granite 3.0 2B,Granite 3.0 2B,IBM,Industry,United States of America,2024-10-21,True,Open weights (unrestricted),dense,False,2500000000.0,2500000000.0,2500000000.0,12000000000000.0,Epoch dataset size x epochs,,12000000000000.0,,1.8e+23,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,ibm-granite,True,True,4800.0,1.8e+23,A
RWKV-5 (Eagle) 7B,RWKV-5 (Eagle) 7B,"RWKV Foundation,EleutherAI,Ohio State University,University of California Santa Barbara (UCSB),Wroclaw Tech (Wrocław University of Science and Technology),Guangdong Laboratory of Artificial Intelligence and Digital Economy (Pazhou Lab),New York University (NYU),Harvard University,Contextual AI,University of Chinese Academy of Sciences,University of California Santa Cruz,Tsinghua University,University of Edinburgh,University of British Columbia (UBC),Pennsylvania State University","Research collective,Research collective,Academia,Academia,Government,Academia,Academia,Industry,Academia,Academia,Academia,Academia,Academia,Academia","Multinational,United States of America,United States of America,United States of America,Poland,China,United States of America,United States of America,United States of America,China,United States of America,China,United Kingdom,Canada,United States of America",2024-09-26,True,Open weights (unrestricted),ssm/hybrid,False,7520000000.0,7520000000.0,7520000000.0,1104388297872.3406,Epoch C/(6N) (operation counting),D from compute,,,4.983e+22,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,146.86014599366231,4.983e+22,A
