unit,unit_type,family,dev,n_members,members,reading,bound,fam_class,year,date,C_total,N_flagship,D_flagship,M_cw,w_ref,s_ref,w_lab1,s_lab1,w_ra2primary,s_ra2primary,serve_any,serve_all,serve_flagship,serve_hi_any,serve_developer,tier_share,tier_any,ondevice,local,has_lab,lab_path,unit_kind,id_class,own_cap,syn_protocol,syn_fixlist,R_CO,R_INF,R_DEV,deployment_rationale,codes_file,emb_share_min,emb_share_max,emb_share_cw,N_emb_share_flagship,w_band_ptmin,w_band_ptmax,all_tech_gt1,w_ref_lo,w_ref_hi,w_lab1_lo,w_lab1_hi
B:google/gemma-2b,model,Gemma,Google,1,gemma-2b,,point (member),size-specific-D,2024,2024-02-21 00:00:00,4.5111103488e+22,2506172416.0,3000000000000.0,1197.0445372582074,5.513796343727807,0.8186367544863087,5.513796343727807,0.8186367544863087,5.513796343727807,0.8186367544863087,0,0,0,0,1,1.0,1,0,1,0,,size-specific member,point,0,0,0,0,0,1,1,readings_final.csv,0.20919869545001013,0.20919869545001013,0.20919869545001013,0.20919869545001013,1.4652311258694979,15.013527561636453,True,4.481234461644184,6.882592576622588,4.481234461644184,6.882592576622588
B:google/gemma-2-27b,model,Gemma-2,Google,1,gemma-2-27b,,point (member),singleton,2024,2024-06-24 00:00:00,2.12371600896e+24,27227128320.0,13000000000000.0,477.46496976145295,3.766930300291516,0.7345318547777187,3.766930300291516,0.7345318547777187,3.766930300291516,0.7345318547777187,1,1,1,1,1,1.0,1,0,1,0,,singleton,point,0,0,0,0,1,1,1,readings_final.csv,0.04332619974224294,0.04332619974224294,0.04332619974224294,0.04332619974224294,1.0202545387901012,5.068825934304643,True,2.9195927534192903,4.840751891434912,2.9195927534192903,4.840751891434912
B:tiiuae/falcon-180B,model,Falcon,TII,1,falcon-180B,,lower bound,size-specific-D,2023,2023-09-06 00:00:00,3.76997386752e+24,179522565120.0,3500000000000.0,19.49615636151623,0.9617036041185258,-0.03982141245750628,0.9617036041185258,-0.03982141245750628,0.9617036041185258,-0.03982141245750628,0,0,0,0,0,0.0,0,0,0,0,,size-specific member,lower bound,1,0,0,1,0,0,0,readings_final.csv,0.0053780222634108865,0.0053780222634108865,0.005378022263410887,0.0053780222634108865,0.16367725070040579,2.0703981237303837,False,0.7682283160212761,1.1933455263929864,0.7682283160212761,1.1933455263929864
B:tiiuae/falcon-40b,model,Falcon,TII,1,falcon-40b,,lower bound,size-specific-D,2023,2023-03-15 00:00:00,2.5101582336e+23,41835970560.0,1000000000000.0,23.902875602367768,1.040499424050642,0.03892306243955293,1.040499424050642,0.03892306243955293,1.040499424050642,0.03892306243955293,0,0,0,0,0,0.0,0,0,0,0,,size-specific member,lower bound,1,0,0,1,0,0,0,readings_final.csv,0.012732502697315184,0.012732502697315184,0.012732502697315186,0.012732502697315184,0.26766385507710905,1.9915878443363315,False,0.8729832463658739,1.232240626372431,0.8729832463658739,1.232240626372431
B:tiiuae/falcon-7b,model,Falcon,TII,1,falcon-7b,,point (member),size-specific-D,2023,2023-04-24 00:00:00,6.495470784e+22,7217189760.0,1500000000000.0,207.8371291154744,2.611661532872441,0.6171019914283655,2.611661532872441,0.6171019914283655,2.611661532872441,0.6171019914283655,0,0,0,0,0,1.0,1,0,0,0,,size-specific member,point,0,0,0,0,1,1,1,readings_final.csv,0.04093962689433295,0.04093962689433295,0.04093962689433295,0.04093962689433295,0.9118271760874892,3.312076705514733,False,2.185783573265485,3.1134837420300085,2.185783573265485,3.1134837420300085
B:microsoft/phi-2,model,Phi-2,Microsoft,1,phi-2,,lower bound,singleton,2023,2023-12-12 00:00:00,2.3349344256e+22,2779683840.0,1400000000000.0,503.6544012142044,3.8006661842726315,0.7368882318215538,3.8006661842726315,0.7368882318215538,3.8006661842726315,0.7368882318215538,0,0,0,0,1,1.0,1,0,0,0,,singleton,lower bound,1,1,1,0,0,0,0,readings_final.csv,0.0943071281084974,0.0943071281084974,0.0943071281084974,0.0943071281084974,1.203372074386714,7.027871845064032,True,3.176017945880193,4.578936619671314,3.176017945880193,4.578936619671314
B:microsoft/phi-1_5,model,Phi-1.5,Microsoft,1,phi-1_5,,lower bound,singleton,2023,2023-09-11 00:00:00,1.276443648e+21,1418270720.0,150000000000.0,105.76260081009073,1.9330631596345798,0.4826863286820712,1.9330631596345798,0.4826863286820712,1.9330631596345798,0.4826863286820712,0,0,0,0,1,0.0,0,0,0,0,,singleton,lower bound,1,1,1,0,0,0,0,readings_final.csv,0.14786683320938898,0.14786683320938898,0.14786683320938898,0.14786683320938898,0.8906709683290917,2.548630620146279,False,1.7529124803448715,2.134978357662369,1.7529124803448715,2.134978357662369
MPT,family,MPT,MosaicML,2,mpt-7b; mpt-30b,menu,point (family share),common-D,2023,2023-05-05 00:00:00,2.31e+23,30000000000.0,1050000000000.0,45.19899270061805,1.3324925818915907,0.24952677891803957,1.3324925818915907,0.24952677891803957,1.3324925818915907,0.24952677891803957,1,1,1,1,1,1.0,1,0,0,0,,common-budget,point,0,0,0,0,1,1,1,readings_final.csv,0.012049885866666665,0.029509924571428536,0.01522443835844155,0.012049885866666665,0.4401389031006466,2.285859805214574,False,1.1249337114482305,1.574574720055645,1.1249337114482305,1.574574720055645
DeepSeek-LLM,family,DeepSeek-LLM,DeepSeek,2,deepseek-llm-7b-base; deepseek-llm-67b-base,cap+menu,lower bound,common-D,2024,2024-01-05 00:00:00,8.880000000000001e+23,67000000000.0,2000000000000.0,36.961559945848606,1.2194073906863316,0.17992952344075946,1.4549534395126986,0.3126927825711552,1.4242465195623848,0.29787435934387196,1,0,1,1,1,1.0,1,0,0,1,deepseek,common-budget,lower bound,0,0,0,0,0,0,0,readings_final.csv,0.025040620895522392,0.11983725714285709,0.03400787027027027,0.025040620895522392,0.3075301649951439,2.2774554839490824,False,1.002563264049164,1.4766269312483096,1.338540398552201,1.5828024738627642
StableLM-alpha,family,StableLM-alpha,Stability AI,2,stablelm-base-alpha-3b; stablelm-base-alpha-7b,choice,point (family share),common-D,2023,2023-04-11 05:55:14,5.52378433536e+22,7869358080.0,800000000000.0,129.74011559131822,2.1065461753521495,0.5252893045020336,2.1065461753521495,0.5252893045020336,2.1065461753521495,0.5252893045020336,0,0,0,0,0,0.5,1,0,0,0,,common-budget,point,0,0,0,0,0,0,0,readings_final.csv,0.07874955106884651,0.11412206522032797,0.08993351941348446,0.07874955106884651,0.8337832965878561,2.850048810147116,False,1.800188265969378,2.4616779293985833,1.800188265969378,2.4616779293985833
B:stabilityai/stablelm-base-alpha-7b-v2,model,StableLM-alpha-v2,Stability AI,1,stablelm-base-alpha-7b-v2,,point (member),singleton,2023,2023-08-05 00:00:00,4.54701367296e+22,6889414656.0,1100000000000.0,159.6652335393993,2.330727925333961,0.5709494921606031,2.330727925333961,0.5709494921606031,2.330727925333961,0.5709494921606031,0,0,0,0,0,1.0,1,0,0,0,,singleton,point,0,0,0,0,0,0,0,readings_final.csv,0.05996720543452794,0.05996720543452794,0.05996720543452794,0.05996720543452794,0.8655847470152953,3.0588733085462074,False,1.9657317765549231,2.750919527499847,1.9657317765549231,2.750919527499847
B:stabilityai/stablelm-2-1_6b,model,StableLM-2,Stability AI,1,stablelm-2-1_6b,,point (member),singleton,2024,2024-01-18 00:00:00,1.9734183936e+22,1644515328.0,2000000000000.0,1216.1637936402383,5.537133264337139,0.819401131910501,5.537133264337139,0.819401131910501,5.537133264337139,0.819401131910501,0,0,0,0,0,0.0,0,0,0,0,,singleton,point,0,0,0,0,1,1,1,readings_final.csv,0.2499470725517008,0.2499470725517008,0.2499470725517008,0.2499470725517008,1.4922656096516302,16.64910935170273,True,4.5369514117527805,6.842816428453072,4.5369514117527805,6.842816428453072
SmolLM#1,family,SmolLM,Hugging Face,2,SmolLM-135M; SmolLM-360M,cap or choice,lower bound,size-specific-D,2024,2024-07-14 21:45:18,1.7868100608e+21,361821120.0,600000000000.0,2168.299007670284,6.911367626988243,0.8553108365853535,6.911367626988243,0.8553108365853535,6.911367626988243,0.8553108365853535,0,0,0,0,0,0.0,0,1,1,0,,common-budget,lower bound,0,1,1,0,1,1,1,readings_final.csv,0.13041228770725155,0.21047132525167744,0.15210956394453717,0.13041228770725155,1.6818147133830221,36.36639674168126,True,5.760054236412954,8.429865928552069,5.760054236412954,8.429865928552069
