set,uid,model,dev,M,C,dlo,dhi,sign,w_lo,w_hi,s_lo,s_hi
PI,B:tiiuae/falcon-180B,falcon-180B,TII,19.49615636151623,3.76997386752e+24,-1.7258653374263475,2.1866383879514957,ambiguous,0.4076077453588419,3.1175641063189024,-1.45333905301441,0.679236748340434
PI,B:tiiuae/falcon-40b,falcon-40b,TII,23.902875602367764,2.5101582336e+23,-1.0826703619490026,1.967767871499073,ambiguous,0.5695045035562748,2.7821925201660282,-0.7559123654957829,0.6405712427332941
PI,B:tiiuae/falcon-7b,falcon-7b,TII,207.83712911547445,6.495470784e+22,1.2993337264531748,3.9196390239776604,w>1,1.681579433217287,7.676872920773667,0.4053209855886814,0.8697386279126761
PI,B:microsoft/phi-2,phi-2,Microsoft,503.65440121420426,2.3349344256e+22,2.3295290687655017,4.645167678534608,w>1,2.539104925793714,11.195223261729803,0.6061604269120923,0.9106761896014669
PI,B:microsoft/phi-1_5,phi-1_5,Microsoft,105.76260081009076,1.276443648e+21,0.9892052279073247,2.631061715017674,w>1,1.4853970216421082,3.928085243698009,0.3267793152739065,0.7454230399901983
PI,B:mosaicml/mpt-30b,mpt-30b,MosaicML,35.0,1.89e+23,-0.6552975268484711,2.304849204913797,ambiguous,0.7112333424216178,3.31521204385241,-0.40600832434990347,0.6983601691920859
PI,B:mosaicml/mpt-7b,mpt-7b,MosaicML,142.85714285714286,4.2e+22,0.9951408469745431,3.476710199454108,w>1,1.4889279119410332,6.097563735111586,0.3283758118978674,0.8360000742195276
PI,B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,29.850746268656717,8.04e+23,-1.0492580848779252,2.3715759352181145,ambiguous,0.5794857514673084,3.432261887679701,-0.7256679693468094,0.7086469410770906
PI,B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,285.7142857142857,8.4e+22,1.5758687940478655,4.277988340181405,w>1,1.87826319541377,9.249356087085612,0.4675932518713353,0.891884365723983
PI,B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,Stability AI,219.8692576482137,1.74649245696e+22,1.568643561722408,3.771012046605116,w>1,1.8728426769057591,7.105905964336378,0.46605232124880736,0.8592719907892293
PI,B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,Stability AI,159.66523353939925,4.54701367296e+22,1.09349967357416,3.6003286429110615,w>1,1.548675221137106,6.502397105079077,0.35428682118013377,0.8462105614529615
PI,B:stabilityai/stablelm-2-1_6b,stablelm-2-1_6b,Stability AI,1216.1637936402378,1.9734183936e+22,3.259254861087796,5.500492328964041,w>1,3.682905373794199,17.46599785290057,0.7284752393815155,0.9427458992940428
PI,B:stabilityai/stablelm-base-alpha-7b,stablelm-base-alpha-7b,Stability AI,101.6601343930711,3.7772918784e+22,0.6721352600389014,3.1199522592849,w>1,1.3084642274434746,5.065106554171586,0.2357452507862315,0.8025707871483163
PI,B:HuggingFaceTB/SmolLM-135M,SmolLM-135M,Hugging Face,4460.468827389134,4.842540288e+20,4.579818557201622,6.246449542605655,w>1,6.245913581065281,25.742768742964664,0.8398953192321557,0.9611541396349104
PI,B:HuggingFaceTB/SmolLM-360M,SmolLM-360M,Hugging Face,1658.2779910691781,1.302556032e+21,3.6281818794434146,5.3865588451779,w>1,4.268543856113868,16.461274123160035,0.7657280717480055,0.9392513609506654
PI,B:HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,Hugging Face,584.3249967389991,1.0268258304e+22,2.581981582456698,4.6655788957286415,w>1,2.808899116184987,11.314680318351796,0.6439886380262072,0.9116192440383796
PI,B:cerebras/btlm-3b-8k-base,btlm-3b-8k-base,Cerebras,209.0,1.1286e+22,1.5342416587267458,3.6521986920892147,w>1,1.847247444893101,6.68016922216014,0.4586540082842722,0.850303193415715
PI,B:h2oai/h2o-danube-1.8b-base,h2o-danube-1.8b-base,H2O.ai,546.0896139172642,1.098720768e+22,2.4945486903115968,4.608461838035206,w>1,2.7123610076236955,10.98356600121629,0.63131751371249,0.9089548877032048
PI,B:h2oai/h2o-danube3-500m-base,h2o-danube3-500m-base,H2O.ai,7788.301746473706,1.2326178816e+22,5.118677548904458,7.283995875975952,w>1,7.748281056181464,44.15374975062781,0.8709391163344269,0.9773518669275472
PI,B:h2oai/h2o-danube3-4b-base,h2o-danube3-4b-base,H2O.ai,1514.4480769659474,1.4262621696e+23,3.155930300673379,6.028390420164174,w>1,3.53379413767428,22.98318860576634,0.7170180375424651,0.956489936311574
PI,B:allenai/OLMo-1B-hf,OLMo-1B-hf,AI2,2549.3632873412785,2.1181759488e+22,3.9736976739360794,6.251677428741259,w>1,4.901195081556505,25.81284568910202,0.7959681295357819,0.9612595987267614
PI,B:allenai/OLMo-7B-hf,OLMo-7B-hf,AI2,362.94501309417336,1.0332143616e+23,1.7815506339643612,4.549543752232963,w>1,2.039327820054393,10.652160667558805,0.5096423487356103,0.906122332247062
PI,B:allenai/OLMo-7B-0424-hf,OLMo-7B-0424-hf,AI2,297.6149107372222,8.47235776512e+22,1.6152857922798445,4.320134467068206,w>1,1.9081120866263583,9.454302443066437,0.47592177262078345,0.8942280505598404
PI,B:TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,1818.1818181818182,1.32e+22,3.637593098021802,5.83989471422924,w>1,4.284643019346963,20.83731253257157,0.7666083275818826,0.9520091663242626
PI,B:Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Alibaba,36434.83016899802,5.3355538944e+22,6.497763589476423,9.055477614001434,w>1,13.45169924236977,110.9243413310552,0.9256599495734911,0.990984846175327
PI,B:Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,Alibaba,11660.188645890788,1.66721144832e+23,5.173632214516375,8.093870577293973,w>1,7.920488520509119,67.2766148602187,0.8737451613734905,0.9851359941031856
PI,B:Qwen/Qwen2.5-3B,Qwen2.5-3B,Alibaba,5832.9091468974775,3.33281378304e+23,4.368626779629131,7.509261749639935,w>1,5.7399512189331015,49.64095058910814,0.8257824915477465,0.9798553414442589
PI,B:Qwen/Qwen2.5-7B,Qwen2.5-7B,Alibaba,2363.564390569986,8.22486583296e+23,3.318771195005125,6.746838521256325,w>1,3.771634560810122,33.39332504483947,0.734862966208156,0.9700538955417817
PI,B:Qwen/Qwen2.5-14B,Qwen2.5-14B,Alibaba,1218.6837491015756,1.595163635712e+24,2.548939403935228,6.1877734002472735,w>1,2.7720185177049674,24.969177597550868,0.639252049142901,0.9599506232797156
PI,B:Qwen/Qwen2.5-32B,Qwen2.5-32B,Alibaba,549.3855429869253,3.538498646016e+24,1.6229948318203213,5.515336485765402,w>1,1.914005052387427,17.6013388926732,0.4775353394429896,0.9431861402079893
PI,B:Qwen/Qwen2.5-72B,Qwen2.5-72B,Alibaba,247.57172148810363,7.852269993984e+24,0.6966156793879188,4.8425839715634265,w>1,1.3213398659627296,12.40554642833311,0.24319243991673634,0.9193908945666357
PI,B:Qwen/Qwen3-0.6B-Base,Qwen3-0.6B-Base,Alibaba,60397.62575590984,1.2874678272e+23,6.8537981551075635,9.698317901449649,w>1,15.510531767210239,154.95353669974486,0.935527677902441,0.9935464525605653
PI,B:Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,Alibaba,20923.23816291514,3.71644194816e+23,5.628301114567007,8.803602464416855,w>1,9.50027215249111,97.30722890978043,0.8947398575589453,0.9897232712183474
PI,B:Qwen/Qwen3-4B-Base,Qwen3-4B-Base,Alibaba,8949.729156534248,8.68853108736e+23,4.641329024272945,8.086846313925914,w>1,6.401495338461927,67.03132739962707,0.8437864987588559,0.9850816023075568
PI,B:Qwen/Qwen3-8B-Base,Qwen3-8B-Base,Alibaba,4395.209760506778,1.76919883776e+24,3.8148887702717174,7.486671151027248,w>1,4.599536364589281,49.06122453835169,0.782586782507307,0.9796173045126851
PI,B:Qwen/Qwen3-14B-Base,Qwen3-14B-Base,Alibaba,2437.6524345322396,3.1899543552e+24,3.1298032065367725,6.989150201601744,w>1,3.4970553388314,37.87753168761211,0.7140451313721083,0.9735991244559621
PI,B:allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,AI2,2727.4256541209866,3.60834766848e+22,3.969034719457552,6.402292336481954,w>1,4.892061981827653,27.915777058569617,0.7955872178818134,0.9641779629525656
PI,B:allenai/OLMo-2-1124-7B,OLMo-2-1124-7B,AI2,554.8996212727055,1.773564014592e+23,2.118454405858267,5.058369002890479,w>1,2.333529112777265,13.87865268416598,0.5714645279013282,0.9279468963769884
PI,B:allenai/OLMo-2-1124-13B,OLMo-2-1124-13B,AI2,375.46846799766325,4.2383053056e+23,1.5865491129874458,4.803659157966541,w>1,1.8863045400002845,12.156971146232898,0.46986290983541334,0.9177426689615964
PI,B:allenai/OLMo-2-0325-32B,OLMo-2-0325-32B,AI2,190.79067415839916,1.1894449296384e+24,0.7421897194915372,4.287639246248407,w>1,1.345648277710866,9.295890381652988,0.2568637610853719,0.8924255817416189
PI,B:allenai/Olmo-3-1025-7B,Olmo-3-1025-7B,AI2,826.2525073790187,2.6404204290048e+23,2.452025886757066,5.5185619365306415,w>1,2.666616271652459,17.630885234857804,0.6249929130671973,0.9432813505006026
PI,B:allenai/Olmo-3-1125-32B,Olmo-3-1125-32B,AI2,173.73217762002974,1.0830463451136e+24,0.6637260930460043,4.1793586675498275,w>1,1.3040703836223941,8.786939814635558,0.23317022412376215,0.8861947366096219
PI,B:HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,Hugging Face,14868.229424630446,1.614180096e+21,5.59760440442701,7.613467606112753,w>1,9.384334549501185,52.40506019013748,0.8934394341202218,0.9809178732669751
PI,B:HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,Hugging Face,11055.186607127853,8.68370688e+21,5.217614290153871,7.579629547705979,w>1,8.061065276308339,51.49101697611205,0.8759469169739856,0.9805791367363375
PI,B:HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,Hugging Face,6427.574964128989,1.12950841344e+23,4.5909702043884755,7.437545831083558,w>1,6.273836702371001,47.823819542304676,0.8406079011233937,0.9790899177529012
PI,B:HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,Hugging Face,3642.1596083417194,2.066466275328e+23,3.9752091931531863,6.9637582872631105,w>1,4.904159277775142,37.38069181112238,0.7960914514885684,0.9732482211658143
PI,B:tiiuae/Falcon3-7B-Base,Falcon3-7B-Base,TII,1877.7956191968176,6.26266238976e+23,3.13290397183028,6.474247424832208,w>1,3.5013954489372194,28.98007894221325,0.7143995830852152,0.965493537750742
PI,B:tiiuae/falcon-11B,falcon-11B,TII,495.3695377492483,3.663931392e+23,1.8804522818209222,5.0580709116347675,w>1,2.121622047185505,13.87650155628749,0.5286625149250419,0.9279357267432513
PI,B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,IBM,4736.482810634458,1.82413836288e+23,4.160796443643389,7.207018082586356,w>1,5.282072699742621,42.42124944895144,0.8106803793047516,0.976426908377525
PI,B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,IBM,1468.6379762115425,5.88300189696e+23,2.8840245897480026,6.218728338256804,w>1,3.169614069686106,25.374347833619872,0.6845041768447753,0.9605901201261596
PI,B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,Swiss AI,1862.5816614409612,7.2480043584e+23,3.101070099549246,6.488907234980882,w>1,3.4570929215376975,29.201841203188025,0.7107396235229902,0.9657555839358914
PI,B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,Swiss AI,212.46499707162045,6.3539878032e+24,0.5780307798946529,4.6566325758726315,w>1,1.260126751027937,11.262165694760448,0.20642903645664293,0.9112071312833521
PI,B:marin-community/marin-8b-base,marin-8b-base,Marin,1581.5176627239912,6.119059070976e+23,2.964952611650709,6.298915069857453,w>1,3.273897085756455,26.454752910654467,0.6945536240736951,0.9621996091448181
PI,B:m-a-p/neo_7b,neo_7b,M-A-P,567.1235483772215,2.0668935426048e+23,2.115420757204209,5.104035633514936,w>1,2.330699187143662,14.212168431232891,0.5709442018446282,0.9296377604277203
PI,B:stabilityai/stablelm-3b-4e1t,stablelm-3b-4e1t,Stability AI,1430.9001163035614,6.70906368e+22,3.2016915977436113,5.853990527215908,w>1,3.599074176156366,20.990607466101235,0.7221507668208298,0.9523596445879449
