uid,unit,unit_type,unit_kind,budget_unit,reading,id_class,bound,point_if_choice,own_cap,syn_protocol,syn_fixlist,R_CO,R_INF,R_DEV,deployment_rationale,codes_file
B:HuggingFaceTB/SmolLM-1.7B,B:HuggingFaceTB/SmolLM-1.7B,model,size-specific member,B:HuggingFaceTB/SmolLM-1.7B,,lower bound,lower bound,False,1,1,1,0,1,1,1,readings_final.csv
B:cerebras/btlm-3b-8k-base,B:cerebras/btlm-3b-8k-base,model,singleton,B:cerebras/btlm-3b-8k-base,,point,point (member),True,0,0,0,0,1,1,1,readings_final.csv
B:h2oai/h2o-danube-1.8b-base,B:h2oai/h2o-danube-1.8b-base,model,singleton,B:h2oai/h2o-danube-1.8b-base,,point,point (member),True,0,0,0,0,0,0,0,readings_final.csv
B:h2oai/h2o-danube3-500m-base,B:h2oai/h2o-danube3-500m-base,model,size-specific member,B:h2oai/h2o-danube3-500m-base,,point,point (member),True,0,1,0,0,1,1,1,readings_final.csv
B:h2oai/h2o-danube3-4b-base,B:h2oai/h2o-danube3-4b-base,model,size-specific member,B:h2oai/h2o-danube3-4b-base,,point,point (member),True,0,1,0,0,1,1,1,readings_final.csv
B:allenai/OLMo-1B-hf,B:allenai/OLMo-1B-hf,model,size-specific member,B:allenai/OLMo-1B-hf,,lower bound,lower bound,False,1,0,0,0,0,0,0,readings_final.csv
B:allenai/OLMo-7B-hf,B:allenai/OLMo-7B-hf,model,size-specific member,B:allenai/OLMo-7B-hf,,lower bound,lower bound,False,1,0,0,0,0,0,0,readings_final.csv
B:allenai/OLMo-7B-0424-hf,B:allenai/OLMo-7B-0424-hf,model,singleton,B:allenai/OLMo-7B-0424-hf,,point,point (member),True,0,0,0,0,0,0,0,readings_final.csv
B:TinyLlama/TinyLlama_v1.1,B:TinyLlama/TinyLlama_v1.1,model,singleton,B:TinyLlama/TinyLlama_v1.1,,lower bound,lower bound,False,1,0,0,0,1,1,1,readings_final.csv
B:Qwen/Qwen2.5-0.5B,Qwen2.5,family,common-budget,Qwen2.5,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,1,1,1,readings_final.csv
B:Qwen/Qwen2.5-1.5B,Qwen2.5,family,common-budget,Qwen2.5,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,1,1,1,readings_final.csv
B:Qwen/Qwen2.5-3B,Qwen2.5,family,common-budget,Qwen2.5,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,1,1,1,readings_final.csv
B:Qwen/Qwen2.5-7B,Qwen2.5,family,common-budget,Qwen2.5,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,1,1,1,readings_final.csv
B:Qwen/Qwen2.5-14B,Qwen2.5,family,common-budget,Qwen2.5,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,1,1,1,readings_final.csv
B:Qwen/Qwen2.5-32B,Qwen2.5,family,common-budget,Qwen2.5,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,1,1,1,readings_final.csv
B:Qwen/Qwen2.5-72B,Qwen2.5,family,common-budget,Qwen2.5,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,1,1,1,readings_final.csv
B:Qwen/Qwen3-0.6B-Base,Qwen3,family,common-budget,Qwen3,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,0,1,1,readings_final.csv
B:Qwen/Qwen3-1.7B-Base,Qwen3,family,common-budget,Qwen3,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,0,1,1,readings_final.csv
B:Qwen/Qwen3-4B-Base,Qwen3,family,common-budget,Qwen3,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,0,1,1,readings_final.csv
B:Qwen/Qwen3-8B-Base,Qwen3,family,common-budget,Qwen3,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,0,1,1,readings_final.csv
B:Qwen/Qwen3-14B-Base,Qwen3,family,common-budget,Qwen3,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,1,0,0,1,1,readings_final.csv
B:allenai/OLMo-2-0425-1B,OLMo-2#1,family,common-budget,OLMo-2#1,choice,point,point (family share),True,0,1,1,0,0,0,0,readings_final.csv
B:allenai/OLMo-2-1124-7B,OLMo-2#1,family,common-budget,OLMo-2#1,choice,point,point (family share),True,0,1,1,0,0,0,0,readings_final.csv
B:allenai/OLMo-2-1124-13B,B:allenai/OLMo-2-1124-13B,model,size-specific member,B:allenai/OLMo-2-1124-13B,,lower bound,lower bound,False,1,1,1,0,0,0,0,readings_final.csv
B:allenai/OLMo-2-0325-32B,B:allenai/OLMo-2-0325-32B,model,size-specific member,B:allenai/OLMo-2-0325-32B,,lower bound,lower bound,False,1,1,1,0,0,0,0,readings_final.csv
B:allenai/Olmo-3-1025-7B,Olmo-3,family,common-budget,Olmo-3,choice,point,point (family share),True,0,1,0,0,0,1,1,readings_final.csv
B:allenai/Olmo-3-1125-32B,Olmo-3,family,common-budget,Olmo-3,choice,point,point (family share),True,0,1,0,0,0,1,1,readings_final.csv
B:HuggingFaceTB/SmolLM2-135M,B:HuggingFaceTB/SmolLM2-135M,model,size-specific member,B:HuggingFaceTB/SmolLM2-135M,,point,point (member),True,0,1,1,0,1,1,1,readings_final.csv
B:HuggingFaceTB/SmolLM2-360M,B:HuggingFaceTB/SmolLM2-360M,model,size-specific member,B:HuggingFaceTB/SmolLM2-360M,,point,point (member),True,0,1,1,0,1,1,1,readings_final.csv
B:HuggingFaceTB/SmolLM2-1.7B,B:HuggingFaceTB/SmolLM2-1.7B,model,size-specific member,B:HuggingFaceTB/SmolLM2-1.7B,,lower bound,lower bound,False,1,1,1,0,1,1,1,readings_final.csv
B:HuggingFaceTB/SmolLM3-3B-Base,B:HuggingFaceTB/SmolLM3-3B-Base,model,singleton,B:HuggingFaceTB/SmolLM3-3B-Base,,point,point (member),True,0,1,1,0,1,0,1,readings_final.csv
B:tiiuae/Falcon3-7B-Base,B:tiiuae/Falcon3-7B-Base,model,singleton,B:tiiuae/Falcon3-7B-Base,,point,point (member),True,0,0,0,0,0,0,0,readings_final.csv
B:tiiuae/falcon-11B,B:tiiuae/falcon-11B,model,singleton,B:tiiuae/falcon-11B,,point,point (member),True,0,0,0,0,1,1,1,readings_final.csv
B:ibm-granite/granite-3.0-2b-base,Granite-3.0,family,common-budget,Granite-3.0,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,0,0,1,1,1,readings_final.csv
B:ibm-granite/granite-3.0-8b-base,Granite-3.0,family,common-budget,Granite-3.0,cap or choice,lower bound (point if choice),lower bound (point if choice),True,0,1,0,0,1,1,1,readings_final.csv
B:swiss-ai/Apertus-8B-2509,Apertus,family,common-budget,Apertus,choice,point,point (family share),True,0,1,0,0,0,0,0,readings_final.csv
B:swiss-ai/Apertus-70B-2509,Apertus,family,common-budget,Apertus,choice,point,point (family share),True,0,1,0,0,0,0,0,readings_final.csv
B:marin-community/marin-8b-base,B:marin-community/marin-8b-base,model,singleton,B:marin-community/marin-8b-base,,point,point (member),True,0,1,0,0,0,0,0,readings_final.csv
B:m-a-p/neo_7b,B:m-a-p/neo_7b,model,singleton,B:m-a-p/neo_7b,,point,point (member),True,0,0,0,0,0,0,0,readings_final.csv
B:stabilityai/stablelm-3b-4e1t,B:stabilityai/stablelm-3b-4e1t,model,singleton,B:stabilityai/stablelm-3b-4e1t,,lower bound,lower bound,False,1,0,0,0,0,0,0,readings_final.csv
