uid,unit,unit_type,reading,bound
B:cerebras/btlm-3b-8k-base,B:cerebras/btlm-3b-8k-base,model,,point (member)
B:h2oai/h2o-danube-1.8b-base,B:h2oai/h2o-danube-1.8b-base,model,,point (member)
B:h2oai/h2o-danube3-500m-base,B:h2oai/h2o-danube3-500m-base,model,,point (member)
B:h2oai/h2o-danube3-4b-base,B:h2oai/h2o-danube3-4b-base,model,,point (member)
B:allenai/OLMo-1B-hf,B:allenai/OLMo-1B-hf,model,,point (member)
B:allenai/OLMo-7B-hf,B:allenai/OLMo-7B-hf,model,,point (member)
B:allenai/OLMo-7B-0424-hf,B:allenai/OLMo-7B-0424-hf,model,,point (member)
B:TinyLlama/TinyLlama_v1.1,B:TinyLlama/TinyLlama_v1.1,model,,point (member)
B:Qwen/Qwen2.5-0.5B,Qwen2.5,family,cap,lower bound
B:Qwen/Qwen2.5-1.5B,Qwen2.5,family,cap,lower bound
B:Qwen/Qwen2.5-3B,Qwen2.5,family,cap,lower bound
B:Qwen/Qwen2.5-7B,Qwen2.5,family,cap,lower bound
B:Qwen/Qwen2.5-14B,Qwen2.5,family,cap,lower bound
B:Qwen/Qwen2.5-32B,Qwen2.5,family,cap,lower bound
B:Qwen/Qwen2.5-72B,Qwen2.5,family,cap,lower bound
B:Qwen/Qwen3-0.6B-Base,Qwen3,family,cap,lower bound
B:Qwen/Qwen3-1.7B-Base,Qwen3,family,cap,lower bound
B:Qwen/Qwen3-4B-Base,Qwen3,family,cap,lower bound
B:Qwen/Qwen3-8B-Base,Qwen3,family,cap,lower bound
B:Qwen/Qwen3-14B-Base,Qwen3,family,cap,lower bound
B:allenai/OLMo-2-0425-1B,B:allenai/OLMo-2-0425-1B,model,,point (member)
B:allenai/OLMo-2-1124-7B,B:allenai/OLMo-2-1124-7B,model,,point (member)
B:allenai/OLMo-2-1124-13B,B:allenai/OLMo-2-1124-13B,model,,point (member)
B:allenai/OLMo-2-0325-32B,B:allenai/OLMo-2-0325-32B,model,,point (member)
B:allenai/Olmo-3-1025-7B,Olmo-3,family,choice,point (family share)
B:allenai/Olmo-3-1125-32B,Olmo-3,family,choice,point (family share)
B:HuggingFaceTB/SmolLM2-135M,B:HuggingFaceTB/SmolLM2-135M,model,,point (member)
B:HuggingFaceTB/SmolLM2-360M,B:HuggingFaceTB/SmolLM2-360M,model,,point (member)
B:HuggingFaceTB/SmolLM2-1.7B,B:HuggingFaceTB/SmolLM2-1.7B,model,,point (member)
B:HuggingFaceTB/SmolLM3-3B-Base,B:HuggingFaceTB/SmolLM3-3B-Base,model,,point (member)
B:tiiuae/Falcon3-7B-Base,B:tiiuae/Falcon3-7B-Base,model,,point (member)
B:tiiuae/falcon-11B,B:tiiuae/falcon-11B,model,,point (member)
B:ibm-granite/granite-3.0-2b-base,Granite-3.0,family,choice,point (family share)
B:ibm-granite/granite-3.0-8b-base,Granite-3.0,family,choice,point (family share)
B:swiss-ai/Apertus-8B-2509,Apertus,family,choice,point (family share)
B:swiss-ai/Apertus-70B-2509,Apertus,family,choice,point (family share)
B:marin-community/marin-8b-base,B:marin-community/marin-8b-base,model,,point (member)
B:m-a-p/neo_7b,B:m-a-p/neo_7b,model,,point (member)
B:stabilityai/stablelm-3b-4e1t,B:stabilityai/stablelm-3b-4e1t,model,,point (member)
