unit,unit_type,family,dev,n_members,members,reading,bound,fam_class,year,date,C_total,N_flagship,D_flagship,M_cw,w_ref,s_ref,w_lab1,s_lab1,w_ra2primary,s_ra2primary,serve_any,serve_all,serve_flagship,serve_hi_any,serve_developer,tier_share,tier_any,ondevice,local,has_lab,lab_path,emb_share_min,emb_share_max,emb_share_cw,N_emb_share_flagship
B:TinyLlama/TinyLlama_v1.1,model,TinyLlama,TinyLlama,1,TinyLlama_v1.1,,point (member),singleton,2024,2024-03-09 09:39:41,1.32e+22,1100000000.0,2000000000000.0,1818.181818181818,6.567457328636474,0.8477340696772188,6.567457328636474,0.8477340696772188,6.567457328636474,0.8477340696772188,0,0,0,0,0,0.0,0,0,0,0,,0.11915636363636362,0.11915636363636362,0.11915636363636362,0.11915636363636362
Qwen2.5,family,Qwen2.5,Alibaba,7,Qwen2.5-0.5B; Qwen2.5-1.5B; Qwen2.5-3B; Qwen2.5-7B; Qwen2.5-14B; Qwen2.5-32B; Qwen2.5-72B,cap,lower bound,common-D,2024,2024-09-15 12:15:39,1.4361776921088e+25,72706203648.0,18000000000000.0,469.1468532799272,3.5278519291198953,0.7165413911661895,3.5278519291198953,0.7165413911661895,3.5278519291198953,0.7165413911661895,1,1,1,1,1,0.7142857142857143,1,0,0,0,,0.034266905036906437,0.2755579484152759,0.05546990318825035,0.034266905036906437
Qwen3,family,Qwen3,Alibaba,5,Qwen3-0.6B-Base; Qwen3-1.7B-Base; Qwen3-4B-Base; Qwen3-8B-Base; Qwen3-14B-Base,cap,lower bound,common-D,2025,2025-04-29 00:00:00,6.328397279232e+24,14768307200.0,36000000000000.0,4161.816997190978,9.12634690657012,0.89042713253864,9.12634690657012,0.89042713253864,9.12634690657012,0.89042713253864,1,1,1,1,1,0.4,1,0,0,0,,0.09669589682682223,0.26102253985706436,0.12479251102892841,0.1053488811500346
B:allenai/OLMo-2-0425-1B,model,OLMo-2,AI2,1,OLMo-2-0425-1B,,point (member),size-specific-D,2025,2025-04-17 22:45:45,3.60834766848e+22,1484916736.0,4050000000000.0,2727.425654120986,7.834719517998362,0.8723630121406716,5.115492307872314,0.8045153936677641,20.174240891600228,0.9504318400194992,0,0,0,0,0,0.0,0,0,0,1,ai2,0.27681134034979316,0.27681134034979316,0.27681134034979316,0.27681134034979316
B:allenai/OLMo-2-1124-7B,model,OLMo-2,AI2,1,OLMo-2-1124-7B,,point (member),size-specific-D,2024,2024-12-31 00:00:00,1.773564014592e+23,7298617344.0,4050000000000.0,554.8996212727054,3.986234596660721,0.7491366913433287,2.1388044816316594,0.5324490814433323,4.052488056189682,0.7532380142434666,0,0,0,0,0,1.0,1,0,0,1,ai2,0.11263552331261939,0.11263552331261939,0.11263552331261938,0.11263552331261939
B:allenai/OLMo-2-1124-13B,model,OLMo-2,AI2,1,OLMo-2-1124-13B,,point (member),size-specific-D,2024,2024-12-31 00:00:00,4.2383053056e+23,13716198400.0,5150000000000.0,375.4684679976631,3.3823441819031577,0.704347060435072,1.6776252385045005,0.4039193157993746,2.5916690686886463,0.6141482675849552,0,0,0,0,0,1.0,1,0,0,1,ai2,0.07491904462390975,0.07491904462390975,0.07491904462390975,0.07491904462390975
B:allenai/OLMo-2-0325-32B,model,OLMo-2,AI2,1,OLMo-2-0325-32B,,point (member),size-specific-D,2025,2025-03-13 00:00:00,1.1894449296384e+24,32234279936.0,6150000000000.0,190.79067415839913,2.540531887552256,0.6063816380736409,1.1420935201411113,0.12441496045223596,1.2770480396458865,0.2169441015881512,0,0,0,0,0,1.0,1,0,0,1,ai2,0.031879244147543284,0.031879244147543284,0.031879244147543284,0.031879244147543284
Olmo-3,family,Olmo-3,AI2,2,Olmo-3-1025-7B; Olmo-3-1125-32B,choice,point (family share),common-D,2025,2025-09-12 19:24:57,1.34708838801408e+24,32233522176.0,5600000000000.0,235.8436746153352,2.6960441531478128,0.6290861932537593,1.236557092522097,0.19130300893718724,1.4086715385472368,0.29011130512986716,0,0,0,0,0,1.0,1,0,0,1,ai2,0.03185648513349737,0.11256181453982372,0.04767549169535919,0.03185648513349737
B:HuggingFaceTB/SmolLM2-135M,model,SmolLM2,Hugging Face,1,SmolLM2-135M,,point (member),size-specific-D,2024,2024-10-31 00:46:04,1.614180096e+21,134515008.0,2000000000000.0,14868.22942463045,16.020520283377447,0.9375800546853913,16.020520283377447,0.9375800546853913,16.020520283377447,0.9375800546853913,0,0,0,0,0,0.0,0,1,1,0,,0.21047132525167744,0.21047132525167744,0.21047132525167744,0.21047132525167744
B:HuggingFaceTB/SmolLM2-360M,model,SmolLM2,Hugging Face,1,SmolLM2-360M,,point (member),size-specific-D,2024,2024-10-31 00:43:11,8.68370688e+21,361821120.0,4000000000000.0,11055.186607127851,14.187999867403722,0.929517901794075,14.187999867403722,0.929517901794075,14.187999867403722,0.929517901794075,0,0,0,0,0,0.0,0,1,1,0,,0.13041228770725155,0.13041228770725155,0.13041228770725155,0.13041228770725155
B:HuggingFaceTB/SmolLM2-1.7B,model,SmolLM2,Hugging Face,1,SmolLM2-1.7B,,point (member),size-specific-D,2024,2024-10-30 22:50:10,1.12950841344e+23,1711376384.0,11000000000000.0,6427.574964128993,11.341912093495042,0.9118314450194397,11.341912093495042,0.9118314450194397,11.341912093495042,0.9118314450194397,0,0,0,0,0,0.0,0,1,1,0,,0.058820080106936845,0.058820080106936845,0.05882008010693684,0.058820080106936845
B:HuggingFaceTB/SmolLM3-3B-Base,model,SmolLM3,Hugging Face,1,SmolLM3-3B-Base,,point (member),singleton,2025,2025-06-19 11:33:11,2.066466275328e+23,3075098624.0,11200000000000.0,3642.1596083417217,8.913539383807574,0.887811120034247,8.913539383807574,0.887811120034247,8.913539383807574,0.887811120034247,0,0,0,0,0,1.0,1,1,1,0,,0.08541784187016699,0.08541784187016699,0.08541784187016699,0.08541784187016699
B:tiiuae/Falcon3-7B-Base,model,Falcon3,TII,1,Falcon3-7B-Base,,point (member),singleton,2024,2024-12-17 00:00:00,6.26266238976e+23,7455550464.0,14000000000000.0,1877.7956191968171,6.7383767726828285,0.8515963066870987,6.7383767726828285,0.8515963066870987,6.7383767726828285,0.8515963066870987,0,0,0,0,0,1.0,1,0,0,0,,0.10801434071012139,0.10801434071012139,0.10801434071012139,0.10801434071012139
B:tiiuae/falcon-11B,model,Falcon2,TII,1,falcon-11B,,point (member),singleton,2024,2024-05-09 00:00:00,3.663931392e+23,11102822400.0,5500000000000.0,495.3695377492484,3.805993143498089,0.7372564893585437,3.805993143498089,0.7372564893585437,3.805993143498089,0.7372564893585437,0,0,0,0,0,0.0,0,0,0,0,,0.04797668455905413,0.04797668455905413,0.04797668455905413,0.04797668455905413
Granite-3.0,family,Granite-3.0,IBM,2,granite-3.0-2b-base; granite-3.0-8b-base,choice,point (family share),common-D,2024,2024-10-21 00:00:00,7.70714025984e+23,8170835968.0,12000000000000.0,1937.6579144954449,6.684818764034058,0.8504073131525657,6.684818764034058,0.8504073131525657,6.684818764034058,0.8504073131525657,1,1,1,1,1,1.0,1,0,0,0,,0.024639656552703948,0.039732497597150696,0.02821185446604472,0.024639656552703948
Apertus,family,Apertus,Swiss AI,2,Apertus-8B-2509; Apertus-70B-2509,choice,point (family share),common-D,2025,2025-09-02 00:00:00,7.07878823904e+24,70599864480.0,15000000000000.0,265.3529890734777,2.849525401212539,0.6490643671488323,2.849525401212539,0.6490643671488323,2.849525401212539,0.6490643671488323,0,0,0,0,0,1.0,1,0,0,0,,0.03041767379891147,0.1333287887003045,0.040954790945874696,0.03041767379891147
B:marin-community/marin-8b-base,model,Marin,Marin,1,marin-8b-base,,point (member),singleton,2025,2025-05-19 00:00:00,6.119059070976e+23,8030261248.0,12700000000000.0,1581.5176627239916,6.261061640533761,0.8402826776970129,5.221094375858128,0.8084692732956695,5.081706446921882,0.8032157090447983,0,0,0,0,0,1.0,1,0,0,1,marin,0.13083922422345584,0.13083922422345584,0.13083922422345584,0.13083922422345584
B:m-a-p/neo_7b,model,MAP-Neo,M-A-P,1,neo_7b,,point (member),singleton,2024,2024-07-10 00:00:00,2.0668935426048e+23,7793716224.0,4420000000000.0,567.1235483772215,4.025435220045099,0.7515796565249915,4.025435220045099,0.7515796565249915,4.025435220045099,0.7515796565249915,0,0,0,0,0,1.0,1,0,0,0,,0.05065476502522448,0.05065476502522448,0.05065476502522448,0.05065476502522448
