uid,tech,N_used,M_used,C_used,lnMstar,lnw,w,w_lo,w_hi,sd_lnw,s,s_lo,s_hi,M_extrap,C_extrap,Mstar
B:meta-llama/Llama-3.2-1B,marin_comma_mf,1235814400.0,7282.646973526122,6.67339776e+22,3.5461902405581487,2.2919369533286336,9.894083510888153,6.053828899984316,21.244205668043218,0.3404616770552928,0.8989294967139171,0.8348152852482186,0.9529283412321573,1.0,True,34.68093944696072
B:meta-llama/Llama-3.2-3B,marin_comma_mf,3212749824.0,2801.3385707059647,1.73488490496e+23,3.7278504655829945,1.8045543892737008,6.077262751584311,4.002872166600076,11.880111617358715,0.28944457132025014,0.8354522355086087,0.7501793816090382,0.9158257066761188,1.0,True,41.58961370672775
B:meta-llama/Llama-4-Scout-17B-16E,marin_comma_mf,17000000000.0,2352.9411764705883,4.08e+24,4.328266758997758,1.4724275913401712,4.359806132459727,3.0168228168763505,8.477584500247218,0.28024878894584065,0.7706320029794954,0.6685254452446066,0.8820418717181954,0.0,True,75.81277082498389
B:meta-llama/Llama-4-Maverick-17B-128E,marin_comma_mf,17000000000.0,1294.1176470588234,2.244e+24,4.214593384513432,1.2648981032028566,3.5427317247004555,2.5544095746820883,6.427778683266392,0.2510981373621579,0.7177319431138829,0.6085201019008645,0.8444252595996613,0.0,True,67.66664597012651
B:Qwen/Qwen2.5-0.5B,marin_comma_mf,494032768.0,36434.83016899802,5.3355538944e+22,3.503648752155792,3.000287317142056,20.091308671374488,10.725645505836113,51.10798922658905,0.4260286114157839,0.950227234255538,0.9067655182659288,0.9804335874853838,1.0,True,33.23650274327253
B:Qwen/Qwen2.5-1.5B,marin_comma_mf,1543714304.0,11660.188645890788,1.66721144832e+23,3.7202850115190014,2.4190663286660676,11.235364278633766,6.6672248705358665,25.559839970452035,0.36341882170700324,0.9109953202049982,0.8500125585355235,0.9608761243749557,1.0,True,41.27615661240127
B:Qwen/Qwen2.5-3B,marin_comma_mf,3085938688.0,5832.9091468974775,3.33281378304e+23,3.851988987029957,2.0657131316633777,7.8909231587984054,4.927756547570283,16.80098605183588,0.32641698463987834,0.8732721153310185,0.7970678968519523,0.9404796839355314,1.0,True,47.086624840413386
B:Qwen/Qwen2.5-7B,marin_comma_mf,7615616512.0,2363.564390569986,8.22486583296e+23,4.023751994104222,1.6048841594093144,4.977282997940719,3.411072060693231,9.70078884790046,0.27999844814363245,0.7990871725771398,0.7068370347483159,0.8969155997848124,0.0,True,55.910488603296464
B:Qwen/Qwen2.5-14B,marin_comma_mf,14770033664.0,1218.6837491015756,1.595163635712e+24,4.149701339244762,1.266970261266552,3.5500804360275056,2.5649157435864387,6.363910284868918,0.24790285310729043,0.7183162415556457,0.6101236453865996,0.8428639067433683,0.0,True,63.41505788050572
B:Qwen/Qwen2.5-32B,marin_comma_mf,32763876352.0,549.3855429869253,3.538498646016e+24,4.3011917217505715,0.8605314216953364,2.3644168623160597,1.826191564168766,3.977026211743487,0.21265266741043004,0.5770627354516276,0.45241232101782625,0.7485558437992768,0.0,True,73.78767570180615
