set,uid,model,dev,M,C,dlo,dhi,sign,w_lo,w_hi,s_lo,s_hi
"PI-1 IsoFLOP anchors, e from A2/published paths",B:h2oai/h2o-danube3-4b-base,h2o-danube3-4b-base,H2O.ai,1514.4480769659474,1.4262621696e+23,2.980233581270701,6.203849669932936,w>1,3.326873412949336,24.604719306577152,0.6994174782522065,0.9593573904444954
"PI-1 IsoFLOP anchors, e from A2/published paths",B:allenai/OLMo-1B-hf,OLMo-1B-hf,AI2,2549.3632873412785,2.1181759488e+22,3.8510158883866845,6.4271366785100215,w>1,4.7268076407562685,27.611087532535507,0.7884407244801686,0.9637826652491811
"PI-1 IsoFLOP anchors, e from A2/published paths",B:allenai/OLMo-7B-hf,OLMo-7B-hf,AI2,362.94501309417336,1.0332143616e+23,1.6477245408821108,4.725003002001725,w>1,1.9436841508150153,11.466569369316103,0.4855131171488509,0.912789957676797
"PI-1 IsoFLOP anchors, e from A2/published paths",B:allenai/OLMo-7B-0424-hf,OLMo-7B-0424-hf,AI2,297.61491073722215,8.47235776512e+22,1.4870072784710615,4.495593716836968,w>1,1.8216857313244625,10.185812482351563,0.4510578950009414,0.9018242283830918
"PI-1 IsoFLOP anchors, e from A2/published paths",B:TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,1818.1818181818185,1.32e+22,3.526332430819397,6.015353963998002,w>1,4.146621089708769,22.32308299045556,0.7588397930831358,0.9552033202390745
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Alibaba,36434.83016899802,5.3355538944e+22,6.398853641008856,9.230936863770197,w>1,13.208790703146477,117.42150220725038,0.9242928423597635,0.9914836722303638
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,Alibaba,11660.188645890788,1.66721144832e+23,5.047247066449094,8.269329827062736,w>1,7.6578566556267615,71.47225092909822,0.8694151581872155,0.9860085559500286
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2.5-3B,Qwen2.5-3B,Alibaba,5832.9091468974775,3.33281378304e+23,4.203333679805532,7.684720999408698,w>1,5.448564640378564,52.85149709580871,0.816465424198304,0.9810790601033078
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2.5-7B,Qwen2.5-7B,Alibaba,2363.564390569986,8.22486583296e+23,3.2787354459890787,6.922297771025086,w>1,3.7525261050941663,35.65396500659453,0.7335128465482305,0.9719526285557569
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2.5-14B,Qwen2.5-14B,Alibaba,1218.6837491015756,1.595163635712e+24,2.4115662669180526,6.363232650016036,w>1,2.6449956835993507,26.714991584302652,0.6219275493715798,0.9625678339877305
