rep,sig_mf_P_est,sig_mf_P_cr2cv_lo,sig_mf_P_cr2cv_hi,sig_mf_P_cr2cv_se,sig_mf_P6_est,sig_mf_P6_cr2cv_lo,sig_mf_P6_cr2cv_hi,sig_mf_P6_cr2cv_se,q3_est,q3_cr2cv_lo,q3_cr2cv_hi,q3_cr2cv_se
12,0.7332236418452163,0.7099740942819315,0.7552845946303669,0.012442435854128589,0.7395448059235,0.721678713208474,0.7577274853529922,0.009237761721161588,0.025882102411472183,-0.04731491863680448,0.1245541585658291,0.05153708134262943
13,0.7967540458349067,0.7839782540844096,0.8232285982181259,0.011041772007372254,0.7613292643006804,0.7474344891030186,0.7789371383984047,0.008338059933901666,-0.08611327237114234,-0.1165242191517508,-0.045061798406645495,0.021496301603711864
14,0.7444582406470853,0.7322724726709744,0.7623168589096755,0.009071241815253305,0.7405511129068727,0.7301223427279768,0.7553879122129948,0.006897281835469022,-0.09893614169084103,-0.1601148809321867,-0.060746744206834485,0.027052173293994553
15,0.7112751428216018,0.6989928030669615,0.7307673579268689,0.008632271059728807,0.7196884690262398,0.7094074119301695,0.7383562045133,0.00848878502668165,-0.1656641304980467,-0.2135804794730825,-0.11886094756491991,0.026692655030100217
16,0.7209880106428502,0.6939036996810278,0.7500473220283883,0.016043479129422365,0.7317389081710304,0.7169853599113613,0.750135311797721,0.00905298304480098,0.045258080428658726,-0.057436873327775,0.1975822037343911,0.06941539372883179
17,0.7290964289259508,0.6990840623741378,0.7503085810822038,0.016574936486546645,0.7388920060683485,0.7222683390355035,0.7537928263313528,0.009819122575924018,-0.0023488854622212736,-0.07060938537095955,0.09847476481197455,0.043728812357242026
18,0.763180840978127,0.7432753698213814,0.7856441866705356,0.011931278229538097,0.7688133764619648,0.7504623841047957,0.7942512446744993,0.012364811799364552,-0.14213757544616376,-0.3563730765114437,-0.032333224162955476,0.09974521456050013
19,0.7494664732551081,0.7419201700737111,0.7577849294295589,0.004801994700786698,0.7645456321072681,0.7551878083060883,0.7779028979226947,0.006408347394980601,-0.0735462632422258,-0.1584481267609657,0.08637441248179417,0.06946082543241607
20,0.7640644105761488,0.7137945281131378,0.8075567642893002,0.025336579965010944,0.7570427820171033,0.7323405511239043,0.7814459726910651,0.013377325302988465,0.004355718937993794,-0.1140314307085742,0.07317713242333314,0.04868684980770206
21,0.7126143772876178,0.6947779529329967,0.7264252397282112,0.009166440865710184,0.7307301000047981,0.717656393963526,0.7431363065961039,0.007040572830121418,-0.11010707111103746,-0.251821928416453,-0.0370477485120326,0.05092324128364759
22,0.7308516695690624,0.7217037141317918,0.7452978673108132,0.006532988331385359,0.7312149243214208,0.7167652027638666,0.741370702641717,0.005893813531987279,-0.06371163373607153,-0.15398410030811438,0.023516661011095646,0.05195927503161114
23,0.7185537366261678,0.7012323915334836,0.7305526469286563,0.008013491446503151,0.7281905486115776,0.7138476841131797,0.7492349104049907,0.008117870489837819,-0.08016836988779555,-0.191802389522244,0.004914766772338125,0.047498551215814214
24,0.7556668227604891,0.7285079809738764,0.7817802680181689,0.01530260523604821,0.7499584293267317,0.7390658708021338,0.7636240289699747,0.007934626668203418,-0.03943079608980439,-0.10758895916228182,0.04893553566169205,0.04000073915400182
25,0.7198247030573278,0.6924297093194174,0.7719765680090781,0.020710643070989198,0.7337233118530267,0.7205916408299805,0.774179076987154,0.014012574482073664,-0.08616456661182142,-0.21365079814854468,0.07981367742611117,0.08611605285221823
26,0.733413840197024,0.6990323386272045,0.7671985555511358,0.01907125621828131,0.7358578151385006,0.7208469799246673,0.7544306370305213,0.00907061893420771,0.01063879475328705,-0.06869780908635292,0.10464207851321089,0.04794197070370166
27,0.7374846799962713,0.7129858654489452,0.7591355866006556,0.012056578788432817,0.7537392290644409,0.739680017151205,0.77150873895621,0.009017543487112643,-0.1347162621930199,-0.2025419814273492,-0.0790316543353829,0.040383860483659544
28,0.7353450084914018,0.7166409640719231,0.7512101902476469,0.00997926131224834,0.7450995021876731,0.7330437920148614,0.7596904015348829,0.00795423029497534,-0.18547194738694558,-0.4190664707755414,0.022243801576418143,0.1303946934407392
