rep,sig_chin|web|P,sig_kappa|web|P,sig_mf_P|web|P,n_levels_P|web|P,sig_mf_P6|web|P,n_levels_P6|web|P,q3_slope|web|P,q3_mean|web|P,q3_n|web|P,q3_slope_mainonly|web|P,sig_chin|edu|P,sig_kappa|edu|P,sig_mf_P|edu|P,n_levels_P|edu|P,sig_mf_P6|edu|P,n_levels_P6|edu|P,q3_slope|edu|P,q3_mean|edu|P,q3_n|edu|P,q3_slope_mainonly|edu|P,ce_chi|val1|P,ce_alpha|val1|P,ce_beta|val1|P,ce_chi|val2|P,ce_alpha|val2|P,ce_beta|val2|P,sig_chin|web|T,sig_kappa|web|T,sig_mf_T|web|T,n_levels_T|web|T,q3_slope|web|T,q3_mean|web|T,q3_n|web|T,q3_slope_mainonly|web|T,sig_chin|edu|T,sig_kappa|edu|T,sig_mf_T|edu|T,n_levels_T|edu|T,q3_slope|edu|T,q3_mean|edu|T,q3_n|edu|T,q3_slope_mainonly|edu|T,ce_chi|val1|T,ce_alpha|val1|T,ce_beta|val1|T,ce_chi|val2|T,ce_alpha|val2|T,ce_beta|val2|T,secs,cell,chi_true
10,0.7374599806758564,0.737004054400237,0.7349405048475285,9,0.7373298128676506,10,-0.02874162600799808,-0.04180897393421064,15,-0.003087648298351945,0.7344222482723773,0.7329412511586753,0.722995387398652,8,0.7168453820515767,9,-0.0566235850390676,-0.012602925024760033,17,-0.007669261251382639,0.21823599560850937,0.3492242969469132,0.3667348413660622,0.21354210597852585,0.35276748388246315,0.3643191398231837,0.6552314796845645,0.656355559647548,0.682861731088078,9,0.11503838173454918,0.13469069205757037,10,-0.07406293662769972,0.6550794353566426,0.6548463940788957,0.6809943208290153,9,0.1142400875574563,0.1684678275826036,12,-0.09355503327491765,0.21401862816297168,0.6796763052984074,0.3731145731831201,0.21937081336074726,0.6830461272914253,0.3704881058293968,6.935928106307983,chin_s002_r5,0.22
11,0.7375500173707162,0.7376231406235486,0.7393217799554572,9,0.7336156851945678,10,0.004644027577288307,0.025150736809852463,15,0.0019412061442637561,0.7375090127060533,0.737657228538824,0.7400632869507449,8,0.7459018334563283,9,0.007966103530600897,0.01694554286535163,17,-0.05858443931141364,0.214541939491121,0.34592622139698503,0.3680398024881286,0.21861441709264806,0.34364181205886435,0.3652684775722495,0.6535510704366546,0.6536804142069568,0.6853823354865815,9,0.14600358988716403,0.16806330347238552,10,-0.0764672483800384,0.6569756325011257,0.6615896893001416,0.6940451390531268,9,0.11560524706290656,0.147929011038983,12,-0.17447886664140855,0.21874820384448057,0.6758604261511478,0.3807665474355244,0.2223528488273976,0.6731632480989319,0.3798333312722856,7.010657072067261,chin_s002_r5,0.22
12,0.7380026885480842,0.7377960986645203,0.7341339268440612,8,0.7426256689535808,10,-0.04137830161329058,-0.026623606972649917,15,-0.042179876018950166,0.7374303605992294,0.7361536457724221,0.7289306572183533,8,0.7421157336821254,9,-0.00853729252328733,-0.0008373835101242357,17,-0.01571734259505916,0.20635359305854184,0.34640036826208265,0.3640261084909526,0.20846173732770357,0.3428902533391878,0.3669854384933354,0.6589668891173487,0.659684381967662,0.6841566039301248,9,0.1052112942921617,0.13284801115311626,10,-0.1510432376857367,0.6606588553383183,0.6625429130337172,0.6824054631624661,9,0.10357410199474062,0.13548959830436855,12,-0.08974798272659422,0.20484873298430362,0.6702953038253925,0.36221164611796325,0.21291871516761063,0.6638286937012418,0.3585956106224615,7.014549016952515,chin_s002_r5,0.22
13,0.732895797511769,0.7316919521927591,0.7357097886718952,9,0.7362889773368102,10,0.007812638363024517,0.03191780710123139,15,-0.02322314761079521,0.7396161759901193,0.7397862719283725,0.7298486954210206,8,0.7377676016466039,9,-0.0468727317135728,-0.012314472196592659,17,-0.0005113952049998375,0.2210981739547071,0.353825140155796,0.3629855926516699,0.22012771022887812,0.35444379011537797,0.36503400402693587,0.6471887326203712,0.6472037387816326,0.6824752238856628,10,0.1307257087788291,0.1505725377577063,10,-0.10083706733205665,0.6552350679576556,0.6582810264847638,0.6919897110317389,9,0.10303205591206774,0.13995895950212256,12,-0.023468589636214218,0.2202455304790023,0.6941226334624163,0.3724054530385548,0.21660364707938484,0.6994633738231202,0.37437965498769754,6.976422309875488,chin_s002_r5,0.22
14,0.7341318037169474,0.7342511713598372,0.7317109521473055,9,0.7396941239089093,10,-0.005482558412283057,0.0247942278841608,15,-0.015883079821014355,0.7372260353643769,0.7380708320447373,0.7371278171662721,8,0.7426496088941078,9,-0.02729278971142827,0.029223260509366907,17,-0.0305697549553094,0.22307388275371132,0.3490680197865641,0.36641541464628286,0.2266253523755397,0.3486749430810987,0.36479576112459117,0.6597568750670325,0.6601908638376507,0.6810846329527009,10,0.08593520179724379,0.095965362501589,10,-0.10525427047699856,0.6522020717715374,0.6574633453539113,0.6985780320004173,9,0.12156291566915418,0.18457407496357814,12,-0.14775802694977103,0.21911493844084706,0.6694014170884075,0.369041724311861,0.22093463670714542,0.6724299829126494,0.36611499013495125,7.022216081619263,chin_s002_r5,0.22
15,0.7345432865457826,0.7345393689410135,0.7347037969932247,8,0.7397059160689,10,0.030294718647998417,0.03569987205261242,15,0.01005220398337748,0.7350575355633637,0.7344345795430041,0.7381921025240136,8,0.7431423178233915,9,-0.041560789915611636,-0.01105718405256209,17,-0.053263122727798526,0.22129874263296045,0.3559580464660513,0.3669376215288101,0.21799391023998105,0.35557090182894296,0.3599353500844458,0.6505149538622395,0.6515535024448822,0.6856500824940093,9,0.14065437456920826,0.17350491874431911,10,-0.023077000302131633,0.6500189913451411,0.6545983880498087,0.6943047187171246,9,0.10670787181872342,0.14306800328915076,12,-0.15727313345126331,0.22864118063943373,0.6993828491111552,0.376534823905333,0.22977978951116018,0.7004821505784462,0.37723788256312346,7.031005859375,chin_s002_r5,0.22
16,0.7375395165841641,0.7373208589370421,0.7428104014471498,9,0.7364906082967264,10,-0.020231862934608918,-0.005005432720256138,15,-0.01754852950986346,0.7368858710586614,0.7354800639701808,0.7121687896794792,8,0.7285626536530834,9,-0.0422325310454194,-0.044186783955780864,17,-0.018015468057528496,0.22226789986193118,0.34899415098122355,0.3634514904025031,0.22543049378629654,0.34662120289954557,0.3576091154196045,0.6459741495718043,0.64915823165945,0.6904625448765246,9,0.10719426871929173,0.10838335378914768,10,-0.11835570581549937,0.6550003653300956,0.6570954359733893,0.6669898099359862,9,0.10757164571528889,0.11838540961972015,12,-0.10822018564189789,0.22442003188766524,0.6763507598190417,0.3801670573036765,0.22129976351520853,0.671670716759064,0.37509014087032627,7.05580472946167,chin_s002_r5,0.22
17,0.7369255757023849,0.7354130735314164,0.7327832887072283,9,0.737474570230826,10,-0.005686966839011648,0.008537116856972988,15,-0.0012769704114162428,0.7340180398622915,0.7342329645966686,0.7385492377135602,8,0.7420083837150854,9,0.013316685258869186,0.037737164126605764,17,-0.01174339505181584,0.22553892870844017,0.3490506979392393,0.3703911746249032,0.22635424663133286,0.35075610367026877,0.36894307986919395,0.6554671503819748,0.6573348988730274,0.6822271744261339,9,0.11256795759375864,0.1265048264376068,10,-0.08064950723731429,0.6508332512448858,0.6529338719282255,0.6977063224023666,9,0.16403658968713147,0.22712369372208704,12,-0.09353842895226303,0.22583336981997082,0.6840261695608194,0.37371512763642767,0.21950967646791497,0.678917102675091,0.37770115789878766,6.976161003112793,chin_s002_r5,0.22
18,0.7374028265858347,0.737293619747086,0.7543169863650527,9,0.7504181404957248,10,-0.029014704123236104,-0.03013854141345918,15,-0.05640135561859461,0.7361385854668219,0.7372671071191756,0.7417149155729437,8,0.7442370867449414,9,-0.024844291426984026,-0.0015424458352591268,17,-0.006848875471929927,0.2246870793605522,0.35078316677460625,0.36564806760345614,0.22140960983437008,0.349852521832562,0.3620355857660879,0.6559211853090118,0.657323093989806,0.7028480894394051,9,0.10900112601051855,0.1102982892567953,10,-0.13888851723807635,0.6554685564548001,0.6580349134345792,0.6991636527126174,9,0.11030065962532606,0.14029457932587966,12,-0.07849177530112307,0.2248645590784628,0.6828608725679312,0.36782996870234475,0.22378639472811912,0.6806722349500489,0.36905463024978263,6.936753988265991,chin_s002_r5,0.22
19,0.7384274167310193,0.7369328911058344,0.7454341328681973,9,0.7460713695624943,10,-0.03720584641340872,-0.04242883247640697,15,-0.029534677414567657,0.7401777617891534,0.7399015793501973,0.7364266157534262,8,0.7442840716913175,9,-0.0404760582935589,-0.017917225651256086,17,-0.03567197755406627,0.23083992849155166,0.3476111532487288,0.35918753835400763,0.21871845038097604,0.3444221331832774,0.3617901643910908,0.6597794430568629,0.6600289537877422,0.6943787739559125,9,0.0941472555841724,0.07837106046809254,10,-0.1217871958562236,0.6569752050864431,0.6572056956014234,0.6961145710750073,9,0.10820253459741402,0.12989508743259565,12,-0.11600053756128423,0.2285480460069147,0.6733836008685061,0.3648658316782422,0.22166001161307758,0.6730699306257945,0.36459874138341586,7.07837176322937,chin_s002_r5,0.22
20,0.7365661383183297,0.7380303752244332,0.7441250907232067,9,0.737362681114086,10,-0.012432756765632744,0.02783465305971443,15,-0.00517581510163424,0.7408232951307945,0.7398383299193669,0.7247434308547408,8,0.7339214612481424,9,-0.02059872692385815,-0.004711223156612262,17,-0.02797487410560256,0.2286429932722509,0.3471283109874204,0.3611561175293448,0.23587118111291083,0.34596561805748594,0.36321794602398694,0.6508015883265732,0.6556400191737193,0.6916097417894509,9,0.11687965054174952,0.15183759686603307,10,-0.06868934563387095,0.6592045458214129,0.6588168112840657,0.6821643542710194,9,0.10855798743493764,0.13406615870890723,12,-0.1404188362872319,0.23289799874281503,0.6794136620525271,0.36343604872869384,0.24078215686791982,0.6810329524788543,0.36176377842841995,6.9362592697143555,chin_s002_r5,0.22
21,0.7344178003559011,0.7351804775559708,0.7444082813677635,9,0.7409335479520303,10,-0.05733806536716221,-0.018918534884324458,15,0.006690107182220213,0.7337747730610803,0.7352279758427046,0.7423166981305283,8,0.7415781423881167,9,-0.023856063104869082,0.026835480040364113,17,0.041213103237209434,0.21368563452776268,0.3548507720216416,0.36949441450225956,0.2167914603716925,0.3537787018231559,0.36753109157491054,0.6515649799848254,0.6563878889016037,0.6970271372205489,9,0.11238673622560676,0.12769887817285178,10,-0.03786586498795187,0.6497559741719917,0.6531142896196739,0.6981658324095198,9,0.1147615374171396,0.14857786585879404,12,0.035792231623560995,0.21717934983286824,0.6968677906512719,0.3744077084853256,0.22797474320527567,0.6907749369480856,0.37604313579880594,7.013934135437012,chin_s002_r5,0.22
22,0.7324326000729289,0.7340052047367991,0.7452332173230931,9,0.7393255291755091,10,0.010802807697285068,0.025525931744162733,15,-0.04196628620099209,0.7392758174254287,0.7406128147523108,0.7372968940396125,8,0.7456886913186361,9,-0.015325817944113015,0.03564440452509304,17,0.016228864391240792,0.22711841659934784,0.3560532722118106,0.36070586174522795,0.2330367229044148,0.35662697226826123,0.3621627423610516,0.6476970222887717,0.6486120294092077,0.6916415981040483,9,0.12986926684737388,0.14205122239853346,10,-0.12237256032232272,0.6576818169304779,0.6586961431903354,0.6878033491500593,9,0.1044924378967493,0.13411255310186979,12,-0.039603334023932,0.21597581595762083,0.7012320646501398,0.3738651029682055,0.224767857054756,0.6997347589608559,0.3723985907053438,7.092247724533081,chin_s002_r5,0.22
23,0.7363176976141256,0.7366388265030835,0.7432635522185674,9,0.7400333054171034,10,-0.013475849022196234,-0.00027669348263685095,15,-0.0022227855005484266,0.7401894575179906,0.739983106629687,0.7376130052872866,8,0.7480470130643888,9,-0.05257092333224124,-0.04460156379398077,17,0.0019497561236204624,0.23776925078109645,0.348439560575203,0.36236175647409413,0.2452757263813039,0.3454840844378276,0.3631036742723166,0.6544068728409889,0.6553535864676202,0.6885481721776829,10,0.11151015803202421,0.12888224593130326,10,-0.06144165171531464,0.6602101682568782,0.6604933978499545,0.6961535210441916,9,0.09295870819531127,0.0815425115331599,12,-0.046135736721513845,0.23081625614833712,0.6722190314539047,0.36737536398283316,0.24618062011865138,0.6709091948118501,0.36907264785330485,7.0459089279174805,chin_s002_r5,0.22
