rep,sig_kappa_est,sig_kappa_wcu_lo,sig_kappa_wcu_hi,sig_kappa_wcu_se,sig_kappa_cr2_lo,sig_kappa_cr2_hi,sig_kappa_cr2_se,sig_mf_P_est,sig_mf_P_wcu_lo,sig_mf_P_wcu_hi,sig_mf_P_wcu_se,sig_mf_P_cr2_lo,sig_mf_P_cr2_hi,sig_mf_P_cr2_se,sig_mf_P6_est,sig_mf_P6_wcu_lo,sig_mf_P6_wcu_hi,sig_mf_P6_wcu_se,sig_mf_P6_cr2_lo,sig_mf_P6_cr2_hi,sig_mf_P6_cr2_se,q3_est,q3_wcu_lo,q3_wcu_hi,q3_wcu_se,q3_cr2_lo,q3_cr2_hi,q3_cr2_se,chi_est,chi_wcu_lo,chi_wcu_hi,chi_wcu_se,chi_wcu_p_wcr,chi_wcu_se_wcr,chi_cr2_lo,chi_cr2_hi,chi_cr2_se,chi_cr2_p_wcr,chi_cr2_se_wcr
10,0.7321267733330717,0.720797373780702,0.7415562819776328,0.00606532437111353,0.7175981780471333,0.7442586583008656,0.007323016269003715,0.7562631241489698,0.7464357993920483,0.7671442245560248,0.005674516710878594,0.7316484538875478,0.77944669928031,0.013880408163649065,0.7489082525119753,0.7398725506587432,0.7572766883681616,0.00484803554030395,0.7330752162464661,0.7652240801091543,0.008687929994925845,-0.046322100556204,-0.08973942448245373,-0.0014624511467548826,0.024560156420350494,-0.09097500656917432,0.0019568822764128094,0.0251558056022778,0.22718904020101593,0.20219510243340538,0.2530191563791949,0.013486912572223545,0.005,0.12382513929992972,0.1991402830123964,0.25723561337701617,0.015242529969169498,0.02,0.1354483840989298
11,0.7329038222467115,0.724242615369612,0.7407007988138502,0.004984303938641061,0.7236063622033205,0.7419712061307671,0.005591479554884539,0.7226808360229526,0.711159685613487,0.7345828612004214,0.006327214235646442,0.6996440073981826,0.7434510713560435,0.01164969562476786,0.7427503641450759,0.7331480611563318,0.7487871743191218,0.004094087293434494,0.7279453780040783,0.7532900387903325,0.006735623431896551,-0.20180261233820282,-0.23165440646350746,-0.16150307905411868,0.01876736531774468,-0.24189051299465195,-0.14869355315885543,0.023799720089780197,0.16453819384566337,0.13615673362923225,0.18900188878431023,0.013823594994598266,0.01,0.08912523801468818,0.13215939787228131,0.19453172418718567,0.016216630148300312,0.02,0.09327567478720301
12,0.738863081805281,0.7316154560062658,0.7453244215033188,0.0036654625801423274,0.7296278047011109,0.7466151473928502,0.00442818858584493,0.7332236418452163,0.7218816262906779,0.7503097445303698,0.007486166157759742,0.7151001323833557,0.7573449603265555,0.010453111260337194,0.7395448059235,0.7295691001509971,0.7529668856233324,0.00616749407564476,0.7252564830756333,0.757422891537086,0.008153847437240283,0.025882102411472183,-0.018670429680054123,0.07953311653818405,0.028184359201056178,-0.030602534985189753,0.09563028785726607,0.03538303487821327,0.23647816760401863,0.21757996125806311,0.258021187776701,0.010884296748086424,0.015,0.12712707263277195,0.21173402449586654,0.26482010162115366,0.014721963427503305,0.025,0.13821253656793378
13,0.7459145627744418,0.7336144606690381,0.7600906256666653,0.0071473208259567765,0.730831479118288,0.764468617538298,0.008826658882195363,0.7967540458349067,0.7861646392205641,0.809680095996768,0.00675584075086108,0.781846828917216,0.8184340928332585,0.00983508543507014,0.7613292643006804,0.7518392784797279,0.7711427179898018,0.005392007619825132,0.7450085671934943,0.776677862607813,0.008631014142627581,-0.08611327237114234,-0.11811504382020897,-0.05834457256728824,0.016586989676844008,-0.11974784670236381,-0.05063643762081595,0.01944151336039468,0.20576567632854204,0.18552281435206114,0.22463963640319742,0.010183406962002104,0.025,0.11633272570372218,0.17635528916818347,0.23227507380506507,0.016589572231488135,0.025,0.11863268252057682
14,0.7390820829580029,0.7314069483938097,0.7457655630462435,0.003994150956268229,0.7322994850178851,0.7450253117016141,0.0036486097166425874,0.7444582406470853,0.7353755698290273,0.7535989180854965,0.0055706425941493744,0.7278502133461724,0.7608725509641348,0.009500669039156862,0.7405511129068727,0.7317233368765019,0.7505841309023901,0.00480265415731866,0.7283999261293711,0.7527364010371567,0.006592056371520534,-0.09893614169084103,-0.15888683784421423,-0.046647378885505256,0.03657538421061331,-0.14722573506660636,-0.061252339650843785,0.02180878605319939,0.2219554207949459,0.21262377515164915,0.23188316738875367,0.005072547272371653,0.025,0.13630147314117144,0.209998507562441,0.23625531649931317,0.006390739371495891,0.07,0.14331085320337542
15,0.727196162872531,0.7221763127434009,0.7321856536242648,0.0024038430723421684,0.7226222006717581,0.7318873738736096,0.002385451686636909,0.7112751428216018,0.7030513799024896,0.7199589117514835,0.004308398456605251,0.7003218336997917,0.7222743894109305,0.00527034770118562,0.7196884690262398,0.7121711131249391,0.7277826369802267,0.0038033884068709653,0.7099788094237065,0.7297096113472162,0.004775817636896785,-0.1656641304980467,-0.18770330920721326,-0.13321388356345273,0.01409893989494661,-0.19661826599727805,-0.1239805926803639,0.01917923892739048,0.2081961478588319,0.17995918368747532,0.23607237788127716,0.01672359055329666,0.01,0.10990548560921819,0.1808571220315141,0.2371841460634306,0.01670156281763855,0.015,0.12155827875625451
16,0.7208825836425529,0.713310074817729,0.7291526382681048,0.004101938288425897,0.7123104928492355,0.7301363916639753,0.004533404239310683,0.7209880106428502,0.7051423052013367,0.7374884242922441,0.009875031153069112,0.6905280745184891,0.7508909732774467,0.016613316787029882,0.7317389081710304,0.721497898641645,0.7436651495439855,0.005879378447782779,0.7160301889697445,0.7499692127134604,0.009104902035287086,0.045258080428658726,-0.018892741063104124,0.1281390514759872,0.040649063602278955,-0.02343737938683943,0.13265294026187877,0.04610335731430908,0.2417228929612163,0.22020522810713578,0.26375250341295964,0.012687333454001372,0.005,0.1225112201759607,0.21849955096508233,0.2655121601267232,0.013566473986647992,0.01,0.1296099719526449
17,0.7435257839942193,0.7294814159533564,0.7567462068918709,0.007578979308416954,0.7222567106328767,0.7627064744944075,0.011924808552456836,0.7290964289259508,0.7131436825693255,0.7434292902126769,0.008897311301412116,0.7097540615945104,0.7464283186776387,0.010695674698885228,0.7388920060683485,0.7262459280734997,0.7508101958998388,0.007089547225470914,0.7241370563783326,0.7539065850183598,0.008608834323858519,-0.0023488854622212736,-0.05812456453309095,0.0781833913409073,0.03887589449285568,-0.06621618264403605,0.0899009389093239,0.03974272089254345,0.1878932655211747,0.15812194348924305,0.2147086984416738,0.01628108698995092,0.025,0.10406618898062664,0.15444351992634342,0.21951430781374182,0.01847471494004537,0.055,0.1132897486226868
18,0.744760474421106,0.7347130554969876,0.7539639767279628,0.004938798072936589,0.7289732879464514,0.7582917001456592,0.007661796837809986,0.763180840978127,0.7558774773869503,0.7701526562172282,0.004423902037693854,0.7454148839162679,0.7788854291694234,0.009758191386486472,0.7688133764619648,0.7573993469819905,0.7800775558280814,0.00594340946349651,0.7509888709112251,0.7848055359479521,0.008502418366387201,-0.14213757544616376,-0.2183894585550345,-0.06488200936375393,0.04867990450354465,-0.25319965942407247,-0.010499694929746839,0.08308534057795076,0.2171025559758304,0.18435836541321993,0.24415046499097923,0.016348729751864056,0.01,0.1037636943181688,0.1720724098249291,0.25433835644933656,0.02269992910931631,0.025,0.12447226496448069
19,0.7474223678617972,0.7344387713444802,0.7610920850251007,0.00746976560371912,0.7294717464541323,0.766619364119985,0.010909565983649908,0.7494664732551081,0.7440014752435493,0.7551140886945542,0.003387988072149133,0.7420674935101434,0.7565634076106429,0.004245184017241103,0.7645456321072681,0.7582293413361336,0.7736280303701082,0.004401650020523625,0.7559373495677382,0.7777471940991896,0.006555380816687842,-0.0735462632422258,-0.14785744411049512,0.02737005724832757,0.05689299477039269,-0.17525905016404408,0.052416762427634156,0.06744894053155477,0.24187988099250557,0.22039420924948389,0.2635802444752734,0.011880249900739827,0.01,0.12377624715836791,0.21541072537668693,0.2663020763483352,0.013776272984361994,0.03,0.1424873158910349
