design,E,ssr,gamma,in_set
Chinchilla,0.372393992456698,0.005689715801674138,0.06271539840867925,False
Chinchilla,0.3742284456215093,0.005684018443266742,0.06276828500059928,False
Chinchilla,0.37606289878632065,0.005678314441176222,0.06282126169577491,False
Chinchilla,0.37789735195113194,0.0056726037860795105,0.06287432791966048,False
Chinchilla,0.3797318051159433,0.005666886468647282,0.0629274846450048,False
Chinchilla,0.3815662582807546,0.005661162479543871,0.06298072982265931,False
Chinchilla,0.3834007114455659,0.005655431809427239,0.06303406500986096,False
Chinchilla,0.3852351646103772,0.005649694448949024,0.06308749031843613,False
Chinchilla,0.38706961777518856,0.005643950388755364,0.06314100588660976,False
Chinchilla,0.3889040709399999,0.005638199619485819,0.06319461217265106,False
Chinchilla,0.3907385241048112,0.005632442131774485,0.06324830921309545,False
Chinchilla,0.39257297726962254,0.005626677916249095,0.06330209735041983,False
Chinchilla,0.3944074304344338,0.005620906963532523,0.06335597557623965,False
Chinchilla,0.39624188359924517,0.005615129264240767,0.0634099463895734,False
Chinchilla,0.39807633676405646,0.005609344808985042,0.06346401045978337,False
Chinchilla,0.3999107899288678,0.005603553588371392,0.06351816520445167,False
Chinchilla,0.4017452430936791,0.005597755592999867,0.06357241208364804,False
Chinchilla,0.40357969625849044,0.005591950813465248,0.0636267514233008,False
Chinchilla,0.4054141494233018,0.005586139240357427,0.0636811835667099,False
Chinchilla,0.4072486025881131,0.005580320864260777,0.06373570855441517,False
Chinchilla,0.4090830557529244,0.005574495675754918,0.06379032670148103,False
Chinchilla,0.4109175089177357,0.005568663665414556,0.06384503821504198,False
Chinchilla,0.41275196208254705,0.005562824823809307,0.06389984354664258,False
Chinchilla,0.41458641524735834,0.005556979141504232,0.06395474255963485,False
Chinchilla,0.4164208684121697,0.005551126609059723,0.06400973587632171,False
Chinchilla,0.418255321576981,0.00554526721703145,0.06406482343979258,False
Chinchilla,0.4200897747417923,0.005539400955970875,0.06412000570214912,False
Chinchilla,0.42192422790660367,0.005533527816424977,0.06417528269128354,False
Chinchilla,0.42375868107141496,0.005527647788936487,0.06423065491113883,False
Chinchilla,0.4255931342362263,0.005521760864043759,0.06428612231271409,False
Chinchilla,0.4274275874010376,0.005515867032281487,0.06434168558066931,False
Chinchilla,0.42926204056584893,0.005509966284180325,0.06439734441024302,False
Chinchilla,0.4310964937306602,0.005504058610266709,0.06445309956472094,False
Chinchilla,0.43293094689547157,0.005498144001064036,0.0645089507348247,False
Chinchilla,0.43476540006028286,0.00549222244709109,0.06456489872548202,False
Chinchilla,0.4365998532250942,0.005486293938864207,0.06462094356558065,False
Chinchilla,0.43843430638990555,0.005480358466895405,0.06467708539393682,False
Chinchilla,0.44026875955471684,0.00547441602169409,0.0647333245258054,False
Chinchilla,0.4421032127195282,0.005468466593765992,0.06478966119043951,False
Chinchilla,0.44393766588433947,0.005462510173614046,0.06484609575601286,False
Chinchilla,0.4457721190491508,0.005456546751738327,0.0649026285549885,False
Chinchilla,0.4476065722139621,0.005450576318635397,0.06495925951571373,False
Chinchilla,0.44944102537877345,0.005444598864800067,0.06501598914537797,False
Chinchilla,0.45127547854358474,0.005438614380723762,0.0650728177186794,False
Chinchilla,0.4531099317083961,0.005432622856895871,0.06512974523849073,False
Chinchilla,0.45494438487320743,0.005426624283803014,0.06518677229385839,False
Chinchilla,0.4567788380380187,0.00542061865193008,0.0652438988595146,False
Chinchilla,0.45861329120283006,0.005414605951759392,0.06530112541895491,False
Chinchilla,0.46044774436764135,0.0054085861737715665,0.06535845234032094,False
Chinchilla,0.4622821975324527,0.0054025593084450355,0.06541587919345103,False
Chinchilla,0.464116650697264,0.0053965253462568506,0.06547340701506962,False
Chinchilla,0.46595110386207533,0.00539048427768237,0.0655310357517286,False
Chinchilla,0.4677855570268866,0.00538443609319505,0.06558876560139937,False
Chinchilla,0.46962001019169797,0.005378380783267645,0.06564659719002815,False
Chinchilla,0.4714544633565093,0.0053723183383712235,0.06570453016565912,False
Chinchilla,0.4732889165213206,0.005366248748976074,0.06576256543578268,False
Chinchilla,0.47512336968613195,0.005360172005551221,0.06582070300612525,False
Chinchilla,0.47695782285094324,0.005354088098565391,0.06587894312811635,False
Chinchilla,0.4787922760157546,0.005347997018485878,0.0659372858499753,False
Chinchilla,0.48062672918056587,0.005341898755780163,0.06599573169307923,False
Chinchilla,0.4824611823453772,0.005335793300915063,0.0660542809663943,False
Chinchilla,0.4842956355101885,0.005329680644357113,0.0661129340004008,False
Chinchilla,0.48613008867499985,0.0053235607765727555,0.06617169076339258,False
Chinchilla,0.4879645418398112,0.005317433688028614,0.06623055170191437,False
Chinchilla,0.4897989950046225,0.005311299369191297,0.06628951741030076,False
Chinchilla,0.49163344816943383,0.005305157810528138,0.0663485876968136,False
Chinchilla,0.4934679013342451,0.005299009002506363,0.06640776300107563,False
Chinchilla,0.49530235449905646,0.005292852935594555,0.06646704356252178,False
Chinchilla,0.49713680766386775,0.005286689600261638,0.06652642959711233,False
Chinchilla,0.4989712608286791,0.005280518986977632,0.0665859216500804,False
Chinchilla,0.5008057139934904,0.005274341086213613,0.06664551989693275,False
Chinchilla,0.5026401671583017,0.005268155888442191,0.06670522455586407,False
Chinchilla,0.5044746203231131,0.005261963384137019,0.06676503595972332,False
Chinchilla,0.5063090734879244,0.005255763563773835,0.066824954180749,False
Chinchilla,0.5081435266527357,0.005249556417829605,0.06688497988856185,False
Chinchilla,0.509977979817547,0.005243341936783713,0.06694511308853643,False
Chinchilla,0.5118124329823583,0.0052371201111172695,0.06700535407346582,False
Chinchilla,0.5136468861471697,0.005230890931314038,0.06706570316066078,False
Chinchilla,0.5154813393119809,0.005224654387859862,0.06712616102082697,False
Chinchilla,0.5173157924767923,0.005218410471243651,0.06718672720212841,False
Chinchilla,0.5191502456416036,0.005212159171956479,0.06724740270854106,False
Chinchilla,0.520984698806415,0.0052059004804930736,0.06730818752266268,False
Chinchilla,0.5228191519712263,0.005199634387350643,0.06736908184770056,False
Chinchilla,0.5246536051360375,0.005193360883030374,0.06743008620796673,False
Chinchilla,0.5264880583008489,0.00518707995803672,0.06749120055467896,False
Chinchilla,0.5283225114656602,0.005180791602877582,0.06755242569014577,False
Chinchilla,0.5301569646304716,0.00517449580806494,0.06761376110784784,False
Chinchilla,0.5319914177952828,0.005168192564114965,0.06767520824328946,False
Chinchilla,0.5338258709600942,0.005161881861547904,0.06773676651194857,False
Chinchilla,0.5356603241249055,0.005155563690888609,0.06779843645548915,False
Chinchilla,0.5374947772897168,0.005149238042666458,0.06786021850546863,False
Chinchilla,0.5393292304545282,0.0051429049074158545,0.06792211271106684,False
Chinchilla,0.5411636836193394,0.005136564275675909,0.06798411978895752,False
Chinchilla,0.5429981367841508,0.0051302161379913145,0.06804623961553316,False
Chinchilla,0.5448325899489621,0.005123860484912071,0.06810847266051309,False
Chinchilla,0.5466670431137735,0.005117497306993698,0.06817081940193023,False
Chinchilla,0.5485014962785847,0.005111126594797913,0.06823327997435678,False
Chinchilla,0.550335949443396,0.005104748338892102,0.06829585459380236,False
Chinchilla,0.5521704026082074,0.005098362529850345,0.0683585436252679,False
Chinchilla,0.5540048557730187,0.0050919691582527685,0.06842134772941755,False
Chinchilla,0.5558393089378301,0.0050855682146865476,0.06848426656663878,False
Chinchilla,0.5576737621026413,0.005079159689745486,0.06854730114835367,False
Chinchilla,0.5595082152674526,0.005072743574030791,0.06861045113927774,False
Chinchilla,0.561342668432264,0.0050663198581508235,0.06867371752464413,False
Chinchilla,0.5631771215970753,0.005059888532721737,0.06873710037513778,False
Chinchilla,0.5650115747618866,0.005053449588367446,0.06880059963925012,False
Chinchilla,0.5668460279266979,0.005047003015719553,0.06886421583087134,False
Chinchilla,0.5686804810915093,0.005040548805418355,0.0689279496450944,False
Chinchilla,0.5705149342563206,0.005034086948112411,0.06899180094528859,False
Chinchilla,0.572349387421132,0.005027617434459173,0.06905577037317576,False
Chinchilla,0.5741838405859432,0.005021140255125062,0.06911985794276863,False
Chinchilla,0.5760182937507545,0.0050146554007854316,0.06918406428260283,False
Chinchilla,0.5778527469155659,0.005008162862125374,0.0692483895292835,False
Chinchilla,0.5796872000803772,0.005001662629839542,0.06931283412676303,False
Chinchilla,0.5815216532451885,0.0049951546946328486,0.06937739833380403,False
Chinchilla,0.5833561064099998,0.004988639047219776,0.06944208240361775,False
Chinchilla,0.5851905595748111,0.0049821156783257025,0.06950688710385418,False
Chinchilla,0.5870250127396225,0.0049755845786868,0.06957181201966783,False
Chinchilla,0.5888594659044338,0.004969045739049799,0.0696368580379096,False
Chinchilla,0.5906939190692451,0.004962499150173044,0.06970202534996157,False
Chinchilla,0.5925283722340564,0.004955944802825947,0.06976731406982122,False
Chinchilla,0.5943628253988678,0.004949382687790062,0.06983272539329856,False
Chinchilla,0.5961972785636791,0.0049428127958586615,0.06989825883032352,False
Chinchilla,0.5980317317284903,0.004936235117837536,0.06996391458146076,False
Chinchilla,0.5998661848933017,0.0049296496445446905,0.07002969357050279,False
Chinchilla,0.601700638058113,0.0049230563668114236,0.07009559594878143,False
Chinchilla,0.6035350912229244,0.004916455275481768,0.0701616219251261,False
Chinchilla,0.6053695443877357,0.004909846361413384,0.0702277721053709,False
Chinchilla,0.607203997552547,0.004903229615477209,0.07029404632959198,False
