design,budget_C,c,n_budget,nwin,nleft,nright,xstar,Nstar,Mstar,Lstar,curv,slope,S,sigma,sigma_pop,se_sigma,lo_sigma,hi_sigma,se_curv,se_slope,weight,share_nonconvex_draws
Llama 3,3e+19,44.84772905555498,16,12,3,9,20.279441612544097,641578184.7053396,12.147050234272529,0.8367201167431759,0.0260524572310568,-0.0359040025297905,0.7256142879736165,0.7337795405698869,0.7152702981472676,0.0232071654002088,0.6902647369196103,0.7811437388823653,0.0030099235954765,0.0004774179408084,0.0698037628841034,0.0
Llama 3,6e+19,45.540876236114926,16,14,4,10,20.47867437311716,783024366.6830429,16.30983044244151,0.8133779948919845,0.0221527238919557,-0.0331370270620282,0.6685187494487282,0.7494794632464797,0.7103712294400237,0.028436255034635,0.6996605110801473,0.8080059032038698,0.0032336469431393,0.000636557567073,0.0496471184453999,0.0
Llama 3,1e+20,46.051701859880914,18,13,8,5,20.899339912421873,1192526392.338462,11.71959896791946,0.7966248039758179,0.0305840752563026,-0.0310305210054283,0.9856126892278866,0.669879253667435,0.6746517261732866,0.0498105224794242,0.5997927190816761,0.7582030909155588,0.0068417850833448,0.000610009669097,0.0064248749162814,0.0
Llama 3,3e+20,47.15031414854902,14,14,9,5,21.404146802779778,1975617417.2608075,12.810447817921316,0.7640781324092663,0.0326324751301308,-0.0264123757706242,1.2354994269930288,0.6181425913151024,0.6176374624151868,0.0134990350046495,0.5941709410423658,0.6441055562908757,0.0018123623667641,0.0002270005081156,0.1028774413543646,0.0
Llama 3,6e+20,47.84346132910897,12,11,9,2,21.61255943740988,2433410084.2549977,16.88765674669994,0.7481067483504117,0.0333810501310207,-0.0235065953080892,1.4200716732266825,0.584783066289687,0.5930552504529795,0.0151336701803023,0.5600440261461253,0.6168901175945186,0.0018941922939495,0.0007700159677289,0.0586188631731411,0.0
Llama 3,1e+21,48.35428695287496,12,9,5,4,21.84967062769541,3084546949.783022,17.51725207646364,0.7360481375975356,0.0272758148869041,-0.0212826864979358,1.281596422968007,0.6094594649122393,0.6086248492267092,0.0166274948386103,0.5838520753301291,0.6460770528312998,0.0006245390977824,0.0014572352517976,0.6208246963326274,0.0
"Marin, Comma",3e+18,42.545143962560935,5,5,3,2,19.473639046747024,286611743.2137733,6.08670205063302,3.91585686578885,0.1443972627514362,-0.2059855907037637,0.7010066202111186,0.7404646789957421,0.7332331672791598,0.1217832342137914,0.6034094002153488,1.0654521626871911,0.0813599264979814,0.0132609739086952,0.0429917871909918,0.0
"Marin, Comma",9e+18,43.64375625122904,10,8,3,5,19.77818723585217,388649021.4627959,9.930614013121614,3.7015177487365745,0.1472930681609736,-0.188233268245509,0.7825028462495915,0.7187773420234623,0.7060990658676094,0.0397501388842634,0.6515304269648164,0.8103533114708618,0.028349521634316,0.0069954912105297,0.4846303805499122,0.0
"Marin, Comma",1.8e+19,44.33690343178899,15,9,3,6,20.049722538468988,509898650.0127805,11.53861095083165,3.5672780656588334,0.1720276977616369,-0.177468172510476,0.9693439411029156,0.6735494572774657,0.6876684109326643,0.0368780484885477,0.6074672567486298,0.7517264939682862,0.0291465787831248,0.0039292042235092,0.3768241016805714,0.0
"Marin, Comma",1.8e+20,46.63948852478303,15,6,2,4,20.754242288987868,1031461214.7946196,28.19781457439864,3.2062194909699677,0.0932378041084824,-0.1477464000870027,0.6310665035058586,0.7601480226117541,0.7644241919515273,0.1413383382521159,0.5788287733670905,1.1097514849491767,0.0738292402289949,0.0083232756739529,0.0329449754864348,0.1511511511511511
"Marin, Comma",3e+20,47.15031414854902,15,6,2,4,21.16987609736982,1563005015.6501467,20.46676773328802,3.1205071397760173,0.1294503519612203,-0.1412575841771075,0.9164134634988278,0.6857738194640604,0.7203230331020257,0.0892386724121101,0.5405260103631111,0.9024455297778248,0.0562700779182162,0.0098668941962104,0.0626087550920897,0.027027027027027
"Marin, DCLM",3e+18,42.545143962560935,5,5,3,2,19.52827009810428,302705244.0542272,5.456700467598561,3.758642856724855,0.1634924389603398,-0.2191627694934925,0.7459863704870472,0.7283357344724425,0.7159595469157624,0.1539436404647431,0.5489630024025083,1.3178055425680362,0.1059147479291222,0.0238954910007446,0.03684014652574,0.034034034034034
"Marin, DCLM",9e+18,43.64375625122904,10,8,3,5,19.89486124926582,436745519.9669903,7.863834076261382,3.5376663427615336,0.1642863756174697,-0.1919051399404697,0.85608116420661,0.7002602114620156,0.7044416572417234,0.0446187980601775,0.6296015867346995,0.8060904926202707,0.033511178736891,0.0065709146899555,0.3518611532067615,0.0
"Marin, DCLM",1.8e+19,44.33690343178899,15,9,3,6,20.08171363647689,526474595.3760964,10.823467458648244,3.4019970439932945,0.1586479357460928,-0.1772594774603418,0.8950039683017066,0.6908453397296234,0.6925967948484616,0.053159022690944,0.6047468641246356,0.8093869237914523,0.0391389492514756,0.0073046267549534,0.1698994098298649,0.0
"Marin, DCLM",3e+19,44.84772905555498,10,5,2,3,20.361078883968688,696152207.9470356,10.31719394358799,3.3194297011088727,0.121272942271599,-0.1684110819928494,0.7201007251811862,0.7352668897460699,0.691674793731024,0.1123684029097869,0.5607405150202177,1.0562140991380562,0.0697826321139729,0.0075569758388825,0.0551221706966341,0.0
"Marin, DCLM",9e+19,45.946341344223086,15,5,2,3,20.79943091870098,1079140705.8948865,12.880570814537466,3.1424141245352635,0.0922132113192872,-0.1520603152523446,0.6064252278200205,0.7673345003926215,0.7070950669786736,0.1181236971176425,0.5917222402833423,1.1116772146234486,0.0606379816578731,0.004065484199512,0.0850872340441421,0.019019019019019
"Marin, DCLM",1.8e+20,46.63948852478303,15,6,2,4,21.16356477404537,1553171449.6872668,12.436049933969851,3.041092650649299,0.1249577992317044,-0.1439395825273252,0.8681267309357573,0.6973192566520512,0.7069015362155515,0.071537097658508,0.5865966650478407,0.888434029394078,0.0397862151568514,0.0104433208153329,0.1441337168035992,0.0
"Marin, DCLM",3e+20,47.15031414854902,15,7,3,4,21.451906453524384,2072261693.9230847,11.643426505074936,2.967185126434451,0.0990975420652486,-0.1387471220637792,0.7142313338917082,0.7368568681035629,0.7085256963290331,0.0599607505243668,0.6531500504001674,0.8911485808999101,0.03032662521367,0.019045711061138,0.157056168893258,0.0
"Marin, Nemotron-CC",3e+18,42.545143962560935,5,5,3,2,19.50853362456758,296789480.2024684,5.676400086391813,3.735265020908152,0.1471458624126495,-0.2209450195198617,0.6659840657753406,0.7501920306557968,0.7431940979276235,0.0946064354987729,0.6274602241672682,0.9963278884841386,0.06455748228972,0.017704967418289,0.0581700759880462,0.0
"Marin, Nemotron-CC",9e+18,43.64375625122904,10,8,3,5,19.853908196073775,419220753.05272526,8.535042961944157,3.507031976364989,0.1702135603774843,-0.198779269156041,0.8562943263659317,0.7002079517990722,0.709838567008688,0.0446106698253727,0.6337027667846177,0.8140740628994745,0.0351386046279576,0.0046961179164193,0.2393298331837294,0.0
"Marin, Nemotron-CC",1.8e+19,44.33690343178899,15,9,2,7,20.03461539856708,502253433.8486621,11.892562032660432,3.370486669232653,0.1496463310383731,-0.1855063513482226,0.8066911453477136,0.7125828587570597,0.706356794503305,0.0658653426620758,0.6149240221450814,0.8766291242061192,0.0470716309830919,0.0053993927879863,0.1202999652849636,0.0
"Marin, Nemotron-CC",3e+19,44.84772905555498,10,5,2,3,20.333753601517,677387199.4076629,10.896726067009386,3.2798357850426494,0.1419493377766114,-0.176414280932496,0.8046363198392514,0.7131049348011833,0.6957031850864827,0.0778009304194909,0.5920950210020716,0.8935717386941286,0.0538852991042076,0.0055312522235598,0.0700021036275037,0.0
"Marin, Nemotron-CC",9e+19,45.946341344223086,15,5,2,3,20.83307994328056,1116070580.722355,12.042258296344484,3.096164121176003,0.121370994222359,-0.1578405335501928,0.7689469332905126,0.7222962549243496,0.6932876997860169,0.0731673724772769,0.6130925775309558,0.8856464874203421,0.0435847322952106,0.0036376346717477,0.0918646702595325,0.0
"Marin, Nemotron-CC",1.8e+20,46.63948852478303,15,6,2,4,21.188501498863825,1592389410.2143571,11.831033748635818,2.9915810454093363,0.144994996507432,-0.1469609573765057,0.9866225635422542,0.6696527456847174,0.6962059938693557,0.0425032366571066,0.5967241672683897,0.7710423531283018,0.0261207771815513,0.0084365404477762,0.2831231960662004,0.0
"Marin, Nemotron-CC",3e+20,47.15031414854902,15,7,2,5,21.417887828961437,2002951799.048655,12.46318403691949,2.9170912143896306,0.1015873159422787,-0.1391951878432647,0.7298191662822938,0.7326492628901037,0.7062713760397583,0.0519995355158288,0.6522592382282728,0.8474543870379677,0.0296607976659888,0.0147190579225261,0.137210155590024,0.0
"Porian, RefinedWeb",1.25e+16,37.06450503921894,8,5,3,2,16.349221541150786,12600178.533551246,13.122161096720554,4.553952125338768,0.775379121320046,-0.2727243072168613,2.8430876925960633,0.4129596916152329,0.3748402635077407,0.045628500752669,0.3350247755572595,0.5163887209230839,0.1270392480774243,0.0143398121186067,0.0168543610828431,0.0
"Porian, RefinedWeb",2.5e+16,37.75765221977888,9,6,4,2,16.644997635269032,16936771.341809735,14.525380229893024,4.367406748742016,0.6250900071811718,-0.2522791407576792,2.477771270759112,0.4466507731336045,0.4313752546180619,0.0200178384518771,0.410590436416953,0.4882756768515053,0.0408178397716183,0.0087029224665027,0.1383830914737657,0.0
"Porian, RefinedWeb",5e+16,38.45079940033883,10,6,4,2,16.9348586446141,22631620.977161273,16.269995455002682,4.194666424004464,0.5401139542014013,-0.2339429599457042,2.3087420725409147,0.4641725975536468,0.4627248652538908,0.0239735301143134,0.4242516301608071,0.5093419813305937,0.0493804253497851,0.0049079604595915,0.0785566064727313,0.0
"Porian, RefinedWeb",1e+17,39.14394658089878,15,6,4,2,17.254791654364155,31164545.808933686,17.16038968885002,4.046807038736408,0.4279077718983255,-0.2181625588175843,1.96141709291244,0.5048698364982307,0.5225336737321126,0.0496596771289215,0.4455344067971709,0.5837265974433473,0.0853647450117337,0.0029334076302028,0.0139672551469325,0.0
"Porian, RefinedWeb",2e+17,39.837093761458725,14,6,4,2,17.60721077516931,44331709.77227455,16.960934717276395,3.899016066269603,0.3862668899993424,-0.2034462624781391,1.898618757082588,0.5130022001681024,0.5260271883810688,0.0293572032359398,0.470437905207393,0.5666895663780304,0.0450331822137626,0.002712976671446,0.0507045639509443,0.0
"Porian, RefinedWeb",4e+17,40.530240942018665,13,6,4,2,17.972969296760876,63908906.83738949,16.32247315261425,3.763629169960749,0.3208700689290118,-0.1903596443608457,1.6855992245959994,0.5426525995156817,0.5478421529275987,0.0375088330036324,0.4840986214235092,0.6187430150524085,0.0478092931547851,0.0029294304400797,0.0564720358981766,0.0
"Porian, RefinedWeb",8e+17,41.22338812257861,12,6,4,2,18.33633418742749,91911267.64002743,15.783424048801134,3.636579815720147,0.2740760812990683,-0.1785903287653795,1.5346636248098957,0.5658247042128558,0.5701758507889076,0.0433136422423249,0.5052285436198706,0.646912866522555,0.0479540214908904,0.0028533348552756,0.0353047000311259,0.0
"Porian, RefinedWeb",1.6e+18,41.91653530313856,10,5,3,2,18.667591864615837,128006533.6364349,16.27438020420985,3.5117456470144814,0.304167122259521,-0.1677592389312712,1.8131169657018669,0.5245052847813356,0.563354206179483,0.0787870633816965,0.4293802701073252,0.6755848229897519,0.0951550801924242,0.0023139240163268,0.0070185253935344,0.0
"Porian, RefinedWeb",3.2e+18,42.609682483698506,9,5,3,2,19.04907661653691,187460106.71244103,15.176827854620145,3.3996798682461167,0.2612871613656762,-0.1582998849445843,1.650583394025488,0.5478576392127302,0.527247414398368,0.0412115607440249,0.4843217079413958,0.636651341199778,0.0418369240246385,0.0016716343690869,0.0566661860401673,0.0
"Porian, RefinedWeb",6.4e+18,43.30282966425845,8,7,4,3,19.33229906275159,248834621.41649047,17.2268992062028,3.2930274199658536,0.2672395303616225,-0.1497874756785185,1.7841246683079528,0.5285238133801462,0.5014479306189484,0.0336389398288646,0.470898950382221,0.5876454581028924,0.0339958853212795,0.0020328991166868,0.0955783101718242,0.0
"Porian, RefinedWeb",1.28e+19,43.995976844818394,7,5,3,2,19.7473517604604,376847728.4329214,15.021970878464918,3.1941206339453525,0.2229723250047504,-0.1422665535005285,1.5672856305183631,0.5606503675763634,0.5469988075986912,0.0215133561452881,0.5261072311717082,0.6065832779399596,0.0176974360096006,0.0039436669133006,0.2117009535760352,0.0
"Porian, RefinedWeb",2.56e+19,44.68912402537834,6,5,3,2,20.15182088682543,564708872.7390863,13.379487927754322,3.0971853647274687,0.1998288024598098,-0.1354238486219788,1.4755805900747256,0.575443425398172,0.5748930727631542,0.0229229019553498,0.5352099836038124,0.6260432405325621,0.0179551317655448,0.0066344127407654,0.2387934107619188,0.0
"Porian, OpenWebText2",1.25e+16,37.06450503921894,8,5,3,2,16.227302134161327,11153926.36409704,16.74569652982857,4.343314747150324,0.933998909488802,-0.318632807693659,2.931270374351313,0.4055750036344521,0.3930968418523108,0.0307709566668666,0.3598298084684374,0.4847094950568517,0.0831858860111707,0.0200281471878735,0.0885247086986061,0.0
"Porian, OpenWebText2",2.5e+16,37.75765221977888,9,6,3,3,16.572724110820413,15755878.801335435,16.784310125130883,4.118784720114501,0.7495484476211856,-0.2869368012890533,2.6122422925670943,0.4336285635347302,0.4022927805622317,0.0559957360014004,0.3547822630340138,0.5732465485691791,0.1557383073242828,0.0120767220876691,0.0199818840247742,0.0
"Porian, OpenWebText2",5e+16,38.45079940033883,9,5,3,2,16.929980957244226,22521499.79205009,16.429492067388345,3.938198018358952,0.5582207568489177,-0.2611686808328389,2.137395475861851,0.4833958976530724,0.4727050518340777,0.0336129393086409,0.4330303605336241,0.5627674312534923,0.0726311338747901,0.0063632838408362,0.1590346624394166,0.0
"Porian, OpenWebText2",1e+17,39.14394658089878,14,5,3,2,17.22633933421652,30290337.77212804,18.165213940719333,3.761190416322098,0.5221840060134864,-0.2381429582648246,2.1927333473064383,0.4770157876328747,0.4489225491218157,0.0463111234574095,0.4008073387202546,0.5777927171266389,0.0965626527447459,0.0039730799060212,0.0400290688719246,0.0
"Porian, OpenWebText2",2e+17,39.837093761458725,13,7,4,3,17.55551681734112,42098253.67300642,18.808345060576215,3.6094607844751847,0.4318189427757447,-0.218959107037388,1.9721442447333792,0.5035063876775817,0.4761620896645884,0.0389884334978964,0.4438737451198479,0.5823804050568282,0.064157713948035,0.0043848792325212,0.0794388136354199,0.0
"Porian, OpenWebText2",4e+17,40.530240942018665,12,7,4,3,17.88928601931595,58778460.00538771,19.296224097595825,3.4610213289072354,0.3993176109312012,-0.2019745284475181,1.9770691581783368,0.5028828819552345,0.5036142468937224,0.0356366054291083,0.4470787660790568,0.5816306589092459,0.0535028932921116,0.0046688479866437,0.0896765646085205,0.0
"Porian, OpenWebText2",8e+17,41.22338812257861,11,6,3,3,18.28118139277641,86979358.75472094,17.624075048398353,3.3295200687373585,0.3303472523198697,-0.1877813806916817,1.759211968210346,0.5320263972643562,0.5045440430587363,0.0463584000794229,0.4248211231839355,0.5997960045962585,0.059872846604404,0.0043346984138248,0.1580293784525222,0.0
"Porian, OpenWebText2",1.6e+18,41.91653530313856,10,5,3,2,18.696764706475804,131795851.85048248,15.352010166919037,3.202994581359405,0.2709472477624601,-0.1754876135963329,1.5439679314672838,0.5643391923052627,0.58249139416666,0.0778701886531124,0.4503770329492332,0.7651633806934764,0.0844440630770637,0.003398822659835,0.0299814580327843,0.001001001001001
"Porian, OpenWebText2",3.2e+18,42.609682483698506,9,5,3,2,19.026838039599735,183337273.58980185,15.867086547089423,3.0796882299869313,0.2850498656732032,-0.1648432016017532,1.729218207990516,0.5363054368110299,0.5153001210721108,0.062354977650716,0.4558309650747426,0.7349795239292717,0.0691749332070139,0.0028325983454745,0.0419749751728345,0.0
"Porian, OpenWebText2",6.4e+18,43.30282966425845,8,6,3,3,19.32362589488259,246685769.12205663,17.52832958159263,2.967345127108983,0.3002055067097164,-0.1561147708851116,1.9229795169775723,0.509816579807402,0.4764542226361517,0.0475659691593273,0.4373261896252308,0.6092844890321767,0.0535878963695923,0.0041309973733379,0.0479316173191597,0.0
"Porian, OpenWebText2",1.28e+19,43.995976844818394,7,6,3,3,19.684102893428516,353750667.3524081,17.04763677810724,2.86373880607155,0.2721863977234225,-0.1490391833148314,1.8262740822220824,0.5227017085086895,0.5205847710890832,0.0347523005190388,0.441392573826373,0.5790780764034655,0.0368240684280826,0.007111690266203,0.1660150446274062,0.0
"Porian, OpenWebText2",2.56e+19,44.68912402537834,6,5,3,2,20.12841959134723,551647377.5595782,14.02056770722194,2.7666186240735926,0.2093310675339622,-0.1433768731307157,1.4600058082108998,0.5780337117509523,0.5811527163277004,0.0506411360886892,0.4947435033687679,0.6982860815740806,0.0450214572747851,0.0110627433140772,0.0793818241166304,0.0
