block,cell,estimator,param,stat,v1,v2,diff
summary,onpath,dual,alpha,median_bias,0.0006534594817843,0.0006534596112520441,1.2946774414265144e-10
summary,onpath,dual,alpha,rmse,0.020232822663904,0.020232822767833832,1.039298334892802e-10
summary,onpath,dual,alpha,mae,0.0138348951117121,0.013834893869939469,-1.2417726309027488e-09
summary,onpath,dual,alpha,q05,0.3159898026499981,0.3159898026945665,4.4568404522493665e-11
summary,onpath,dual,alpha,q95,0.3818623332007417,0.38186233502830286,1.8275611579632312e-09
summary,onpath,dual,beta,bias,9.441121225584726e-05,9.441139021830302e-05,1.7796245576631124e-10
summary,onpath,dual,beta,median_bias,0.0004889083343984,0.0004889081679628482,-1.6643555175548108e-10
summary,onpath,dual,beta,rmse,0.0213507340796526,0.02135073418608166,1.0642906000946084e-10
summary,onpath,dual,beta,mae,0.0146925908064371,0.014692591006884387,2.004472872407792e-10
summary,onpath,dual,beta,q05,0.3320644349936099,0.3320644353118966,3.182867303053172e-10
summary,onpath,dual,beta,q95,0.4022504248524086,0.40225042082681345,-4.025595135015436e-09
summary,onpath,dual,a,bias,-1.9098901319442695e-05,-1.9098901319442695e-05,0.0
summary,onpath,dual,a,median_bias,2.899281080204208e-05,2.899281080204208e-05,0.0
summary,onpath,dual,a,rmse,0.0005230161703035,0.0005230161703035246,2.461138931542095e-17
summary,onpath,dual,a,mae,0.0003590532399974,0.0003590532399974644,6.440160904563896e-17
summary,onpath,dual,a,q05,0.5117109020480983,0.5117109020480983,0.0
summary,onpath,dual,a,q95,0.5134071992649598,0.5134071992649598,0.0
summary,onpath,dual,gamma,bias,5.183401631023049e-05,5.18341030759763e-05,8.676574581289445e-11
summary,onpath,dual,gamma,median_bias,0.0004584967672846,0.00045849676728465516,5.5185890579512176e-17
summary,onpath,dual,gamma,rmse,0.0103867412784978,0.01038674133109807,5.260027136078094e-11
summary,onpath,dual,gamma,mae,0.0071258366709247,0.007125836438403074,-2.3252162608539129e-10
summary,onpath,dual,gamma,q05,0.1618166478030843,0.1618166479581552,1.5507090056487982e-10
summary,onpath,dual,gamma,q95,0.1958849458944865,0.19588494669805642,8.035699328168278e-10
summary,onpath,dual,sigma_star,bias,0.0001165507180066,0.00011655062536081618,-9.26457838261929e-11
summary,onpath,dual,sigma_star,median_bias,-0.0004898240427749,-0.0004898237421873675,3.005875325121782e-10
summary,onpath,dual,sigma_star,rmse,0.0112811514879754,0.011281151540407788,5.2432388292222853e-11
summary,onpath,dual,sigma_star,mae,0.0077971107783808,0.007797111222373421,4.4399262044692023e-10
summary,onpath,dual,sigma_star,q05,0.7183734161811756,0.718373415351174,-8.300015119644399e-10
summary,onpath,dual,sigma_star,q95,0.7553771131318958,0.7553771129548229,-1.7707291188884255e-10
summary,onpath,dual,lnMstar,bias,0.0004469680288647,0.0004469680288647986,9.855397747893235e-17
summary,onpath,dual,lnMstar,median_bias,-0.0005865284348556,-0.0005865284348556266,-2.656295322589486e-17
summary,onpath,dual,lnMstar,rmse,0.009447038143089,0.00944703814308901,1.0408340855860843e-17
summary,onpath,dual,lnMstar,mae,0.006542256308883,0.006542256308883054,5.4643789493269423e-17
summary,onpath,dual,lnMstar,q05,2.883564154191867,2.883564154191867,0.0
summary,onpath,dual,lnMstar,q95,2.9149369548581405,2.9149369548581405,0.0
summary,iso16,primal,alpha,bias,-0.0007506773355072,-0.0007506774209430714,-8.54358713766809e-11
summary,iso16,primal,alpha,median_bias,-0.000963960667078,-0.0009639616786719929,-1.0115939929255732e-09
summary,iso16,primal,alpha,rmse,0.0081422148955975,0.008142214891722453,-3.875047852042179e-12
summary,iso16,primal,alpha,mae,0.0056343330259223,0.005634333025922339,3.903127820947816e-17
summary,iso16,primal,alpha,q05,0.3341730359105334,0.3341730387820022,2.871468840481839e-09
summary,iso16,primal,alpha,q95,0.3601426553306694,0.3601426553306694,0.0
summary,iso16,primal,alpha,wald_cover,0.968,0.968,0.0
summary,iso16,primal,alpha,boot_cover,0.9733333333333334,0.9733333333333334,0.0
summary,iso16,primal,alpha,corner_share,0.0,0.0,0.0
summary,iso16,primal,beta,bias,8.586813108920377e-05,8.586807214854064e-05,-5.89406631276235e-11
summary,iso16,primal,beta,median_bias,0.0002307148224557,0.00023071482245576314,6.31276714929685e-17
summary,iso16,primal,beta,rmse,0.0085739013758506,0.008573901454148826,7.829822554206167e-11
summary,iso16,primal,beta,mae,0.0055225812355564,0.005522581235556462,6.158268339717665e-17
summary,iso16,primal,beta,q05,0.3513548553118493,0.3513548554848804,1.7303108945654344e-10
summary,iso16,primal,beta,q95,0.3797393559840835,0.37973935595387337,-3.021011218962144e-11
summary,iso16,primal,beta,wald_cover,0.946,0.946,0.0
summary,iso16,primal,beta,boot_cover,0.9866666666666668,0.9866666666666667,-1.1102230246251565e-16
summary,iso16,primal,beta,corner_share,0.0,0.0,0.0
summary,iso16,primal,a,bias,0.0005951724632578,0.0005951724830297088,1.9771908828063178e-11
summary,iso16,primal,a,median_bias,0.001031183561062,0.0010311819492102026,-1.6118517974332558e-09
summary,iso16,primal,a,rmse,0.0072604545599678,0.007260454626233547,6.626574722973233e-11
summary,iso16,primal,a,mae,0.0049398676518788,0.004939867651878871,7.112366251504909e-17
summary,iso16,primal,a,q05,0.501113486925658,0.501113486925658,0.0
summary,iso16,primal,a,q95,0.5248934092875303,0.5248934092875303,0.0
summary,iso16,primal,a,wald_cover,0.944,0.944,0.0
summary,iso16,primal,a,boot_cover,0.9733333333333334,0.9733333333333334,0.0
summary,iso16,primal,a,corner_share,0.0,0.0,0.0
summary,iso16,primal,gamma,bias,-0.0002143974368407,-0.00021439747396298349,-3.7122283491532876e-11
summary,iso16,primal,gamma,median_bias,-0.0002439078142492,-0.0002439078716418297,-5.739262971121706e-11
summary,iso16,primal,gamma,rmse,0.0032845655217899,0.0032845655272325347,5.442634624236442e-12
summary,iso16,primal,gamma,mae,0.0022698154482444,0.0022698153621681094,-8.607629062643007e-11
summary,iso16,primal,gamma,q05,0.1727427161426862,0.17274271611653724,-2.6148944121118234e-11
summary,iso16,primal,gamma,q95,0.1833264652070236,0.18332646520702364,5.551115123125783e-17
summary,iso16,primal,gamma,wald_cover,0.962,0.962,0.0
summary,iso16,primal,gamma,boot_cover,0.9666666666666668,0.9666666666666667,-1.1102230246251565e-16
summary,iso16,primal,gamma,corner_share,0.0,0.0,0.0
summary,iso16,primal,sigma_star,bias,0.0001978422047246,0.00019784224399976247,3.927516246796971e-11
summary,iso16,primal,sigma_star,median_bias,0.0001952315503408,0.00019523155034084638,4.637674792806745e-17
summary,iso16,primal,sigma_star,rmse,0.0035707000761125,0.0035707000824546403,6.342140354553827e-12
summary,iso16,primal,sigma_star,mae,0.0024520419492518,0.0024520424320598755,4.828080756372199e-10
summary,iso16,primal,sigma_star,q05,0.7316383424706037,0.7316383424706037,0.0
summary,iso16,primal,sigma_star,q95,0.7430070958067969,0.7430070958877987,8.100176085434896e-11
summary,iso16,primal,sigma_star,wald_cover,0.96,0.96,0.0
summary,iso16,primal,sigma_star,boot_cover,0.9666666666666668,0.9666666666666667,-1.1102230246251565e-16
summary,iso16,primal,sigma_star,corner_share,0.0,0.0,0.0
summary,iso16,primal,lnMstar,bias,-0.0156477094664935,-0.01564771031435938,-8.478658816701845e-10
summary,iso16,primal,lnMstar,median_bias,-0.0239511803172858,-0.023951180317285825,-2.42861286636753e-17
summary,iso16,primal,lnMstar,rmse,0.1619123670968702,0.16191236839984693,1.3029767265138048e-09
summary,iso16,primal,lnMstar,mae,0.1131032641791747,0.11310326417917471,1.3877787807814457e-17
summary,iso16,primal,lnMstar,q05,2.6174103198187497,2.617410318293603,-1.5251466756183163e-09
summary,iso16,primal,lnMstar,q95,3.1681184472064974,3.1681184737082924,2.6501794980759996e-08
summary,iso16,primal,lnMstar,wald_cover,0.96,0.96,0.0
summary,iso16,primal,lnMstar,boot_cover,0.9733333333333334,0.9733333333333334,0.0
summary,iso16,primal,lnMstar,corner_share,0.0,0.0,0.0
summary,iso16,dual,alpha,bias,0.0002968475281627,0.00029684727610795604,-2.5205474393861366e-10
summary,iso16,dual,alpha,median_bias,3.7624785502288205e-05,3.762502684342972e-05,2.413411415158606e-10
summary,iso16,dual,alpha,rmse,0.0291312879519965,0.02913128731810561,-6.338908911662777e-10
summary,iso16,dual,alpha,mae,0.0205477267087471,0.020547727159163975,4.504168739372094e-10
summary,iso16,dual,alpha,q05,0.3016387609696721,0.301638767338464,6.368791882760405e-09
summary,iso16,dual,alpha,q95,0.3951815799692753,0.39518158020241423,2.3313895258780803e-10
summary,iso16,dual,beta,bias,0.0006997136892122,0.0006997134269311311,-2.6228106893375763e-10
summary,iso16,dual,beta,median_bias,0.0018455943353868,0.0018455920534294346,-2.2819573654731667e-09
summary,iso16,dual,beta,rmse,0.030429231365437,0.03042923071987635,-6.455606500754829e-10
summary,iso16,dual,beta,mae,0.0221194675064819,0.022119466365614487,-1.140867410959201e-09
summary,iso16,dual,beta,q05,0.315610604681098,0.315610604934818,2.5372004497370426e-10
summary,iso16,dual,beta,q95,0.4146275017212915,0.41462750126323455,-4.580569257228717e-10
summary,iso16,dual,a,bias,0.0002793529227691,0.0002793529227691628,6.282951589553498e-17
summary,iso16,dual,a,median_bias,0.0006960277319084,0.0006960277319084662,6.624475273886432e-17
summary,iso16,dual,a,rmse,0.0068494611459438,0.006849461145943823,2.3418766925686896e-17
summary,iso16,dual,a,mae,0.0045519758437649,0.004551975843764988,8.847089727481716e-17
summary,iso16,dual,a,q05,0.4998493270435303,0.49984932704353036,5.551115123125783e-17
summary,iso16,dual,a,q95,0.5236142332429522,0.5236142332429522,0.0
summary,iso16,dual,gamma,bias,0.0002110000716593,0.00021099994310502896,-1.2855427104232174e-10
summary,iso16,dual,gamma,median_bias,0.0005451856210761,0.0005451846382367731,-9.828393268511426e-10
summary,iso16,dual,gamma,rmse,0.014683554273157,0.014683553948566993,-3.245900076498387e-10
summary,iso16,dual,gamma,mae,0.0106002486989421,0.010600250121272206,1.4223301061239146e-09
summary,iso16,dual,gamma,q05,0.1550915386867235,0.1550915386726644,-1.405911498331136e-11
summary,iso16,dual,gamma,q95,0.20161116655667,0.20161116607756158,-4.791084196043016e-10
summary,iso16,dual,sigma_star,bias,7.452041744119953e-05,7.452054235108863e-05,1.2490988909982965e-10
summary,iso16,dual,sigma_star,median_bias,-0.0006448197475255,-0.0006448197475255601,-6.01732205729455e-17
summary,iso16,dual,sigma_star,rmse,0.0159519165838839,0.0159519162518485,-3.3203539917536773e-10
summary,iso16,dual,sigma_star,mae,0.011443912269494,0.01144390921771532,-3.051778680457362e-09
summary,iso16,dual,sigma_star,q05,0.7124786434453875,0.7124786439289746,4.83587170307942e-10
summary,iso16,dual,sigma_star,q95,0.7627787261307757,0.7627787261472007,1.6424972493211953e-11
summary,iso16,dual,lnMstar,bias,0.0245858383237118,0.024585838323711823,2.42861286636753e-17
summary,iso16,dual,lnMstar,median_bias,0.0183866875176614,0.018386687517661482,8.326672684688674e-17
summary,iso16,dual,lnMstar,rmse,0.1368750565669716,0.1368750565669716,0.0
summary,iso16,dual,lnMstar,mae,0.0912065371710575,0.09120653717105753,2.7755575615628914e-17
summary,iso16,dual,lnMstar,q05,2.708651635851157,2.708651635851157,0.0
summary,iso16,dual,lnMstar,q95,3.169008687172844,3.1690086871728442,4.440892098500626e-16
summary,iso4,primal,alpha,bias,1.9763595752043116e-05,1.9763613636786024e-05,1.788474290811016e-11
summary,iso4,primal,alpha,median_bias,0.0013017870789493,0.0013017846934370303,-2.385512269708137e-09
summary,iso4,primal,alpha,rmse,0.0197031989410796,0.019703198744446856,-1.9663274480885562e-10
summary,iso4,primal,alpha,mae,0.0127656031240938,0.012765603013124682,-1.1096911757546568e-10
summary,iso4,primal,alpha,q05,0.3136512247038654,0.31365122032768816,-4.376177253906377e-09
summary,iso4,primal,alpha,q95,0.3796481627486719,0.37964816274867197,5.551115123125783e-17
summary,iso4,primal,alpha,wald_cover,0.938,0.938,0.0
summary,iso4,primal,alpha,corner_share,0.0,0.0,0.0
summary,iso4,primal,beta,bias,-0.0004808332025338,-0.00048083323197837147,-2.944457145551832e-11
summary,iso4,primal,beta,median_bias,-0.0002897139154414,-0.0002897088088363864,5.1066050136324564e-09
summary,iso4,primal,beta,rmse,0.0199000682293567,0.019900068260245044,3.0888343965918e-11
summary,iso4,primal,beta,mae,0.0130954304801573,0.013095419896990562,-1.0583166737063165e-08
summary,iso4,primal,beta,q05,0.3338312482493587,0.3338312482493587,0.0
summary,iso4,primal,beta,q95,0.3984722511532679,0.39847225115326795,5.551115123125783e-17
summary,iso4,primal,beta,wald_cover,0.96,0.96,0.0
summary,iso4,primal,beta,corner_share,0.0,0.0,0.0
summary,iso4,primal,a,bias,-0.0003191575451366,-0.00031915758849747735,-4.336087733444391e-11
summary,iso4,primal,a,median_bias,-0.0005837096131479,-0.0005837076993280288,1.9138198712430332e-09
summary,iso4,primal,a,rmse,0.0148602688033888,0.014860268782223882,-2.1164917041183173e-11
summary,iso4,primal,a,mae,0.0096530620916814,0.009653062091681486,8.500145032286355e-17
summary,iso4,primal,a,q05,0.4891262356342356,0.48912623557562385,-5.861172658327973e-11
summary,iso4,primal,a,q95,0.5384941996143531,0.5384941996143531,0.0
summary,iso4,primal,a,wald_cover,0.964,0.964,0.0
summary,iso4,primal,a,corner_share,0.0,0.0,0.0
summary,iso4,primal,gamma,bias,-0.0002657418870556,-0.00026574188898748,-1.931880003191999e-12
summary,iso4,primal,gamma,median_bias,-0.0005356286520697,-0.0005356286520697279,-2.7863995832877464e-17
summary,iso4,primal,gamma,rmse,0.0083991899193542,0.008399189866931457,-5.242274322969642e-11
summary,iso4,primal,gamma,mae,0.005655294460606,0.005655294155875984,-3.047300163941391e-10
summary,iso4,primal,gamma,q05,0.1643814878932198,0.16438148789321985,5.551115123125783e-17
summary,iso4,primal,gamma,q95,0.1922839457740065,0.19228394667191867,8.979121612906482e-10
summary,iso4,primal,gamma,wald_cover,0.94,0.94,0.0
summary,iso4,primal,gamma,corner_share,0.0,0.0,0.0
summary,iso4,primal,sigma_star,bias,0.000237612953744,0.0002376129555872628,1.843262792834005e-12
summary,iso4,primal,sigma_star,median_bias,0.0003171181892193,0.0003171181892193675,6.754579534584693e-17
summary,iso4,primal,sigma_star,rmse,0.0091028437622097,0.0091028437085312,-5.367849914561518e-11
summary,iso4,primal,sigma_star,mae,0.0060281434366578,0.006028143436657862,6.245004513516506e-17
summary,iso4,primal,sigma_star,q05,0.7218384918585984,0.7218384918585984,0.0
summary,iso4,primal,sigma_star,q95,0.7524011736241487,0.7524011745995917,9.754429486363847e-10
summary,iso4,primal,sigma_star,wald_cover,0.938,0.938,0.0
summary,iso4,primal,sigma_star,corner_share,0.0,0.0,0.0
summary,iso4,primal,lnMstar,bias,0.0039036039450835,0.003903604812268128,8.671846279256767e-10
summary,iso4,primal,lnMstar,median_bias,0.0122256376126732,0.012225637612673257,5.724587470723463e-17
summary,iso4,primal,lnMstar,rmse,0.309261592779683,0.30926159241562856,-3.6405445325016217e-10
summary,iso4,primal,lnMstar,mae,0.202352452173425,0.202352452173425,0.0
summary,iso4,primal,lnMstar,q05,2.3477862056026444,2.3477862056026444,0.0
summary,iso4,primal,lnMstar,q95,3.371755760455733,3.371755760455733,0.0
summary,iso4,primal,lnMstar,wald_cover,0.958,0.958,0.0
summary,iso4,primal,lnMstar,corner_share,0.0,0.0,0.0
summary,iso4,dual,alpha,bias,0.0023820325233567,0.00238203283056973,3.072130297550324e-10
summary,iso4,dual,alpha,median_bias,0.0005656300662365,0.0005656303112535066,2.4501700657524744e-10
summary,iso4,dual,alpha,rmse,0.0326098340534651,0.032609834102512836,4.904773809322194e-11
summary,iso4,dual,alpha,mae,0.0218279528598875,0.02182795265402218,-2.05865317848275e-10
