gC,sigma,scenario,spec,stock,year,C,m_D,w_sigma,D_w,U,r_obs,r_opt,life_penalty,train_penalty,N_ratio,ratio_proc,ratio_proc_vs_w,w_hat_proc,shadow_usd_per_Mtok,epochs,s_true_c,s_hat_proc,extra_life_usd_bn
hat,0.7,trend,D15,100T,2027.0,1.4602242200599083e+27,1.5222243868442225,1.4335415763376376,107420879047675.0,115762500000000.02,0.9279419418868371,0.609596029275675,0.0,0.0,1.0,1.0,1.0,1.4335415763376376,0.0,0.9279419418868371,,,
hat,0.7,trend,D15,100T,2027.5,3.285282740472747e+27,2.184533729979877,1.9537947246506127,230555267108388.94,118621263804439.83,1.943625111670405,0.8897208063197583,0.0072930028268365366,-0.007975572800111963,1.0233012436278555,0.962315505006431,0.9771268207989757,1.9091052277916634,1.2565872397461377,1.8842189434466807,0.4959337542019205,0.4761944048748224,0.04753373706502936
hat,0.7,trend,D15,100T,2028.0,7.3913872517505e+27,3.1350093052399366,2.6628553291247434,494836121829063.4,121550625000000.02,4.071029020451876,1.2985699958362011,0.027476813398050748,-0.013050019337394025,1.0518486466090475,0.9147438454027116,0.9523056991387284,2.5358523059074276,7.571459934532278,3.8198480608068563,0.6392755827018165,0.6056552671973691,0.5491408934751292
hat,0.7,trend,D15,100T,2028.5,1.6629498835000692e+28,4.499030254859706,3.6292443696284713,1062056792446699.6,124552326994661.81,8.526992775431793,1.8952957176096368,0.0586067448152614,-0.029519023085259777,1.0921242713405623,0.8393279756848282,0.9155442273549663,3.3227337322738606,37.40286674947558,7.577236854820762,0.7473983643250139,0.699042992736085,3.5915909269515582
hat,0.7,trend,D15,100T,2029.0,3.741384696598062e+28,6.456527322043733,4.946350089101268,2279471082694778.0,127628156250000.03,17.860252389995466,2.766231984958445,0.10365023476769597,-0.0804600101718439,1.1503035323167405,0.7129640606888158,0.8557136847383773,4.232659460750847,174.98243228548893,14.277289288982672,0.8315564794900036,0.7637419194071884,19.477418679888434
hat,0.7,trend,D15,100T,2030.0,1.893820330496557e+29,13.297167887387415,9.188024199570016,1.0500422640197986e+16,134009564062500.05,78.35577045307562,5.892666101282919,0.24659364743973833,-0.3549533239860929,1.3200603296043343,0.33790624696187715,0.6530252717460677,6.000011999733656,3150.6462005244157,38.28849950548441,0.9436824048057109,0.8333336666586015,435.6991194007422
hat,0.7,trend,D15,100T,2031.0,9.586171257564732e+29,27.385414016864818,17.067087280759573,4.837037699659495e+16,140710042265625.05,343.75923862835526,12.552639825589537,0.42704083995555453,-0.6946476043620842,1.4968536457688935,0.09094939215184913,0.42504496058948205,7.254279440627703,41153.67040172809,70.12556460315477,0.9874626566434034,0.8621503337189514,7094.436346792291
hat,0.7,trend,D15,22T,2026.7282683093772,9.398037560015233e+26,1.2508928117367921,1.2115225766119495,70929895287991.31,25132331179875.76,2.822256908057422,2.2561940412295454,0.03078520500963866,0.021542172090979417,1.0744828238014918,0.9405918674820091,0.949102452587237,1.14985904882721,3.049914629524023,2.6832019909407014,0.1819937683306848,0.13032819020736292,0.03559218342770558
hat,0.7,trend,D15,22T,2027.0,1.4602242200599083e+27,1.5222243868442225,1.4335415763376376,107420879047675.0,25467750000000.004,4.2179179176674415,2.7708910421621593,0.05533680031891608,0.033685757863762156,1.1052767452673384,0.9120724363072577,0.9311762295930182,1.3348798400189132,7.795381603588162,3.9447149304463442,0.3167381745054035,0.25086890218835617,0.11762178812068402
hat,0.7,trend,D15,22T,2027.5,3.285282740472747e+27,2.184533729979877,1.9537947246506127,230555267108388.94,26096678036976.76,8.834659598501842,4.044185483271629,0.11931617318575216,0.05538931013233683,1.1863398853129425,0.8338719615164751,0.8843811131405921,1.7278991534347254,40.178573237516694,7.8594721583160165,0.5174070431952579,0.42126252101449574,0.7776691903843918
