run,variant,k,members,mean_re,lo_hksj,hi_hksj,se_hksj,tau,Q,p_Q,I2,mean_fixed,pi_lo,pi_hi,note
old,"[rb4] FLOP-accounting elasticity eta = -0.1 for Meta only (Chinchilla in T, as published)",4,Hoffmann 0.673 (0.027); Meta 0.611 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.676265,0.601672,0.750858,0.0234389,0.0418562,18.7043,0.000314712,0.839609,0.702802,0.469858,0.882672,sigma*_eff = 2/(2 + S/(1+eta)^2) applied to Llama 3 only
old,"[rb4] FLOP-accounting elasticity eta = +0.1 for Meta only (Chinchilla in T, as published)",4,Hoffmann 0.673 (0.027); Meta 0.701 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.706489,0.691888,0.72109,0.00458795,0,1.60329,0.658644,0,0.706489,0.686749,0.726229,sigma*_eff = 2/(2 + S/(1+eta)^2) applied to Llama 3 only
new,PRIMARY: one estimate per study; Marin = mean of 3 corpora (rho = 1); Farseer first-derivative path,4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.687259,0.640215,0.734302,0.0147821,0.0229547,8.2512,0.0410957,0.636416,0.703867,0.569785,0.804732,"FLOP-implied N (Llama 3, Marin), total N (Chinchilla), non-embedding N (Farseer)"
new,Marin corpora independent (rho = 0),4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.015); Farseer 0.708 (0.005),0.690741,0.64933,0.732152,0.0130125,0.018804,8.26212,0.0408939,0.636897,0.703983,0.59424,0.787242,
new,Marin corpora rho = 0.5,4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.021); Farseer 0.708 (0.005),0.68845,0.644217,0.732683,0.0138991,0.021605,8.25407,0.0410426,0.636543,0.703897,0.577916,0.798984,
new,Marin by inverse variance (ra1's 'one per study'); Farseer RE path 0.703,4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.015); Farseer 0.703 (0.013),0.687677,0.64804,0.727313,0.0124547,0.0162266,5.59241,0.133215,0.463559,0.691946,0.600786,0.774567,
new,"Farseer Hessian-based path, RE over levels (ra1 Table 1 input)",4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.703 (0.013),0.684724,0.64362,0.725827,0.0129158,0.0159886,4.85564,0.182678,0.382161,0.688118,0.596288,0.773159,
new,Farseer Hessian-based path at the extended-grid CV bandwidth,4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.664 (0.005),0.664819,0.650306,0.679332,0.0045603,0,2.70494,0.439389,0,0.664819,0.645197,0.68444,bandwidth sensitivity (R4 R2-M4)
new,IsoFLOP studies only (k = 3),3,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026),0.672949,0.609158,0.736739,0.0148258,0.00967814,2.33437,0.311241,0.143239,0.672635,0.448922,0.896975,
new,Six designs (ra1 Panel C; Marin x3 separate),6,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0 0.700 (0.027); Marin 1 0.713 (0.027); Marin 2 0.705 (0.023); Farseer 0.703 (0.013),0.691229,0.667533,0.714925,0.00921811,0.00806034,5.70454,0.336038,0.123506,0.691946,0.657232,0.725227,"as in the paper's Table 1, Panel C (not one per study)"
new,Marin in configuration N (0.64-0.66),4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin cfg 0.652 (0.021); Farseer 0.708 (0.005),0.673459,0.615403,0.731516,0.0182427,0.0315591,14.3084,0.00251409,0.790333,0.701308,0.516617,0.830301,FLOP accounting (R4)
