key,label,group,a,a_global,d_elasticity,n_conv,source,gD_hat,gD5_hat,gD_epoch,gD5_epoch,a_lo,a_hi,gD_hat_lo,gD_hat_hi,Dstar_now_T,Mstar_now,data_multiple_obs,year_unique_opt,year_unique_obsOT,year_unique_OT5,year_effective_opt,year_effective_obsOT,year_effective_OT5
farseer_eq3,Farseer Eq. 3 (own form; local at 1e22-1e23),Design sweeps,0.35727181514266704,0.3572718151406945,0.642728184857333,non-emb.,m2_farseer_eq3_Mstar.csv,2.8358129394552383,183.3951722791637,2.5152426299913313,100.66985096209507,,,,,419.2236088595795,1122.0327633482975,0.29630560202938583,2025.4196913113449,2026.6439659003354,2024.6097388334542,2026.5904067186113,2027.8146813076016,2025.7804542407207
deepseek,DeepSeek LLM (published law),Lab laws,0.5243,0.5243,0.4757,non-emb. FLOPs/token,bi2024deepseek eq. 4,2.162910548738277,47.33613487406068,1.9791544512629196,30.366758611085764,,,,,39.524056558379236,9.973259014049495,1.6590711672725158,2028.1969624893252,2027.496419126287,2027.0834183549987,2029.8064930609485,2029.1059496979103,2028.692948926622
kaplan,"Kaplan et al. (2020), historical",Historical,0.73,0.73,0.27,,kaplan2020scaling (N ~ C^0.73; growth only),1.5493970702226865,8.929222647211546,1.4732529127540095,6.940432615759126,,,,,,,,,,,,,
ra1_chinchilla,Chinchilla (model-free A2 path),ra1 model-free A2,0.4889084839456256,0.4889084839456256,0.5110915160543744,,"data/processed/rb4_chinflop/override_new_isoflop_budgets.csv; 9 budgets, C up to 3.0e+21",2.2906831980070343,63.07033700839673,2.0822718343026643,39.14597582348204,,,,,,,,,,,,,
ra1_llama_3,Llama 3 (model-free A2 path),ra1 model-free A2,0.4958659981291548,0.4958659981291548,0.5041340018708452,,"data/processed/rb4_chinflop/override_new_isoflop_budgets.csv; 8 budgets, C up to 1.0e+21",2.2649822790263774,59.610675393653366,2.061584588362728,37.23966749953691,,,,,,,,,,,,,
ra1_marin_comma,"Marin, Comma (model-free A2 path)",ra1 model-free A2,0.35300929054970775,0.3530092905497078,0.6469907094502922,,"data/processed/rb4_chinflop/override_new_isoflop_budgets.csv; 5 budgets, C up to 3.0e+20",2.855483816914981,189.844716958732,2.5306757327925897,103.79645061538716,,,,,,,,,,,,,
ra1_marin_dclm,"Marin, DCLM (model-free A2 path)",ra1 model-free A2,0.41890666467415527,0.4189066646741552,0.5810933353258447,,"data/processed/rb4_chinflop/override_new_isoflop_budgets.csv; 7 budgets, C up to 3.0e+20",2.566065633087434,111.25993486468846,2.302321710806772,64.6889414421048,,,,,,,,,,,,,
ra1_marin_nemotroncc,"Marin, Nemotron-CC (model-free A2 path)",ra1 model-free A2,0.42741582555063395,0.427415825550634,0.572584174449366,,"data/processed/rb4_chinflop/override_new_isoflop_budgets.csv; 7 budgets, C up to 3.0e+20",2.5308983561419605,103.8421134774429,2.274378181383328,60.85740111563744,,,,,,,,,,,,,
ra1_porian_refinedweb,"Porian, RefinedWeb (model-free A2 path)",ra1 model-free A2,0.49963553793397875,0.4996355379339787,0.5003644620660213,,"data/processed/rb4_chinflop/override_new_isoflop_budgets.csv; 12 budgets, C up to 2.6e+19",2.2511783190343735,57.81619243717722,2.0504623340259407,36.24590765232897,,,,,,,,,,,,,
ra1_porian_openwebtext2,"Porian, OpenWebText2 (model-free A2 path)",ra1 model-free A2,0.506902243429014,0.506902243429014,0.493097756570986,,"data/processed/rb4_chinflop/override_new_isoflop_budgets.csv; 12 budgets, C up to 2.6e+19",2.224804786423876,54.50791261091347,2.0291905301505335,34.404411572707,,,,,,,,,,,,,
