object,A2_A1,A2_A1_se,A2_A1_rse,A2_A1_se_wild,A2_A1_rse_wild,A2_se_ols,A2_A1_Efixed,A3_analytic,A3_analytic_se,A3_analytic_rse,A3_analytic_se_wild,A3_design_se_wild,A3_design,A3_design_se,A3_design_rse,dataset
gamma,0.07575911048609366,0.03374351709757212,0.022738059133609313,0.0552581452019478,0.05172455390104424,,0.23650518486668734,0.2545593478917503,0.014470349650790323,0.013170138622744675,0.012075654232213788,0.010271671127063451,0.219849025425641,0.015250762473736778,0.013329507630087136,"Marin 2026-03, DCLM"
Lstar_ref,3.2223931594327695,0.009745370127080287,0.005586126369822578,0.006753619439716001,0.007106452767307904,,3.2009310961524053,3.208678519144808,0.004299394838385185,0.0037436335252386548,0.0038779944041710643,0.0042739685501307825,3.2067327340620206,0.005831764921762269,0.004878947046340103,"Marin 2026-03, DCLM"
a,0.4223734822719682,0.02797014952853032,0.027389600873943733,0.04755662476944826,0.028072480792412247,0.013627471982484233,0.4223734822719682,0.3851129269544345,0.02099862916378881,0.01665713199781695,0.01624157557753958,0.011048455656790312,0.4252102810639201,0.018948364723097147,0.01695910172462825,"Marin 2026-03, Nemotron-CC"
lnNstar_ref,20.74055979456309,0.051318689722717706,0.036023108478520756,0.03557544025280995,0.025923473127448936,,20.74055979456309,20.68935642627805,0.02589833041979445,0.020834154882179202,0.019033870760222123,0.023722593339931746,20.706471439490265,0.03942565824685727,0.03731124408920335,"Marin 2026-03, Nemotron-CC"
gamma,0.0746645469363178,0.020347601980582983,0.01977865994261538,0.048004700992091566,0.05236545228773266,,0.23154527670971556,0.24618406686433494,0.016253660248522324,0.014611372124508226,0.014632285204058725,0.01253238537934336,0.21181964394517694,0.01746450269481511,0.0148205822674611,"Marin 2026-03, Nemotron-CC"
Lstar_ref,3.20612203384142,0.0064655221597151495,0.005662049365901419,0.007050638545587651,0.007091791524095922,,3.181955023948812,3.19032317383005,0.004830348590517977,0.004423292322444524,0.004966873974587406,0.005305495101096079,3.18855886392199,0.006183412141736512,0.005884549766449422,"Marin 2026-03, Nemotron-CC"
a,0.5174199142323614,0.06363181993200084,0.04084817547752651,0.09927223768269197,0.08288310277072405,0.017141870113010414,0.5174199142323614,0.5359612530197957,0.016941268080159125,0.017017974695002894,0.01639063835801001,0.008465011746567245,0.49845912621741095,0.012333651777874603,0.012989136420765494,(Mis)Fitting FineWeb/C4
lnNstar_ref,18.62404800493061,0.09276391718430703,0.03963941278943455,0.10166106958711453,0.08962068239463446,,18.62404800493061,18.537127223496483,0.022575607606156723,0.026299510204485153,0.022942921139706595,0.019418599478591637,18.574519709006488,0.020741038898833063,0.02113938785001787,(Mis)Fitting FineWeb/C4
gamma,0.16547200601179737,0.08178372049591276,0.07773084434984925,0.11456842869718296,0.11728766170667411,,0.31713454769730526,0.3270487769264502,0.014399481500182904,0.01256265261998618,0.014480009912029699,0.016738470807902906,0.36300598710732074,0.02078583831656673,0.015676823196339864,(Mis)Fitting FineWeb/C4
Lstar_ref,3.5216920905577767,0.015690604228422594,0.011075858792427666,0.027100549839186614,0.026810482916625356,,3.4895778211660753,3.5128414502602237,0.004336684984536997,0.00444078969659323,0.004101389639732343,0.005231055082821229,3.5034164173796523,0.006063499543794774,0.00542656076193067,(Mis)Fitting FineWeb/C4
