uid,model,dev,year,gen,N,D,M,Cmp,dlo,dhi,Mstar_hi_eff,Mstar_lo_eff,binding_upper,binding_lower,tau_break,sign_tau1
B:Qwen/Qwen3-0.6B-Base,Qwen3-0.6B-Base,Alibaba,2025,Qwen3,596049920.0,36000000000000.0,60397.62575590984,1.2874678272e+23,6.056938799647539,9.072208510267904,141.42453804964686,6.934414089643774,Marin,Llama 3,427.0660989163518,w>1
B:h2oai/h2o-danube3-4b-base,h2o-danube3-4b-base,H2O.ai,2024,H2O-Danube3,3961839360.0,6000000000000.0,1514.4480769659474,1.4262621696e+23,2.3430344153481952,5.396206407439978,145.4412071799384,6.866125260735758,Marin,Llama 3,10.412785388203547,w>1
B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,2023,Llama-2,13015866880.0,2000000000000.0,153.6586090222828,1.5619040256e+23,0.03010073695422477,3.116921704769092,149.10228994982785,6.806047888833269,Marin,Llama 3,1.0305583440334023,w>1
B:Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,Alibaba,2024,Qwen2.5,1543714304.0,18000000000000.0,11660.188645890788,1.66721144832e+23,4.3414430006871285,7.452439337562293,151.7891881291569,6.763201016331765,Marin,Llama 3,76.81830827087087,w>1
B:allenai/OLMo-2-1124-7B,OLMo-2-1124-7B,AI2,2024,OLMo-2,7298617344.0,4050000000000.0,554.8996212727055,1.773564014592e+23,1.27936347724172,4.41327905581465,154.38102849127577,6.722823157277106,Marin,Llama 3,3.594351110985528,w>1
B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,IBM,2024,Granite-3.0,2533525504.0,12000000000000.0,4736.482810634458,1.82413836288e+23,3.4159268933815827,6.56026545281317,155.57426760813811,6.704538354074285,Marin,Llama 3,30.445155766792702,w>1
B:mosaicml/mpt-30b,mpt-30b,MosaicML,2023,MPT,30000000000.0,1050000000000.0,35.0,1.89e+23,-1.5014891267726775,1.6559998517924819,157.09287457697616,6.681538060992221,Marin,Llama 3,1.0,not identified
B:HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,Hugging Face,2025,SmolLM3,3075098624.0,11200000000000.0,3642.1596083417194,2.066466275328e+23,3.1190428588667904,6.309635834721373,160.9814635017697,6.623979014467087,Marin,Llama 3,22.624714231782846,w>1
B:m-a-p/neo_7b,neo_7b,M-A-P,2024,MAP-Neo,7793716224.0,4420000000000.0,567.1235483772215,2.0668935426048e+23,1.2592313117524059,4.4499009739580195,160.9905820374183,6.623846241011451,Marin,Llama 3,3.5227125785867868,w>1
B:tiiuae/falcon-40b,falcon-40b,TII,2023,Falcon,41835970560.0,1000000000000.0,23.902875602367764,2.5101582336e+23,-1.9605977173581772,1.3021725071203716,169.79579126565378,6.500156559381074,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen-14B,Qwen-14B,Alibaba,2023,Qwen,14167290880.0,3000000000000.0,211.75537549208562,2.5501123584e+23,0.2165057817734235,3.4851384828884586,170.5325073453743,6.4901992826409876,Marin,Llama 3,1.241730264736118,w>1
B:allenai/Olmo-3-1025-7B,Olmo-3-1025-7B,AI2,2025,Olmo-3,7298011136.0,6030000000000.0,826.2525073790187,2.6404204290048e+23,1.5684326958010937,4.849986105326019,172.16748103723413,6.468306453142395,Marin,Llama 3,4.799120614422694,w>1
B:huggyllama/llama-30b,llama-30b,Meta,2023,Llama,32528947456.0,1400000000000.0,43.03858899503889,2.732431586304e+23,-1.3957634584599203,1.8985093031428004,173.7922447603276,6.44682543225321,Marin,Llama 3,1.0,not identified
B:google/gemma-7b,gemma-7b,Google,2024,Gemma,8537680896.0,6000000000000.0,702.7669542921273,3.07356512256e+23,1.3648967376981451,4.702867579477315,179.49163361152043,6.373557275176544,Marin,Llama 3,3.9153187262931075,w>1
B:Qwen/Qwen2-7B,Qwen2-7B,Alibaba,2024,Qwen2,7615616512.0,7000000000000.0,919.1639296661056,3.19855893504e+23,1.6223998136562399,4.975181332978831,181.4653399672417,6.348910045403251,Marin,Llama 3,5.065231353998697,w>1
B:Qwen/Qwen2.5-3B,Qwen2.5-3B,Alibaba,2024,Qwen2.5,3085938688.0,18000000000000.0,5832.9091468974775,3.33281378304e+23,3.4589248927703533,6.826985426499229,183.5241484748845,6.323581397169788,Marin,Llama 3,31.782788234517913,w>1
B:tiiuae/falcon-11B,falcon-11B,TII,2024,Falcon2,11102822400.0,5500000000000.0,495.3695377492483,3.663931392e+23,0.966963209850495,4.370230548738138,188.35732337206358,6.265594500692013,Marin,Llama 3,2.6299457269879616,w>1
B:Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,Alibaba,2025,Qwen3,1720574976.0,36000000000000.0,20923.23816291514,3.71644194816e+23,4.706369016403338,8.114926604428849,189.0944598359675,6.256926497310498,Marin,Llama 3,110.64966250764448,w>1
