tech,year,n_models,n_units,median_s_models,median_s_units,s_agg_models,s_agg_units,median_lnM,median_M,top_model,top_share_C,dropped
without Marin,2025,12,5,0.870143334985789,0.6490643671488323,0.8286952047602283,0.8131218881264342,7.8549520988061,2582.5390443266133,Apertus-70B-2509,0.39254983144834404,Marin
without Meta,2023,17,13,0.5709494921606031,0.5252893045020336,0.27578719172325744,0.2542232471877223,5.073079332957634,159.66523353939925,falcon-180B,0.5450983769058771,Meta
without Meta,2024,37,26,0.821988507519126,0.7961261980208412,0.746809390468524,0.7187652199517335,7.105526661122987,1218.6837491015756,Qwen2.5-72B,0.3229454817370907,Meta
without Meta,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,Meta
without Microsoft,2023,22,14,0.5535544164609436,0.4775398220094298,0.2672852032304701,0.23786601873350469,4.980887639749788,145.62996779959934,falcon-180B,0.4237616574360171,Microsoft
without Microsoft,2024,40,27,0.8206948197148135,0.7736156415553738,0.5847245285923777,0.5384500202871144,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414,Microsoft
without Microsoft,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,Microsoft
without MosaicML,2023,22,15,0.5613388471310976,0.4919591934588733,0.27025565603558965,0.2414709291904629,5.017331733331408,151.0307008821693,falcon-180B,0.4338252625052456,MosaicML
without MosaicML,2024,40,27,0.8206948197148135,0.7736156415553738,0.5847245285923777,0.5384500202871144,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414,MosaicML
without MosaicML,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,MosaicML
without Stability AI,2023,20,13,0.5163165795111463,0.4631204505599863,0.24593895101084964,0.2144042879928425,4.8115210486756155,124.30987183361681,falcon-180B,0.43069290875914157,Stability AI
without Stability AI,2024,39,26,0.821988507519126,0.7717922941948065,0.5845709284695,0.5382457333182672,7.105526661122987,1218.6837491015756,Llama-3.1-405B,0.5477290332815736,Stability AI
without Stability AI,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,Stability AI
without Swiss AI,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904,Swiss AI
without Swiss AI,2024,40,27,0.8206948197148135,0.7736156415553738,0.5847245285923777,0.5384500202871144,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414,Swiss AI
without Swiss AI,2025,11,5,0.8723630121406716,0.8402826776970129,0.8728825067326014,0.8618262194921898,7.911113459451575,2727.4256541209866,Qwen3-14B-Base,0.32819923807187773,Swiss AI
without TII,2023,21,13,0.5571620025816658,0.4919591934588733,0.3980299472796233,0.36072782482414334,4.999930149572753,148.40279274205582,Qwen-72B,0.26911014282874235,TII
without TII,2024,38,25,0.8206948197148135,0.7736156415553738,0.5764311606042438,0.5274070523566873,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5555219750246648,TII
without TII,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,TII
without TinyLlama,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904,TinyLlama
without TinyLlama,2024,39,26,0.819401131910501,0.7717922941948065,0.5845879754872465,0.5382716308132871,7.103456752172356,1216.1637936402378,Llama-3.1-405B,0.5476774347978066,TinyLlama
without TinyLlama,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,TinyLlama
