design,budget_C,c,n_budget,nwin,nleft,nright,xstar,Nstar,Mstar,Lstar,curv,slope,S,sigma,sigma_pop,se_sigma,lo_sigma,hi_sigma,se_curv,se_slope,weight,share_nonconvex_draws
"Porian, RefinedWeb",5e+16,38.45079940033883,10,6,4,2,16.9348586446141,22631620.977161273,16.269995455002682,4.194666424004464,0.5401139542014013,-0.23394295994570422,2.3087420725409147,0.46417259755364687,0.46272486525389084,0.023973530114313493,0.4242516301608071,0.5093419813305937,0.04938042534978513,0.00490796045959158,0.07855660647273133,0.0
"Porian, RefinedWeb",1e+17,39.14394658089878,15,6,4,2,17.254791654364155,31164545.808933686,17.16038968885002,4.046807038736408,0.4279077718983255,-0.21816255881758434,1.9614170929124402,0.5048698364982307,0.5225336737321126,0.04965967712892155,0.44553440679717093,0.5837265974433473,0.0853647450117337,0.002933407630202806,0.013967255146932563,0.0
"Porian, RefinedWeb",2e+17,39.837093761458725,14,6,4,2,17.60721077516931,44331709.77227455,16.960934717276395,3.8990160662696036,0.38626688999934244,-0.20344626247813913,1.8986187570825879,0.5130022001681024,0.5260271883810688,0.029357203235939894,0.470437905207393,0.5666895663780304,0.04503318221376263,0.0027129766714460123,0.0507045639509443,0.0
"Porian, RefinedWeb",4e+17,40.530240942018665,13,6,4,2,17.972969296760876,63908906.837389484,16.32247315261425,3.7636291699607485,0.3208700689290118,-0.19035964436084576,1.6855992245959994,0.5426525995156817,0.5478421529275987,0.037508833003632426,0.4840986214235092,0.6187430150524085,0.047809293154785104,0.002929430440079796,0.0564720358981766,0.0
"Porian, RefinedWeb",8e+17,41.22338812257861,12,6,4,2,18.33633418742749,91911267.64002743,15.783424048801134,3.636579815720147,0.27407608129906835,-0.17859032876537953,1.5346636248098957,0.5658247042128558,0.5701758507889076,0.043313642242324944,0.5052285436198706,0.646912866522555,0.04795402149089041,0.0028533348552756883,0.035304700031125964,0.0
"Porian, RefinedWeb",1.6e+18,41.91653530313856,10,5,3,2,18.667591864615837,128006533.6364349,16.27438020420985,3.5117456470144814,0.30416712225952103,-0.16775923893127126,1.8131169657018669,0.5245052847813356,0.563354206179483,0.07878706338169655,0.4293802701073252,0.6755848229897519,0.09515508019242427,0.0023139240163268277,0.0070185253935344805,0.0
"Porian, RefinedWeb",3.2e+18,42.609682483698506,9,5,3,2,19.04907661653691,187460106.71244103,15.176827854620145,3.3996798682461167,0.26128716136567626,-0.15829988494458433,1.650583394025488,0.5478576392127302,0.527247414398368,0.0412115607440249,0.48432170794139584,0.636651341199778,0.04183692402463857,0.0016716343690869652,0.05666618604016738,0.0
"Porian, RefinedWeb",6.4e+18,43.30282966425845,8,7,4,3,19.33229906275159,248834621.41649047,17.2268992062028,3.2930274199658536,0.2672395303616225,-0.14978747567851858,1.7841246683079528,0.5285238133801462,0.5014479306189484,0.033638939828864664,0.47089895038222107,0.5876454581028924,0.033995885321279534,0.002032899116686892,0.09557831017182426,0.0
"Porian, RefinedWeb",1.28e+19,43.995976844818394,7,5,3,2,19.7473517604604,376847728.4329214,15.021970878464918,3.1941206339453525,0.2229723250047504,-0.14226655350052858,1.5672856305183633,0.5606503675763634,0.5469988075986912,0.021513356145288178,0.5261072311717082,0.6065832779399596,0.017697436009600654,0.003943666913300692,0.21170095357603524,0.0
"Porian, RefinedWeb",2.56e+19,44.68912402537834,6,5,3,2,20.15182088682543,564708872.7390863,13.379487927754322,3.0971853647274687,0.19982880245980983,-0.13542384862197882,1.4755805900747256,0.575443425398172,0.5748930727631542,0.02292290195534983,0.5352099836038124,0.6260432405325621,0.017955131765544845,0.0066344127407654855,0.2387934107619188,0.0
"Porian, OpenWebText2",1.25e+16,37.06450503921894,8,5,3,2,16.227302134161327,11153926.36409704,16.74569652982857,4.343314747150324,0.9339989094888019,-0.31863280769365904,2.931270374351313,0.40557500363445215,0.39309684185231086,0.03077095666686665,0.35982980846843743,0.48470949505685174,0.08318588601117075,0.02002814718787356,0.08852470869860612,0.0
