param,by,unit,share
theta_D,family,Codegen,5.902912481900818e-28
theta_D,family,Yi-200K,5.902912481900818e-28
theta_D,loo_bias_developer_dropped,01.AI,-0.2619297152220863
theta_D,loo_bias_developer_dropped,AI2,-0.2613169881315487
theta_D,loo_bias_developer_dropped,Alibaba,-0.2618687116855545
theta_D,loo_bias_developer_dropped,BigCode,-0.2651053275472031
theta_D,loo_bias_developer_dropped,BigScience,-0.2679919711788831
theta_D,loo_bias_developer_dropped,Cerebras,-0.27975616464213876
theta_D,loo_bias_developer_dropped,DeepSeek,-0.2618687116893416
theta_D,loo_bias_developer_dropped,EleutherAI,-0.2682962889269729
theta_D,loo_bias_developer_dropped,H2O.ai,-0.261868711685677
theta_D,loo_bias_developer_dropped,Hugging Face,-0.2618687116942075
theta_D,loo_bias_developer_dropped,LLM360,-0.26186871168645065
theta_D,loo_bias_developer_dropped,Meta,-0.2576429967396045
theta_D,loo_bias_developer_dropped,Microsoft,-0.3388695947535271
theta_D,loo_bias_developer_dropped,MosaicML,-0.26186871168861725
theta_D,loo_bias_developer_dropped,OpenLM Research,-0.2712167448829901
theta_D,loo_bias_developer_dropped,Salesforce,-0.26186871169999265
theta_D,loo_bias_developer_dropped,Stability AI,-0.19289449757112442
theta_D,loo_bias_developer_dropped,TII,-0.24652210685360082
theta_D,loo_bias_developer_dropped,Together,-0.26223759271494146
