design,variant,spec,M_bin,delta
"Marin, DCLM",own-corpus CV bandwidth,chin_M100,M>=256,-1.08738
"Marin, DCLM",own-corpus CV bandwidth,chin_full,"256-1,024",-0.615135
"Marin, DCLM",own-corpus CV bandwidth,chin_full,">=1,024",-1.29063
"Marin, DCLM",own-corpus CV bandwidth,chin_full,M>=256,-0.699571
"Marin, DCLM",own-corpus CV bandwidth,kappa_M100,"256-1,024",-0.749133
"Marin, DCLM",own-corpus CV bandwidth,kappa_M100,">=1,024",-1.45137
"Marin, DCLM",own-corpus CV bandwidth,kappa_M100,M>=256,-0.836912
"Marin, DCLM",own-corpus CV bandwidth,convexity b2,,0.0273114
"Marin, DCLM",own-corpus CV bandwidth,"convexity b2, M < 1,024",,0.0247063
"Marin, DCLM",all runs (no monotonicity screen),kappa_full,"256-1,024",-0.840152
"Marin, DCLM",all runs (no monotonicity screen),kappa_full,">=1,024",-1.75849
"Marin, DCLM",all runs (no monotonicity screen),kappa_full,M>=256,-0.971343
"Marin, DCLM",all runs (no monotonicity screen),chin_M100,"256-1,024",-1.3882
"Marin, DCLM",all runs (no monotonicity screen),chin_M100,">=1,024",-2.40006
"Marin, DCLM",all runs (no monotonicity screen),chin_M100,M>=256,-1.53275
"Marin, DCLM",all runs (no monotonicity screen),chin_full,"256-1,024",-0.946165
"Marin, DCLM",all runs (no monotonicity screen),chin_full,">=1,024",-1.88243
"Marin, DCLM",all runs (no monotonicity screen),chin_full,M>=256,-1.07992
"Marin, DCLM",all runs (no monotonicity screen),kappa_M100,"256-1,024",-1.14086
"Marin, DCLM",all runs (no monotonicity screen),kappa_M100,">=1,024",-2.11351
"Marin, DCLM",all runs (no monotonicity screen),kappa_M100,M>=256,-1.27981
"Marin, DCLM",all runs (no monotonicity screen),convexity b2,,0.0387403
"Marin, DCLM",all runs (no monotonicity screen),"convexity b2, M < 1,024",,0.0344334
"Marin, Nemotron-CC",h x 0.75,kappa_full,"256-1,024",-0.386585
"Marin, Nemotron-CC",h x 0.75,kappa_full,">=1,024",
"Marin, Nemotron-CC",h x 0.75,kappa_full,M>=256,-0.386585
"Marin, Nemotron-CC",h x 0.75,chin_M100,"256-1,024",-1.01842
"Marin, Nemotron-CC",h x 0.75,chin_M100,">=1,024",
"Marin, Nemotron-CC",h x 0.75,chin_M100,M>=256,-1.01842
"Marin, Nemotron-CC",h x 0.75,chin_full,"256-1,024",-0.465007
"Marin, Nemotron-CC",h x 0.75,chin_full,">=1,024",
"Marin, Nemotron-CC",h x 0.75,chin_full,M>=256,-0.465007
"Marin, Nemotron-CC",h x 0.75,kappa_M100,"256-1,024",-0.598899
"Marin, Nemotron-CC",h x 0.75,kappa_M100,">=1,024",
"Marin, Nemotron-CC",h x 0.75,kappa_M100,M>=256,-0.598899
"Marin, Nemotron-CC",h x 0.75,convexity b2,,0.0256988
"Marin, Nemotron-CC",h x 0.75,"convexity b2, M < 1,024",,0.0256988
"Marin, Nemotron-CC",h x 1.5,kappa_full,"256-1,024",-0.4399
"Marin, Nemotron-CC",h x 1.5,kappa_full,">=1,024",-1.60479
"Marin, Nemotron-CC",h x 1.5,kappa_full,M>=256,-0.828197
"Marin, Nemotron-CC",h x 1.5,chin_M100,"256-1,024",-1.08671
"Marin, Nemotron-CC",h x 1.5,chin_M100,">=1,024",-2.38005
"Marin, Nemotron-CC",h x 1.5,chin_M100,M>=256,-1.51782
"Marin, Nemotron-CC",h x 1.5,chin_full,"256-1,024",-0.518635
"Marin, Nemotron-CC",h x 1.5,chin_full,">=1,024",-1.69738
"Marin, Nemotron-CC",h x 1.5,chin_full,M>=256,-0.91155
"Marin, Nemotron-CC",h x 1.5,kappa_M100,"256-1,024",-0.657375
"Marin, Nemotron-CC",h x 1.5,kappa_M100,">=1,024",-1.8703
"Marin, Nemotron-CC",h x 1.5,kappa_M100,M>=256,-1.06168
"Marin, Nemotron-CC",h x 1.5,convexity b2,,0.0297419
"Marin, Nemotron-CC",h x 1.5,"convexity b2, M < 1,024",,0.0164792
"Marin, Nemotron-CC",h_x x 0.75,kappa_full,"256-1,024",-0.381731
"Marin, Nemotron-CC",h_x x 0.75,kappa_full,">=1,024",
"Marin, Nemotron-CC",h_x x 0.75,kappa_full,M>=256,-0.381731
"Marin, Nemotron-CC",h_x x 0.75,chin_M100,"256-1,024",-1.01357
"Marin, Nemotron-CC",h_x x 0.75,chin_M100,">=1,024",
"Marin, Nemotron-CC",h_x x 0.75,chin_M100,M>=256,-1.01357
"Marin, Nemotron-CC",h_x x 0.75,chin_full,"256-1,024",-0.460153
"Marin, Nemotron-CC",h_x x 0.75,chin_full,">=1,024",
"Marin, Nemotron-CC",h_x x 0.75,chin_full,M>=256,-0.460153
"Marin, Nemotron-CC",h_x x 0.75,kappa_M100,"256-1,024",-0.594045
"Marin, Nemotron-CC",h_x x 0.75,kappa_M100,">=1,024",
"Marin, Nemotron-CC",h_x x 0.75,kappa_M100,M>=256,-0.594045
"Marin, Nemotron-CC",h_x x 0.75,convexity b2,,0.0248327
"Marin, Nemotron-CC",h_x x 0.75,"convexity b2, M < 1,024",,0.0248327
"Marin, Nemotron-CC",h_c x 1.5,kappa_full,"256-1,024",-0.404431
"Marin, Nemotron-CC",h_c x 1.5,kappa_full,">=1,024",-1.01721
"Marin, Nemotron-CC",h_c x 1.5,kappa_full,M>=256,-0.557626
"Marin, Nemotron-CC",h_c x 1.5,chin_M100,"256-1,024",-1.05124
"Marin, Nemotron-CC",h_c x 1.5,chin_M100,">=1,024",-1.77316
"Marin, Nemotron-CC",h_c x 1.5,chin_M100,M>=256,-1.23172
"Marin, Nemotron-CC",h_c x 1.5,chin_full,"256-1,024",-0.483165
"Marin, Nemotron-CC",h_c x 1.5,chin_full,">=1,024",-1.10997
"Marin, Nemotron-CC",h_c x 1.5,chin_full,M>=256,-0.639867
"Marin, Nemotron-CC",h_c x 1.5,kappa_M100,"256-1,024",-0.621906
"Marin, Nemotron-CC",h_c x 1.5,kappa_M100,">=1,024",-1.27625
"Marin, Nemotron-CC",h_c x 1.5,kappa_M100,M>=256,-0.785492
"Marin, Nemotron-CC",h_c x 1.5,convexity b2,,0.0270796
"Marin, Nemotron-CC",h_c x 1.5,"convexity b2, M < 1,024",,0.0223645
"Marin, Nemotron-CC",n_eff >= 10,kappa_full,"256-1,024",-0.364632
"Marin, Nemotron-CC",n_eff >= 10,kappa_full,">=1,024",
"Marin, Nemotron-CC",n_eff >= 10,kappa_full,M>=256,-0.364632
"Marin, Nemotron-CC",n_eff >= 10,chin_M100,"256-1,024",-0.99647
"Marin, Nemotron-CC",n_eff >= 10,chin_M100,">=1,024",
"Marin, Nemotron-CC",n_eff >= 10,chin_M100,M>=256,-0.99647
"Marin, Nemotron-CC",n_eff >= 10,chin_full,"256-1,024",-0.443054
"Marin, Nemotron-CC",n_eff >= 10,chin_full,">=1,024",
"Marin, Nemotron-CC",n_eff >= 10,chin_full,M>=256,-0.443054
"Marin, Nemotron-CC",n_eff >= 10,kappa_M100,"256-1,024",-0.576946
"Marin, Nemotron-CC",n_eff >= 10,kappa_M100,">=1,024",
"Marin, Nemotron-CC",n_eff >= 10,kappa_M100,M>=256,-0.576946
"Marin, Nemotron-CC",n_eff >= 10,convexity b2,,0.0221891
"Marin, Nemotron-CC",n_eff >= 10,"convexity b2, M < 1,024",,0.0221891
"Marin, Nemotron-CC",n_eff >= 6,kappa_full,"256-1,024",-0.392675
"Marin, Nemotron-CC",n_eff >= 6,kappa_full,">=1,024",-1.40383
"Marin, Nemotron-CC",n_eff >= 6,kappa_full,M>=256,-0.797138
"Marin, Nemotron-CC",n_eff >= 6,chin_M100,"256-1,024",-1.03948
"Marin, Nemotron-CC",n_eff >= 6,chin_M100,">=1,024",-2.1963
"Marin, Nemotron-CC",n_eff >= 6,chin_M100,M>=256,-1.50221
"Marin, Nemotron-CC",n_eff >= 6,chin_full,"256-1,024",-0.471409
"Marin, Nemotron-CC",n_eff >= 6,chin_full,">=1,024",-1.49852
"Marin, Nemotron-CC",n_eff >= 6,chin_full,M>=256,-0.882252
"Marin, Nemotron-CC",n_eff >= 6,kappa_M100,"256-1,024",-0.610149
"Marin, Nemotron-CC",n_eff >= 6,kappa_M100,">=1,024",-1.67585
"Marin, Nemotron-CC",n_eff >= 6,kappa_M100,M>=256,-1.03643
"Marin, Nemotron-CC",n_eff >= 6,convexity b2,,0.0355722
"Marin, Nemotron-CC",n_eff >= 6,"convexity b2, M < 1,024",,0.0229828
Llama 3,h x 0.75,kappa_full,"256-1,024",-0.493427
Llama 3,h x 0.75,kappa_full,">=1,024",
Llama 3,h x 0.75,kappa_full,M>=256,-0.493427
