code,label,n,k,mse,note,alpha_param,alpha_param_lo,alpha_param_hi,alpha_param_se,beta_data,beta_data_lo,beta_data_hi,beta_data_se,gamma,gamma_lo,gamma_hi,gamma_se,alpha_year,alpha_year_lo,alpha_year_hi,alpha_year_se,beta_year,beta_year_lo,beta_year_hi,beta_year_se,g_N,g_N_lo,g_N_hi,g_N_se,g_D,g_D_lo,g_D_hi,g_D_se,g_C,g_C_lo,g_C_hi,g_C_se,TC_months,TC_lo,TC_hi,ec_per_year,share_gC_pos,B
A7,"Experimental exponents (Besiroglu), E_b estimated",231,11.0,0.1126045157830986,,0.3478,0.3478,0.3478,0.0,0.3658,0.3658,0.3658,5.558067054620241e-17,0.1782864910313901,0.1782864910313901,0.1782864910313901,2.7790335273101204e-17,-0.1365097273827828,-0.3469459923274435,-0.0037031460657287,0.0864857999228932,0.101228373310823,0.0414081893362931,0.1505716713549635,0.0285324822403503,-0.3924949033432514,-0.997544543782184,-0.0106473434897317,0.2486653246776687,0.276731474332485,0.1131989867039177,0.4116229397347282,0.078000224823265,-0.1157634290107663,-0.6718340484259715,0.1147429314571767,0.216895117696798,-71.85141488807976,72.49044504169412,inf,0.890685908821995,0.2275,400.0
A8,"Experimental exponents (Besiroglu), E_b, Hicks-neutral",231,10.0,0.1207001660995915,,0.3478,0.3478,0.3478,0.0,0.3658,0.3658,0.3658,5.558067054620241e-17,0.1782864910313901,0.1782864910313901,0.1782864910313901,2.7790335273101204e-17,0.0276450838843563,0.0149932114074436,0.0367657226638439,0.0056797585338346,0.0276450838843563,0.0149932114074436,0.0367657226638439,0.0056797585338346,0.0794855775858434,0.0431087159500967,0.1057093808621159,0.0163305305745678,0.0755743135165564,0.040987456007227,0.1005077164129139,0.0155269506119045,0.1550598911023999,0.0840961719573237,0.2062170972750298,0.0318574811864724,53.64228046069228,40.3349978087705,98.9077858495195,1.1677278955218455,1.0,400.0
A9,"Experimental exponents (Hoffmann), E_b estimated",231,11.0,0.0993910661023367,,0.3392,0.3392,0.3392,0.0,0.2849,0.2849,0.2849,5.558067054620241e-17,0.1548439032206377,0.1548439032206377,0.1548439032206377,2.7790335273101204e-17,-0.1497297804030783,-0.3660851056625395,0.0009254536141809,0.0932322053732473,0.0994626998173664,0.0397930890183703,0.138562315021991,0.0252459602366881,-0.4414203431694527,-1.079260335090034,0.0027283420229392,0.2748590960296207,0.3491144254733817,0.1396738821283621,0.4863542120814006,0.0886134090441843,-0.092305917696071,-0.7159060226392225,0.1531394039617927,0.2410062734978025,-90.11086585051513,54.31499634669188,inf,0.9118261631147858,0.3125,400.0
Rm10,Registry m1: chinchilla_massivetext (huber),231,11.0,0.1126551281035873,,0.3473104985599139,0.3473104985599139,0.3473104985599139,0.0,0.3671724333625037,0.3671724333625037,0.3671724333625037,0.0,0.1784826973339582,0.1784826973339582,0.1784826973339582,2.7790335273101204e-17,-0.1359597587864841,-0.3455143657133509,-0.0037054305266629,0.0859727097430693,0.1013581528648298,0.0413917610002008,0.15093239486832,0.0286532922359976,-0.3914645809735865,-0.994828452194764,-0.0106689274929122,0.2475384709058495,0.2760505518799678,0.1127311236879687,0.4110667935664626,0.078037700089834,-0.1154140290936187,-0.6695177650261174,0.1144284935526751,0.2155911888000386,-72.06893505097499,72.68964143874187,inf,0.890997168778677,0.2275,400.0
Rm11,Registry m1: llama_3 (huber),231,11.0,0.0899392365861095,,0.2835172411627058,0.2835172411627058,0.2835172411627058,5.558067054620241e-17,0.3156562488720749,0.3156562488720749,0.3156562488720749,5.558067054620241e-17,0.1493623972428824,0.1493623972428824,0.1493623972428824,0.0,-0.1120413052179283,-0.2414091287505856,0.0086333307783865,0.0588585553892917,0.1170931607715466,0.0376578424007245,0.1696164969108884,0.0346840862883629,-0.3951833925811577,-0.8514795352852809,0.0304508140068701,0.2076013266350662,0.370951505601274,0.119300164451951,0.5373456014793754,0.1098792956334575,-0.0242318869798837,-0.4411113341472414,0.2051239076677584,0.1529062886441531,-343.2570552026923,40.5499595892631,inf,0.9760593480593496,0.5425,400.0
Rm12,Registry m1: marin_202603__comma__llama_2 (huber),231,11.0,0.1455729186533551,,0.6657832765464533,0.6657832765464533,0.6657832765464533,2.2232268218480963e-16,0.3499110321280317,0.3499110321280317,0.3499110321280317,1.1116134109240482e-16,0.2293651854503145,0.2293651854503145,0.2293651854503145,2.7790335273101204e-17,-0.1987112896025568,-1.4141456561184689,-0.0467991721647937,0.2733973005152682,0.0604038105818147,0.0418630489278144,0.0836772053991572,0.0108904512269557,-0.2984624225368212,-2.124033008840228,-0.0702919010035068,0.4106400838624739,0.1726261964776039,0.1196391227599159,0.2391385172689837,0.0311234863351521,-0.1258362260592173,-1.9314825195716436,0.0529256477180878,0.4036214390905348,-66.09993343892151,157.15945907784632,inf,0.881759244145066,0.08,400.0
Rm13,Registry m1: marin_202603__dclm__llama_2 (huber),231,11.0,0.1611260450619952,,0.6858168381481563,0.6858168381481563,0.6858168381481563,0.0,0.404818678020824,0.404818678020824,0.404818678020824,0.0,0.2545593478917503,0.2545593478917503,0.2545593478917503,5.558067054620241e-17,-0.189014037199263,-1.3329003304897074,-0.0516606916814223,0.2609530218787185,0.0599160372598219,0.0426520388327266,0.084726976430607,0.0110556636855093,-0.2756042527471898,-1.9435223172542784,-0.0753272430885725,0.3804995843837027,0.148007096788997,0.1053608470865384,0.2092961146082509,0.027310162020095,-0.1275971559581927,-1.7860404017914524,0.0334916158490368,0.3749362524699871,-65.18770817622818,248.3536836267198,inf,0.8802078942384486,0.055,400.0
Rm14,Registry m1: marin_202603__nemotron__llama_2 (huber),231,11.0,0.1571128879722227,,0.6392516314921384,0.6392516314921384,0.6392516314921384,0.0,0.4003728125962599,0.4003728125962599,0.4003728125962599,5.558067054620241e-17,0.2461840668643349,0.2461840668643349,0.2461840668643349,0.0,-0.1790554957189482,-1.263841744246154,-0.040660999599934,0.2468414256311339,0.0613505165876001,0.042763811420717,0.0889058438810896,0.0121428073885066,-0.2801017422528867,-1.9770645579677288,-0.0636071894021189,0.3861412524751134,0.1532334730466992,0.106809978288512,0.2220576449848587,0.0303287511201505,-0.1268682692061874,-1.8071956927837185,0.0405524368417067,0.379076967641674,-65.5622262269633,205.1113771334406,inf,0.8808496999850078,0.07,400.0
Rm15,Registry m1: misfitting__fineweb_c4__transformer (huber),231,11.0,0.2186690556973105,,0.6102097401327828,0.6102097401327828,0.6102097401327828,0.0,0.7047876477013286,0.7047876477013286,0.7047876477013286,1.1116134109240482e-16,0.3270487769264502,0.3270487769264502,0.3270487769264502,1.1116134109240482e-16,-0.1202001233873492,-0.6107951395264478,-0.0156123637060927,0.1939442021110602,0.0552901036736289,0.03740699603185,0.0914045317322672,0.0135768283335457,-0.1969816531627199,-1.000959341280815,-0.0255852417280252,0.3178320327513251,0.078449308602326,0.0530755556710638,0.1296908821123411,0.0192637149328974,-0.1185323445603939,-0.8814475276107757,0.0347385759162845,0.3108310711672021,-70.17296584799539,239.43889314185108,inf,0.8882230860069344,0.045,400.0
Rm20,"Registry m2: chinchilla (all, huber)",231,11.0,0.112655128111675,,0.3473104990015325,0.3473104990015325,0.3473104990015325,1.1116134109240482e-16,0.3671724325515672,0.3671724325515672,0.3671724325515672,0.0,0.1784826972589673,0.1784826972589673,0.1784826972589673,0.0,-0.135959772829995,-0.3455143646471969,-0.0037054329852975,0.085972713034122,0.1013581559084906,0.0413917597428216,0.15093239481081,0.0286532942801112,-0.3914646209108556,-0.9948284478600584,-0.0106689345584142,0.2475384800669174,0.2760505607791114,0.112731120512454,0.4110667943177145,0.0780377058293642,-0.1154140601317442,-0.6695177615290664,0.114429216102917,0.2155911908580063,-72.06891566958723,72.68918244828656,inf,0.8909971411237955,0.2275,400.0
Rm21,"Registry m2: farseer (all, huber)",231,11.0,0.0887081106875637,,0.2805328164453021,0.2805328164453021,0.2805328164453021,0.0,0.3116662510001588,0.3116662510001588,0.3116662510001588,5.558067054620241e-17,0.147640575594245,0.147640575594245,0.147640575594245,2.7790335273101204e-17,-0.1107423123720593,-0.237707778545919,0.0097242724925323,0.0581782369255754,0.1176397510076624,0.0375566533363228,0.1700559379563345,0.0349314058273129,-0.394757068977888,-0.847343927737121,0.0346635827342801,0.2073847817976009,0.3774542499553553,0.1205027917389223,0.5456347532355946,0.1120795264652993,-0.0173028190225327,-0.431169074556187,0.214378845959047,0.151603021457944,-480.7173996264696,38.799379339453544,inf,0.9828460150975932,0.555,400.0
Rm22,"Registry m2: gadre (C4, huber)",231,11.0,0.076330127981888,,0.2525740605376423,0.2525740605376423,0.2525740605376423,5.558067054620241e-17,0.2622292212982498,0.2622292212982498,0.2622292212982498,5.558067054620241e-17,0.1286555497057541,0.1286555497057541,0.1286555497057541,2.7790335273101204e-17,-0.098470212182808,-0.2033845533629043,0.0193334998907846,0.0542637899141454,0.1200458765540102,0.0350755669372895,0.1712965700511383,0.0366259997331301,-0.3898666869163016,-0.8052471933577398,0.0765458648034971,0.2148430832470947,0.4577898525560374,0.1337591850505321,0.6532321958745854,0.1396716946791871,0.0679231656397357,-0.3038059011052749,0.2852383288960224,0.1413976749845143,122.45845858888192,29.16075900077022,inf,1.0702830708044284,0.7675,400.0
Rm23,"Registry m2: olmo_ladder (all, huber)",231,11.0,0.0643589155655079,,0.2672694736613109,0.2672694736613109,0.2672694736613109,0.0,0.1570571336572147,0.1570571336572147,0.1570571336572147,2.7790335273101204e-17,0.0989251598257842,0.0989251598257842,0.0989251598257842,1.3895167636550602e-17,-0.1203204517785631,-0.265384325727773,0.0347855158389034,0.0758899200230797,0.0947096253355904,0.0344333933392185,0.1246430446436056,0.0258057128761347,-0.4501840413358825,-0.992946639555527,0.130151473576007,0.2839453342107037,0.6030265746623076,0.2192411929175482,0.7936159392520531,0.1643078049065704,0.152842533326425,-0.4195498019226268,0.4067619912831786,0.1943496533939551,54.420493992697246,20.448730080408865,inf,1.165141493541467,0.87,400.0
Rm24,"Registry m2: datablations (single_epoch, huber)",231,11.0,0.1120079359335716,,0.3359415800487788,0.3359415800487788,0.3359415800487788,0.0,0.3868226314778093,0.3868226314778093,0.3868226314778093,1.1116134109240482e-16,0.179795573639165,0.179795573639165,0.179795573639165,2.7790335273101204e-17,-0.126238312010492,-0.3057700139737187,-0.0033808894982645,0.0746562736687949,0.104257716196803,0.0410784968031621,0.1588919698356485,0.0309105144213481,-0.3757745974528137,-0.91018805689168,-0.0100639209286735,0.2222299295548792,0.2695233104601429,0.1061946573452197,0.4107618244274408,0.0799087537956562,-0.1062512869926708,-0.6105447650778164,0.1181627042370503,0.184671917164084,-78.28390979671708,70.39248314792103,inf,0.8991986627557499,0.245,400.0
Rm25,"Registry m2: datadecide (CE_pooled, huber)",231,11.0,0.0604664708912483,,0.2844345096725089,0.2844345096725089,0.2844345096725089,5.558067054620241e-17,0.1309200500421904,0.1309200500421904,0.1309200500421904,2.7790335273101204e-17,0.0896539579717846,0.0896539579717846,0.0896539579717846,1.3895167636550602e-17,-0.1262930878382281,-0.312623950277619,0.0474075306105849,0.0916670461610973,0.0838118684846282,0.0320172032188804,0.1106107707100019,0.0230679917983926,-0.4440146450008441,-1.0991069636295778,0.1666729211767194,0.3222782153496093,0.6401759582097544,0.2445553848212142,0.8448726583464976,0.1761990756263743,0.1961613132089102,-0.41091478704897,0.4750320857407773,0.2250023005965287,42.40268394747636,17.509903891541143,inf,1.2167231630221946,0.885,400.0
