truth,noise_sd,rho_trunk,statistic,corpus,conv,n_rep,mean,mc_se_of_mean,sd
chin,0.015,0.0,mean,edu,T,150,0.19695290286660722,0.02509385436045814,0.3073356943141857
chin,0.015,0.5,mean,edu,T,500,0.135280180971837,0.00988734301551154,0.2210877109954156
chin,0.015,0.9,mean,edu,T,150,0.16874019438167537,0.015906085602615843,0.19480896765719347
kappa36,0.0,0.5,mean,edu,T,1,-0.5845667042681126,,
kappa36,0.005,0.5,mean,edu,T,150,-0.5835539283069406,0.015201560267568477,0.18618032974854645
kappa60,0.0,0.5,mean,edu,T,1,-0.2805579065222077,,
kappa60,0.005,0.5,mean,edu,T,150,-0.29843932769631465,0.009556277786842092,0.11704002209028216
chin,0.0,0.5,mean,web,T,1,0.1285349679666465,,
chin,0.002,0.0,mean,web,T,150,0.13641872799228974,0.002211700786027764,0.027087691947402504
chin,0.002,0.5,mean,web,T,500,0.1356136166089065,0.0012179538871552968,0.02723427685139352
chin,0.002,0.9,mean,web,T,150,0.130764198136204,0.0019260427236904125,0.0235891094792092
chin,0.005,0.0,mean,web,T,150,0.13466875898953706,0.005632850582304881,0.0689880486199303
chin,0.005,0.5,mean,web,T,500,0.13663988291609666,0.002636092400848623,0.05894481803268146
chin,0.005,0.9,mean,web,T,150,0.14289511959666684,0.004259271912139877,0.05216521430255561
chin,0.0075,0.0,mean,web,T,150,0.13596663300521622,0.008487817798285878,0.10395411317756878
chin,0.0075,0.5,mean,web,T,500,0.14157796320144353,0.004012753838229757,0.08972790359254931
chin,0.0075,0.9,mean,web,T,150,0.1449956221830892,0.006658466748337485,0.08154923001357765
chin,0.01,0.0,mean,web,T,150,0.15101965388171043,0.012006273201928897,0.14704621528588688
chin,0.01,0.5,mean,web,T,500,0.14590782312727146,0.0054198371904745175,0.12119124384882497
chin,0.01,0.9,mean,web,T,150,0.14999251318682705,0.008309657546464023,0.10177210463052228
chin,0.015,0.0,mean,web,T,150,0.2654632494312935,0.018555577881800574,0.22725848846442456
chin,0.015,0.5,mean,web,T,500,0.17093561685676867,0.008297171773003553,0.185530401054284
chin,0.015,0.9,mean,web,T,150,0.14428237610720648,0.010886052792899056,0.13332637327801203
kappa36,0.0,0.5,mean,web,T,1,-0.5987096519864712,,
kappa36,0.005,0.5,mean,web,T,150,-0.5818450391138286,0.012752741267459749,0.156188544635052
kappa60,0.0,0.5,mean,web,T,1,-0.2882073360576179,,
kappa60,0.005,0.5,mean,web,T,150,-0.2995226057112693,0.007836758952618868,0.0959803033555208
chin,0.0,0.5,mean_main,edu,P,1,-0.0025692652819989,,
chin,0.002,0.0,mean_main,edu,P,150,-0.01675370054426694,0.0031108683113022567,0.03810020009842052
chin,0.002,0.5,mean_main,edu,P,500,-0.016762622051591975,0.0013708506810233734,0.03065315309770144
chin,0.002,0.9,mean_main,edu,P,150,-0.016974434354096093,0.0018338330258075703,0.022459775933463412
chin,0.005,0.0,mean_main,edu,P,150,-0.041794820658246155,0.007790923285010508,0.09541893336721931
chin,0.005,0.5,mean_main,edu,P,500,-0.0394293880280809,0.0029625721651934263,0.06624512749621238
chin,0.005,0.9,mean_main,edu,P,150,-0.03794926598603384,0.004519620651324866,0.05535382213345643
chin,0.0075,0.0,mean_main,edu,P,150,-0.02161833218859401,0.010489539448125137,0.1284700964235102
chin,0.0075,0.5,mean_main,edu,P,500,-0.04844231532539033,0.004587825420644523,0.1025868950946272
chin,0.0075,0.9,mean_main,edu,P,150,-0.028942960154530788,0.006259573349075477,0.07666380356379664
chin,0.01,0.0,mean_main,edu,P,150,-0.08369667140980809,0.013707905332365993,0.16788686753336665
chin,0.01,0.5,mean_main,edu,P,500,-0.054051081172120125,0.005915096953460661,0.13226558881439948
chin,0.01,0.9,mean_main,edu,P,150,-0.0399574177827617,0.009069424975771182,0.11107731725546542
chin,0.015,0.0,mean_main,edu,P,150,-0.10597605310005527,0.01870177381920266,0.22904901570993946
chin,0.015,0.5,mean_main,edu,P,500,-0.07289890122174258,0.00904686606159387,0.20229407497059693
chin,0.015,0.9,mean_main,edu,P,150,-0.028530268029399283,0.01369413663269076,0.16771823609023692
kappa36,0.0,0.5,mean_main,edu,P,1,-0.7568701304860163,,
kappa36,0.005,0.5,mean_main,edu,P,150,-0.8390746617544123,0.012799056079691364,0.15675578292255335
kappa60,0.0,0.5,mean_main,edu,P,1,-0.4734780754987264,,
kappa60,0.005,0.5,mean_main,edu,P,150,-0.5444937216873429,0.008502756765774812,0.10413707741572835
chin,0.0,0.5,mean_main,web,P,1,-0.0021380825353539,,
chin,0.002,0.0,mean_main,web,P,150,-0.014317831315163714,0.0027499704658424397,0.03368012224518867
chin,0.002,0.5,mean_main,web,P,500,-0.014233434413084852,0.0012483296838769421,0.02791350031479666
chin,0.002,0.9,mean_main,web,P,150,-0.009122378355273589,0.0017261853676373271,0.02114136676085021
chin,0.005,0.0,mean_main,web,P,150,-0.037654790343100326,0.005748476182908002,0.07040416723333273
chin,0.005,0.5,mean_main,web,P,500,-0.03132583395733524,0.0027335710415382504,0.0611245067020443
chin,0.005,0.9,mean_main,web,P,150,-0.02622623577116738,0.004114181687994083,0.05038822922343945
chin,0.0075,0.0,mean_main,web,P,150,-0.042349399268361114,0.008429201730568199,0.10323621589438509
chin,0.0075,0.5,mean_main,web,P,500,-0.03298311792213501,0.003740176415438354,0.08363288712761653
chin,0.0075,0.9,mean_main,web,P,150,-0.03591986949693328,0.007060155463659236,0.08646889195343956
chin,0.01,0.0,mean_main,web,P,150,-0.04372585898480722,0.010919310277822327,0.13373369261896362
chin,0.01,0.5,mean_main,web,P,500,-0.039446165626243763,0.005386843881792162,0.12045349103866118
chin,0.01,0.9,mean_main,web,P,150,-0.021660392635368068,0.00894791737579159,0.10958915915636436
chin,0.015,0.0,mean_main,web,P,150,-0.04700308760254457,0.018568548022370308,0.2274173395958647
chin,0.015,0.5,mean_main,web,P,500,-0.04683049633203004,0.008274537602036643,0.1850242856053204
chin,0.015,0.9,mean_main,web,P,150,-0.023953593110423197,0.01200861932450131,0.14707494930176906
kappa36,0.0,0.5,mean_main,web,P,1,-0.7586175818714967,,
kappa36,0.005,0.5,mean_main,web,P,150,-0.842374983461504,0.011220007468650758,0.1374164660420534
kappa60,0.0,0.5,mean_main,web,P,1,-0.4739409752554567,,
kappa60,0.005,0.5,mean_main,web,P,150,-0.529448637486389,0.007190169118842072,0.08806122752740009
chin,0.0,0.5,mean_main,edu,T,1,-0.0453506405853676,,
chin,0.002,0.0,mean_main,edu,T,150,-0.04652011484685833,0.004270009924927293,0.05229672756345886
chin,0.002,0.5,mean_main,edu,T,500,-0.05095671530994183,0.0020319657439033002,0.04543613531318708
chin,0.002,0.9,mean_main,edu,T,150,-0.05804009171215069,0.0021858026386846106,0.026770505716031793
chin,0.005,0.0,mean_main,edu,T,150,-0.07883009850440713,0.011866173116177506,0.1453303466708315
chin,0.005,0.5,mean_main,edu,T,500,-0.07333037670051998,0.0041648488007609685,0.09312885034510004
chin,0.005,0.9,mean_main,edu,T,150,-0.07208610891888846,0.004000468294220068,0.04899553026510686
