family,model,year,N,N_total,D,M,moe,distilled,w,w_lo,w_hi,TD,TD_lo,TD_hi,T,CE,band_lo,band_hi,w_meta,w_farseer,wrel,TDrel,flagship,Mx_chin,Mx_farseer
Qwen3,Qwen3-8B-Base,2025,8190735360.0,8190735360.0,36000000000000.0,4395.209760506778,False,False,7.219551318689284,5.288440104067515,11.70788796198507,18.65865395606785,12.865320312202545,32.12366388595521,671711542418442.6,0.09597059032088011,3.5100033329795606,16.10602389662465,3.837253059318476,5.447941984807112,1.6184451628649723,1.855335488594917,False,True,True
Qwen3,Qwen3-14B-Base,2025,14768307200.0,14768307200.0,36000000000000.0,2437.6524345322396,False,False,5.882961456867785,4.282118899336357,9.519202530890677,14.648884370603355,9.846356698009071,25.55760759267203,527359837341720.8,0.14490545418567796,2.92670909155948,14.141182610537646,3.22568096226697,4.548781863014286,1.318814714778886,0.956444144336658,False,True,True
Qwen3,Qwen3-32B,2025,32762123264.0,32762123264.0,36000000000000.0,1098.8298807714295,False,False,4.460794523250467,3.2213579399184655,7.3285200620792095,10.3823835697514,6.664073819755396,18.985560186237628,373765808511050.44,0.24168931220616138,1.97621385073831,11.86074959613466,2.5509729508757233,3.5742427058617308,1.0,0.0,True,True,False
Qwen3-MoE,Qwen3-30B-A3B-Base,2025,3300000000.0,30532122624.0,36000000000000.0,10909.09090909091,True,False,9.899915839405473,7.323135306521608,16.106768825882813,26.69974751821642,18.969405919564824,45.320306477648444,961190910655791.1,0.048553992292777404,4.4755961564728075,19.956203791001887,5.015323674239536,,1.9326453029856328,2.797935908956898,False,True,True
Qwen3-MoE,Qwen3-235B-A22B,2025,22000000000.0,235093634560.0,36000000000000.0,1636.3636363636365,True,False,5.122469096689221,3.7136224344766577,8.33859464700626,12.367407290067662,8.140867303429973,22.015783941018782,445226662442435.9,0.18848753084130743,2.402183025260251,12.950400427057836,2.868419277589013,,1.0,0.0,True,True,True
Gemma-2,gemma-2-2b,2024,2614341888.0,2614341888.0,2000000000000.0,765.0108844524623,False,True,3.7141636952178314,3.006657469951125,5.1040964686465085,8.142491085653495,6.0199724098533745,12.312289405939525,16284982171306.988,0.3279528733641118,2.4036288392185723,7.215077545692488,2.576626736072061,3.1275818721330375,1.1348997277051693,0.404699183115508,False,True,False
Gemma-2,gemma-2-9b,2024,9241705984.0,9241705984.0,8000000000000.0,865.6410422329228,False,True,3.985284677926876,3.0521461732618564,5.911862363581833,8.955854033780628,6.156438519785569,14.7355870907455,71646832270245.03,0.29262487358573397,2.327553110374107,9.238927369747572,2.5267332692969706,3.2403910917886574,1.2177434456187912,0.6532303368563737,False,True,False
Gemma-2,gemma-2-27b,2024,27227128320.0,27227128320.0,13000000000000.0,477.464969761453,False,False,3.272680047891173,2.445349135964501,5.0124948643895255,6.818040143673519,4.336047407893504,12.037484593168577,88634521867755.75,0.39788470907994594,1.5782094240657993,8.739785009506758,2.079442542484503,2.73735338561897,1.0,0.0,True,True,False
Gemma-3,gemma-3-270m,2025,268098176.0,268098176.0,6000000000000.0,22379.861323636906,False,True,12.26198256329497,9.912293619048887,17.541381748271036,33.78594768988491,26.73688085714666,49.62414524481311,202715686139309.44,0.029809695715501714,5.522242721595926,18.657578223379403,6.662158742312985,10.232477797137847,3.636321887366842,7.908965662100526,False,True,True
Gemma-3,gemma-3-1b-pt,2025,999885952.0,999885952.0,2000000000000.0,2000.2281220168595,False,True,5.186000815978123,4.241118375891463,7.000670459372242,12.55800244793437,9.723355127674388,18.002011378116727,25116004895868.74,0.18422726459731706,3.1058578803879047,8.977036880970616,3.4196922431886545,4.216613304435004,1.5379216352413545,1.6137649057240635,False,True,True
Gemma-3,gemma-3-4b-pt,2025,3883079472.0,3883079472.0,4000000000000.0,1030.1102588404608,False,True,4.175593243380011,3.295816006076863,5.968110075137966,9.526779730140035,6.887448018230589,14.904330225413899,38107118920560.13,0.27070875123842986,2.5540087810375227,8.590195316510536,2.7350076412081052,3.410375798445001,1.238282718578893,0.7148481557366788,False,True,False
Gemma-3,gemma-3-12b-pt,2025,11770325040.0,11770325040.0,12000000000000.0,1019.5130516123792,False,True,4.25240865027712,3.2086579154409374,6.460728190770205,9.75722595083136,6.625973746322812,16.382184572310617,117086711409976.33,0.26246559258527924,2.352440912233659,10.208514620245046,2.6084312625932684,3.4211271701058608,1.2610625214325584,0.7831875642976751,False,True,False
Gemma-3,gemma-3-27b-pt,2025,27015406640.0,27015406640.0,14000000000000.0,518.2228121368007,False,True,3.372083919714317,2.5160387246270126,5.197786213882469,7.116251759142951,4.548116173881038,12.593358641647406,99627524628001.31,0.38062935828545424,1.622894855493229,8.978173437266312,2.123857905607596,2.8147866334479206,1.0,0.0,True,True,False
OLMo-2,OLMo-2-0425-1B,2025,1484916736.0,1484916736.0,4050000000000.0,2727.4256541209866,False,False,5.857229724556282,4.669447177024157,8.29646258692223,14.571689173668846,11.008341531072471,21.889387760766688,59015341153358.83,0.14614682126807524,1.0129231134487398,10.633485060885661,3.641527468493993,4.655440301147356,2.498091074838854,4.4942732245165615,False,True,True
OLMo-2,OLMo-2-1124-7B,2024,7298617344.0,7298617344.0,4050000000000.0,554.8996212727055,False,False,3.3690982724296106,2.6410640054322605,4.805596899706342,7.107294817288832,4.923192016296781,11.416790699119026,28784544010019.77,0.38113399355530486,0.4422188098318152,7.53252595608384,2.278309589604401,2.812134309198933,1.4369104031085265,1.3107312093255794,False,True,False
OLMo-2,OLMo-2-1124-13B,2024,13716198400.0,13716198400.0,5150000000000.0,375.46846799766325,False,False,2.9557536195801153,2.2923108570310746,4.293705379624469,5.867260858740346,3.876932571093224,9.881116138873406,30216393422512.78,0.4596471141020167,0.3407716957966248,7.194075166238102,2.0111233899568366,2.5097106720899616,1.2606201367755114,0.7818604103265343,False,True,False
