sigma_star,S,obj,kappa,a,lnE,LR,dobj,sample,objective
0.76,0.6315789473684212,0.001087660099579402,1.0824159723978142,0.5253092669545292,0.5751287737787166,,0.00013346345575312372,full (n=240),huber
0.77,0.5974025974025974,0.001129942399775834,1.142413638831683,0.5229843880967926,0.5744435998963142,,0.0001757457559495557,full (n=240),huber
0.78,0.5641025641025639,0.0011762484813824955,1.2072029664771984,0.5196265547060785,0.5733902375589439,,0.0002220518375562171,full (n=240),huber
0.79,0.5316455696202529,0.0012271874523485135,1.2788489209857514,0.5139696147305426,0.5726625544997608,,0.00027299080852223514,full (n=240),huber
0.8,0.5,0.001281055477106463,1.3624626531721193,0.5096157045110701,0.5732786523346651,,0.0003268588332801846,full (n=240),huber
0.81,0.46913580246913567,0.001336216483487346,1.4580903074176206,0.5059701019798459,0.5747016842499709,,0.0003820198396610676,full (n=240),huber
0.82,0.4390243902439024,0.0013919291944448353,1.564041722704245,0.5031475187996534,0.576038960658583,,0.00043773255061855696,full (n=240),huber
0.83,0.4096385542168677,0.0014480062455918788,1.6743975190980267,0.4985283861811347,0.575331243199438,,0.0004938096017656005,full (n=240),huber
0.84,0.38095238095238093,0.0015044286808604435,1.795173005678202,0.4914177137768201,0.5736280534803029,,0.0005502320370341651,full (n=240),huber
0.85,0.3529411764705883,0.0015606951709068522,1.9315616201393195,0.48281167840823713,0.5715677776632491,,0.0006064985270805739,full (n=240),huber
0.86,0.32558139534883734,0.0016163718148954065,2.0903051779619695,0.47447532401416337,0.5699942795444252,,0.0006621751710691281,full (n=240),huber
0.87,0.29885057471264354,0.0016713984299421899,2.2758951933483402,0.46503732525599073,0.5684928245361618,,0.0007172017861159115,full (n=240),huber
0.88,0.27272727272727293,0.0017257513092474605,2.4963533454043,0.4524184437883738,0.5667941972568917,,0.0007715546654211822,full (n=240),huber
0.89,0.24719101123595522,0.0017794751620854093,2.7632222379823044,0.4356990847943254,0.5645441906264742,,0.000825278518259131,full (n=240),huber
0.9,0.22222222222222232,0.001832620714031644,3.086201052196179,0.4256430617923127,0.5633447301168479,,0.0008784240702053657,full (n=240),huber
0.91,0.19780219780219754,0.0018852789423183705,3.4900689027621925,0.4130570513953786,0.5620297231702704,,0.0009310822984920921,full (n=240),huber
0.92,0.17391304347826075,0.001937373001142154,4.01341261280053,0.3964559513742095,0.5603938554876208,,0.0009831763573158756,full (n=240),huber
0.93,0.15053763440860202,0.0019888778692547953,4.7171828684986625,0.3763752847277724,0.558652133328264,,0.001034681225428517,full (n=240),huber
0.94,0.12765957446808507,0.0020396775714519033,5.827199868674228,0.33414825862114883,0.5542750697001027,,0.001085480927625625,full (n=240),huber
