rep,slope|edu|P,mean|edu|P,slope_main|edu|P,mean_main|edu|P,slope|edu|T,mean|edu|T,slope_main|edu|T,mean_main|edu|T,slope|web|P,mean|web|P,slope_main|web|P,mean_main|web|P,slope|web|T,mean|web|T,slope_main|web|T,mean_main|web|T
41,-0.34001708646078016,-0.5674586331037009,-0.36851532200786463,-0.5372863447466377,0.030002971551978307,-0.20401548834749547,-0.8621209965945277,-0.6309831046693511,-0.28088204642567255,-0.6102906779511486,-0.4603342962993888,-0.5681780352025508,-0.02660225091741201,-0.3629396560301829,-0.39256686149111025,-0.527040306074159
42,-0.2243129873568005,-0.5714030212508799,-0.24106930712489208,-0.5148680416762782,0.03784018423078186,-0.3929678390366185,-0.5008451685259154,-0.7034218095705881,-0.13048074236019175,-0.47280451495554676,-0.16768601380752696,-0.44266225772458623,0.1032135760250732,-0.21328902860304605,-0.3363030414592361,-0.5046853126489163
43,-0.17798958822505204,-0.5099182930429527,-0.3698917706233058,-0.6244430222788993,0.10148631918659143,-0.1681429048567927,-0.6416104682027699,-0.6206549005788964,-0.1777618046915666,-0.48723883961988773,-0.06842919109189022,-0.3734897317641753,0.0567674602154135,-0.2746883714407865,0.04264856401423345,-0.41376057794761323
44,-0.15909636177379696,-0.5964107700471788,-0.2562705750569275,-0.5610376471214955,0.08429323226972708,-0.24974737073923511,-0.3364791293613282,-0.4534359602179869,-0.26604923908659855,-0.659096907280954,-0.15858845827888446,-0.5350325033557977,0.028679118605682757,-0.3353845107677616,-0.24202837037742486,-0.5184687630541563
45,-0.2339779754691419,-0.4776885647338496,-0.13534552531192298,-0.4952665133874293,0.11732116723036444,-0.20771662620941156,0.04536427771897674,-0.43804078726706797,-0.13623003634791442,-0.5538091445094203,-0.46849658644489417,-0.7431165499434033,0.10624011680474954,-0.18998391492813999,-0.07361434536767898,-0.5452828266585198
46,-0.09133275120461283,-0.41115907303968874,-0.24418409366779237,-0.41114213592420934,0.12281725991343899,-0.20919185097063445,-0.5293270796935274,-0.5263502122401206,-0.33484984771576337,-0.6244978287352503,-0.03140152642995471,-0.4897021392626103,0.020946071362996168,-0.24411169547528688,-0.0010332666746010722,-0.3811160931726986
47,-0.298535073915682,-0.6157223392900998,-0.21441440462674746,-0.5262759773518668,-0.10109053624058563,-0.4987137429666236,-0.39775198477161927,-0.6181151820666128,-0.23096795779709958,-0.5249097436591081,-0.28838585318479587,-0.5484571803336061,0.06270543298137148,-0.2991424622643648,-0.41786629497660255,-0.6377070555845253
48,-0.01210506042635579,-0.37786833090802263,-0.2256085645815667,-0.46832742442309666,0.1634960936252719,-0.11971419612828754,-0.37287632872395166,-0.44868896339254866,-0.1611304651328129,-0.5261247003988737,-0.23775166333208497,-0.5727471696904515,0.08575453957328434,-0.18886080135603064,-0.43185317607716,-0.5857653602591664
49,-0.2779528885913204,-0.5976268470705806,-0.29347469164053497,-0.5722138009559916,0.042257957433624704,-0.33326848219981003,-0.4718691239909632,-0.6297687267550857,-0.24730438831495594,-0.5378639882911398,-0.12074778140216601,-0.4759592218153044,-0.1673940999876437,-0.4049066367158679,-0.16556817943966284,-0.3789939033146801
50,-0.17180397354368618,-0.6802538329748183,-0.39344675830708403,-0.7558054123739375,0.004512251126633612,-0.4740864194270224,-0.7072587163636332,-0.876549384339483,-0.11051674137611131,-0.5634976255463197,-0.2670142121002848,-0.6522316649790338,0.06295208693842612,-0.35834855066562943,-0.4759804470670762,-0.7557461312237322
51,-0.2527122343489831,-0.6568447300720056,-0.11186070804957418,-0.5381294074785908,-0.020189738174681816,-0.44194044408065564,-0.17556899309414653,-0.5535202973594224,-0.054837476082289664,-0.3331153223215998,0.014181547799162003,-0.34166067407582695,0.0969266844373573,-0.21351592311298476,-0.01242078483241415,-0.4404072056804662
52,-0.33389311759287577,-0.6253459765334329,-0.19155764265000502,-0.6033610194665779,0.04144086596747143,-0.2874668446089606,-0.4154464884669907,-0.6923541878994929,-0.11222290960744476,-0.41302209853825894,-0.09528341102862298,-0.33411027951935246,0.08030836146665499,-0.1878194692830239,-0.20740258958998706,-0.39892750303386926
53,-0.2738352741240331,-0.6582849843747454,-0.2718489517594471,-0.5155781999761173,-0.01817460960127605,-0.4419038932629175,-0.5505196171535718,-0.6210826066880324,-0.2546130082321189,-0.6147249402462094,-0.30263279958681105,-0.6093265113155512,0.06991163560262281,-0.17034768697346409,-0.5063304725211321,-0.48710007389251847
