model,N_nonemb,D,M,w_farseer,w_eq3,Mstar_eq3_ownC,in_farseer_N,above_farseer_N,in_farseer_N_1p5,above_farseer_N_1p5
Qwen1.5-4B,3172456960.0,2400000000000.0,607.5381388142022,2.9185162578340105,3.175921885360266,64.2598099961634,True,False,True,False
Qwen1.5-1.8B,1214498816.0,2400000000000.0,1306.5998133548298,3.8207086421633236,5.280321034205383,49.04984369666085,True,False,True,False
Qwen1.5-0.5B,463987712.0,2400000000000.0,3873.6532082525546,5.0046758345810485,8.627997073856186,38.981337937665295,True,False,True,False
Qwen-72B,69796503552.0,3000000000000.0,41.50070986532617,1.3145218350345655,0.3019631898489116,214.70889522212104,False,True,False,True
Qwen-14B,12610155520.0,3000000000000.0,211.7553754920856,2.1243958786720687,1.499971397731852,109.60151413430566,False,True,False,True
Qwen-7B,6476664832.0,2400000000000.0,310.8274993912754,2.388962738258441,2.1174158632579485,80.50863383596001,False,True,True,False
Qwen2-72B,70214787072.0,7000000000000.0,96.27789168981808,1.7089359679230114,0.44146853338426745,311.11266844636066,False,True,False,True
Qwen2-7B,6525621760.0,7000000000000.0,919.1639296661056,3.3279855047307927,2.969017162267392,117.4471255891706,False,True,True,False
Qwen2-1.5B,1310340608.0,7000000000000.0,4534.517806735306,5.221310024448767,7.3118670572365385,68.01897878662714,True,False,True,False
Qwen2-0.5B,357898112.0,12000000000000.0,24289.886779332013,8.888952117337306,18.088238938420798,54.44176304689533,True,False,True,False
Yi-6B,5536747520.0,3000000000000.0,494.9649263893441,2.6761861344427307,2.497599542900336,82.29755629988566,True,False,True,False
Yi-34B,33471413248.0,3000000000000.0,87.23740786501426,1.6154835898430702,0.7067226643920501,158.91174620948576,False,True,False,True
Yi-1.5-34B,33471413248.0,3600000000000.0,104.68488943801712,1.7099392171736056,0.7558417058438329,170.9472805477891,False,True,False,True
Yi-1.5-9B,8305119232.0,3600000000000.0,407.7283905257752,2.528104906697791,2.0794514259466492,100.72244877662241,False,True,True,False
Yi-1.5-6B,5536747520.0,3600000000000.0,593.9579116672129,2.8326599245643775,2.649535901862803,87.49731983181141,True,False,True,False
gemma-7b,7751248896.0,6000000000000.0,702.7669542921273,3.022362856764925,2.5515361710832036,118.23137503363584,False,True,True,False
gemma-2b,1981884416.0,3000000000000.0,1197.044537258206,3.570125125929334,4.409032388898078,59.717985326517265,True,False,True,False
gemma-2-27b,26047480320.0,13000000000000.0,477.464969761453,2.73735338561897,1.4361198685193002,263.8701273879371,False,True,False,True
