tech,sigma_star,spec,w,r,r_obs,life_penalty,train_penalty,ratio_proc,ratio_eff,N_ratio,shadow_life_rel,C,U,N_w,D_w,Phi,loss,D_ratio,epochs,N_c,D_c,mN_c,w_true_c,s_true_c,w_hat_proc,w_hat_eff,s_hat_proc,ratio_proc_vs_w,mu_eff,mu_eta,shadow_life,elas_life_U
kq,0.7005534249155089,D15,1.0,1.4142,1.4142,0.0037167153638668626,0.0037167153638668626,0.9801648331281521,0.9787146601559582,1.0256264726855493,0.030099362651849634,1e+26,13185295706200.6,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.9786376834986398,1.3839894120037763,916721178135.9297,18248309651520.484,0.0,1.0,0.0,0.9801648331281521,0.9787146601559582,-0.020236562465258928,0.9801648331281521,0.021748258926304498,0.021748259093874456,165556339148.0652,0.021748263684173708
kq,0.7005534249155089,D15,1.0,1.6818,1.6818,0.00853707290088801,0.008537072900887788,0.970666178037987,0.9673879420919966,1.0398823317336245,0.05498683171838236,1e+26,11087314298792.299,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.969856917579819,1.6311053639857394,929463290639.7848,18084577824955.906,0.0,1.0,0.0,0.970666178037987,0.9673879420919966,-0.030220298827456384,0.970666178037987,0.0337114579260509,0.03371138339121993,306649449304.94257,0.03371139602847961
kq,0.7005534249155089,D15,1.0,2.0,2.0,0.015583027545976957,0.015583027545976735,0.961093699022772,0.9552214660669345,1.0557028073610357,0.09019226752482243,1e+26,9323322593854.443,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.961997089014713,1.923994178029426,943603882211.9348,17938018390466.156,0.0,1.0,0.0,0.961093699022772,0.9552214660669345,-0.04048127775344638,0.961093699022772,0.04687764620432833,0.046877613822745356,510634642691.51917,0.04687762568877929
kq,0.7005534249155089,D15,1.0,2.3784,2.3784,0.025152186613204952,0.025152186613204952,0.9511752176709853,0.9419060157101894,1.0736501048370488,0.14006648298357716,1e+26,7839995453964.382,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.9548289354182063,2.2709651399986623,959645460822.4071,17804356373701.098,0.0,1.0,0.0,0.9511752176709853,0.9419060157101894,-0.05133100760190675,0.9511752176709853,0.06167704985513689,0.06167707075764506,806484987651.2924,0.061677080548605545
kq,0.7005534249155089,D15,1.0,2.8284,2.8284,0.03765285216208758,0.03765285216208758,0.9406282482010069,0.9271146328922918,1.0944051811357574,0.21082521338898308,1e+26,6592647853100.3,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.9481432197581766,2.6817282827640265,978196676594.9807,17679690205962.613,0.0,1.0,0.0,0.9406282482010069,0.9271146328922918,-0.06311925238535439,0.9406282482010069,0.07861526991579226,0.07861543902147838,1237371138477.1853,0.07861543564757767
kq,0.7005534249155089,D15,1.0,3.3636,3.3636,0.05363541617104062,0.05363541617104062,0.9291517288231373,0.9104982488672957,1.1188132155980852,0.31137886190944547,1e+26,5543657149396.149,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.9417438062776167,3.167649466795391,1000012964204.7368,17560362613381.172,0.0,1.0,0.0,0.9291517288231373,0.9104982488672957,-0.07625048630819317,0.9291517288231373,0.09829975098145316,0.09829963537189235,1868297392132.5718,0.09829966902685783
kq,0.7005534249155089,D15,1.0,4.0,4.0,0.0738288217945764,0.0738288217945764,0.9164257734374196,0.8916934209857439,1.1479307630155837,0.45448408652361455,1e+26,4661661296927.222,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.9354473774826425,3.74178950993057,1026038689050.8445,17442955339691.613,0.0,1.0,0.0,0.9164257734374196,0.8916934209857439,-0.09119584911836559,0.9164257734374196,0.12146167782030504,0.12146167951859921,2797909537986.96,0.12146170352878016
kq,0.7005534249155089,D15,1.0,4.7568,4.7568,0.09921209539068965,0.09921209539068965,0.9020970130933348,0.8703130342485633,1.1831268861745514,0.6585457550284661,1e+26,3919997726982.191,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.9290737183268767,4.419417863337287,1057497541125.5396,17324107978866.656,0.0,1.0,0.0,0.9020970130933348,0.8703130342485633,-0.10852822422164006,0.9020970130933348,0.14901186199447158,0.14901185805117234,4178463099967.589,0.14901188923843733
kq,0.7005534249155089,D15,1.0,5.6569,5.6569,0.13110462903592457,0.13110462903592457,0.885777242324051,0.8459567429612268,1.2262001808142577,0.950198005268776,1e+26,3296265655696.3857,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.9224469599122184,5.218190207527429,1095997133774.4258,17200541165963.86,0.0,1.0,0.0,0.885777242324051,0.8459567429612268,-0.12895201210663076,0.885777242324051,0.18209353884875124,0.18209333455127585,6248485741756.531,0.182093411908113
kq,0.7005534249155089,D15,1.0,6.7272,6.7272,0.17129011903882607,0.17129011903882607,0.8670465784433481,0.8182316632731708,1.2795422026243222,1.3679999708465254,1e+26,2771828574698.0747,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.9153978013671822,6.158064089357308,1143675077333.9688,17069098007702.664,0.0,1.0,0.0,0.8670465784433481,0.8182316632731708,-0.1533405757685473,0.8670465784433481,0.22214776680689874,0.22214766846968126,9387284834704.602,0.22214773889572825
