value,mse,g_N,g_D,g_C,alpha_year,beta_year,source,LR,TC_months
0.5,0.0453116752261572,0.389964554625707,0.389964554625707,0.7799291092514141,0.0295656781649566,0.0124535614433824,m5 grid,0.04446623512252,10.664772051786656
0.75,0.0454226995044524,0.4926606991147684,0.1642202330382561,0.6568809321530246,0.0354120586066285,0.0055053310518321,m5 grid,0.6097783599281321,12.662517298921484
1.0,0.0455502653804691,0.5578196824544865,0.0,0.5578196824544865,0.038965853745244,0.0,m5 grid,1.2576133889620953,14.91120953301608
1.25,0.0456575738450567,0.6011029300499765,-0.1202205860099953,0.4808823440399812,0.0412391992908134,-0.0042235006700044,m5 grid,1.801169008032914,17.296884091938697
1.5,0.0457442507797883,0.6309921773914751,-0.2103307257971583,0.4206614515943166,0.0427579504574327,-0.0074898946995634,m5 grid,2.2392866934756763,19.773064860578067
1.75,0.0458145514321344,0.6522864372829085,-0.2795513302641036,0.3727351070188048,0.0438111931538963,-0.0100554331730851,m5 grid,2.5940194660969613,22.31548896278156
2.0,0.0458723043369195,0.6678786174684461,-0.333939308734223,0.333939308734223,0.0445661242254027,-0.0121035887605116,m5 grid,2.8850300511554425,24.908017562374848
2.25,0.0459204068272299,0.6795828231252455,-0.3775460128473586,0.3020368102778868,0.0451232959480211,-0.0137646678147677,m5 grid,3.1271337244844295,27.538915402618116
2.5,0.0459609918012101,0.6885693604934316,-0.4131416162960589,0.2754277441973727,0.045545478010186,-0.0151317751100541,m5 grid,3.331203965884595,30.199449191141746
2.75,0.0459956356217443,0.6956129793397412,-0.4426628050343807,0.2529501743053604,0.0458728170505968,-0.0162723650629243,m5 grid,3.505258259659699,32.883022079590155
3.0,0.0460255177953127,0.7012349494781863,-0.4674899663187909,0.2337449831593954,0.0461318442223988,-0.0172357031971595,m5 grid,3.6552842500023597,35.58479011738742
3.15,0.046041543239069685,0.7040803920507083,-0.48056280727270567,0.2235175847780026,0.04626218467695774,-0.017744262854155802,ra4 refinement,3.7357012309216864,37.213028115799204
3.175,0.04604409047793973,0.7045225033199559,-0.4826256518805997,0.22189685143935622,0.04628236131278443,-0.017824602051250266,ra4 refinement,3.7484809046966143,37.484831861134204
3.2,0.04604660419314359,0.7049554803830762,-0.4846568927633649,0.22029858761971133,0.046302136125761034,-0.017903714108603683,ra4 refinement,3.76109169483798,37.756783902209214
3.225,0.046049085025684285,0.7053802212353144,-0.4866576720150618,0.21872254922025258,0.04632151819308047,-0.017981667722341204,ra4 refinement,3.7735368444839694,38.028846117477315
3.25,0.046051533600763,0.7057964750350774,-0.4886283288704382,0.2171681461646391,0.0463405091523629,-0.0180584514341165,m5 grid,3.7858195164518897,38.30104144469463
3.275,0.046053950528256525,0.7062042416309486,-0.49056935869020096,0.21563488294074767,0.04635912936322806,-0.01813408007740469,ra4 refinement,3.7979427956770713,38.57337947035641
3.3,0.04605633640313495,0.7066048204974436,-0.4924821476194303,0.21412267287801323,0.04637735635568062,-0.01820866186067489,ra4 refinement,3.8099096913496573,38.84579832168458
3.325,0.046058691805957765,0.706998132453454,-0.4943671151742197,0.21263101727923428,0.0463952617589884,-0.018282158265798105,ra4 refinement,3.821723139443109,39.11831055107153
3.35,0.046061017303255625,0.7073838078350172,-0.49622446221262395,0.21115934562239325,0.04641280167861376,-0.018354600287439217,ra4 refinement,3.8333860046674104,39.390944986132084
