lnN,lnD,N,M,sigma_np,epsN_np,epsD_np,neff,sigma_np_lo,sigma_np_hi,sigma_np_se,sigma_chin,sigma_farseer
20.498208455426926,23.952086094917995,798470399.9999989,31.62277660168379,0.7070192564053461,0.04809913827572972,0.04769493073157325,38.01767583097707,0.6852466633713746,0.7326173971301677,0.01193415250439673,0.7713667424667552,0.7063770816021246
20.498208455426926,24.527732368166507,798470399.9999989,56.234132519034965,0.6883683386140037,0.05318269975605202,0.040709686301306086,38.36269933735967,0.6720063526318671,0.7073812848036033,0.009293845989719897,0.7705407151146482,0.7050549384870135
20.498208455426926,25.10337864141502,798470399.9999989,100.00000000000023,0.676311395857963,0.05836950706380844,0.03412143776037751,38.138288515162515,0.6629551420771467,0.6898412557762266,0.006548783974682754,0.7697322999174993,0.7056381598799031
20.498208455426926,25.67902491466353,798470399.9999989,177.82794100389225,0.6640491440172437,0.06333486121407232,0.027984436990890288,35.47136133155374,0.6527403528494911,0.6746021460847619,0.005624615295372761,0.7689533765191968,0.7075626195917932
20.498208455426926,26.25467118791204,798470399.9999989,316.22776601683825,0.6411195323138333,0.06788566677699032,0.022211011098547825,28.714254705523615,0.6254539909647289,0.6570953667266494,0.00844093242140052,0.7682140764410785,0.710394691665867
21.198333104310255,21.773979377558764,1608122368.0000024,1.7782794100389185,0.8790320365728241,0.03390082829143354,0.0798914242219182,30.51544746866161,0.8006781331255444,0.9567245977512099,0.037960626090203745,0.775228152470764,0.7392968803483524
21.198333104310255,22.349625650807276,1608122368.0000024,3.1622776601683755,0.837366732697384,0.03510617974721454,0.07260323177994332,34.609559050518406,0.7913187406558595,0.8809628389176266,0.024265585218144224,0.7744968973518215,0.7180447209080032
21.198333104310255,22.92527192405579,1608122368.0000024,5.62341325190349,0.8063805935885123,0.037275193758011915,0.06533568324140286,35.91492215489066,0.7702530339452152,0.8383101411553985,0.017542685300706608,0.7737244188045707,0.7054220676945601
21.198333104310255,23.500918197304298,1608122368.0000024,9.999999999999975,0.7796251532626427,0.040477117876980835,0.05843881495157669,36.57109382857579,0.7553565574368349,0.8057016455922318,0.013692876396897573,0.7729204793917653,0.6989608432391073
21.198333104310255,24.07656447055281,1608122368.0000024,17.782794100389204,0.7550553234800239,0.04463659656985746,0.05185590390577686,36.98618760330481,0.7360232000619789,0.7751051794502636,0.009560350181477358,0.7720966871463435,0.6967244440491039
