design,spec,M_bin,delta,lo,hi,se_cluster,se_run,boot_bias,delta_bc,lo_run,hi_run,ratio,n_points,M_max_evaluated,lnw_local,n_draws
"Marin, Nemotron-CC",chin_M100,64-256,-0.567097,-0.671738,-0.507486,0.0446174,0.0547707,0.0240443,-0.591141,-0.693053,-0.479896,0.56717,13,255.57,1.3099,999
"Marin, Nemotron-CC",chin_M100,"256-1,024",-1.03948,-1.14374,-0.981729,0.0427846,0.0809338,0.0287833,-1.06827,-1.22538,-0.907688,0.353637,6,876.107,2.16821,999
"Marin, Nemotron-CC",chin_M100,">=1,024",-1.75466,-2.03426,-1.48841,0.141331,0.163979,0.0240357,-1.7787,-2.07359,-1.45918,0.172966,2,1111.94,3.18162,999
"Marin, Nemotron-CC",chin_M100,M>=256,-1.21828,-1.35291,-1.12816,0.0571283,0.0954458,0.0275964,-1.24587,-1.4251,-1.04784,0.295739,,1111.94,,999
"Marin, Nemotron-CC",kappa_full,M<16,-0.0785606,-0.0967175,-0.0433365,0.014502,0.0178648,-0.00826903,-0.0702916,-0.103526,-0.0337171,0.924446,64,14.8196,-0.445509,999
"Marin, Nemotron-CC",kappa_full,16-64,0.0649628,0.0213404,0.0600631,0.00972839,0.0200546,0.0240672,0.0408956,0.00298714,0.081187,1.06712,24,62.1272,0.52984,999
"Marin, Nemotron-CC",kappa_full,64-256,-0.0763886,-0.137202,-0.0948929,0.0107725,0.0245215,0.0406693,-0.117058,-0.170202,-0.0680925,0.926456,13,255.57,1.3099,999
"Marin, Nemotron-CC",kappa_full,"256-1,024",-0.392675,-0.529392,-0.353978,0.0446786,0.0606025,0.051549,-0.444224,-0.561986,-0.328486,0.675248,6,876.107,2.16821,999
"Marin, Nemotron-CC",kappa_full,">=1,024",-0.99871,-1.35488,-0.675847,0.17001,0.158404,0.0501364,-1.04885,-1.3145,-0.770374,0.368354,2,1111.94,3.18162,999
"Marin, Nemotron-CC",kappa_full,M>=256,-0.544184,-0.733763,-0.442889,0.0732253,0.0803648,0.0511959,-0.59538,-0.744417,-0.440078,0.580315,,1111.94,,999
"Marin, Nemotron-CC",kappa_M100,M<16,-0.0596125,-0.105153,-0.0354796,0.0181722,0.0175078,0.00890859,-0.0685211,-0.100612,-0.0344205,0.94213,64,14.8196,-0.445509,999
"Marin, Nemotron-CC",kappa_M100,16-64,-0.0298691,-0.0522796,-0.00602272,0.0120706,0.0262111,0.00142395,-0.031293,-0.0775229,0.0270681,0.970573,24,62.1272,0.52984,999
"Marin, Nemotron-CC",kappa_M100,64-256,-0.237558,-0.273236,-0.187079,0.0218767,0.0528674,-0.00640485,-0.231153,-0.324237,-0.122646,0.788551,13,255.57,1.3099,999
"Marin, Nemotron-CC",kappa_M100,"256-1,024",-0.610149,-0.659569,-0.533482,0.0320621,0.0834255,-0.0162698,-0.59388,-0.74293,-0.427604,0.54327,6,876.107,2.16821,999
"Marin, Nemotron-CC",kappa_M100,">=1,024",-1.25775,-1.50582,-0.912937,0.150964,0.164458,-0.032353,-1.2254,-1.51947,-0.911469,0.284292,2,1111.94,3.18162,999
"Marin, Nemotron-CC",kappa_M100,M>=256,-0.77205,-0.864365,-0.643855,0.0568139,0.0973509,-0.0202906,-0.751759,-0.939188,-0.550583,0.462065,,1111.94,,999
