tech,year,n_models,n_units,median_s_models,median_s_units,s_agg_models,s_agg_units,median_lnM,median_M,top_model,top_share_C
farseer_emb,2024,40,27,0.7119939866415135,0.6769645742892335,0.31199925808813905,0.23863828895112565,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
farseer_emb,2025,13,6,0.7233869525565231,0.5372303508095633,0.6614201573126556,0.6286142115184828,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
farseer_q,2023,24,16,0.5538684730102998,0.49986141237105686,0.3034398688786022,0.27843071084087373,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
farseer_q,2024,40,27,0.828581229876494,0.7786997589352354,0.6092164831645508,0.5698974526247076,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
farseer_q,2025,13,6,0.872734204529519,0.7576046375134333,0.8344591638560499,0.8211962234064779,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
gadre_rw,2023,24,16,0.6641576728472598,0.6399675985709147,0.5787578298444115,0.5744383966744413,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
gadre_rw,2024,40,27,0.8046432735529934,0.7902598714393598,0.7129200167281533,0.7046449227422162,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
gadre_rw,2025,13,6,0.8412463919913631,0.7931105288818459,0.8236268899129341,0.8197022897664705,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
gadre_c4,2023,24,16,0.552640581728904,0.5145405942497876,0.3863069674704858,0.3780709050383881,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
gadre_c4,2024,40,27,0.7428285950206643,0.7045603169717609,0.5565863088116606,0.5400250134847806,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
gadre_c4,2025,13,6,0.7879075862201628,0.6910042548018194,0.7383369033404609,0.730771971006252,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
gadre_rp,2023,24,16,0.588816411878553,0.5582593838606847,0.4526534204273305,0.4458849867655101,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
gadre_rp,2024,40,27,0.7652242253867481,0.7341932654754681,0.6131103171022688,0.5997496591270134,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
gadre_rp,2025,13,6,0.8065757988137796,0.7276130401859543,0.7690017395962204,0.7628317206689033,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
olmo,2023,24,16,0.027285377641433427,-0.027235658442260426,0.01533443583539103,0.009406766430942872,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
olmo,2024,40,27,0.3453987817047865,0.34080934829995113,0.059869685326344256,0.025746032928542193,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
olmo,2025,13,6,0.3497211709818793,0.14615809342486516,0.2613350721984267,0.22798732747932512,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
meta_a2,2023,24,16,0.3793460814060118,0.33393457606285026,0.12883205639880158,0.110132746914837,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
meta_a2,2024,40,27,0.6549661274042788,0.5914346493630747,0.315656607680774,0.27588200741094787,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
meta_a2,2025,13,6,0.6899879400047015,0.5406371913610338,0.61972957662783,0.6046153614925486,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
meta_a3,2023,24,16,0.5334663871033336,0.4914198845583893,0.3505846406878873,0.33950167582440954,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
meta_a3,2024,40,27,0.7571164824964897,0.7181331069121464,0.567706644374703,0.5471576052124146,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
meta_a3,2025,13,6,0.80566322956244,0.707630308028534,0.7634238098195765,0.754715383253322,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
chin_q,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
chin_q,2024,40,27,0.8206948197148135,0.7736156415553738,0.5847245285923777,0.5384500202871144,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
chin_q,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
gadre_rw_q,2023,24,16,0.495889642847012,0.37796372247518883,0.21800075072352748,0.1436892325674107,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
gadre_rw_q,2024,40,27,0.88314947997544,0.8182151326671425,0.6213162599951129,0.49548895519482145,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
gadre_rw_q,2025,13,6,0.9162350851227992,0.738714619274857,0.9012217618647697,0.8728953963740613,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
gadre_c4_q,2023,24,16,0.4125674945649096,0.2934937761461198,0.16685183748947913,0.10539279990788648,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
gadre_c4_q,2024,40,27,0.8532642503848895,0.7813365272554671,0.5370464732588542,0.40869490190735713,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
gadre_c4_q,2025,13,6,0.8860012683597374,0.6691769124402419,0.8654337290653675,0.8292655412505868,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
gadre_rp_q,2023,24,16,0.6055152744684932,0.5192297760886639,0.3002580692915025,0.2406028107624057,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
gadre_rp_q,2024,40,27,0.8904038243125874,0.8457551788474419,0.6750377172796304,0.5939757747254601,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
gadre_rp_q,2025,13,6,0.926193087568023,0.802671380874165,0.9075921180422886,0.8892586330816128,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
olmo_q,2023,24,16,0.3404552353286656,0.1227540561827327,0.16246718516413905,0.10111732568713537,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
olmo_q,2024,40,27,0.8820377055166768,0.8305878424188793,0.5884509492260267,0.391990531470299,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
olmo_q,2025,13,6,0.8997727129152032,0.586361005556709,0.9121647468437297,0.8493104835034049,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
muen,2023,24,16,0.3411100826707621,0.27047054976407076,0.12851462567205357,0.10200657046231897,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
muen,2024,40,27,0.6971626174126373,0.6455557380870619,0.42995065464554355,0.39105355189216,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
muen,2025,13,6,0.7707110183867237,0.6306892778743229,0.7234038173187117,0.7088153008355478,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
muen_q,2023,24,16,0.5035170373849978,0.30856729501201496,0.25716704335130175,0.16991285720449287,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
muen_q,2024,40,27,0.9306861697456349,0.8869439292911867,0.7389192234802766,0.5577628179165729,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
muen_q,2025,13,6,0.9469122627679003,0.716266201772384,0.9555876690696405,0.9188153413607711,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
chin_ne,2023,24,16,0.5427580230471909,0.5029253766615698,0.38121535845787924,0.3693276218613679,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
chin_ne,2024,40,27,0.7838513773499973,0.7514606800188688,0.6227998373739286,0.6024533520421927,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
chin_ne,2025,13,6,0.8388243891924974,0.7488741047021203,0.8046638578877189,0.7962972518439474,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
marin_comma_a3,2023,24,16,0.19703658517730643,0.09706126743365903,0.06814667926310375,0.04090707967000506,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
marin_comma_a3,2024,40,27,0.6833435006929367,0.6851350482807799,0.2170380074843892,0.09971623977006805,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
marin_comma_a3,2025,13,6,0.672768312631701,0.3180388614066209,0.6156028845193751,0.5256464085691083,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
