sample,surface,surface_kind,output,estimator,param,n_obs,n_dev,n_fam,n_fam_ge2,identified,obs,obs_se_cr1_allk,obs_se_cr1_nested,obs_se_cv3,bench,bench_se,bench_lo,bench_hi,bench_se_runlevel,bias,bias_se_table8,bias_se_nested,bias_se_cv3,p_normal_table8,p_t_nested,p_t_cv3,p_wcr_combined,p_wcr_benchfixed_allk,p_wcr_subcluster_family,B_wild,G_star,loo_bias_min,loo_bias_max,loo_argmin,loo_argmax,loo_n_unidentified,mde80,mde80_cv3,p_wcr_cv3_combined,obs_se_cv3_y,cv3_check,mde80_cv3_tG1,obs_n_at_floor,p_conservative,p_min_of_three
strict support (20),strict,ols,y_winogrande,Family FE,theta_C,20,6,9,5,True,0.390259117827387,0.1247668863841847,0.09299574643200997,0.13549876236454514,0.48487063982935347,0.023450584688301964,0.44245193896340324,0.5260048170969589,0.03436083192515469,-0.09461152200196649,0.12695158864790657,0.09590692767819183,0.1375130703771343,0.4561165519167246,0.3691919922274777,0.5220522109558389,0.902990299029903,0.9270927092709271,0.9065906590659066,9999,1.3557453872669007,-0.10690666382248412,0.053112147655225345,Meta,Cerebras,0,0.26853939749893707,0.38503659705597604,0.8106810681068107,0.4430713090525197,0.1354987623635815,0.47993788944115257,1,0.902990299029903,0.5220522109558389
strict support (20),strict,ols,y_winogrande,Lab x period FE,theta_N,20,6,9,5,True,0.5815039360668259,0.36571022671956066,0.28048693995733714,0.08323013385662033,0.5863895842198207,0.06998490980291223,0.45163119191020856,0.7229454262406132,0.09948855747437457,-0.004885648152994748,0.3723464213973249,0.2890861655056371,0.10874347236461,0.9895310625986236,0.9871697852911612,0.9659036755527229,0.9886988698869887,0.991899189918992,0.9863986398639863,9999,3.5628257684762317,-0.04210585974929293,0.07456694866414557,Meta,Cerebras,0,0.8094412634157838,0.304481722620908,0.9653965396539654,0.33174063729561326,0.08323013385665355,0.3795283784591534,1,0.9886988698869887,0.9653965396539654
strict support (20),strict,ols,y_winogrande,Lab x period FE,theta_D,20,6,9,5,True,0.30731298695920956,0.2140096116373408,0.16413787940266317,1.9351910843694178,0.4846939225398364,0.07566985743947355,0.3371423113951431,0.6303624652049621,0.07696442819683272,-0.17738093558062684,0.2269934827215876,0.18074061740437164,1.9366699409935069,0.4345459584816742,0.3714605253020733,0.9305795554707128,0.29492949294929494,0.2601260126012601,0.35513551355135514,9999,1.9219156373511408,-2.297111654095829,-0.1555924607702408,Cerebras,Meta,0,0.5060737287322405,5.422675834781819,0.5371537153715371,1.8918538991051386,1.9351910843694031,6.75922137056071,1,0.9305795554707128,0.29492949294929494
strict support (20),strict,ols,y_winogrande,Lab x period FE,theta_C,20,6,9,5,True,0.43335566613388665,0.07487623930187641,0.05853344880963859,0.13832808793323492,0.5314423425704808,0.028610805662810983,0.47567854659698705,0.5861423369723379,0.03421138096386857,-0.09808667643659419,0.08015628118037288,0.06515169092376435,0.141255931245169,0.22106807896981784,0.1925355979263583,0.5183734768206012,0.8705870587058706,0.918991899189919,0.8733873387338734,9999,1.2308975945223646,-0.10656696072723221,0.05311214764466585,Meta,Cerebras,0,0.18242473458654018,0.39551660748647316,0.7853785378537854,0.4025739116982675,0.13832808793346765,0.49300094403334455,1,0.8705870587058706,0.5183734768206012
strict support (20),strict,tobit,y_winogrande,OLS,theta_N,20,6,9,5,True,0.5574835717580674,0.21651722524710326,0.21651722524710326,0.1258378516410584,0.5970873361782598,0.10605980236232636,0.3713118809128166,0.7938144451402371,,-0.03960376442019242,0.24109830050384132,0.24109830050384132,0.16457170650744543,0.8695233427806759,0.875957273290489,0.8193843193243792,0.8958895889588959,0.8940894089408941,0.905990599059906,9999,3.183174855061533,-0.11598727761127309,0.0592464986452616,BigScience,Cerebras,0,0.6750752414107557,0.4608007782208472,0.7763776377637763,0.34744450260874254,0.1258378516409442,0.5743759285302501,1,0.8958895889588959,0.7763776377637763
strict support (20),strict,tobit,y_winogrande,OLS,theta_D,20,6,9,5,True,0.27478626945956863,0.14500335126057845,0.14500335126057845,1.339405242705133,0.5258272082862163,0.06942695533621224,0.38633781211475715,0.6443103526858801,,-0.2510409388266477,0.16076714217791865,0.16076714217791865,1.341203379921648,0.11840135654703578,0.1791564924243627,0.8588809898859996,0.1774177417741774,0.16591659165916592,0.19531953195319532,9999,2.0516922025458255,-1.715742244239788,-0.1889010231358989,Cerebras,BigScience,0,0.4501479980981722,3.7553694637806143,0.46944694469446946,1.2581161225275892,1.3394052427050511,4.680968272365545,1,0.8588809898859996,0.1774177417741774
strict support (20),strict,tobit,y_winogrande,OLS,theta_C,20,6,9,5,True,0.370968778324641,0.013703106900800479,0.013703106900800479,0.26054465197121107,0.5500721438549776,0.038198997440856974,0.46632251655588286,0.6113098669607924,,-0.17910336553033662,0.040582490611362966,0.040582490611362966,0.2633299813471419,1.0179911967115472e-05,0.006935074769557706,0.526620889086066,0.07580758075807581,0.032603260326032606,0.062006200620062006,9999,1.5147056418782985,-0.4629208380450852,-0.15951581825452943,Cerebras,Meta,0,0.1136309737118163,0.7373239477719973,0.4166416641664166,0.05460022728973354,0.26054465197121107,0.9190547133281098,1,0.526620889086066,0.07580758075807581
strict support (20),strict,tobit,y_winogrande,Year FE,theta_N,20,6,9,5,True,0.49328522832241595,0.29216730243508443,0.29216730243508443,0.16677632480322954,0.5790055336827611,0.10788494488875179,0.34576516875022084,0.7794183396940182,,-0.08572030536034514,0.31144966518820194,0.31144966518820194,0.19862906093651383,0.7831395054369977,0.7941509169104201,0.6840361416544026,0.8333833383338334,0.8468846884688469,0.8522852285228523,9999,3.8103537564744814,-0.2103489777209238,-0.013683990855936953,EleutherAI,TII,0,0.8720590625269654,0.5561613706222387,0.6631663166316631,0.35852593650827974,0.1667763248029169,0.6932403736321485,1,0.8333833383338334,0.6631663166316631
strict support (20),strict,tobit,y_winogrande,Year FE,theta_D,20,6,9,5,True,0.3690893271959005,0.18287449606727618,0.18287449606727618,1.627636768855089,0.5257750870880247,0.06991767716515494,0.3840803166177891,0.6467611205577841,,-0.1566857598921242,0.19578448072314372,0.19578448072314372,1.629137788190184,0.42353865999110474,0.4598569068725186,0.9271158396525205,0.46784678467846785,0.46704670467046705,0.47154715471547154,9999,2.7997307463219507,-1.9295960051318524,-0.004988641280290584,Cerebras,EleutherAI,0,0.5481965460248024,4.5615858069325155,0.6256625662566256,1.5862369495585582,1.6276367688554454,5.685895526355989,1,0.9271158396525205,0.46784678467846785
strict support (20),strict,tobit,y_winogrande,Year FE,theta_C,20,6,9,5,True,0.41570633257144257,0.032430169121854036,0.032430169121854036,0.26076089361210425,0.5457551668793427,0.036684908355223395,0.4636481855705891,0.6053545584185868,,-0.1300488343079001,0.048964256047684354,0.048964256047684354,0.26332874157298947,0.007907471465382647,0.04510031807300332,0.6423295034167366,0.31803180318031804,0.34703470347034704,0.29552955295529554,9999,1.5103727980788744,-0.411115116672776,-0.08759447781527394,Cerebras,EleutherAI,0,0.13709991693351617,0.7373204764043705,0.5092509250925092,0.05763693159575479,0.26076089361213073,0.9190503863605824,1,0.6423295034167366,0.31803180318031804
