group,variant,k,members,mean_re,lo_hksj,hi_hksj,se_hksj,tau,Q,p_Q,I2,mean_fixed,note,weight_share_farseer,sample,order,h,fkind,center,k_valid,chin_sigma,chin_se,far_centre,far_se,bw_lo,bw_hi,bw_variants
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 2, h = 1.0, frontier power, centre path",4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.687556,0.640844,0.734267,0.0146779,0.0226352,8.03211,0.0453527,0.626499,0.703957,k_valid = 9,0.402113,137 runs,2,1,power,path,9,0.659984,0.0233143,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 2, h = 1.0, frontier auto, centre iter",4,Hoffmann 0.688 (0.021); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.696192,0.662118,0.730266,0.0107069,0.0139122,5.00991,0.171073,0.401187,0.704898,k_valid = 9,0.52836,137 runs,2,1,auto,iter,9,0.687635,0.0214693,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 2, h = 0.6, frontier auto, centre path",4,Hoffmann 0.596 (0.034); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.674222,0.595859,0.752586,0.0246236,0.0380274,14.7703,0.00202388,0.796889,0.703652,k_valid = 9,0.331447,132 runs,2,0.6,auto,path,9,0.595806,0.0336988,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 2, h = 0.8, frontier auto, centre path",4,Hoffmann 0.657 (0.032); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.689618,0.643753,0.735483,0.0144118,0.0209302,6.64372,0.0841637,0.548446,0.704689,k_valid = 9,0.450061,132 runs,2,0.8,auto,path,9,0.656647,0.0319382,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 2, h = 1.0, frontier auto, centre path",4,Hoffmann 0.679 (0.020); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.692869,0.655064,0.730674,0.0118792,0.0167575,6.08375,0.107606,0.506883,0.704307,k_valid = 9,0.463843,132 runs,2,1,auto,path,9,0.678663,0.0199038,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 2, h = 1.25, frontier auto, centre path",4,Hoffmann 0.698 (0.012); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.699926,0.673124,0.726728,0.00842185,0.00985063,4.66114,0.198359,0.356381,0.704773,k_valid = 9,0.544528,132 runs,2,1.25,auto,path,9,0.698119,0.0124058,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 2, h = 1.5, frontier auto, centre path",4,Hoffmann 0.679 (0.016); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.691953,0.654515,0.72939,0.0117639,0.0172589,7.00997,0.0715806,0.572038,0.703545,k_valid = 9,0.430726,132 runs,2,1.5,auto,path,9,0.678913,0.0157025,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 2, h = inf, frontier auto, centre path",4,Hoffmann 0.663 (0.018); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.686698,0.639978,0.733417,0.0146803,0.0235298,9.63733,0.0219144,0.688711,0.703007,k_valid = 9,0.373457,132 runs,2,inf,auto,path,9,0.663198,0.0178618,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 3, h = 1.0, frontier auto, centre path",4,Hoffmann 0.659 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.687259,0.640107,0.73441,0.0148161,0.0229704,8.19792,0.0420936,0.634053,0.70391,k_valid = 9,0.398352,132 runs,3,1,auto,path,9,0.65918,0.0232056,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 3, h = 1.5, frontier auto, centre path",4,Hoffmann 0.685 (0.015); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.694322,0.660438,0.728205,0.010647,0.0148428,6.06482,0.108499,0.505344,0.703913,k_valid = 9,0.465102,132 runs,3,1.5,auto,path,9,0.684823,0.0151735,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 2, h = 1.0, frontier logquad, centre path",4,Hoffmann 0.682 (0.019); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.693799,0.657631,0.729967,0.0113648,0.0157675,5.84699,0.119297,0.486915,0.704338,k_valid = 9,0.474789,132 runs,2,1,logquad,path,9,0.68179,0.0188742,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 2, h = 1.0, frontier cubic, centre path",4,Hoffmann 0.681 (0.020); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.693843,0.657394,0.730293,0.0114532,0.0158173,5.76175,0.123795,0.479325,0.704435,k_valid = 9,0.479433,132 runs,2,1,cubic,path,9,0.681432,0.0197701,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 2, h = 1.0, frontier power, centre path",4,Hoffmann 0.676 (0.020); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.692149,0.653212,0.731086,0.0122348,0.0175019,6.31493,0.097254,0.524935,0.704245,k_valid = 9,0.45397,132 runs,2,1,power,path,9,0.676402,0.0202907,,,,,
T1.5 grid,"Chinchilla N_F grid: 132 runs: order 2, h = 1.0, frontier auto, centre iter",4,Hoffmann 0.686 (0.021); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.695711,0.661118,0.730304,0.01087,0.0142963,5.1372,0.162022,0.416024,0.704817,k_valid = 9,0.518676,132 runs,2,1,auto,iter,9,0.686191,0.0212615,,,,,
T1.5 R11-R13,"Chinchilla R11: R11 count-free N_F = C_b/(6 D_dig) (RE sigma* (137 runs, ra1's estimator and seed))",4,Hoffmann 0.676 (0.021); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.692128,0.653018,0.731237,0.0122893,0.0175593,6.28743,0.0984333,0.522858,0.704282,,0.45524,R11,,,,,9,0.676048,0.0207,,,,,
T1.5 R11-R13,"Chinchilla R12: R12 T4-consistent profile membership (RE sigma*, N_F (147 runs))",4,Hoffmann 0.668 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.69138,0.6493,0.73346,0.0132225,0.0187953,6.18267,0.103054,0.514772,0.704634,,0.464138,R12,,,,,9,0.668447,0.027,,,,,
T1.5 R11-R13,"Chinchilla R13: R13 five highest-loss runs dropped (RE sigma*, N_F (132 runs))",4,Hoffmann 0.681 (0.020); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.693782,0.657241,0.730323,0.011482,0.0158772,5.77946,0.122847,0.48092,0.704429,,0.478526,R13,,,,,9,0.681247,0.0198,,,,,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint of the bandwidth range, uniform",4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer bw 0.695 (0.019),0.680333,0.643429,0.717237,0.0115961,0.00689525,3.28761,0.34937,0.0874838,0.68044,Farseer entry 0.6953 (s.e. 0.0188 = sqrt(0.0048^2 + bandwidth variance 0.000330)),0.33452,,,,,,,,,0.695308,0.0188059,0.663833,0.726784,6
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: primary-bandwidth Hessian path mean, uniform",4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer bw 0.707 (0.019),0.68361,0.640345,0.726876,0.0135951,0.0156148,4.47497,0.214534,0.329604,0.684331,Farseer entry 0.7066 (s.e. 0.0188 = sqrt(0.0048^2 + bandwidth variance 0.000330)),0.309343,,,,,,,,,0.706612,0.0188059,0.663833,0.726784,6
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: first-derivative estimate, uniform",4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer bw 0.708 (0.019),0.683938,0.639922,0.727954,0.0138309,0.0164055,4.62813,0.201142,0.35179,0.684742,Farseer entry 0.7078 (s.e. 0.0188 = sqrt(0.0048^2 + bandwidth variance 0.000330)),0.307152,,,,,,,,,0.707807,0.0188059,0.663833,0.726784,6
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint, range read as +-1.96 s.e.",4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer bw 0.695 (0.017),0.681261,0.644877,0.717645,0.0114328,0.00822564,3.4353,0.329251,0.126714,0.681649,Farseer entry 0.6953 (s.e. 0.0168 = sqrt(0.0048^2 + bandwidth variance 0.000258)),0.373949,,,,,,,,,0.695308,0.0167724,0.663833,0.726784,6
