corpus,conv,sample,scheme,statistic,estimate,pop,se,ci_lo,ci_hi,p_zero,n_draws,n_restricted,n_all
edu,P,main,cr2,mean|chin_r|chin_f,-0.4011748654078996,-0.39838948159016224,0.028538330671865363,-0.43086539677544855,-0.3311092340896403,,999,33,44
edu,P,main,cr2,bin0|chin_r|chin_f,-0.3486368958543809,-0.34846484461453964,0.02316224884918076,-0.3728054209682927,-0.2909209468250266,,999,33,44
edu,P,main,cr2,bin1|chin_r|chin_f,-0.45001340328064504,-0.4447958268138663,0.03359133605450563,-0.4845987115906662,-0.3685303017987747,,999,33,44
edu,P,main,cr2,bin2|chin_r|chin_f,-0.5362192209724697,-0.5267193657811373,0.04265625309784676,-0.5809700108350502,-0.43369453463420193,,999,33,44
edu,P,main,cr2,n_eval|chin_r|chin_f,11.0,11.0,0.0,11.0,11.0,,999,33,44
edu,P,main,cr2,slope|kappa_r|local,-0.002764074775035391,0.11984637382466029,0.12887051171781094,-0.16187638445356203,0.2908192368393575,0.98,999,33,44
edu,P,main,cr2,level100|kappa_r|local,0.3506372893141895,0.23546114586180503,0.1265903405254358,0.06466318852989122,0.572044111657707,,999,33,44
edu,P,main,cr2,mean|kappa_r|local,0.3474039468705714,0.3756543022484786,0.11292682261018519,0.1150737014609633,0.5652940401584386,,999,33,44
edu,P,main,cr2,bin0|kappa_r|local,0.28773288685385623,0.26860700967360124,0.09115851783983323,0.08525907643001185,0.43578996008429527,,999,33,44
edu,P,main,cr2,bin1|kappa_r|local,0.6846752417152344,0.6223629750309803,0.14840987687522705,0.3844547211909072,0.9699545996508749,,999,33,44
edu,P,main,cr2,bin2|kappa_r|local,0.21898136208441155,0.5036111534780479,0.3480842635515897,-0.2636021405309309,0.9696791777216199,,999,33,44
edu,P,main,cr2,n_eval|kappa_r|local,11.0,11.0,0.0,11.0,11.0,,999,33,44
edu,P,main,cr2,slope|kappa_r|chin_f,0.19778380526298242,0.1980889857609195,0.02781168048896348,0.14421989988666242,0.2519288812748605,0.001,999,33,44
edu,P,main,cr2,level100|kappa_r|chin_f,0.4077730667433466,0.3796518692647317,0.06423300011309659,0.27342254068860455,0.5203952977949092,,999,33,44
edu,P,main,cr2,mean|kappa_r|chin_f,0.6391353938384634,0.6113711885316438,0.09630632389986435,0.44144832958743574,0.813632405119803,,999,33,44
edu,P,main,cr2,bin0|kappa_r|chin_f,0.5239792105866694,0.4967590647601545,0.08011737851368769,0.35894580552752087,0.6687155029392773,,999,33,44
edu,P,main,cr2,bin1|kappa_r|chin_f,0.7461771692188095,0.7178044983085887,0.11141939968875807,0.51798399827235,0.9491897280858201,,999,33,44
edu,P,main,cr2,bin2|kappa_r|chin_f,0.9351402598393959,0.9060803119549119,0.1380619083767718,0.6536750419299222,1.1891063351668443,,999,33,44
edu,P,main,cr2,n_eval|kappa_r|chin_f,11.0,11.0,0.0,11.0,11.0,,999,33,44
