kN,kD,k,overhead,overhead_formula
0.69,1.5181125967902152,2.200163183753935,0.04749769178524832,0.04788154092678232
0.7,1.490846148646982,2.1297802123528315,0.04359230405288739,0.04392947770253475
0.71,1.464695524748885,2.062951443308289,0.0399338225717083,0.0402291857799808
0.72,1.4395949334203786,1.9994374075283037,0.036508352062672556,0.036766315321289156
0.73,1.4154835560398724,1.9390185699176334,0.0333029959091069,0.03352755795715057
0.74,1.3923050932228542,1.8814933692200733,0.030305768984912218,0.03050055508264138
0.75,1.3700073591851045,1.8266764789134726,0.027505519388828503,0.02767381559780402
0.76,1.348541918483318,1.7743972611622605,0.024891858047321636,0.025036641984466534
0.77,1.3278637601088394,1.7244983897517394,0.022455095283806292,0.022579063756259288
0.78,1.3079310045739136,1.6768346212486072,0.02018618356765267,0.020291777443152803
0.79,1.2887046401972642,1.6312716964522331,0.01807666575583866,0.018166092378626653
0.8,1.2701482852820387,1.5876853566025484,0.016118628225630927,0.01619388164924951
0.81,1.2522279732968664,1.5459604608603288,0.014304658370461798,0.014367537645589401
0.8200000000000001,1.2349119585304584,1.5059901933298272,0.012627805994976038,0.012679931721534476
0.8300000000000001,1.2181705400006422,1.4676753493983639,0.011081548200533087,0.011124377528401341
0.8400000000000001,1.201975901667181,1.4309236924609297,0.009659757400432012,0.00969459764131786
0.8500000000000001,1.186301967230526,1.3956493732123834,0.008356672145947153,0.008384693140127686
0.8600000000000001,1.171124268000799,1.3617724046520916,0.007166870480687093,0.007189115845795291
0.8700000000000001,1.1564198224972853,1.3292181867784887,0.0060852455726383425,0.00610264294728502
0.8800000000000001,1.1421670265921848,1.2979170756729372,0.005106983401122811,0.0051203537835149415
0.8900000000000001,1.1283455531464694,1.2678039922994038,0.004227542300357934,0.00423760857102029
0.9000000000000001,1.1149362602030835,1.2388180668923148,0.0034426341827753504,0.003450028890735979
0.9099999999999999,1.101921106905687,1.2109023152809748,0.0027482072841749083,0.0027534797674597655
0.9199999999999999,1.0892830764015886,1.1840033439147704,0.0021404302894614258,0.0021440531931291584
0.9299999999999999,1.0770061050671318,1.158071080717346,0.0016156777124325394,0.0016180529607989769
0.94,1.06507501746395,1.1330585292169681,0.0011705164161130988,0.001171980689853802
0.95,1.053475466496507,1.1089215436805338,0.000801693171681439,0.0008025229353334495
0.96,1.0421938782961113,1.085618623225116,0.0005061231642669028,0.0005065392849856742
0.97,1.0312174014051607,1.0631107230981038,0.00028087936300580374,0.0002810513573512363
0.98,1.0205338598784197,1.0413610815085916,0.0001231826808512082,0.00012323262269609003
0.99,1.0101317099564058,1.020335060562026,3.03928568416989e-05,3.0398976244017106e-05
1.0,1.0,1.0,0.0,0.0
