sample,technology,prov_group,prov_source,prov_where,prov_N_conv,n_era1,n_era2,medM_era1,medM_era2,share_w_lt1_era1,share_w_lt1_era2,gmCE_era1,gmCE_era2,gmCEtr_era1,gmCEtr_era2,gain_untrunc,gain_untrunc_lo,gain_untrunc_hi,gain_trunc,gain_trunc_lo,gain_trunc_hi,overtraining_component,era1_undertraining_cost,share_of_era1_gap_closed,share_of_era1_gap_closed_lo,share_of_era1_gap_closed_hi,years_between,ho_algorithmic_gain,share_of_ho_trunc,share_of_ho_trunc_lo,share_of_ho_trunc_hi,share_of_ho_untrunc,B
Top-5 compute per year,"Hoffmann et al. (2022), rounded",Chinchilla sweep,published Eq. 10,Section III,total,10,15,2.2577915775531894,19.591836734693878,0.9,0.9333333333333333,0.4509248728031295,0.6738592902463385,0.4509345712055996,0.6761870944517149,1.4943937025637097,0.9715224140273263,2.2557174284028485,1.4995237394282936,0.9714806247538563,2.263638486262516,0.9965788891968194,2.2176166208025307,0.5087026001676468,-0.05454607768037146,0.7586269974280686,2.3968036529679466,9.929008690040517,0.17649945418681542,-0.009831087894016776,0.45513002399140023,0.17500651803300873,999
Epoch frontier flag,"Hoffmann et al. (2022), rounded",Chinchilla sweep,published Eq. 10,Section III,total,7,6,1.7166822589526618,19.67078189300411,0.8571428571428571,1.0,0.33884107216003306,0.6592592900524161,0.338851483245702,0.6592592900524161,1.9456298076552272,1.1965396769802614,3.076243298520701,1.9455700289037414,1.1964257565089804,3.0762385511830264,1.0000307255717336,2.9511454116165035,0.615005623299424,0.22684552858076223,0.8449384262637448,2.204566210045641,8.259396259566527,0.3152270052565625,0.07207644478869285,0.7110688099708712,0.3152415575941612,999
C >= 1e23,"Chinchilla, kappa free (inner exponents)",Chinchilla sweep,"m2 registry, generalized (kappa-free) Huber fit","Section III (Table 4, kappa free)",total,7,92,1.7166822589526618,91.5768098087606,1.0,0.2608695652173913,0.47747869155303446,0.5676792102723344,0.47747869155303446,0.9395634811797599,1.1889100399976302,0.9216229058533286,1.5619791466670607,1.9677600232248287,1.580664364902048,2.532259819254583,0.6041946304251095,2.094334297405873,0.9156698066679017,0.8342279886537746,0.9641321715435234,2.27872883519035,8.86737074962257,0.3101643019028491,0.12578816930414524,0.6327001403949967,0.07928824810195502,999
"C >= 1e23, cleaned","Chinchilla, kappa free (inner exponents)",Chinchilla sweep,"m2 registry, generalized (kappa-free) Huber fit","Section III (Table 4, kappa free)",total,7,79,1.7166822589526618,105.52047337278107,1.0,0.24050632911392406,0.47747869155303446,0.5933619072648731,0.47747869155303446,0.9540678975680069,1.2426981931589869,0.971150115742375,1.6446158130930133,1.9981371199305902,1.5960079747224063,2.5751126349383138,0.6219283855765388,2.094334297405873,0.9363931750803078,0.878666752857593,0.9748545555666167,2.1989051004475186,8.214737107404577,0.32869819453768084,0.13288192376822228,0.6599724877625501,0.10317769523041635,999
Top-5 compute per year,"Chinchilla, kappa free (inner exponents)",Chinchilla sweep,"m2 registry, generalized (kappa-free) Huber fit","Section III (Table 4, kappa free)",total,10,15,2.2577915775531894,19.591836734693878,0.7,0.6,0.5969937251831171,0.8207541980146522,0.6110246448911388,0.8673721691618279,1.3748121016898471,1.0372021146895498,1.837316488888111,1.419537127371287,1.0501155744342137,1.923862652428272,0.9684932328862282,1.6365951985098108,0.7111613101797966,0.18080574678394123,0.9322953932401045,2.3968036529679466,9.929008690040517,0.15261897556893828,0.015391666454345716,0.3809203583826347,0.13867241392159108,999
Epoch frontier flag,"Chinchilla, kappa free (inner exponents)",Chinchilla sweep,"m2 registry, generalized (kappa-free) Huber fit","Section III (Table 4, kappa free)",total,7,6,1.7166822589526618,19.67078189300411,0.8571428571428571,0.6666666666666666,0.48817708302466906,0.8697243316766509,0.5008261462317184,0.8761231687805481,1.7815755018403867,1.2621724114402648,2.478510149959498,1.749355890008167,1.1839604955189478,2.4830741977414075,1.0184179857376359,1.9967008662070285,0.8087500923005414,0.37072623356801687,0.9995702079078007,2.204566210045641,8.259396259566527,0.2648766248720163,0.062406272098010515,0.6432973954484952,0.27352058062578294,999
C >= 1e23,"Farseer grid (m5 fit, N incl. embeddings)",Farseer,m5 fit of the 404-run grid,Online Appendix E (m5),total incl. embeddings,7,92,1.7166822589526618,91.5768098087606,1.0,0.42391304347826086,0.4429094306066327,0.7011609229945013,0.4429094306066327,0.9110507741705606,1.5830796874976298,1.2690671726158245,2.0448169156371807,2.0569685610955184,1.658243154000162,2.6016984181903817,0.769617833465816,2.2577979399317507,0.8856117443219523,0.8039463112852374,0.9395414805657866,2.27872883519035,8.86737074962257,0.33048042870306654,0.13033036055636182,0.7185828817830657,0.21049151399549168,999
"C >= 1e23, cleaned","Farseer grid (m5 fit, N incl. embeddings)",Farseer,m5 fit of the 404-run grid,Online Appendix E (m5),total incl. embeddings,7,79,1.7166822589526618,105.52047337278107,1.0,0.4050632911392405,0.4429094306066327,0.7293252271849003,0.4429094306066327,0.9250890380579264,1.646668995478324,1.3356298900576116,2.1119624378963415,2.088664124380631,1.7178782780331958,2.639010873280773,0.7883838173198979,2.2577979399317507,0.9043882033274305,0.8456687383294552,0.9499156085193807,2.1989051004475186,8.214737107404577,0.3497384881306269,0.15025642191855418,0.7180575935580635,0.23683337818866199,999
Top-5 compute per year,"Farseer grid (m5 fit, N incl. embeddings)",Farseer,m5 fit of the 404-run grid,Online Appendix E (m5),total incl. embeddings,10,15,2.2577915775531894,19.591836734693878,0.8,0.9333333333333333,0.576889069928525,0.7715230163557569,0.5835303176605579,0.7777850249680629,1.3373853944768734,0.9704243336757856,1.832131413410908,1.3328956549957767,0.9518943125193857,1.84232678667307,1.0033684103209948,1.7137070169877693,0.5334614830350684,-0.15713554160783133,0.8131905474913479,2.3968036529679466,9.929008690040517,0.12518348360818288,-0.016314202014023296,0.35117582709093703,0.12664844008402198,999
Epoch frontier flag,"Farseer grid (m5 fit, N incl. embeddings)",Farseer,m5 fit of the 404-run grid,Online Appendix E (m5),total incl. embeddings,7,6,1.7166822589526618,19.67078189300411,0.8571428571428571,1.0,0.46283753496630325,0.7504210934198726,0.46753471374557604,0.7504210934198726,1.6213488248625012,1.1289748302621567,2.2908729569061914,1.6050596273547257,1.0949188683230078,2.2908729569061914,1.0101486556824193,2.1388786128599255,0.6223494790885472,0.17260868577840377,0.8723309332740333,2.204566210045641,8.259396259566527,0.22410333310460748,0.03736635686660965,0.5251117060312681,0.22888581669443386,999
C >= 1e23,m1: llama_3,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,92,1.7166822589526618,91.5768098087606,1.0,0.11956521739130435,0.75095834275723,0.5553227826793549,0.75095834275723,0.9799687690058021,0.7394854695140923,0.6164337854650674,0.9028118436439388,1.3049575631688624,1.1572998274960036,1.4969884356621135,0.5666739596637768,1.3316317870953867,0.929349804374912,0.8300151797657894,0.9783040854057347,2.27872883519035,8.86737074962257,0.12196351004800494,0.04439751105019401,0.26352590125241315,-0.138289792238238,999
"C >= 1e23, cleaned",m1: llama_3,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,79,1.7166822589526618,105.52047337278107,1.0,0.11392405063291139,0.75095834275723,0.5727448755404396,0.75095834275723,0.9874858008063687,0.7626852821656404,0.6431203608707737,0.9060202899984281,1.3149674816591037,1.1698504729762265,1.5020098119729242,0.5800031504987142,1.3316317870953867,0.9560302475837426,0.9020398568387032,0.9860962388036721,2.1989051004475186,8.214737107404577,0.13001950165712656,0.0520052196360998,0.26234685794876034,-0.12864142647018564,999
Top-5 compute per year,m1: llama_3,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),10,15,2.2577915775531894,19.591836734693878,0.7,0.26666666666666666,0.7885036705411314,0.8517060079989492,0.8248974467043271,0.9573890108354635,1.0801547790062203,0.9258913581071432,1.250113779245836,1.1606158009828658,1.0244630981298166,1.331207294037495,0.9306738527008617,1.2122719060354128,0.7737852562867187,0.2726079526918561,0.9738563770326778,2.3968036529679466,9.929008690040517,0.0648892533241316,0.007617515984668255,0.1643368423061462,0.03358992234887995,999
Epoch frontier flag,m1: llama_3,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,6,1.7166822589526618,19.67078189300411,0.8571428571428571,0.16666666666666666,0.7293437031823966,0.8997840476225962,0.7602348876893129,0.9583500330543216,1.2336900198034277,1.0863709362875498,1.4102658927088352,1.2605972819363336,1.0794297987587476,1.4589273812463603,0.9786551482234079,1.3153829378173347,0.844808939443493,0.43950366175622413,1.0000000000000004,2.204566210045641,8.259396259566527,0.10968597257146262,0.0288800243383854,0.25212335615414977,0.09946695049712972,999
C >= 1e23,m1: marin_202603__comma__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,92,1.7166822589526618,91.5768098087606,1.0,0.6195652173913043,0.1366463279983433,0.5889839372340314,0.1366463279983433,0.6762139035475542,4.310280018949153,2.9479800326455297,6.599173474460486,4.9486430660306695,3.4233142826163907,7.498784510539902,0.8710024064043983,7.318162256157545,0.8034295417395304,0.7250733801417597,0.8698307450269631,2.27872883519035,8.86737074962257,0.7327388599909301,0.3224084321661724,1.4825635572397249,0.6694544434837775,999
"C >= 1e23, cleaned",m1: marin_202603__comma__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,79,1.7166822589526618,105.52047337278107,1.0,0.620253164556962,0.1366463279983433,0.6259232537072298,0.1366463279983433,0.7017454312572878,4.580607930531572,3.127232971556244,6.64308865889269,5.135486928458083,3.533797216977974,7.513332449264754,0.8919520182493947,7.318162256157545,0.822049925762017,0.7431042094689888,0.8812501876036163,2.1989051004475186,8.214737107404577,0.7769369632213787,0.3338466182364485,1.594449856826185,0.7226412588754254,999
Top-5 compute per year,m1: marin_202603__comma__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),10,15,2.2577915775531894,19.591836734693878,1.0,1.0,0.26473487662126793,0.35879224899555073,0.26473487662126793,0.35879224899555073,1.3552889350081445,0.6608165078292768,2.734560343981644,1.3552889350081445,0.6608165078292768,2.734560343981644,1.0,3.777364028354333,0.22874990544674637,-0.5491307296231358,0.5607365307251374,2.3968036529679466,9.929008690040517,0.1324416816554351,-0.1874195374021189,0.5160112769884321,0.1324416816554351,999
Epoch frontier flag,m1: marin_202603__comma__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,6,1.7166822589526618,19.67078189300411,1.0,1.0,0.16250604446624264,0.2979002691036768,0.16250604446624264,0.2979002691036768,1.8331642375650805,0.8628429283129566,3.5988866568111284,1.8331642375650805,0.8628429283129566,3.5988866568111284,1.0,6.153617259496645,0.33353340497837725,-0.12037261145897227,0.5750778154454931,2.204566210045641,8.259396259566527,0.28704058387623116,-0.07259004094124337,0.7786478712965789,0.28704058387623116,999
C >= 1e23,m1: marin_202603__dclm__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,92,1.7166822589526618,91.5768098087606,1.0,0.5,0.19393356874297418,0.5891342791189358,0.19393356874297418,0.7758361845263159,3.0378148710279893,2.0926990933271687,4.447397704227494,4.000525486923587,2.82731254428429,5.774172565152302,0.7593539601128939,5.15640487864857,0.8452580450417426,0.7747736355010469,0.9025883617329371,2.27872883519035,8.86737074962257,0.6352820242064311,0.25457761563275777,1.2909980052512555,0.5091410816986197,999
"C >= 1e23, cleaned",m1: marin_202603__dclm__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,79,1.7166822589526618,105.52047337278107,1.0,0.4810126582278481,0.19393356874297418,0.628176960137161,0.19393356874297418,0.7990738414767686,3.2391347419058856,2.3349781467457698,4.668274971606493,4.120348254591264,2.9940524982134593,5.922883939209611,0.7861313029296854,5.15640487864857,0.8632505159230562,0.7944560088193356,0.9162381014474397,2.1989051004475186,8.214737107404577,0.6723575123892142,0.2712371206953064,1.3879539615791525,0.5580937538309242,999
Top-5 compute per year,m1: marin_202603__dclm__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),10,15,2.2577915775531894,19.591836734693878,0.8,0.9333333333333333,0.3370562149959652,0.5002144564587427,0.33809338931945704,0.5009599523304633,1.484068336982692,0.8079981919742222,2.5873774998716317,1.4817206374216245,0.8048561242506936,2.584656939929041,1.0015844414269297,2.9577626525407212,0.3625894464117812,-0.3263249725082474,0.6397596339036218,2.3968036529679466,9.929008690040517,0.17129633936164723,-0.0906207841565115,0.5183773887737482,0.17198604298543624,999
Epoch frontier flag,m1: marin_202603__dclm__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,6,1.7166822589526618,19.67078189300411,0.8571428571428571,1.0,0.2205012552908564,0.4440499782639105,0.22111489918005417,0.4440499782639105,2.013820636432105,0.9469121858627831,3.6966669586574255,2.008231828386743,0.9400170125333571,3.6966669586574255,1.0027829496407552,4.522535585382235,0.4620417546576886,-0.05545491629354091,0.7088663482493746,2.204566210045641,8.259396259566527,0.33024091437505726,-0.027141549242885674,0.8157493457530117,0.3315571729020672,999
C >= 1e23,m1: marin_202603__nemotron__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,92,1.7166822589526618,91.5768098087606,1.0,0.4891304347826087,0.23193482749698988,0.5967207023808511,0.23193482749698988,0.8153077036372999,2.5727947321261855,1.8743466529748831,3.6757108688240767,3.5152448316451363,2.546198273490286,5.107899979877504,0.7318963131572591,4.311556012487941,0.8602683600688965,0.7881525223472771,0.9172142030405913,2.27872883519035,8.86737074962257,0.5760271525300626,0.24630617556155776,1.1930184695567818,0.43301050908398353,999
