scenario,scenario_label,estimator,estimator_label,param,truth,R,fail_share,mean,median,bias,mc_se_bias,median_bias,sd,rmse,mae
funding_all,(b) + selection + ME in D,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",gamma,0.17828649103139016,400,0.0,0.21116607517870142,0.2153901669026263,0.032879584147311264,0.0015015675646851555,0.037103675871236155,0.030031351293703108,0.044504993080266966,0.03891180153465007
funding_all,(b) + selection + ME in D,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",sigma_star,0.7370283018867925,400,0.0,0.6911698770640173,0.6911001841763338,-0.04585842482277517,0.0011550924457875136,-0.04592811771045868,0.023101848915750272,0.051335721598064224,0.04592811771045868
funding_all,(b) + selection + ME in D,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",lnMstar,2.8979598554678856,400,0.0,3.3774721883668404,3.438465534878278,0.4795123328989554,0.07183629749713022,0.5405056794103924,1.4367259499426044,1.5129286430637041,0.9730430526009994
funding_all,(b) + selection + ME in D,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",sd_omega,0.25,400,0.0,0.19883795394876508,0.1992318770281728,-0.051162046051234936,0.0012726592317810269,-0.050768122971827215,0.02545318463562054,0.05712967620005768,0.050768122971827215
funding_all,(b) + selection + ME in D,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",tfp_growth,0.15,400,0.0,0.05886402576051556,0.05841661613962687,-0.09113597423948443,0.00047230415881800947,-0.09158338386037312,0.00944608317636019,0.09162298410735292,0.09158338386037312
funding_all,(b) + selection + ME in D,E1b_pooled_huber_Etrue,"Pooled Huber-LSE, E fixed at truth (decomposition of E1)",alpha,0.3478,400,0.0,0.4793640877454232,0.47569412474875084,0.13156408774542322,0.0020006506271747155,0.12789412474875084,0.04001301254349431,0.13749962819644002,0.12789412474875084
funding_all,(b) + selection + ME in D,E1b_pooled_huber_Etrue,"Pooled Huber-LSE, E fixed at truth (decomposition of E1)",beta,0.3658,400,0.0,0.498467090932308,0.4931674877667529,0.13266709093230802,0.00316428518318743,0.12736748776675286,0.0632857036637486,0.1469544984134087,0.12736748776675286
funding_all,(b) + selection + ME in D,E1b_pooled_huber_Etrue,"Pooled Huber-LSE, E fixed at truth (decomposition of E1)",a,0.5126121076233184,400,0.0,0.5085997641514709,0.5095240350001184,-0.004012343471847522,0.002410278217878194,-0.003088072623199989,0.04820556435756388,0.04831217128301865,0.02818527470073015
funding_all,(b) + selection + ME in D,E1b_pooled_huber_Etrue,"Pooled Huber-LSE, E fixed at truth (decomposition of E1)",gamma,0.17828649103139016,400,0.0,0.2420494614943381,0.24250790138541614,0.06376297046294792,0.00046515987039455573,0.06422141035402598,0.009303197407891114,0.06443639895714173,0.06422141035402598
funding_all,(b) + selection + ME in D,E1b_pooled_huber_Etrue,"Pooled Huber-LSE, E fixed at truth (decomposition of E1)",sigma_star,0.7370283018867925,400,0.0,0.6717636057568326,0.672238847318055,-0.06526469612995978,0.00047064166846789133,-0.06478945456873741,0.009412833369357826,0.06593830820847003,0.06478945456873741
