family,uid,model,lab,N,D,M,flagship,flag_model,N_f,D_f,w_abs,w_flag_abs,D_varies,n_fam,flag_band_has1,wrel_chin,wrel_chin_lo,wrel_chin_hi,wrel_farseer_emb,wrel_farseer_emb_lo,wrel_farseer_emb_hi,wrel_gadre_rw,wrel_gadre_rw_lo,wrel_gadre_rw_hi,wrel_hoff,wrel_meta_a2,wrel_meta_a2_lo,wrel_meta_a2_hi,TDrel,Trel
Gemma-2,B:google/gemma-2-2b,gemma-2-2b,Google,2614341888.0,2000000000000.0,765.0108844524623,False,gemma-2-27b,27227128320.0,13000000000000.0,3.7141636952178314,3.272680047891173,True,3,False,1.1348997277051693,0.9925152212704096,1.243952786969058,1.5914272727882046,1.39614725630504,1.8503861973876765,0.9793844593371351,0.7932149833388363,1.2391137703463906,1.2989256365145387,1.239094941759499,1.1394227423422465,1.2754110024191352,0.404699183115508,809398366231.016
Gemma-3,B:google/gemma-3-270m,gemma-3-270m,Google,268098176.0,6000000000000.0,22379.861323636906,False,gemma-3-27b-pt,27015406640.0,14000000000000.0,12.26198256329497,3.372083919714317,True,5,False,3.636321887366842,3.1147721266687385,4.132629729830019,6.064053918473407,4.516838785443648,8.272953239184618,2.1841530505736606,1.5839881703853405,3.0138188915476793,3.7556815499276626,3.1368194287965143,2.6038273776565335,3.3192783478838908,7.908965662100526,47453793972603.16
Gemma-3,B:google/gemma-3-1b-pt,gemma-3-1b-pt,Google,999885952.0,2000000000000.0,2000.2281220168595,False,gemma-3-27b-pt,27015406640.0,14000000000000.0,5.186000815978123,3.372083919714317,True,5,False,1.5379216352413545,1.3096160262445076,1.720741779879462,2.383865041536651,1.9619578960595123,2.9496755357875157,1.1851759889694513,0.8789034498314096,1.5807467313171661,1.7573205752888408,1.6101323135411651,1.453140228421323,1.6705882467602433,1.6137649057240635,3227529811448.127
Gemma-3,B:google/gemma-3-4b-pt,gemma-3-4b-pt,Google,3883079472.0,4000000000000.0,1030.1102588404608,False,gemma-3-27b-pt,27015406640.0,14000000000000.0,4.175593243380011,3.372083919714317,True,5,False,1.238282718578893,1.122343297855958,1.3261701027996615,1.6120109629396933,1.4392792928075524,1.8276910534577784,1.0711716841572063,0.9014673425848041,1.2760803131157048,1.3512914976176449,1.2877545310290768,1.21132868894375,1.3159467869537562,0.7148481557366788,2859392622946.7153
Gemma-3,B:google/gemma-3-12b-pt,gemma-3-12b-pt,Google,11770325040.0,12000000000000.0,1019.5130516123792,False,gemma-3-27b-pt,27015406640.0,14000000000000.0,4.25240865027712,3.372083919714317,True,5,False,1.2610625214325584,1.2262937563367244,1.2904393785742916,1.3828534665092127,1.311409804723466,1.4624268198000738,1.1505757326890322,1.085872230129261,1.2192371738208179,1.2685805228142313,1.2281571454033058,1.187755989826198,1.2407426536694317,0.7831875642976751,9398250771572.102
Gemma-3,B:google/gemma-3-27b-pt,gemma-3-27b-pt,Google,27015406640.0,14000000000000.0,518.2228121368007,True,gemma-3-27b-pt,27015406640.0,14000000000000.0,3.372083919714317,3.372083919714317,True,5,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Granite-3.0,B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,IBM,2533525504.0,12000000000000.0,4736.482810634458,False,granite-3.0-8b-base,8170835968.0,12000000000000.0,7.2495831767483425,4.82715601237017,False,2,False,1.5018332032713277,1.4492340962129742,1.548924508246806,1.6901578892471611,1.5644273231933092,1.8286136648219165,1.2977610606264938,1.1936025406228805,1.3960548192005753,1.4876377107264804,1.4118051915915182,1.3352177000540442,1.4328866905274604,1.5054996098139832,18065995317767.797
Granite-3.0,B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,IBM,8170835968.0,12000000000000.0,1468.6379762115423,True,granite-3.0-8b-base,8170835968.0,12000000000000.0,4.82715601237017,4.82715601237017,False,2,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
H2O-Danube3,B:h2oai/h2o-danube3-500m-base,h2o-danube3-500m-base,H2O.ai,513590784.0,4000000000000.0,7788.301746473706,False,h2o-danube3-4b-base,3961839360.0,6000000000000.0,8.43045414007529,4.812217987605178,True,2,False,1.7518853388997753,1.633424561893698,1.8534315963806431,2.200835442420394,1.931977421274682,2.5255630963185545,1.401104643142534,1.2149844298067525,1.6149193379207647,1.7815452363277287,1.6465127712306626,1.5189239057869066,1.6886639332517492,2.2556560166993256,9022624066797.303
H2O-Danube3,B:h2oai/h2o-danube3-4b-base,h2o-danube3-4b-base,H2O.ai,3961839360.0,6000000000000.0,1514.4480769659474,True,h2o-danube3-4b-base,3961839360.0,6000000000000.0,4.812217987605178,4.812217987605178,True,2,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Llama,B:huggyllama/llama-7b,llama-7b,Meta,6738417664.0,1000000000000.0,148.40279274205582,False,llama-65b,65285665792.0,1400000000000.0,2.0726147995349407,1.0656985131255488,True,4,True,1.9448415982642624,1.8049568060280843,2.072234011112152,2.4907162615162752,2.1524912880603826,2.9018327196409026,1.5037818500234703,1.2835190340997356,1.760834123940137,1.9629420771868806,1.7919753666438925,1.6270743327161459,1.841997202635184,2.834524794792787,2834524794792.787
Llama,B:huggyllama/llama-13b,llama-13b,Meta,13015866880.0,1000000000000.0,76.8293045111414,False,llama-65b,65285665792.0,1400000000000.0,1.6489870839880008,1.0656985131255488,True,4,True,1.547329815776645,1.4635948748084997,1.6174107348006472,1.8542896692607742,1.6732248190376406,2.067133570255721,1.2988045322405608,1.1604604209469864,1.4529869918432106,1.5700918460901194,1.4761304501358623,1.3864665106860594,1.5060728978745441,1.6419894473299352,1641989447329.9353
Llama,B:huggyllama/llama-30b,llama-30b,Meta,32528947456.0,1400000000000.0,43.03858899503889,False,llama-65b,65285665792.0,1400000000000.0,1.3574142257492832,1.0656985131255488,True,4,True,1.273731931715067,1.2470004155756573,1.2973442222559088,1.3664740981043284,1.305053723298536,1.4320063427908194,1.1677322067693658,1.1110315044823142,1.2195713900387344,1.266555492928093,1.2277386276243332,1.1876679747997863,1.2386127501957762,0.8211957951452011,1149674113203.2815
Llama,B:huggyllama/llama-65b,llama-65b,Meta,65285665792.0,1400000000000.0,21.444217241505925,True,llama-65b,65285665792.0,1400000000000.0,1.0656985131255488,1.0656985131255488,True,4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Llama-2,B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,6738417664.0,2000000000000.0,296.80558548411165,False,Llama-2-70b-hf,68976653312.0,2000000000000.0,2.6733050016617095,1.1918314124898022,False,3,True,2.2430227745692926,2.089674336009984,2.3848872114499886,2.8362522363091243,2.432535107282658,3.3164059636042182,1.6782054112784246,1.4212511893650122,1.9401172729492953,2.201105759563885,1.9838375773750385,1.7757883590181773,2.043113234592715,3.7290683237078777,7458136647415.755
Llama-2,B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,13015866880.0,2000000000000.0,153.6586090222828,False,Llama-2-70b-hf,68976653312.0,2000000000000.0,2.126900483529219,1.1918314124898022,False,3,True,1.7845648816102344,1.6962204889923889,1.8647811320395145,2.1115344619800687,1.8914176226358759,2.362086862645651,1.4494527874272671,1.2866436702426494,1.6082739290440375,1.7605910259084194,1.6341759549806334,1.5093937262001416,1.6690373261965867,2.3536946448307035,4707389289661.407
Llama-2,B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,68976653312.0,2000000000000.0,28.99531803831451,True,Llama-2-70b-hf,68976653312.0,2000000000000.0,1.1918314124898022,1.1918314124898022,False,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Llama-3,B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,70553706496.0,15000000000000.0,212.60399694026583,True,Meta-Llama-3-70B,70553706496.0,15000000000000.0,2.478012002522387,2.478012002522387,False,2,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Llama-3,B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,8030261248.0,15000000000000.0,1867.9342473118008,False,Meta-Llama-3-70B,70553706496.0,15000000000000.0,5.270983254526004,2.478012002522387,False,2,False,2.1271015835115548,1.9909180606459709,2.252541785419589,2.648531181693698,2.2945619492375853,3.0652523397771585,1.6220922972426377,1.3888081200974556,1.8574675207264302,2.0899390569059535,1.8965470647922127,1.7100518310691335,1.9494407734397012,3.3813047505346643,50719571258019.96
