design,order,h,fkind,center,k_valid,ok,sigma_fe,se_sigma_fe,sigma_re,se_sigma_re,sigma_median_budget,drift_sigma_per_decade,p_drift,primary
"Marin, DCLM",3,1.5,logcubic,path,7,True,0.6911890822947161,0.013901978346308992,0.6862339810124446,0.011410717899389904,0.6850891248751512,0.018560562170640706,0.515,False
"Marin, DCLM",2,1.0,logquad,path,7,True,0.707929907292953,0.026476225416195976,0.7096115786093102,0.027824197551736065,0.7240734941749228,0.012399448369201739,0.8,False
"Marin, DCLM",2,1.0,cubic,path,7,True,0.711363226785331,0.026598218889016985,0.7133327115901882,0.0271324304427604,0.727423346195244,0.01776730527895488,0.73,False
"Marin, DCLM",2,1.0,power,path,7,True,0.710471672680935,0.0239290257751658,0.7111356283172363,0.02817399261744357,0.724279518348319,0.01367447139929879,0.73,False
"Marin, DCLM",2,1.0,logcubic,iter,7,True,0.6821016483156241,0.023147098319240125,0.6815662840585452,0.02108128317445206,0.6978140524285948,0.008420029971155093,0.81,False
"Marin, Nemotron-CC",2,0.6,auto,path,3,False,,,,,,,,
"Marin, Nemotron-CC",2,0.8,logcubic,path,7,True,0.6910109241616579,0.03480009087814824,0.6910037411560779,0.0333261218619465,0.6667076864527168,-9.185517315092058e-05,1.0,False
"Marin, Nemotron-CC",2,1.0,logcubic,path,7,True,0.7018641212357116,0.021010324217316648,0.7042252491141527,0.0226725860170419,0.7131049348011833,-0.007709257478888336,0.835,True
"Marin, Nemotron-CC",2,1.25,logcubic,path,7,True,0.6962896512526862,0.012433005210415583,0.695956904756388,0.012810216148525486,0.6924340443271142,-0.004516866286859756,0.88,False
"Marin, Nemotron-CC",2,1.5,logcubic,path,7,True,0.7023352735014798,0.008600407029928493,0.7026323597336733,0.007855194271777019,0.7037110550179254,0.0038798931894339075,0.83,False
"Marin, Nemotron-CC",2,inf,logcubic,path,7,True,0.6880600398004627,0.006651089776196626,0.6887363055926299,0.003330622061407141,0.6896542540093434,0.0020315316812932124,0.905,False
"Marin, Nemotron-CC",3,1.0,logcubic,path,7,True,0.6588664313941492,0.036489816005470584,0.6622368465839068,0.030980323052183616,0.6984680827538291,-0.028715743925714816,0.605,False
"Marin, Nemotron-CC",3,1.5,logcubic,path,7,True,0.6918764821045372,0.011203577130765517,0.6903010934268519,0.010130442686484905,0.6908678633963137,0.013539490722152261,0.555,False
"Marin, Nemotron-CC",2,1.0,logquad,path,7,True,0.7052146871626187,0.021080782198178404,0.704183069477106,0.022609797971666387,0.7127483367085108,-0.007703748327656062,0.84,False
"Marin, Nemotron-CC",2,1.0,cubic,path,7,True,0.7026867961495121,0.021510841958760154,0.7052886964862203,0.02153713633018076,0.7131887055982475,-0.010711598677652881,0.775,False
"Marin, Nemotron-CC",2,1.0,power,path,7,True,0.7006954561330732,0.022899218998912497,0.702654355411138,0.02300777305086484,0.7127958523357879,-0.008455315940404924,0.835,False
"Marin, Nemotron-CC",2,1.0,logcubic,iter,7,True,0.6951435164035071,0.020999582270604864,0.6924042166623942,0.019248061790026885,0.6939525892063528,-0.01631654003053469,0.57,False
"Porian, RefinedWeb",2,0.6,auto,path,0,False,,,,,,,,
"Porian, RefinedWeb",2,0.8,logcubic,path,8,True,0.5563924292772956,0.01742211321993113,0.5536199336679336,0.015320847026424004,0.5509266290983852,0.023894658006166962,0.37,False
"Porian, RefinedWeb",2,1.0,logcubic,path,12,True,0.5267804077163284,0.010009582502285223,0.5192599577119558,0.01569950295941821,0.5265145490807409,0.040199775357652394,0.005,True
"Porian, RefinedWeb",2,1.25,logcubic,path,12,True,0.5405947471642838,0.006482518986859483,0.5132389618620674,0.013169938638631796,0.5232755478783064,0.039939776644172795,0.005,False
"Porian, RefinedWeb",2,1.5,logcubic,path,12,True,0.5101572797305963,0.009964922219841871,0.47447082835265014,0.017634894247024403,0.46780864550109047,0.021738868658241196,0.035,False
"Porian, RefinedWeb",2,inf,logcubic,path,12,True,0.3472416192873869,0.022843764431844875,0.33161519597566025,0.014759752139088497,0.3536957529181966,-0.06031790608125233,0.005,False
"Porian, RefinedWeb",3,1.0,logcubic,path,12,True,0.5096691502228266,0.020009201135049046,0.5108328587553914,0.019982186237551738,0.5048474977826508,0.03404690233283484,0.1,False
"Porian, RefinedWeb",3,1.5,logcubic,path,12,True,0.48672751301019807,0.010616889404144575,0.45870830288368614,0.017160170280507505,0.44736946053178966,0.04162558586923599,0.005,False
"Porian, RefinedWeb",2,1.0,logquad,path,12,True,0.5255571047481479,0.009164021529870245,0.5181400651392747,0.015428328875159113,0.5264076288298819,0.03922780492302122,0.005,False
"Porian, RefinedWeb",2,1.0,cubic,path,12,True,0.5272305261147028,0.01232974129661714,0.5189474318476981,0.016971079550354755,0.5261869511331756,0.0422764628067818,0.005,False
"Porian, RefinedWeb",2,1.0,power,path,12,True,0.5257159680229126,0.009975297519157895,0.5178523740568977,0.015111442234858163,0.5258635475426312,0.039140032085556734,0.005,False
"Porian, RefinedWeb",2,1.0,logcubic,iter,12,True,0.5186155168916107,0.009148535942374574,0.4920413876552992,0.014898768283536664,0.48937849238906755,0.04314546064856897,0.04,False
"Porian, OpenWebText2",2,0.6,auto,path,2,False,,,,,,,,
"Porian, OpenWebText2",2,0.8,logcubic,path,12,True,0.5031636731627281,0.015709061207402553,0.5118913097009338,0.01683751650378086,0.5192355922346032,0.039276248927997436,0.02,False
"Porian, OpenWebText2",2,1.0,logcubic,path,12,True,0.5045430413878436,0.014084992261165476,0.5051214755907656,0.014954551285005373,0.5066614837424919,0.03617689752542343,0.005,True
"Porian, OpenWebText2",2,1.25,logcubic,path,12,True,0.5361047022575798,0.009496397789796145,0.5241148684452748,0.014427123858737598,0.5121502947099805,0.044482919916511904,0.005,False
"Porian, OpenWebText2",2,1.5,logcubic,path,12,True,0.4436551526744458,0.011642522160122291,0.45131883417639507,0.019386964329062985,0.4465054457611371,0.050158316030571026,0.005,False
"Porian, OpenWebText2",2,inf,logcubic,path,12,True,0.3567541226940195,0.009057427990406064,0.34115599283105286,0.01657616583721796,0.3796510862700984,-0.05776791235286599,0.025,False
"Porian, OpenWebText2",3,1.0,logcubic,path,12,True,0.48393685470631514,0.018798698044437234,0.4879904028352824,0.017110278968734485,0.5012985980649792,0.035800539319311826,0.045,False
"Porian, OpenWebText2",3,1.5,logcubic,path,12,True,0.42244080319759003,0.011285577111907771,0.4351636856042557,0.015152513474299271,0.44815586603285695,0.032198746973300295,0.005,False
"Porian, OpenWebText2",2,1.0,logquad,path,12,True,0.5016479122008005,0.014428832847636476,0.500842497681435,0.014157218976836758,0.507432243601379,0.03240966815666319,0.005,False
"Porian, OpenWebText2",2,1.0,cubic,path,12,True,0.5015978948067034,0.01340674173096652,0.5029278247744585,0.014224696764337541,0.5070099137250395,0.034621222584241454,0.01,False
"Porian, OpenWebText2",2,1.0,power,path,12,True,0.4977238790401077,0.013303659411062159,0.49795161672335003,0.014372262268446805,0.5079469784876707,0.03019089250570152,0.01,False
"Porian, OpenWebText2",2,1.0,logcubic,iter,12,True,0.5068014349251712,0.012202181696968097,0.5055803166574966,0.013819184158046982,0.5040652454870806,0.03167607334088022,0.05,False
"Marin, Comma [config N]",2,1.0,logquad,path,4,True,0.6572080084115465,0.022532440146371284,0.6583399695515542,0.022103455455525514,0.6716286198413153,0.026235229177676966,0.745,False
"Marin, DCLM [config N]",2,1.0,logcubic,path,7,True,0.6399573445626919,0.01764133962903206,0.6419249702985343,0.01958883984628809,0.6624409958580031,0.05417031601243972,0.18,False
"Marin, Nemotron-CC [config N]",2,1.0,logcubic,path,7,True,0.6528096695152028,0.017895930698724177,0.654545168145548,0.02036635868038315,0.6556658216214338,0.02072424915064505,0.545,False
