anchor,assumption,model,C,M,Mstar_lo,Mstar_hi,sign,w_lo,w_hi,s_lo,s_hi
Meta Llama 3 (digitized),Cross-sweep range + M* nondecreasing,Meta-Llama-3-8B,7.2272351232e+23,1867.9342473118008,12.179136448588116,122.3455516057554,w>1,1.9767117796593803,153.3716495579901,0.4941093535789439,0.9934798901695199
Meta Llama 3 (digitized),Cross-sweep range + M* nondecreasing,Qwen3-0.6B-Base,1.2874678272e+23,60397.62575590984,12.179136448588116,78.1244325130535,w>1,5.273005784593206,4959.105763439537,0.8103548448739002,0.9997983507415041
Meta Llama 3 (digitized),Cross-sweep range + M* nondecreasing,Llama-3.1-405B,3.798787719168e+25,38.437525546170825,12.179136448588116,342.7386818573623,not identified,0.11214819797366025,3.156014033378101,0.0,0.6831446281848024
Meta Llama 3 (digitized),Cross-sweep range + M* nondecreasing,Llama-2-70b-hf,8.27719839744e+23,28.99531803831451,12.179136448588116,126.73748668954518,not identified,0.2287824920289065,2.380736775609065,0.0,0.5799619637730973
Meta Llama 3 (digitized),Anchor's own slope persists (95% CI),Meta-Llama-3-8B,7.2272351232e+23,1867.9342473118008,8.123313392790651,110.48947916147158,w>1,2.027730177607557,229.94733269426374,0.506837738549681,0.9956511780837676
Meta Llama 3 (digitized),Anchor's own slope persists (95% CI),Qwen3-0.6B-Base,1.2874678272e+23,60397.62575590984,9.563586649260055,73.51246580061272,w>1,5.353831752542256,6315.373925177208,0.8132178883796354,0.999841656248411
Meta Llama 3 (digitized),Anchor's own slope persists (95% CI),Llama-3.1-405B,3.798787719168e+25,38.437525546170825,5.583864391650283,281.6578741611816,not identified,0.13646884774886342,6.883678193125103,0.0,0.8547288278236591
Meta Llama 3 (digitized),Anchor's own slope persists (95% CI),Llama-2-70b-hf,8.27719839744e+23,28.99531803831451,8.019724210592633,114.08669408885386,not identified,0.25415161925659935,3.6155006427798155,0.0,0.7234131317340495
Meta Llama 3 (digitized),Parametric extrapolation (point),Meta-Llama-3-8B,7.2272351232e+23,1867.9342473118008,30.587856475249083,30.587856475249083,w>1,2.795459053031634,61.06783745449066,0.6422769995806181,0.9836247680991614
Meta Llama 3 (digitized),Parametric extrapolation (point),Qwen3-0.6B-Base,1.2874678272e+23,60397.62575590984,26.942417792222535,26.942417792222535,w>1,6.880909170261082,2241.7299821304377,0.8546703676424119,0.9995539159452872
Meta Llama 3 (digitized),Parametric extrapolation (point),Llama-3.1-405B,3.798787719168e+25,38.437525546170825,40.93725648743692,40.93725648743692,w<1,0.93893750691297,0.9843718187698407,0.0,0.0
Meta Llama 3 (digitized),Parametric extrapolation (point),Llama-2-70b-hf,8.27719839744e+23,28.99531803831451,30.894590801156003,30.894590801156003,w<1,0.9385241003816621,0.9842634481530624,0.0,0.0
