uid,Mstar,rho,w,TD,C_over_Cmin
B:Qwen/Qwen3-8B-Base,41.0,0.3,4.06498291811881,9.19494875435643,4.572189050279161
B:google/gemma-3-27b-pt,41.0,0.3,2.1405225183855348,3.4215675551566043,1.6023108394965808
B:meta-llama/Meta-Llama-3-70B,41.0,0.3527,1.7869219159165686,2.3607657477497055,1.265633639581491
B:meta-llama/Meta-Llama-3-8B,41.0,0.3527,3.845743942487521,8.537231827462563,3.3172953702232526
B:meta-llama/Llama-3.1-405B,41.0,0.3527,0.977494609226819,-0.0675161723195431,1.0003673202890948
B:Qwen/Qwen3-8B-Base,41.0,0.3527,5.2005591577403765,12.60167747322113,5.705756532149548
B:google/gemma-3-27b-pt,41.0,0.3527,2.4467022012304267,4.3401066036912805,1.7323458001266308
B:meta-llama/Meta-Llama-3-70B,41.0,0.4,1.9315903511158803,2.794771053347641,1.3049049286670507
B:meta-llama/Meta-Llama-3-8B,41.0,0.4,4.607136621815808,10.821409865447425,3.8017012387134366
B:meta-llama/Llama-3.1-405B,41.0,0.4,0.9745152193002219,-0.07645434209933433,1.000416588676364
B:Qwen/Qwen3-8B-Base,41.0,0.4,6.4875138783961495,16.462541635188447,6.86028998531365
B:google/gemma-3-27b-pt,41.0,0.4,2.7586275427544624,5.275882628263387,1.8546578888995573
B:meta-llama/Meta-Llama-3-70B,192.0,0.3,1.0310531629898332,0.09315948896949955,1.0007795928458256
B:meta-llama/Meta-Llama-3-8B,192.0,0.3,1.9788738375638044,2.9366215126914135,1.4635932826369893
B:meta-llama/Llama-3.1-405B,192.0,0.3,0.6172146956696098,-1.1483559129911705,1.2118913807419058
B:Qwen/Qwen3-8B-Base,192.0,0.3,2.55801751226213,4.67405253678639,2.0331785839879157
B:google/gemma-3-27b-pt,192.0,0.3,1.3469906756596115,1.0409720269788345,1.0764499094691766
B:meta-llama/Meta-Llama-3-70B,192.0,0.3527,1.0366069069257964,0.10982072077738914,1.0009165904131647
B:meta-llama/Meta-Llama-3-8B,192.0,0.3527,2.2309451227508132,3.6928353682524397,1.5599515083597983
B:meta-llama/Llama-3.1-405B,192.0,0.3527,0.5670520095935534,-1.2988439712193398,1.2524814321845201
B:Qwen/Qwen3-8B-Base,192.0,0.3527,3.016883667255654,6.050651001766962,2.278754966803195
B:google/gemma-3-27b-pt,192.0,0.3527,1.4193504362976477,1.258051308892943,1.0903388162998375
B:meta-llama/Meta-Llama-3-70B,192.0,0.4,1.041617046051136,0.12485113815340809,1.0010395606443427
B:meta-llama/Meta-Llama-3-8B,192.0,0.4,2.484414998240948,4.453244994722843,1.649829397846698
B:meta-llama/Llama-3.1-405B,192.0,0.4,0.5255108379853756,-1.4234674860438732,1.2896513461285577
B:Qwen/Qwen3-8B-Base,192.0,0.4,3.498415198816319,7.495245596448957,2.514602442995434
B:google/gemma-3-27b-pt,192.0,0.4,1.487599827043671,1.462799481131013,1.102902988270552
