sample,formula,term,coef,se,p,n,clusters,r2
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_,C(yr)[T.2022],-0.5804978068587661,0.12484944871117719,3.326076858795334e-06,324,91,0.5382410530421228
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_,C(yr)[T.2023],-0.3607688745269799,0.08378180847179117,1.6619355157075178e-05,324,91,0.5382410530421228
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_,C(yr)[T.2024],0.34681612065217304,0.08200048160454042,2.3427370109577708e-05,324,91,0.5382410530421228
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_,C(yr)[T.2025],0.5720706945011916,0.13521548981122622,2.3285399097116555e-05,324,91,0.5382410530421228
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_,C(yr)[T.2026],0.3816333285055456,0.09550509177750517,6.443602580193217e-05,324,91,0.5382410530421228
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_,open,0.5908296581929323,0.09246037071864292,1.6579321541415179e-10,324,91,0.5382410530421228
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_,moe_,0.05196100119613852,0.0808624714210515,0.5204934990338542,324,91,0.5382410530421228
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,Intercept,6.848225732841215,0.7275329002463442,4.824357680044462e-21,324,91,0.6365330663617115
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2020],-0.0032689406521619474,0.09860064513577281,0.9735523074212288,324,91,0.6365330663617115
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2021],-0.36445170366402263,0.17867886400913918,0.04137997802162667,324,91,0.6365330663617115
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2022],-0.22835883288649478,0.1631670106395087,0.16165097470002687,324,91,0.6365330663617115
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2023],0.11047763573506741,0.1373413710358733,0.4211650054441114,324,91,0.6365330663617115
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2024],0.9417023819742175,0.15236061252632227,6.379903554117928e-10,324,91,0.6365330663617115
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2025],1.350167978956501,0.1952504028114624,4.676699800382791e-12,324,91,0.6365330663617115
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2026],1.3476467460075534,0.17053531245054485,2.7347448442301178e-15,324,91,0.6365330663617115
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,open,0.4275819799573303,0.09717102335069304,1.0809965115807377e-05,324,91,0.6365330663617115
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,moe_,0.15970181277734596,0.08491423968902842,0.060006966006934004,324,91,0.6365330663617115
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_ + lnC,lnC,-0.12962300662846155,0.014533101264962664,4.698524268160201e-19,324,91,0.6365330663617115
