spec,conv,M_bin,delta,se,lo,hi,se_run_wild,delta_pop,ratio,ratio_lo,ratio_hi
chin_M100,ne,M>=1000,-1.3594615231157274,0.042872805819382055,-1.4378306461989543,-1.2755741952599364,0.037773385330954756,-1.3900863076484562,0.2567990200660647,0.23744229672172928,0.27927056633938235
kappa_full,ne,M<16,-0.02119254725098539,0.004709128603476384,-0.030967019165241513,-0.013324613422117815,0.0044507161845110214,-0.023662425562945105,0.9790304368005532,0.9695075477169762,0.9867637662621132
kappa_full,ne,16-64,0.05303945178803586,0.002720579453523264,0.046798595130428826,0.05687186417712019,0.0041842004558587725,0.05367753745880655,1.0544712450748048,1.0479109334596646,1.0585201673526405
kappa_full,ne,64-256,0.004130158244471964,0.0036813315016353022,-0.004396365558799726,0.009832103675141028,0.00393005496458,0.006412664552995898,1.0041386991023509,0.9956132843096345,1.0098805976086356
kappa_full,ne,"256-1,024",-0.13875930686498594,0.006173507014618809,-0.1521845406712934,-0.12869190908489092,0.007935416490935463,-0.14123082665654577,0.8704375115801617,0.8588297770927971,0.8792448111593792
kappa_full,ne,">=1,024",-0.3554612772632681,0.04001959090179934,-0.4312693673138848,-0.27856270440920294,0.03818823149237206,-0.39259969495946706,0.7008500824268348,0.6496838835999083,0.7568708071251227
kappa_full,ne,M>=1000,-0.3554612772632681,0.04001959090179934,-0.4312693673138848,-0.27856270440920294,0.03818823149237206,-0.39259969495946706,0.7008500824268348,0.6496838835999083,0.7568708071251227
kappa_M100,ne,M<16,0.022574330734304843,0.004985185884351585,0.013265194421139591,0.03073242646067701,0.003997716589844493,0.01953749655844458,1.0228310591226097,1.0133535674420806,1.0312095425811054
kappa_M100,ne,16-64,-0.03920861777127969,0.0036593797603990306,-0.04992754836413659,-0.03580311186717382,0.004433344661720322,-0.043317253227194374,0.961550091783799,0.9512983451252763,0.964830238407693
kappa_M100,ne,64-256,-0.18409630593635878,0.007499337394722566,-0.20412691089025614,-0.17514314822488633,0.007859862378129912,-0.1894060841644887,0.831855687328003,0.8153588866985881,0.8393368625872363
kappa_M100,ne,"256-1,024",-0.419023227594969,0.010644770591990541,-0.4476411001914325,-0.406422058359307,0.011429377991907179,-0.43186196804369564,0.6576889185585811,0.6391340279539912,0.6660290049864859
kappa_M100,ne,">=1,024",-0.704543192505731,0.03846205128615108,-0.7867416245395371,-0.6428837256180924,0.038979460234871116,-0.7542561363409912,0.4943343383172761,0.4553260038825396,0.5257740477141869
kappa_M100,ne,M>=1000,-0.704543192505731,0.03846205128615108,-0.7867416245395371,-0.6428837256180924,0.038979460234871116,-0.7542561363409912,0.4943343383172761,0.4553260038825396,0.5257740477141869
eq3_full,ne,M<16,-0.027319253170435535,0.0044397823653102445,-0.03632298466967421,-0.020482344034245606,0.0035311326644141376,-0.029256520589741153,0.9730505424604706,0.9643287797663634,0.9797259943304168
eq3_full,ne,16-64,0.013758227663876339,0.002488587988223442,0.008524060059889977,0.01800342580062217,0.0040433427808788626,0.015760213203670517,1.0138533076216127,1.0085604933059924,1.0181664644191264
eq3_full,ne,64-256,-0.01167017356898596,0.003716628732797875,-0.01837619846866201,-0.0041494244677587975,0.0035328029173544496,-0.007092022795389706,0.988397658778404,0.9817916143735449,0.995859172499016
eq3_full,ne,"256-1,024",-0.1285872872610228,0.006278953774929109,-0.1395032279374384,-0.11504946756020179,0.00640311998331918,-0.12779441667451316,0.8793368041673035,0.8697902155714667,0.891322051289032
eq3_full,ne,">=1,024",-0.3136879655633452,0.03946046231032026,-0.3832459041905687,-0.23495484786025334,0.036963561119021375,-0.34686769877628676,0.730747010820213,0.6816452592494109,0.7906065464001044
eq3_full,ne,M>=1000,-0.3136879655633452,0.03946046231032026,-0.3832459041905687,-0.23495484786025334,0.036963561119021375,-0.34686769877628676,0.730747010820213,0.6816452592494109,0.7906065464001044
eq3_M100,ne,M<16,0.0005086239539818828,0.0045698036290238555,-0.008351096165299039,0.007962830448732212,0.0035063608420368335,-0.0009855357123137627,1.000508753325078,0.9916836773719037,1.0079946181003192
eq3_M100,ne,16-64,-0.03751131484791957,0.003167407939936152,-0.04367158159003651,-0.03116065321945155,0.003911534258739264,-0.0350384221617745,0.9631835193841249,0.9572682903837003,0.9693198362141807
eq3_M100,ne,64-256,-0.16720090481154729,0.006578183375606729,-0.1776776173225729,-0.15127010999997526,0.006420180256870936,-0.1623318855618933,0.8460296228400664,0.837212282724739,0.8596154765615093
eq3_M100,ne,"256-1,024",-0.39996276636957045,0.009968651856546943,-0.41548521265468435,-0.3742405426903531,0.009884175983596852,-0.3991354613732938,0.6703450049491555,0.6600199529642083,0.6878114439135539
eq3_M100,ne,">=1,024",-0.6945301491620358,0.0385654905757182,-0.7636731385196817,-0.6180783048550202,0.03841761768872432,-0.727933665435342,0.49930899362914716,0.46595177444851577,0.5389791967360386
eq3_M100,ne,M>=1000,-0.6945301491620358,0.0385654905757182,-0.7636731385196817,-0.6180783048550202,0.03841761768872432,-0.727933665435342,0.49930899362914716,0.46595177444851577,0.5389791967360386
chin_full,emb,M<16,0.11318146536747585,0.004553479513889285,0.10334810356824668,0.12072236362346876,0.004611409829277763,0.11357792059789366,1.1198351258044117,1.1088773460600008,1.128311608530495
chin_full,emb,16-64,-0.038294012204192825,0.002641240035933997,-0.04541176396539538,-0.035373747789058836,0.0033801136613278923,-0.0321544993702302,0.9624299331433477,0.9556039175524275,0.9652445908011955
chin_full,emb,64-256,-0.26431595337671526,0.005243288790576042,-0.2769610341164981,-0.25738296647116443,0.004525222323109089,-0.2524085106295573,0.7677309341516562,0.7580840359492306,0.7730720963748478
chin_full,emb,"256-1,024",-0.6558845643307513,0.010010700783618062,-0.6795224705392452,-0.6417521028279756,0.010449778797408014,-0.653689572782519,0.5189827858264588,0.5068589746770061,0.526369362381326
chin_full,emb,">=1,024",-1.1702695870991477,0.05448457165752109,-1.2736249560761441,-1.0732263399940238,0.04859483246941697,-1.214629294857105,0.3102832816194052,0.27981546236398286,0.3419036386363848
chin_full,emb,M>=1000,-1.1702695870991477,0.05448457165752109,-1.2736249560761441,-1.0732263399940238,0.04859483246941697,-1.214629294857105,0.3102832816194052,0.27981546236398286,0.3419036386363848
chin_M100,emb,M<16,0.06676046774748867,0.004878911563984634,0.057966553179541094,0.07592825288759208,0.004939284620616325,0.06618399207233694,1.069039378093452,1.059679552205828,1.0788851644851853
chin_M100,emb,16-64,-0.24659442119023542,0.0029733012285907295,-0.2550319114580857,-0.2433518066434032,0.003924295039597381,-0.24944717191359542,0.7814575718993495,0.7748917696402968,0.7839956503709135
chin_M100,emb,64-256,-0.5865543830882489,0.005676514916677493,-0.6022983231476979,-0.580595666441934,0.005620793316154748,-0.5889130618588502,0.5562405785472635,0.5475517379881513,0.5595649532089776
chin_M100,emb,"256-1,024",-1.0867053781196847,0.012100264226339785,-1.1164891686535046,-1.071026967547534,0.011032802218931883,-1.104167204782304,0.3373260266655823,0.3274273211611058,0.3426564396199703
