model,M,lnratio_L_bpb_kappa_=_1,lnratio_L_bpb_kappa_free,lnratio_knowledge_(MMLU)_kappa_=_1,lnratio_knowledge_(MMLU)_kappa_free,"lnratio_science_QA_(ARC,_OBQA)_kappa_=_1","lnratio_science_QA_(ARC,_OBQA)_kappa_free","lnratio_commonsense_(HS,_PIQA,_SIQA,_WG,_CSQA)_kappa_=_1","lnratio_commonsense_(HS,_PIQA,_SIQA,_WG,_CSQA)_kappa_free",lnratio_reading_comprehension_(BoolQ)_kappa_=_1,lnratio_reading_comprehension_(BoolQ)_kappa_free
SmolLM-135M,4460.468827389134,0.32785897180748114,0.28101945996321476,0.19681516068615013,0.668770384390136,0.6763115930912291,-0.5809989841087226,0.6081346648823458,0.8167916289280583,-2.0378371006355387,7.006375729106452
SmolLM-360M,1658.2779910691781,0.18118119635956864,0.08294842848138728,0.12480748683131493,0.4565878364365119,0.46519307917806474,-0.49700808982069056,0.38391131914087184,0.44353510533070306,-1.947700007075456,4.448088020469708
SmolLM-1.7B,584.3249967389991,-0.007472463700720855,-0.18857590091911547,0.03946022925109238,0.21289072950860444,0.22996137774902126,-0.41496842980767923,0.09458952206642168,-0.04991923836443135,-1.8267211456309091,1.5934550146931912
btlm-3b-8k-base,209.0,-0.11469413352534286,-0.31804132247107475,-0.019818663640410072,0.03109439435821315,0.042457508100627095,-0.3298227185138316,-0.06846750985832006,-0.3105430650875327,-1.7654425016182018,-0.6748859730574068
h2o-danube-1.8b-base,546.0896139172642,-0.018618308705244946,-0.20362704967045886,0.033988463883289466,0.19676726578047976,0.21391876852293956,-0.4085860757893798,0.07755109446279329,-0.07828249480351701,-1.8198717502749249,1.3990542052292412
h2o-danube3-500m-base,7788.301746473706,0.24703787708846603,0.10959983874177937,0.18412800342703628,0.660326475393159,0.6948105494391688,-0.6312323969173139,0.4811283848134269,0.5614313571067129,-1.9694284969243263,7.215140773101076
h2o-danube3-4b-base,1514.4480769659474,-0.01290024669487888,-0.2547268845792381,0.06228653635477244,0.3074858370156015,0.3494886631887226,-0.5030136283879365,0.08302744678161922,-0.11066354221172503,-1.8056844619129788,3.0273144658412967
OLMo-1B-hf,2549.3632873412785,0.11588956456565347,-0.05805621350390311,0.11565133453038223,0.4541599776719707,0.4855986822412368,-0.5414985874578999,0.28116879506923764,0.23522858017000559,-1.8916767127132785,4.682292856602292
OLMo-7B-hf,362.94501309417336,-0.14241219754720902,-0.40087686311321846,-0.013749104514631405,0.07007878510269805,0.10085828745405045,-0.38431400803515814,-0.11335967429636096,-0.41730615962467965,-1.7347451332177464,0.021573516503565315
OLMo-7B-0424-hf,297.6149107372222,-0.154802761312947,-0.41109394158266,-0.022655246949318197,0.040807955624877934,0.06892027532671463,-0.36712298600282267,-0.13193928431664137,-0.443638822723738,-1.7290913672083157,-0.36383321996093443
TinyLlama_v1.1,1818.1818181818182,0.09560677202573986,-0.07213477871032836,0.09992556424654309,0.4016359462227612,0.42758868511061765,-0.5092567457255637,0.25090169157006903,0.1942346373193793,-1.8832181159694712,3.982632128123001
Qwen2.5-0.5B,36434.83016899802,0.37613996655595416,0.23455984836412824,0.2689054998169751,0.9330823907544108,0.9875259831010239,-0.781676911056751,0.6757435823447202,0.850565675976668,-2.033905795357622,10.749991572240848
Qwen2.5-1.5B,11660.188645890788,0.20086601245283164,-0.0021269487671240483,0.18285926899731786,0.6795329074878502,0.7352479770777038,-0.6813112209883947,0.4078058372410269,0.40453936704259164,-1.926195648054159,7.692942192695199
Qwen2.5-3B,5832.9091468974775,0.09953644333174694,-0.13896057754375946,0.13311412837979475,0.5329506042486685,0.5894007416463118,-0.6232876990041554,0.25290537640781885,0.1466821518492445,-1.863926140459168,5.92559747798083
Qwen2.5-7B,2363.564390569986,-0.02679141820350317,-0.3095514510606918,0.0710967203271391,0.35020603059919964,0.40757257911993783,-0.5509496093962447,0.059790532067559354,-0.17478917048397236,-1.7862945685344105,3.722243804003412
Qwen2.5-14B,1218.6837491015756,-0.11896659069054571,-0.4340231471698779,0.025845694821116538,0.21686638253976298,0.27490159078698184,-0.4981680946459761,-0.08111578796782659,-0.4093508437806719,-1.7296506623870087,2.1145659530476557
Qwen2.5-32B,549.3855429869253,-0.23063423939509775,-0.5848171327925655,-0.028974659547490234,0.05532912064874651,0.11417439149117392,-0.4342247627465383,-0.2518198617592198,-0.6935157639703213,-1.6610281511157563,0.16690910959718153
Qwen2.5-72B,247.57172148810363,-0.33920087934607857,-0.731423571934009,-0.08227265358396174,-0.10172225415713498,-0.04208941614433215,-0.3720571361140479,-0.4177834862509453,-0.9697894290365028,-1.5943112858450492,-1.726661335594187
Qwen3-0.6B-Base,60397.62575590984,0.3913816989139769,0.2323867848733805,0.2862492761750457,0.994762786546076,1.0587256628253834,-0.8256675561965299,0.6977803387756984,0.8711961102348553,-2.03642446370035,11.607146506178257
Qwen3-1.7B-Base,20923.23816291514,0.23430024893524015,0.02026681830763266,0.2091341864201568,0.7675303909704176,0.8326327719183184,-0.7357192908953536,0.45765310640802737,0.4714649596794942,-1.9398940567586727,8.867402591271773
Qwen3-4B-Base,8949.729156534248,0.10639904558087832,-0.15244866772154353,0.1463443867476597,0.5825098373712798,0.6485400428227139,-0.662480271436241,0.2621331262822064,0.1459898944749476,-1.8612956276647346,6.636607397779706
Qwen3-8B-Base,4395.209760506778,0.007297801099174883,-0.2862732069585334,0.09769318468616728,0.4391510054331036,0.50590011391711,-0.6057327367558365,0.11063906021135672,-0.10619681810952386,-1.8003954802600584,4.908128117984667
Qwen3-14B-Base,2437.6524345322396,-0.07567863113310569,-0.3983230895719103,0.05695804364946877,0.31911815957501943,0.38646919802544755,-0.5582186213642046,-0.01620533183097983,-0.31735010660844054,-1.749404425803692,3.4608905522516302
OLMo-2-0425-1B,2727.4256541209866,0.11096014580844349,-0.07456490067506039,0.11750088033261319,0.46418811995983233,0.49983191821052886,-0.5539432975705108,0.2730864771322321,0.21482378349583442,-1.8856826659566708,4.852331763534714
OLMo-2-1124-7B,554.8996212727055,-0.11638263823104644,-0.3815645098329057,0.005892799310282193,0.13531640760216135,0.17260940226541344,-0.4237618594958086,-0.07444783412828748,-0.3637040607968274,-1.7459749445067079,0.8871212994448925
OLMo-2-1124-13B,375.46846799766325,-0.18925809754534928,-0.4878623308222352,-0.026465125141362122,0.043633930760471173,0.0847937735043951,-0.3942556831862625,-0.1862888830162186,-0.5554467302854462,-1.698817409616407,-0.17895981655636817
OLMo-2-0325-32B,190.79067415839916,-0.2965630446816112,-0.6385906583161933,-0.07661910815733286,-0.10144598116797354,-0.057042347414006045,-0.3418383238418059,-0.35064712153886646,-0.8331578517522509,-1.6311227657468295,-1.8991393498981175
Olmo-3-1025-7B,826.2525073790187,-0.09152512312932437,-0.36106423971368784,0.023758636064947325,0.1940330777530015,0.23667555832013232,-0.4582450430064213,-0.037173897723982385,-0.3108739008383665,-1.7573182723162932,1.6602295883000266
Olmo-3-1125-32B,173.73217762002974,-0.3024108166280479,-0.6434117977257046,-0.08082276226943108,-0.11526193359797077,-0.0721174454119824,-0.3337236436262607,-0.35941578945416897,-0.8455849717891049,-1.62845470542028,-2.0810555116624414
SmolLM2-135M,14868.229424630446,0.4030307089640117,0.3430049798906012,0.2508474235304097,0.8463522233976946,0.8700748389232689,-0.685294399079277,0.7208544399725967,0.9765480424810278,-2.0721376716539956,9.344581999589302
SmolLM2-360M,11055.186607127853,0.29963055364225655,0.1806200438245753,0.20994702262659404,0.736406495565312,0.7705090503391561,-0.6613481109255535,0.5615257446886974,0.6952659449111813,-2.001747987676267,8.132438554452062
SmolLM2-1.7B,6427.574964128989,0.14224350374308115,-0.065122294091978,0.14707371286743198,0.56657201762496,0.6158704028975115,-0.6226886387973316,0.3190881277397728,0.2682599991411472,-1.895035958726286,6.250349043090605
SmolLM3-3B-Base,3642.1596083417194,0.06809247549127484,-0.1658460366202945,0.11092752148441143,0.4603361481549051,0.510422771883543,-0.581144808620845,0.20570212088550477,0.07909308903923318,-1.8492903229580584,4.972411569176831
Falcon3-7B-Base,1877.7956191968176,-0.04214365978611401,-0.322032478443365,0.05998454215677551,0.31362830918177664,0.3676147305465314,-0.529373309684015,0.036779786761161226,-0.2072738609540643,-1.7793430286079954,3.2400836112288225
falcon-11B,495.3695377492483,-0.15848213340140127,-0.44846156414894267,-0.010421029401411097,0.09191356750732993,0.13376363421168946,-0.41522368137927046,-0.13936209413329603,-0.47885220454795885,-1.7170804230254704,0.4139123986245714
granite-3.0-2b-base,4736.482810634458,0.09198053583454957,-0.13585298594991002,0.1236362943258662,0.49883715264109796,0.5497090006302088,-0.5983335493095119,0.24209360440949457,0.1380747982604369,-1.8632885269851247,5.447913347350788
granite-3.0-8b-base,1468.6379762115425,-0.06826992948715116,-0.35225233387282273,0.04496545815635855,0.2670204923537547,0.31905483377161126,-0.5065706366846001,-0.0028780375542174497,-0.2697206663774736,-1.76481068232434,2.6528968938771627
Apertus-8B-2509,1862.5816614409612,-0.046433309386634036,-0.3300901007963546,0.05886019446301205,0.3113677308506979,0.366343784011228,-0.5304268789062512,0.030096575569902306,-0.21999704379602036,-1.7760253381871305,3.2241224613169415
Apertus-70B-2509,212.46499707162045,-0.3468781630974025,-0.7358054308534996,-0.08863546376676013,-0.12325267694613373,-0.06609712828499426,-0.3583856008711379,-0.4291873895987601,-0.9845505099659562,-1.5913946004637474,-2.016101383258409
marin-8b-base,1581.5176627239912,-0.056618181788214095,-0.3383792661564655,0.05149217463104705,0.28711744196047917,0.339854923848093,-0.5161269782073461,0.014830449670794721,-0.24155505582910308,-1.7714108617894269,2.904487544374014
neo_7b,567.1235483772215,-0.12415226384703626,-0.39492646309817303,0.0033222455111250326,0.12907549530775952,0.16763941237225044,-0.42376031621505206,-0.08648439507484351,-0.3857656114528538,-1.7403366500178237,0.8261863375010883
stablelm-3b-4e1t,1430.9001163035614,0.010994432159019851,-0.209148986490451,0.06824855716363576,0.31886847727492196,0.3550648643122125,-0.4960687705948459,0.12029354940089654,-0.039237390447315335,-1.824374005779514,3.0981772997784383
