item,statistic,reviewer,builder,abs_diff,agree,tol,note
T1.2,pooled line at 1e20 [studies (4; Marin one cluster)]: CR2 hi,0.722208,0.722208,3.8582e-07,True,0.003,
T1.2,pooled line at 1e20 [studies (4; Marin one cluster)]: model s.e.,0.0104459,0.0104459,3.26028e-08,True,0.0005,
T1.2,pooled line at 1e21 [studies (4; Marin one cluster)]: est,0.647432,0.647432,2.72441e-07,True,0.0005,
T1.2,pooled line at 1e21 [studies (4; Marin one cluster)]: CR2 lo,0.554349,0.55435,8.85424e-07,True,0.003,
T1.2,pooled line at 1e21 [studies (4; Marin one cluster)]: CR2 hi,0.740514,0.740514,3.40541e-07,True,0.003,
T1.2,pooled line at 1e21 [studies (4; Marin one cluster)]: model s.e.,0.0154674,0.0154675,9.14821e-08,True,0.0005,
T1.2,weighted slope [designs (6)],-0.0327799,-0.0327797,2.47171e-07,True,0.0002,
T1.2,weighted CR2 s.e. [designs (6)],0.0140096,0.0140092,3.65522e-07,True,0.0005,
T1.2,weighted CR2 df [designs (6)],3.14961,3.14957,4.40469e-05,True,0.05,
T1.2,weighted CR2 p [designs (6)],0.097088,0.0970852,2.83753e-06,True,0.01,
T1.2,weighted wild p enumerated [designs (6)],0.035751,0.035751,2.88066e-08,True,0.01,
T1.2,pooled line at 1e19 [designs (6)]: est,0.712992,0.712991,6.21901e-07,True,0.0005,
T1.2,pooled line at 1e19 [designs (6)]: CR2 lo,0.706953,0.706954,9.45588e-07,True,0.003,
T1.2,pooled line at 1e19 [designs (6)]: CR2 hi,0.71903,0.719029,1.18939e-06,True,0.003,
T1.2,pooled line at 1e19 [designs (6)]: model s.e.,0.0136568,0.0136568,7.9645e-09,True,0.0005,
T1.2,pooled line at 1e20 [designs (6)]: est,0.680212,0.680212,3.2527e-07,True,0.0005,
T1.2,pooled line at 1e20 [designs (6)]: CR2 lo,0.644744,0.644744,1.57259e-07,True,0.003,
T1.2,pooled line at 1e20 [designs (6)]: CR2 hi,0.71568,0.71568,4.93281e-07,True,0.003,
T1.2,pooled line at 1e20 [designs (6)]: model s.e.,0.0104459,0.0104459,3.26028e-08,True,0.0005,
T1.2,pooled line at 1e21 [designs (6)]: est,0.647432,0.647432,2.72441e-07,True,0.0005,
T1.2,pooled line at 1e21 [designs (6)]: CR2 lo,0.560254,0.560256,1.59917e-06,True,0.003,
T1.2,pooled line at 1e21 [designs (6)]: CR2 hi,0.734609,0.734608,1.05429e-06,True,0.003,
T1.2,pooled line at 1e21 [designs (6)]: model s.e.,0.0154674,0.0154675,9.14821e-08,True,0.0005,
T1.2,unweighted slope [studies (4; Marin one cluster)],-0.0295949,-0.0295944,4.6592e-07,True,0.0002,
T1.2,unweighted CR2 s.e. [studies (4; Marin one cluster)],0.0136783,0.013678,2.66476e-07,True,0.0005,
T1.2,unweighted CR2 df [studies (4; Marin one cluster)],2.70714,2.70715,1.16782e-05,True,0.05,
T1.2,unweighted CR2 p [studies (4; Marin one cluster)],0.12885,0.128848,1.81524e-06,True,0.01,
T1.2,unweighted wild p enumerated [studies (4; Marin one cluster)],0.0540123,0.0540123,4.5679e-08,True,0.01,
T1.2,unweighted slope [designs (6)],-0.0295949,-0.0295944,4.6592e-07,True,0.0002,
T1.2,unweighted CR2 s.e. [designs (6)],0.0110897,0.0110895,2.2786e-07,True,0.0005,
T1.2,unweighted CR2 df [designs (6)],4.45981,4.45976,5.12115e-05,True,0.05,
T1.2,unweighted CR2 p [designs (6)],0.049913,0.0499124,5.9683e-07,True,0.01,
T1.2,unweighted wild p enumerated [designs (6)],0.0477966,0.0477966,3.92318e-08,True,0.01,
T1.2,fe_weighted slope [studies (4; Marin one cluster)],-0.0210459,-0.0210466,7.08616e-07,True,0.0002,
T1.2,fe_weighted CR2 s.e. [studies (4; Marin one cluster)],0.0237036,0.023703,5.74779e-07,True,0.0005,
T1.2,fe_weighted CR2 df [studies (4; Marin one cluster)],1.567,1.56701,7.21443e-06,True,0.05,
T1.2,fe_weighted CR2 p [studies (4; Marin one cluster)],0.489628,0.489606,2.16193e-05,True,0.01,
T1.2,fe_weighted wild p enumerated [studies (4; Marin one cluster)],0.37037,0.37037,3.7037e-07,True,0.01,
T1.2,"fe_weighted CR2 p, Cholesky-form adjustment (sensitivity) [studies (4; Marin one cluster)]",0.444018,,,,0.0005,
T1.2,fe_weighted slope [designs (6)],-0.0210459,-0.0210466,7.08616e-07,True,0.0002,
