set,tau,level,year,n,share_gt1,share_gt1_cw,share_lt1,share_lt1_cw
S2(a),1.3,models,2024,40,0.925,0.39682083140205643,0.0,0.0
S2(a),1.3,models,2025,13,1.0,1.0,0.0,0.0
S2(a),1.3,models below 15B,all,59,1.0,1.0,0.0,0.0
S2(a),1.3,models below 15B,2023,16,1.0,1.0,0.0,0.0
S2(a),1.3,models below 15B,2024,33,1.0,1.0,0.0,0.0
S2(a),1.3,models below 15B,2025,10,1.0,1.0,0.0,0.0
S2(a),1.3,decisions (49),all,49,0.7959183673469388,0.39208320650186596,0.0,0.0
S2(a),1.3,decisions (49),2023,16,0.5625,0.05586523139304761,0.0,0.0
S2(a),1.3,decisions (49),2024,27,0.8888888888888888,0.2884881721187098,0.0,0.0
S2(a),1.3,decisions (49),2025,6,1.0,1.0,0.0,0.0
S2(a),1.3,decisions (56),all,56,0.8035714285714286,0.39881023903887314,0.0,0.0
S2(a),1.3,decisions (56),2023,19,0.5789473684210527,0.08445049147147597,0.0,0.0
S2(a),1.3,decisions (56),2024,30,0.9,0.293663209528872,0.0,0.0
S2(a),1.3,decisions (56),2025,7,1.0,1.0,0.0,0.0
S2(a),1.84,models,all,77,0.8181818181818182,0.3437364452179669,0.0,0.0
S2(a),1.84,models,2023,24,0.625,0.11920581733460503,0.0,0.0
S2(a),1.84,models,2024,40,0.9,0.3052916612987132,0.0,0.0
S2(a),1.84,models,2025,13,0.9230769230769231,0.6217493998083929,0.0,0.0
S2(a),1.84,models below 15B,all,59,0.9830508474576272,0.995400355729795,0.0,0.0
S2(a),1.84,models below 15B,2023,16,0.9375,0.9315878049221654,0.0,0.0
S2(a),1.84,models below 15B,2024,33,1.0,1.0,0.0,0.0
S2(a),1.84,models below 15B,2025,10,1.0,1.0,0.0,0.0
S2(a),1.84,decisions (49),all,49,0.7551020408163265,0.3163972158965591,0.0,0.0
S2(a),1.84,decisions (49),2023,16,0.5,0.04257919653673692,0.0,0.0
S2(a),1.84,decisions (49),2024,27,0.8888888888888888,0.2884881721187098,0.0,0.0
S2(a),1.84,decisions (49),2025,6,0.8333333333333334,0.5776951653774788,0.0,0.0
S2(a),1.84,decisions (56),all,56,0.7678571428571429,0.3235494102257157,0.0,0.0
S2(a),1.84,decisions (56),2023,19,0.5263157894736842,0.07569647860567952,0.0,0.0
S2(a),1.84,decisions (56),2024,30,0.9,0.293663209528872,0.0,0.0
S2(a),1.84,decisions (56),2025,7,0.8571428571428571,0.5786022915093264,0.0,0.0
S2(a),3.4,models,all,77,0.6883116883116883,0.23118604486418648,0.0,0.0
S2(a),3.4,models,2023,24,0.3333333333333333,0.0543984176093201,0.0,0.0
S2(a),3.4,models,2024,40,0.875,0.19210574132196373,0.0,0.0
S2(a),3.4,models,2025,13,0.7692307692307693,0.48646881457147517,0.0,0.0
