model,family,developer,N,D,C,C_epoch,C_method,method_class,Confidence,Training hardware,chip_hours,peak,C_hw,dev_epoch,dev_hw,m4_indep
meta-llama/Meta-Llama-3-70B,Llama-3,Meta,70553706496.0,15000000000000.0,6.34983358464e+24,7.861e+24,"Operation counting,Hardware",Epoch mixed (6ND and hardware),Confident,NVIDIA H100 SXM5 80GB,6400000.0,989400000000000.0,6.838732800000001e+24,0.21348521939373954,0.07417384589534576,False
meta-llama/Meta-Llama-3.1-8B,Llama-3.1,Meta,8030261248.0,15000000000000.0,7.2272351232e+23,1.224e+24,"Hardware,Operation counting",Epoch mixed (6ND and hardware),Likely,,,,,0.5268527313150458,,True
meta-llama/Meta-Llama-3.1-70B,Llama-3.1,Meta,70553706496.0,15000000000000.0,6.34983358464e+24,7.929e+24,"Hardware,Operation counting",Epoch mixed (6ND and hardware),Confident,,,,,0.22209831887238182,,True
facebook/opt-350m,OPT,Meta,350000000.0,180000000000.0,3.78e+20,,,Other/unknown,Confident,,,,,,,False
facebook/opt-1.3b,OPT,Meta,1300000000.0,180000000000.0,1.404e+21,,,Other/unknown,Confident,,,,,,,False
facebook/opt-2.7b,OPT,Meta,2700000000.0,180000000000.0,2.916e+21,,,Other/unknown,Confident,,,,,,,False
facebook/opt-6.7b,OPT,Meta,6700000000.0,180000000000.0,7.236e+21,1.2060000000001e+22,Comparison with other models,Other/unknown,Confident,,,,,0.5108256237660735,,False
facebook/opt-13b,OPT,Meta,13000000000.0,180000000000.0,1.404e+22,3.53e+23,,Other/unknown,Likely,,,,,3.2245576583356317,,False
facebook/opt-30b,OPT,Meta,30000000000.0,180000000000.0,3.24e+22,5.4000000000001e+22,Operation counting,Epoch 6ND (operation counting),Confident,,,,,0.5108256237660093,,False
facebook/opt-66b,OPT,Meta,66000000000.0,180000000000.0,7.128e+22,1.100000000001e+23,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 80 GB,,312000000000000.0,,0.4338645826307714,,False
facebook/xglm-564M,XGLM,Meta,564000000.0,500000000000.0,1.692e+21,,,Other/unknown,Confident,,,,,,,False
facebook/xglm-7.5B,XGLM,Meta,7500000000.0,500000000000.0,2.25e+22,2.25e+22,"Operation counting,Hardware",Epoch mixed (6ND and hardware),Confident,NVIDIA A100,129024.0,312000000000000.0,4.347592704e+22,0.0,0.6586920743218933,False
microsoft/phi-1_5,Phi,Microsoft,1418270720.0,150000000000.0,1.276443648e+21,1.17e+21,"Operation counting,Hardware",Epoch mixed (6ND and hardware),Confident,NVIDIA A100 SXM4 40 GB,,312000000000000.0,,-0.08707406220435786,,False
microsoft/phi-2,Phi,Microsoft,2779683840.0,1400000000000.0,2.3349344256e+22,2.27e+22,"Operation counting,Hardware",Epoch mixed (6ND and hardware),Confident,NVIDIA A100,,312000000000000.0,,-0.02820397597838935,,False
mosaicml/mpt-7b,MPT,MosaicML,7000000000.0,1000000000000.0,4.2e+22,4.2e+22,Hardware,Epoch hardware-time,Confident,NVIDIA A100 SXM4 40 GB,100320.0,312000000000000.0,3.38038272e+22,0.0,-0.2170955914352841,True
mosaicml/mpt-30b,MPT,MosaicML,30000000000.0,1000000000000.0,1.8e+23,1.8900000000001e+23,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA H100 SXM5 80GB,142541.0,989400000000000.0,1.52312470632e+23,0.048790164169484916,-0.1670227123189197,False
openlm-research/open_llama_13b,OpenLlama,OpenLM Research,13000000000.0,1000000000000.0,7.8e+22,7.8e+22,Operation counting,Epoch 6ND (operation counting),Confident,Google TPU v4,,275000000000000.0,,0.0,,False
internlm/internlm2-20b,InternLM2,Shanghai AI Lab,20000000000.0,2600000000000.0,3.12e+23,3.12e+23,Operation counting,Epoch 6ND (operation counting),Confident,,,,,0.0,,False
stabilityai/stablelm-2-1_6b,StableLM,Stability AI,1644515328.0,2000000000000.0,1.9734183936e+22,1.92e+22,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,,312000000000000.0,,-0.027442078123991326,,False
stabilityai/stablelm-base-alpha-7b-v2,StableLM,Stability AI,6889414656.0,1100000000000.0,4.54701367296e+22,4.5e+22,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,,312000000000000.0,,-0.010393285090888616,,False
tiiuae/falcon-7b,Falcon,TII,7217189760.0,1500000000000.0,6.495470784e+22,6.3e+22,"Operation counting,Reported",Other/unknown,Confident,NVIDIA A100 SXM4 40 GB,,312000000000000.0,,-0.03055549816289811,,False
tiiuae/falcon-40b,Falcon,TII,41835970560.0,1000000000000.0,2.5101582336e+23,2.4e+23,"Operation counting,Reported",Other/unknown,Confident,NVIDIA A100,552960.0,312000000000000.0,1.863254016e+23,-0.044877055077675344,-0.29802136228055687,False
tiiuae/falcon-180B,Falcon,TII,179522565120.0,3500000000000.0,3.76997386752e+24,3.76e+24,"Reported,Operation counting",Developer-reported FLOP,Confident,NVIDIA A100 SXM4 40 GB,17694720.0,312000000000000.0,5.9624128512e+24,-0.002649112341784387,0.45840717021311184,True
