dataset,lnC,C,lnNstar,Nstar,Dstar,Lstar,a_A2,lnG_A2,E_A1,lnK_A1,gamma_A1
marin_202603__comma__llama_2,45.94634134422309,9.00000000000005e+19,20.9758691714569,1287372519.2908337,11651639113.95517,3.3244543606183754,0.4049294587482617,3.052993745369193,0.12528496312365994,3.4061727233553216,0.0509145935312626
marin_202603__comma__llama_2,46.639488524783026,1.799999999999988e+20,21.23648338911766,1670657985.5803356,17956996739.56828,3.2019967072369937,0.4049294587482617,3.052993745369193,0.12528496312365994,3.4061727233553216,0.0509145935312626
marin_202603__comma__llama_2,47.150314148549015,2.999999999999974e+20,21.410732459524386,1988671091.7602386,25142418073.640778,3.110221354497753,0.4049294587482617,3.052993745369193,0.12528496312365994,3.4061727233553216,0.0509145935312626
marin_202603__dclm__llama_2,42.545143962560935,3.00000000000001e+18,19.67435892639636,350320471.5096473,1427264578.1884673,3.7588149226470264,0.4235790714857159,2.345121702394355,1.0054982265346226,4.099594005213583,0.07575911048609366
marin_202603__dclm__llama_2,43.64375625122904,9.000000000000009e+18,20.02334371252783,496623977.16650224,3020393837.120553,3.534411530466656,0.4235790714857159,2.345121702394355,1.0054982265346226,4.099594005213583,0.07575911048609366
marin_202603__dclm__llama_2,44.33690343178899,1.8000000000000051e+19,20.307330265850233,659722774.3303125,4547364615.45582,3.4059864335384162,0.4235790714857159,2.345121702394355,1.0054982265346226,4.099594005213583,0.07575911048609366
marin_202603__dclm__llama_2,44.84772905555498,3.0000000000000025e+19,20.56865492653817,856748464.5504558,5836018629.602742,3.316286993743674,0.4235790714857159,2.345121702394355,1.0054982265346226,4.099594005213583,0.07575911048609366
marin_202603__dclm__llama_2,45.94634134422309,9.00000000000005e+19,21.073805493446518,1419833564.2940311,10564618542.074244,3.140796666351825,0.4235790714857159,2.345121702394355,1.0054982265346226,4.099594005213583,0.07575911048609366
marin_202603__dclm__llama_2,46.639488524783026,1.799999999999988e+20,21.405103040415845,1977507480.5204537,15170612650.276396,3.0171519633094306,0.4235790714857159,2.345121702394355,1.0054982265346226,4.099594005213583,0.07575911048609366
marin_202603__dclm__llama_2,47.150314148549015,2.999999999999974e+20,21.524457146142417,2228193815.757414,22439699655.572117,2.947044638622181,0.4235790714857159,2.345121702394355,1.0054982265346226,4.099594005213583,0.07575911048609366
marin_202603__nemotron__llama_2,42.545143962560935,3.00000000000001e+18,19.65593104692376,343923926.4784548,1453809873.3625743,3.735435363529426,0.4223734822719682,2.371323913479915,0.882824288621672,4.090186441592879,0.0746645469363178
marin_202603__nemotron__llama_2,43.64375625122904,9.000000000000009e+18,19.983368556256963,477162926.8506532,3143580348.7505336,3.5039955219844146,0.4223734822719682,2.371323913479915,0.882824288621672,4.090186441592879,0.0746645469363178
