model,family,lab,date,N_total,N_active,N,N_src,N_nonemb,D,D_src,D_card_verified,epoch_D,D_vs_epoch,M,moe,distilled,synthetic,code
gemma-2-2b,Gemma-2,Google,2024-06-24 00:00:00,2614341888.0,2614341888.0,2614341888.0,HF safetensors (float tensors),2024517888.0,2000000000000.0,ObsScaling,,2000000000000.0,0.0,765.0108844524623,False,True,False,False
falcon-180B,Falcon,TII,2023-09-06 00:00:00,179522565120.0,179522565120.0,179522565120.0,HF safetensors (float tensors),,3500000000000.0,ObsScaling,,3500000000000.0,0.0,19.49615636151623,False,False,False,False
falcon-40b,Falcon,TII,2023-03-15 00:00:00,41835970560.0,41835970560.0,41835970560.0,HF safetensors (float tensors),41303293952.0,1000000000000.0,ObsScaling,,1000000000000.0,0.0,23.902875602367764,False,False,False,False
falcon-7b,Falcon,TII,2023-04-24 00:00:00,7217189760.0,7217189760.0,7217189760.0,HF safetensors (float tensors),6921720704.0,1500000000000.0,ObsScaling,,1500000000000.0,0.0,207.83712911547445,False,False,False,False
falcon-rw-1b,Falcon-RW,TII,2023-04-26 00:00:00,1000000000.0,1000000000.0,1000000000.0,reported,896977408.0,350000000000.0,ObsScaling,,,,350.0,False,False,False,False
phi-2,Phi-2,Microsoft,2023-12-12 00:00:00,2779683840.0,2779683840.0,2779683840.0,HF safetensors (float tensors),2517539840.0,1400000000000.0,ObsScaling,,250000000000.0,0.7481880270062004,503.65440121420426,False,False,True,False
phi-1_5,Phi-1.5,Microsoft,2023-09-11 00:00:00,1418270720.0,1418270720.0,1418270720.0,HF safetensors (float tensors),1208555520.0,150000000000.0,ObsScaling,,150000000000.0,0.0,105.76260081009076,False,False,True,False
bloom-560m,BLOOM,BigScience,2022-07-05 00:00:00,559214592.0,559214592.0,559214592.0,HF safetensors (float tensors),,341000000000.0,ObsScaling,,354000000000.0,-0.0162488830332901,609.7838019219641,False,False,False,False
bloom-1b1,BLOOM,BigScience,2022-07-05 00:00:00,1065314304.0,1065314304.0,1065314304.0,HF safetensors (float tensors),,341000000000.0,ObsScaling,,354000000000.0,-0.0162488830332901,320.0933271238607,False,False,False,False
bloom-3b,BLOOM,BigScience,2022-07-05 00:00:00,3002557440.0,3002557440.0,3002557440.0,HF safetensors (float tensors),,341000000000.0,ObsScaling,,354000000000.0,-0.0162488830332901,113.56985064039274,False,False,False,False
