variant,label,budget_C,nwin,nleft,nright,Nstar,Mstar,curv,slope,S,sigma,se_sigma,lo_sigma,hi_sigma,weight,sigma_current,se_current,delta_vs_current
T,"T, total parameters (architecture count)",6e+20,9,5,4,2.0983e+09,22.7125,0.156298,-0.101297,1.54297,0.564497,0.0531966,0.482915,0.685488,0.0840309,0.564433,0.0539698,6.41378e-05
T,"T, total parameters (architecture count)",1e+21,14,10,4,2.76614e+09,21.7822,0.115997,-0.0933715,1.24232,0.616843,0.0382041,0.553016,0.705902,0.158785,0.616797,0.0381329,4.65808e-05
T,"T, total parameters (architecture count)",3e+21,8,3,5,4.1881e+09,28.506,0.114173,-0.0784504,1.45536,0.578811,0.053593,0.487451,0.691395,0.0426611,0.578771,0.0542605,3.99489e-05
P,"P, non-embedding parameters (T - Vd)",6e+18,9,3,6,1.5273e+08,42.87,0.182413,-0.220284,0.828081,0.707193,0.0667692,0.620549,0.865289,0.0665438,0.670204,0.0659524,0.036989
P,"P, non-embedding parameters (T - Vd)",1e+19,13,4,9,2.26574e+08,32.466,0.147438,-0.201075,0.733249,0.73173,0.0650932,0.630647,0.856256,0.0765874,0.703629,0.062629,0.0281008
P,"P, non-embedding parameters (T - Vd)",3e+19,13,3,10,4.66857e+08,22.9404,0.0813691,-0.166775,0.487896,0.803892,0.0515551,0.713815,0.916151,0.225531,0.791017,0.0531528,0.0128754
P,"P, non-embedding parameters (T - Vd)",6e+19,14,7,7,7.30034e+08,18.7635,0.131796,-0.148021,0.890387,0.691949,0.0472375,0.611643,0.79579,0.138209,0.672429,0.0447673,0.0195202
P,"P, non-embedding parameters (T - Vd)",1e+20,14,7,7,9.92785e+08,16.9098,0.078394,-0.136307,0.575129,0.77666,0.0546371,0.700166,0.899378,0.134428,0.76411,0.0594352,0.0125503
P,"P, non-embedding parameters (T - Vd)",3e+20,10,5,5,1.69536e+09,17.3958,0.0877021,-0.113298,0.774085,0.720959,0.08118,0.561928,0.88743,0.0869773,0.711619,0.0731896,0.00933981
P,"P, non-embedding parameters (T - Vd)",6e+20,9,5,4,2.01925e+09,24.5256,0.15008,-0.101316,1.48131,0.574497,0.0545554,0.493285,0.696146,0.0753853,0.564433,0.0539698,0.0100636
P,"P, non-embedding parameters (T - Vd)",1e+21,14,10,4,2.67306e+09,23.3256,0.111167,-0.0933819,1.19045,0.62687,0.0394447,0.561166,0.716988,0.153791,0.616797,0.0381329,0.0100735
P,"P, non-embedding parameters (T - Vd)",3e+21,8,3,5,4.08718e+09,29.9311,0.111547,-0.0783894,1.42298,0.584286,0.0532004,0.494274,0.698646,0.0425477,0.578771,0.0542605,0.00551473
NF_A|corr,"N_F (A), runs moved to exact A-isocosts (budgets in T4)",6e+18,9,3,6,2.57927e+08,15.0316,0.278819,-0.251904,1.10685,0.643739,0.0654456,0.553673,0.793117,0.0386927,0.670204,0.0659524,-0.0264652
NF_A|corr,"N_F (A), runs moved to exact A-isocosts (budgets in T4)",1e+19,14,4,10,3.46073e+08,13.916,0.190859,-0.226064,0.844267,0.703169,0.0422662,0.627574,0.785409,0.145202,0.703629,0.062629,-0.000460079
NF_A|corr,"N_F (A), runs moved to exact A-isocosts (budgets in T4)",3e+19,14,3,11,6.47848e+08,11.9131,0.140645,-0.180978,0.777138,0.720166,0.044507,0.648202,0.824045,0.148789,0.791017,0.0531528,-0.0708508
NF_A|corr,"N_F (A), runs moved to exact A-isocosts (budgets in T4)",6e+19,15,8,7,9.19069e+08,11.8387,0.160838,-0.157772,1.01943,0.662376,0.0327934,0.610924,0.760972,0.326988,0.672429,0.0447673,-0.010053
NF_A|corr,"N_F (A), runs moved to exact A-isocosts (budgets in T4)",1e+20,15,7,8,1.19348e+09,11.701,0.11805,-0.143409,0.823171,0.708423,0.0522941,0.628288,0.817301,0.0808252,0.76411,0.0594352,-0.0556866
NF_A|corr,"N_F (A), runs moved to exact A-isocosts (budgets in T4)",3e+20,11,6,5,1.9529e+09,13.1103,0.0976942,-0.116961,0.83527,0.7054,0.0557782,0.615727,0.845169,0.0889447,0.711619,0.0731896,-0.00621846
NF_A|corr,"N_F (A), runs moved to exact A-isocosts (budgets in T4)",6e+20,10,6,4,2.2596e+09,19.5856,0.153792,-0.103959,1.47935,0.57482,0.0461751,0.508294,0.707017,0.0527231,0.564433,0.0539698,0.010387
NF_A|corr,"N_F (A), runs moved to exact A-isocosts (budgets in T4)",1e+21,14,10,4,2.98742e+09,18.6748,0.129819,-0.095668,1.35697,0.595775,0.0381363,0.531602,0.679095,0.0927373,0.616797,0.0381329,-0.0210219
NF_A|corr,"N_F (A), runs moved to exact A-isocosts (budgets in T4)",3e+21,8,3,5,4.40725e+09,25.7416,0.124234,-0.0813389,1.52737,0.566995,0.0537426,0.475531,0.67818,0.0250993,0.578771,0.0542605,-0.0117758
NF_X|corr,"N_F (X), runs moved to exact X-isocosts (budgets in T4)",6e+18,9,3,6,2.27477e+08,19.3252,0.248056,-0.237101,1.0462,0.656555,0.0648595,0.568894,0.799828,0.0450402,0.670204,0.0659524,-0.0136492
NF_X|corr,"N_F (X), runs moved to exact X-isocosts (budgets in T4)",1e+19,14,4,10,3.12953e+08,17.0173,0.175503,-0.21434,0.818809,0.709519,0.0542302,0.605246,0.812357,0.100749,0.703629,0.062629,0.0058905
NF_X|corr,"N_F (X), runs moved to exact X-isocosts (budgets in T4)",3e+19,14,3,11,6.06768e+08,13.5808,0.13381,-0.174077,0.768683,0.722365,0.0466854,0.639646,0.818934,0.140514,0.791017,0.0531528,-0.0686516
NF_X|corr,"N_F (X), runs moved to exact X-isocosts (budgets in T4)",6e+19,15,8,7,8.6637e+08,13.3227,0.150111,-0.153002,0.981106,0.670892,0.0385463,0.611556,0.784727,0.339873,0.672429,0.0447673,-0.00153668
NF_X|corr,"N_F (X), runs moved to exact X-isocosts (budgets in T4)",1e+20,14,7,7,1.16055e+09,12.3743,0.0934891,-0.139908,0.668221,0.749563,0.0598735,0.658488,0.86706,0.0770526,0.76411,0.0594352,-0.0145466
NF_X|corr,"N_F (X), runs moved to exact X-isocosts (budgets in T4)",3e+20,10,5,5,1.90518e+09,13.7751,0.102222,-0.11506,0.88843,0.692418,0.0569964,0.595021,0.816847,0.0971838,0.711619,0.0731896,-0.0192012
NF_X|corr,"N_F (X), runs moved to exact X-isocosts (budgets in T4)",6e+20,10,6,4,2.18087e+09,21.0251,0.148679,-0.102665,1.44819,0.580014,0.0499723,0.491394,0.680093,0.0574871,0.564433,0.0539698,0.0155807
NF_X|corr,"N_F (X), runs moved to exact X-isocosts (budgets in T4)",1e+21,14,10,4,2.89296e+09,19.9142,0.124755,-0.0945915,1.31888,0.602612,0.0383168,0.537407,0.685461,0.112917,0.616797,0.0381329,-0.0141842
NF_X|corr,"N_F (X), runs moved to exact X-isocosts (budgets in T4)",3e+21,8,3,5,4.30728e+09,26.9503,0.12161,-0.0801688,1.51693,0.568678,0.0541809,0.475764,0.679183,0.0291831,0.578771,0.0542605,-0.0100931
T|corr,"T, runs moved to exact 6TD isocosts (budgets in T4)",6e+18,9,3,6,1.95073e+08,26.2788,0.229836,-0.213576,1.07614,0.650166,0.0669157,0.560312,0.805105,0.0685128,0.670204,0.0659524,-0.0200378
T|corr,"T, runs moved to exact 6TD isocosts (budgets in T4)",1e+19,13,4,9,2.72051e+08,22.519,0.179836,-0.194883,0.922788,0.684278,0.0560311,0.595449,0.801554,0.106362,0.703629,0.062629,-0.0193509
T|corr,"T, runs moved to exact 6TD isocosts (budgets in T4)",3e+19,13,3,10,5.09638e+08,19.2507,0.0929643,-0.161928,0.574109,0.776968,0.0566568,0.690856,0.903293,0.166783,0.791017,0.0531528,-0.014049
T|corr,"T, runs moved to exact 6TD isocosts (budgets in T4)",6e+19,14,7,7,7.82906e+08,16.3147,0.15566,-0.143946,1.08138,0.64906,0.0446509,0.571083,0.753752,0.137075,0.672429,0.0447673,-0.0233688
T|corr,"T, runs moved to exact 6TD isocosts (budgets in T4)",1e+20,14,7,7,1.0453e+09,15.2535,0.0877544,-0.132828,0.660664,0.751692,0.0576133,0.670256,0.873264,0.112726,0.76411,0.0594352,-0.0124178
T|corr,"T, runs moved to exact 6TD isocosts (budgets in T4)",3e+20,10,5,5,1.74199e+09,16.477,0.0923116,-0.110995,0.831672,0.706297,0.0758327,0.566179,0.859189,0.0939137,0.711619,0.0731896,-0.00532216
T|corr,"T, runs moved to exact 6TD isocosts (budgets in T4)",6e+20,9,5,4,2.08879e+09,22.9198,0.158386,-0.0997485,1.58786,0.557436,0.0533356,0.476163,0.678451,0.0948851,0.564433,0.0539698,-0.00699759
T|corr,"T, runs moved to exact 6TD isocosts (budgets in T4)",1e+21,14,10,4,2.74538e+09,22.1129,0.119245,-0.0923599,1.29109,0.607702,0.0367395,0.54621,0.690651,0.173935,0.616797,0.0381329,-0.00909468
T|corr,"T, runs moved to exact 6TD isocosts (budgets in T4)",3e+21,8,3,5,4.14499e+09,29.1021,0.115752,-0.0786124,1.47245,0.575963,0.0539839,0.48348,0.688295,0.0458067,0.578771,0.0542605,-0.00280807
P|corr,"P, runs moved to exact 6PD isocosts (budgets in T4)",6e+18,9,3,6,1.61419e+08,38.3785,0.191979,-0.19594,0.979783,0.67119,0.0699519,0.584819,0.837216,0.0614886,0.670204,0.0659524,0.0009857
P|corr,"P, runs moved to exact 6PD isocosts (budgets in T4)",1e+19,13,4,9,2.3441e+08,30.3317,0.156312,-0.180894,0.864111,0.698297,0.0619653,0.602419,0.822175,0.0811676,0.703629,0.062629,-0.00533214
P|corr,"P, runs moved to exact 6PD isocosts (budgets in T4)",3e+19,13,3,10,4.65793e+08,23.0454,0.0868477,-0.153678,0.565127,0.779688,0.053631,0.690665,0.893319,0.194713,0.791017,0.0531528,-0.0113283
