row,N_rep_M,d_model,ffw_size,kv_size,n_heads,n_layers,kvh,T,P,P_noWR,W_R,emb,T_err_rel,emb_share,WR_share,F_T4,NF_T4,r_T4,F_A,NF_A,r_A,F_X,NF_X,r_X,F_6T,NF_6T,r_6T,F_6P,NF_6P,r_6P,share_fwd_embeddings,share_fwd_attn_linear,share_fwd_attn_quadratic,share_fwd_softmax,share_fwd_dense,share_fwd_logits,n_profile_runs,n_offprofile_runs,max_abs_log_err,budgets
28,1429,2048,8192,128,16,25,2048,1428684800,1363148800,1258291200,104857600,65536000,-0.000220574,0.0458716,0.0733945,8.81541e+09,1.46924e+09,1.02838,9.60184e+09,1.60031e+09,1.12013,9.20863e+09,1.53477e+09,1.07425,8.57211e+09,1.42868e+09,1,8.17889e+09,1.36315e+09,0.954128,0.0409521,0.262094,0.131047,0.000767853,0.524187,0.0409521,6,3,0.000164871,1e+19 3e+19 6e+19 3e+20 6e+20 1e+21
29,1593,2048,8192,128,16,28,2048,1592262656,1526726656,1409286144,117440512,65536000,-0.000462865,0.041159,0.073757,9.87326e+09,1.64554e+09,1.03346,1.06597e+10,1.77662e+09,1.11578,1.02665e+10,1.71108e+09,1.07462,9.55358e+09,1.59226e+09,1,9.16036e+09,1.52673e+09,0.958841,0.0368881,0.264414,0.132207,0.00077465,0.528828,0.0368881,1,3,7.9789e-05,1e+20
30,1609,2176,8704,128,17,25,2176,1608499200,1538867200,1420492800,118374400,69632000,-0.000311249,0.04329,0.0735931,9.86772e+09,1.64462e+09,1.02246,1.07033e+10,1.78388e+09,1.10904,1.02855e+10,1.71425e+09,1.06575,9.651e+09,1.6085e+09,1,9.2332e+09,1.53887e+09,0.95671,0.0390339,0.265431,0.124909,0.000731886,0.530861,0.0390339,4,5,5.14201e-05,1e+19 3e+19 6e+19 1e+21
31,1731,2304,9216,128,18,24,2304,1729953792,1656225792,1528823808,127401984,73728000,-0.000604395,0.0426185,0.0736447,1.05399e+10,1.75664e+09,1.01543,1.14246e+10,1.9041e+09,1.10066,1.09822e+10,1.83037e+09,1.05805,1.03797e+10,1.72995e+09,1,9.93735e+09,1.65623e+09,0.957382,0.0387207,0.267637,0.11895,0.000696972,0.535275,0.0387207,3,4,0.000263804,1e+19 1e+20 1e+21
32,1794,2176,8704,128,17,28,2176,1793163264,1723531264,1590951936,132579328,69632000,-0.000466408,0.0388319,0.073936,1.10519e+10,1.84198e+09,1.02722,1.18874e+10,1.98124e+09,1.10489,1.14696e+10,1.91161e+09,1.06605,1.0759e+10,1.79316e+09,1,1.03412e+10,1.72353e+09,0.961168,0.0351457,0.267669,0.125962,0.000738059,0.535339,0.0351457,7,4,0.000106514,1e+19 3e+19 1e+20 3e+20 6e+20 1e+21
33,2007,2304,9216,128,18,28,2304,2005991424,1932263424,1783627776,148635648,73728000,-0.000502529,0.0367539,0.0740959,1.22965e+10,2.04942e+09,1.02165,1.31812e+10,2.19687e+09,1.09516,1.27389e+10,2.12315e+09,1.0584,1.20359e+10,2.00599e+09,1,1.15936e+10,1.93226e+09,0.963246,0.0335604,0.270631,0.120281,0.000704769,0.541263,0.0335604,5,3,0.000162753,1e+19 1e+20 3e+20 6e+20 1e+21
34,2283,2304,9216,128,18,32,2304,2282029056,2208301056,2038431744,169869312,73728000,-0.000425293,0.0323081,0.0744378,1.40531e+10,2.34219e+09,1.02636,1.49379e+10,2.48965e+09,1.09098,1.44955e+10,2.41592e+09,1.05867,1.36922e+10,2.28203e+09,1,1.32498e+10,2.2083e+09,0.967692,0.0296138,0.272921,0.121298,0.000710732,0.545842,0.0296138,4,3,8.57061e-05,1e+19 3e+20 1e+21
35,2298,2560,10240,128,20,26,2560,2297036800,2215116800,2044723200,170393600,81920000,-0.000419147,0.0356633,0.0741797,1.39137e+10,2.31895e+09,1.00954,1.48967e+10,2.48279e+09,1.08087,1.44052e+10,2.40087e+09,1.0452,1.37822e+10,2.29704e+09,1,1.32907e+10,2.21512e+09,0.964337,0.0329951,0.27452,0.109808,0.000643405,0.549039,0.0329951,0,2,0.00011234,
36,2639,2560,10240,128,20,30,2560,2637824000,2555904000,2359296000,196608000,81920000,-0.000445623,0.0310559,0.0745342,1.60543e+10,2.67571e+09,1.01436,1.70373e+10,2.83955e+09,1.07648,1.65458e+10,2.75763e+09,1.04542,1.58269e+10,2.63782e+09,1,1.53354e+10,2.5559e+09,0.968944,0.0288496,0.276956,0.110783,0.000649116,0.553913,0.0288496,5,1,0.000139896,1e+19 1e+20 6e+20 1e+21 3e+21
37,2980,2560,10240,128,20,34,2560,2978611200,2896691200,2673868800,222822400,81920000,-0.00046604,0.0275028,0.0748075,1.81948e+10,3.03247e+09,1.01808,1.91779e+10,3.19631e+09,1.07309,1.86864e+10,3.11439e+09,1.04559,1.78717e+10,2.97861e+09,1,1.73801e+10,2.89669e+09,0.972497,0.0256295,0.278849,0.11154,0.000653553,0.557698,0.0256295,8,2,0.000160693,1e+19 1e+20 3e+20 6e+20 1e+21 3e+21
38,3530,2688,10752,128,22,36,2816,3529408512,3443392512,3170893824,272498688,86016000,-0.00016756,0.0243712,0.077208,2.15314e+10,3.58856e+09,1.01676,2.25636e+10,3.76059e+09,1.0655,2.20475e+10,3.67458e+09,1.04113,2.11765e+10,3.52941e+09,1,2.06604e+10,3.44339e+09,0.975629,0.022873,0.289846,0.110418,0.000646978,0.553343,0.022873,0,0,,
39,3802,2816,11264,128,22,36,2816,3801284608,3711172608,3425697792,285474816,90112000,-0.000188162,0.0237057,0.0750996,2.30602e+10,3.84337e+09,1.01107,2.41415e+10,4.02359e+09,1.05848,2.36009e+10,3.93348e+09,1.03478,2.28077e+10,3.80128e+09,1,2.2267e+10,3.71117e+09,0.976294,0.0223959,0.283801,0.1032,0.00060469,0.567602,0.0223959,0,0,,
40,4084,2944,11776,128,22,36,2816,4082597888,3988389888,3689938944,298450944,94208000,-0.000343318,0.0230755,0.0731032,2.46456e+10,4.10761e+09,1.00613,2.57761e+10,4.29602e+09,1.05228,2.52109e+10,4.20182e+09,1.0292,2.44956e+10,4.0826e+09,1,2.39303e+10,3.98839e+09,0.976924,0.0219291,0.277886,0.0966559,0.000566343,0.581034,0.0219291,0,0,,
41,4516,3072,12288,128,24,36,3072,4514906112,4416602112,4076863488,339738624,98304000,-0.000242225,0.0217732,0.0752482,2.7195e+10,4.5325e+09,1.0039,2.83747e+10,4.72911e+09,1.04744,2.77848e+10,4.63081e+09,1.02567,2.70894e+10,4.51491e+09,1,2.64996e+10,4.4166e+09,0.978227,0.020787,0.287359,0.0957865,0.000561249,0.574719,0.020787,5,1,1.37779e-05,3e+20 6e+20 1e+21 3e+21
42,6796,3584,14336,128,28,40,3584,6794117120,6679429120,6165626880,513802240,114688000,-0.000277057,0.0168805,0.0756246,4.05376e+10,6.75627e+09,0.994429,4.19139e+10,6.98565e+09,1.02819,4.12257e+10,6.87096e+09,1.01131,4.07647e+10,6.79412e+09,1,4.00766e+10,6.67943e+09,0.98312,0.0164177,0.294205,0.0840584,0.00049253,0.588409,0.0164177,5,3,5.88085e-05,1e+19 3e+20 6e+20 1e+21 3e+21
43,9293,4096,16384,128,32,42,4096,9291431936,9160359936,8455716864,704643072,131072000,-0.000168736,0.0141068,0.0758379,5.49869e+10,9.16449e+09,0.986338,5.65598e+10,9.42663e+09,1.01455,5.57734e+10,9.29556e+09,1.00044,5.57486e+10,9.29143e+09,1,5.49622e+10,9.16036e+09,0.985893,0.0139044,0.299001,0.0747502,0.00043799,0.598002,0.0139044,2,2,2.41318e-05,1e+21 3e+21
44,11452,4352,17408,128,32,47,4096,11449729024,11310465024,10472652800,837812224,139264000,-0.000198304,0.0121631,0.0731731,6.75948e+10,1.12658e+10,0.983936,6.9266e+10,1.15443e+10,1.00826,6.84304e+10,1.14051e+10,0.996099,6.86984e+10,1.14497e+10,1,6.78628e+10,1.13105e+10,0.987837,0.0120634,0.290294,0.0683045,0.000400221,0.616875,0.0120634,2,0,1.47968e-05,1e+21 3e+21
45,12295,4608,18432,128,36,44,4608,12293111808,12145655808,11211374592,934281216,147456000,-0.000153574,0.011995,0.0760004,7.22803e+10,1.20467e+10,0.979956,7.40497e+10,1.23416e+10,1.00395,7.3165e+10,1.21942e+10,0.991951,7.37587e+10,1.22931e+10,1,7.28739e+10,1.21457e+10,0.988005,0.0119479,0.302807,0.0672903,0.000394279,0.605613,0.0119479,0,0,,
46,12569,4608,18432,128,32,47,4096,12566790144,12419334144,11532238848,887095296,147456000,-0.000175818,0.0117338,0.0705904,7.39523e+10,1.23254e+10,0.98079,7.57218e+10,1.26203e+10,1.00426,7.48371e+10,1.24728e+10,0.992524,7.54007e+10,1.25668e+10,1,7.4516e+10,1.24193e+10,0.988266,0.011684,0.281165,0.062481,0.0003661,0.63262,0.011684,3,0,1.61628e-06,6e+20 1e+21 3e+21
47,13735,4864,19456,128,32,47,4096,13733134336,13577486336,12641107968,936378368,155648000,-0.000135833,0.0113338,0.0681839,8.06055e+10,1.34343e+10,0.978237,8.24733e+10,1.37456e+10,1.0009,8.15394e+10,1.35899e+10,0.989571,8.23988e+10,1.37331e+10,1,8.14649e+10,1.35775e+10,0.988666,0.0113235,0.272489,0.0573661,0.00033613,0.647162,0.0113235,0,0,,
48,14940,4992,19968,128,32,49,4096,14937980928,14778236928,13776322560,1001914368,159744000,-0.000135145,0.0106938,0.0670716,8.76193e+10,1.46032e+10,0.97759,8.95363e+10,1.49227e+10,0.998978,8.85778e+10,1.4763e+10,0.988284,8.96279e+10,1.4938e+10,1,8.86694e+10,1.47782e+10,0.989306,0.0107048,0.268561,0.0550894,0.00032279,0.654617,0.0107048,0,0,,
49,16183,5120,20480,128,40,47,5120,16180838400,16016998400,14784921600,1232076800,163840000,-0.000133572,0.0101256,0.0761442,9.46582e+10,1.57764e+10,0.975003,9.66242e+10,1.6104e+10,0.995254,9.56412e+10,1.59402e+10,0.985128,9.7085e+10,1.61808e+10,1,9.6102e+10,1.6017e+10,0.989874,0.0101738,0.306029,0.0612059,0.000358628,0.612059,0.0101738,1,0,2.13994e-05,3e+21
