scenario,estimator,param,R,n_fail_v1,n_fail_v2,bias_v1,bias_v2,median_bias_v1,median_bias_v2,max_abs_diff,share_diff_gt_1e4
funding,E4_mundlak,gamma,100,0,0,0.009322033220523477,0.009322263962880283,0.009313846221713773,0.009314572277786787,1.6283708917680384e-05,0.0
funding,E4_mundlak,sigma_star,100,0,0,-0.011373567289201659,-0.011373747334314184,-0.010416570150605875,-0.010420814351781327,2.893152879013261e-05,0.0
funding,E4_mundlak,lnMstar,100,0,0,0.2124915925647512,0.21256711008694024,0.24480063696806442,0.2452197434125758,0.0021854447818223655,0.75
funding,E4_mundlak,sd_omega,100,0,0,-0.003928480651350998,-0.003928422389139903,-0.0041074130792790875,-0.004107051505405884,2.1268756042469583e-06,0.0
funding,E4_mundlak,tfp_growth,100,0,0,-0.012099057332329431,-0.012099117433932756,-0.011570518730449272,-0.011569826722661491,4.796475231216846e-06,0.0
funding,E5_labgen_fe,alpha,100,0,0,0.0026651768620172683,0.002665685193922825,0.0017763540143147794,0.0017759216516521903,1.7742320276237233e-05,0.0
funding,E5_labgen_fe,beta,100,0,0,-0.0008164985284108417,-0.0008172904733605407,-0.0017637685310042672,-0.0017673534035054228,3.682666061882722e-05,0.0
funding,E5_labgen_fe,a,100,0,0,-0.002896987697117157,-0.0028979004236274726,-0.00221752658086799,-0.0022263674643616116,3.417323754539847e-05,0.0
funding,E5_labgen_fe,gamma,100,0,0,-6.322287603835159e-05,-6.329579065050883e-05,1.7335189655312555e-05,1.6182108456400113e-05,2.787529510661635e-06,0.0
funding,E5_labgen_fe,sigma_star,100,0,0,-0.0004864152759546925,-0.0004863382498153501,-0.00014370361524712605,-0.00014472611488419718,5.7457064914778755e-06,0.0
funding,E5_labgen_fe,lnMstar,100,0,0,0.03552186462543929,0.035533484594383186,0.046775536730232714,0.0467215838779782,0.00047194941118178235,0.29
funding,E5_labgen_fe,sd_omega,100,0,0,0.0006520382881754213,0.0006520371704616424,-0.0001433920729647653,-0.00014337166376310329,2.1088743676345167e-07,0.0
funding,E5_labgen_fe,tfp_growth,100,0,0,-0.0017777660587173453,-0.001777767953479417,-0.0009383307102636962,-0.0009382748628206927,8.145090236444386e-07,0.0
funding,E6_acf,alpha,100,0,0,0.01783902125115363,0.017839338535359746,0.015166071275107468,0.015166099040913011,5.533579038530245e-05,0.0
funding,E6_acf,beta,100,0,0,0.01835487304412985,0.018354250062793488,0.00818393770108558,0.00818855789945025,4.834120630831107e-05,0.0
funding,E6_acf,a,100,0,0,-0.001939805445631742,-0.0019404675580560976,-0.0038968513474196276,-0.003896780313231263,6.42307312392898e-05,0.0
funding,E6_acf,gamma,100,0,0,0.006211454410889958,0.006211459043725549,0.006371450857661068,0.006371435280377702,6.830232151283644e-06,0.0
funding,E6_acf,sigma_star,100,0,0,-0.009593467716382378,-0.009593386914344939,-0.008094990878230957,-0.00809461328064559,4.556685865853005e-06,0.0
funding,E6_acf,lnMstar,100,0,0,0.14825635801616174,0.14826294820838715,0.12638274549295403,0.12638687277879423,0.0007986291970851767,0.12
funding,E6_acf,sd_omega,100,0,0,-0.0022099805412030974,-0.0022099744126367876,-0.0017448709913816807,-0.0017448709237863763,1.1592479909894315e-06,0.0
funding,E6_acf,tfp_growth,100,0,0,-0.008573875475074117,-0.00857388833109208,-0.008016603053715723,-0.008016603332199751,2.324237953710284e-06,0.0
funding,E6b_acf_lagonly,alpha,100,0,0,0.019367785275997123,0.019367777998115447,-0.0007062134256127506,-0.0007062240046627477,6.873218892367028e-07,0.0
funding,E6b_acf_lagonly,beta,100,0,0,0.01553216804304298,0.01553221215267619,-0.01068773588636504,-0.010687826079607915,4.304811042854517e-06,0.0
funding,E6b_acf_lagonly,a,100,0,0,-0.009891870028261114,-0.00989185352522895,-0.007741227918655225,-0.007741236898922255,1.6265000853943334e-06,0.0
funding,E6b_acf_lagonly,gamma,100,0,0,-0.0024249014797361056,-0.002424902758101626,-0.0020696696124395952,-0.0020696686025979544,9.201969672356647e-08,0.0
funding,E6b_acf_lagonly,sigma_star,100,0,0,-0.008940461590038654,-0.008940469796181079,-0.002778022117030876,-0.002778020445005691,8.058783202979924e-07,0.0
funding,E6b_acf_lagonly,lnMstar,100,0,0,0.13901092588387562,0.13901054515493672,0.09203784058038833,0.09203789605201895,2.3312953602250275e-05,0.0
funding,E6b_acf_lagonly,sd_omega,100,0,0,0.00194256416194787,0.0019425651333637372,0.0014979237636394416,0.0014979238030296826,8.339553131397892e-08,0.0
funding,E6b_acf_lagonly,tfp_growth,100,0,0,0.0005335727252673009,0.0005335739971183673,0.0009736691426441985,0.000973669172318406,8.43642463943528e-08,0.0
funding,E7_iv_path,alpha,100,0,0,2.9315158840433343e-05,2.9315158840433343e-05,0.01837069417188006,0.01837069417188006,0.0,0.0
funding,E7_iv_path,beta,100,0,0,-0.00013287281574993814,-0.00013287281574993814,0.016653883913096745,0.016653883913096745,0.0,0.0
funding,E7_iv_path,a,100,0,0,-4.0968771795294454e-05,-4.0968771795294454e-05,-0.0001513171582442907,-0.0001513171582442907,0.0,0.0
funding,E7_iv_path,gamma,100,0,0,-3.279529853833979e-05,-3.279529853833979e-05,0.009266991005851724,0.009266991005851724,0.0,0.0
funding,E7_iv_path,sigma_star,100,0,0,0.005290361380212315,0.005290361380212315,-0.009885047221977195,-0.009885047221977195,0.0,0.0
funding,E7_iv_path,lnMstar,100,0,0,1.2765921449819237,1.2765921449819237,1.2800115969956347,1.2800115969956347,0.0,0.0
funding,E7_iv_path,sd_omega,100,0,0,0.013057814202708634,0.013057814202708634,-0.0014309091310843042,-0.0014309091310843042,0.0,0.0
funding,E7_iv_path,tfp_growth,100,0,0,-0.0014744822262319995,-0.0014744822262319995,-0.01374543710673011,-0.01374543710673011,0.0,0.0
funding,E8_heckman,alpha,100,0,0,0.04888826883626513,0.048886008872380274,0.05088625967305557,0.05089577964289424,9.916338995147322e-05,0.0
funding,E8_heckman,beta,100,0,0,0.044635587975770045,0.04463839950605141,0.04263228016128895,0.042545542473080594,0.00016107352979516376,0.08
funding,E8_heckman,a,100,0,0,-0.004806122520782794,-0.004803128213603967,-0.004681411219787324,-0.004683677667001673,0.00014410519299001834,0.13
funding,E8_heckman,gamma,100,0,0,0.022267218921212546,0.022267282002727713,0.023607287808819336,0.023603858996527394,2.2449142593805593e-05,0.0
funding,E8_heckman,sigma_star,100,0,0,-0.02448284880113895,-0.02448298309173764,-0.02494322882332123,-0.024941009169868744,2.23084911457061e-05,0.0
funding,E8_heckman,lnMstar,100,0,0,0.3407080846599326,0.340715854172141,0.3661641144017691,0.3666131301413533,0.0017190618050233475,0.77
funding,E8_heckman,sd_omega,100,0,0,-0.009020855358152788,-0.009020869998836365,-0.008674934279595564,-0.008674724598146041,1.712635644079974e-06,0.0
funding,E8_heckman,tfp_growth,100,0,0,-0.02606692077648363,-0.026067016569030547,-0.025260653284074834,-0.02526063244050615,3.166975438589903e-06,0.0
funding,E9_foc_system,alpha,100,0,0,-0.002517856359426303,-0.0025178483599929786,-0.002878872305008856,-0.0028789572171828703,1.352141378863081e-06,0.0
funding,E9_foc_system,beta,100,0,0,-0.005741361515405307,-0.00574136641290596,-0.005400035722889995,-0.0054000042586380415,1.7377554268338535e-06,0.0
funding,E9_foc_system,a,100,0,0,-0.0021418097011490387,-0.0021418191061189904,-0.0022486946920524664,-0.0022486816364508666,2.2888674733323455e-07,0.0
funding,E9_foc_system,gamma,100,0,0,-0.002036148089369457,-0.00203614718835207,-0.0021618213704869133,-0.002161822830672455,7.688311184639307e-07,0.0
funding,E9_foc_system,sigma_star,100,0,0,0.002252668478088149,0.002252667669760221,0.002366894309449974,0.002366838061000631,8.456016469260419e-07,0.0
funding,E9_foc_system,lnMstar,100,0,0,1.2499942995420366,1.2499944173070436,1.2523401705843642,1.2523402252748408,2.3972558583551518e-05,0.0
funding,E9_foc_system,sd_omega,100,0,0,0.0021472215479947194,0.002147222876126578,0.0018092887862969087,0.0018092469780547071,3.9882657784651165e-07,0.0
funding,E9_foc_system,tfp_growth,100,0,0,0.000560784220103498,0.0005607832871906141,0.000814710958272083,0.0008145758198951636,9.08437175345389e-07,0.0
funding_all,E10_foc_system_T,alpha,100,0,0,-0.0017277665524656931,-0.0017277651062071269,-0.002213398547235429,-0.0022133724038101155,3.8097961579941497e-07,0.0
funding_all,E10_foc_system_T,beta,100,0,0,-0.007702438627350475,-0.007702450413480739,-0.007136191390865659,-0.0071361910385802085,1.020435713372514e-06,0.0
funding_all,E10_foc_system_T,a,100,0,0,-0.0040904945689023645,-0.00409050370066669,-0.004582641056642911,-0.00458267454820499,5.717297786311804e-07,0.0
