sample,spec_key,spec,scale,re_groups,clusters,G,k,slope,se_model,se_cr2,df_cr2,lo_cr2,hi_cr2,p_cr2,t_cr2,p_wild,B_wild,p_wild_enum,n_enum,tau_between,reliable_df
budgets <= 3e20 (common window),balanced,Design-balanced weights (CE-RVE),sigma,design,studies (4; Marin one cluster),4,37,-0.0102348,0.0379246,0.00678615,2.66192,-0.0334692,0.0129995,0.23969,-1.50819,0.2458,9999,0.24537,1296,0,False
budgets <= 3e20 (common window),balanced,Design-balanced weights (CE-RVE),sigma,design,designs (6),6,37,-0.0102348,0.0379246,0.00674914,3.46998,-0.0301581,0.00968843,0.214525,-1.51646,0.2867,9999,0.286351,46656,0,False
budgets <= 3e20 (common window),weighted_S,"3-level RE, inverse-variance, on S = 2(1/sigma*-1)",S,design,studies (4; Marin one cluster),4,37,0.0325976,0.0584507,0.0486383,2.48265,-0.14214,0.207336,0.559716,0.670205,0.9084,9999,0.908951,1296,0,False
budgets <= 3e20 (common window),weighted_S,"3-level RE, inverse-variance, on S = 2(1/sigma*-1)",S,design,designs (6),6,37,0.0325976,0.0584507,0.0477217,3.80278,-0.102654,0.167849,0.533895,0.683077,0.8251,9999,0.822445,46656,0,False
budgets <= 3e20 (common window),fe_weighted,"Design FE, inverse-variance",sigma,design,studies (4; Marin one cluster),4,37,-0.0034048,0.0122955,0.0330046,1.85099,-0.15695,0.15014,0.927911,-0.103161,0.825,9999,0.828704,1296,,False
budgets <= 3e20 (common window),fe_weighted,"Design FE, inverse-variance",sigma,design,designs (6),6,37,-0.0034048,0.0122955,0.0330216,1.96136,-0.148201,0.141392,0.927448,-0.103108,0.8423,9999,0.835605,46656,,False
budgets <= 3e20 (common window),fe_unweighted,"Design FE, unweighted (OLS)",sigma,design,studies (4; Marin one cluster),4,37,-0.00389724,0.0090247,0.00442548,1.86709,-0.0242984,0.0165039,0.477032,-0.880636,0.3209,9999,0.311728,1296,,False
budgets <= 3e20 (common window),fe_unweighted,"Design FE, unweighted (OLS)",sigma,design,designs (6),6,37,-0.00389724,0.0090247,0.00566377,4.73165,-0.0187083,0.0109138,0.523657,-0.6881,0.5116,9999,0.505744,46656,,True
budgets <= 3e20 (common window),weighted_studyRE,"3-level RE with study intercepts (Marin's corpora share one), inverse-variance",sigma,study,studies (4; Marin one cluster),4,37,-0.00765212,0.0143287,0.012013,2.51335,-0.0504316,0.0351273,0.57734,-0.636989,0.8719,9999,0.87037,1296,0,False
budgets <= 3e20 (common window),unweighted_studyRE,"Study RE, unweighted (LMM)",sigma,study,studies (4; Marin one cluster),4,37,-0.00431582,0.00870972,0.00463548,1.86865,-0.0256662,0.0170346,0.455984,-0.931039,0.3143,9999,0.307099,1296,0.00714698,False
budgets <= 3e20 (common window),fe_weighted_study,"Study FE (Marin's corpora share one intercept), inverse-variance",sigma,study,studies (4; Marin one cluster),4,37,-0.00309815,0.0118285,0.0323307,1.90165,-0.149333,0.143136,0.932793,-0.095827,0.8767,9999,0.875,1296,,False
leave out each design's largest budget,weighted,"3-level RE (design intercepts), inverse-variance (primary)",sigma,design,studies (4; Marin one cluster),4,38,-0.0302048,0.012743,0.0182158,2.84031,-0.0900639,0.0296543,0.200946,-1.65816,0.2817,9999,0.285494,1296,0.0111481,False
leave out each design's largest budget,weighted,"3-level RE (design intercepts), inverse-variance (primary)",sigma,design,designs (6),6,38,-0.0302048,0.012743,0.0181682,3.21377,-0.0859082,0.0254987,0.188915,-1.6625,0.2716,9999,0.272076,46656,0.0111481,False
leave out each design's largest budget,unweighted,"Design RE, unweighted (LMM)",sigma,design,studies (4; Marin one cluster),4,38,-0.0282665,0.0101642,0.012193,2.71637,-0.0694659,0.0129328,0.112379,-2.31827,0.1515,9999,0.152778,1296,0.00751145,False
